Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-09-01-tweedekamer-6	ParlaMint-NL_2015-09-01-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 106, Session 6 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JanVos	Vos, Jan	M	1972	
ParlaMint-NL-en_2015-09-01-tweedekamer-6	ParlaMint-NL_2015-09-01-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 106, Session 6 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-09-01-tweedekamer-6	ParlaMint-NL_2015-09-01-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 106, Session 6 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JanVos	Vos, Jan	M	1972	
ParlaMint-NL-en_2015-09-01-tweedekamer-6	ParlaMint-NL_2015-09-01-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 106, Session 6 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-09-01-tweedekamer-6	ParlaMint-NL_2015-09-01-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 106, Session 6 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JanVos	Vos, Jan	M	1972	
ParlaMint-NL-en_2015-09-01-tweedekamer-6	ParlaMint-NL_2015-09-01-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 106, Session 6 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-09-01-tweedekamer-6	ParlaMint-NL_2015-09-01-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 106, Session 6 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-09-01-tweedekamer-6	ParlaMint-NL_2015-09-01-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 106, Session 6 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-09-01-tweedekamer-6	ParlaMint-NL_2015-09-01-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 106, Session 6 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-09-01-tweedekamer-6	ParlaMint-NL_2015-09-01-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 106, Session 6 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-09-01-tweedekamer-6	ParlaMint-NL_2015-09-01-tweedekamer-6.u11	Report of the meeting of the Dutch Lower House, Meeting 106, Session 6 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
