ParlaMint-NL_2015-06-18-tweedekamer-4.u1	I will allow only limited interruptions: only if a clear question is asked about a motion tabled.
ParlaMint-NL_2015-06-18-tweedekamer-4.u2	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that aviation through hundreds of thousands of jobs and an added value of tens of billions a year is indispensable for the Dutch economy;]] [[Whereas the position of Schiphol and KLM is seriously affected by growing competition from the Middle East;]] [[calls on the government, together with our national airports and Dutch airlines, to draw up a future-proof and competitive aviation plan]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to convert the current, buttery, memorandum or understanding between KLM and Air France into a legally binding contract with firm guarantees, if necessary at ministerial level,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that, unlike Eindhoven Airport, Maastricht Aachen Airport and Groningen Airport Eelde are themselves responsible for the costs of air traffic control and that this decision threatens their survival;]] [[calls on the Government to ensure the continuity and level playing field of regional airports with the predicate "of national interest',]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that air traffic controllers are leaving our country in a relatively high number and that there is a serious shortage of capacity, knowledge and experience within air traffic control;]] [[Whereas this could lead to a deterioration in the air traffic safety, capacity and competitiveness of Schiphol;]] [[calls on the government to make an independent impact assessment of the consequences of the flight abroad of Dutch air traffic controllers and to take action to maintain it for our country and its safety,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to ensure that Schiphol can extend the simultaneous use of its runways to "2+2',]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to include in the investigation of unfair competition in aviation the kerosene advantage of Golf Carriers,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Graus and Mr Van Helvert. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-272]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-273]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-274]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-275]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-276]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-277]]
ParlaMint-NL_2015-06-18-tweedekamer-4.u3	Chairman?
ParlaMint-NL_2015-06-18-tweedekamer-4.u4	You don't have time to say anything.
ParlaMint-NL_2015-06-18-tweedekamer-4.u5	There's something I want to say. People always ask why we speak so quickly. I wanted to tell the people at home that this is because we have to do it in two minutes.
ParlaMint-NL_2015-06-18-tweedekamer-4.u6	That's how we're gonna get the 20 motions from this VAO. Mr. Chairman. It was an extensive debate. In particular, following the discussion on the Gulf States and the decisions taken not to extend for the time being the landing rights in the Netherlands, I will table the next motion together with the PvdA. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that consultations are taking place at EU level with a view to reaching a negotiating mandate for an aviation agreement with the Gulf States;]] [[noting that during this period the Netherlands does not grant additional landing rights to Gulf carriers where other Member States do;]] [[Whereas this may frustrate the process of reaching a negotiating mandate;]] [[considers that it is essential that a negotiating mandate, including a new aviation agreement, should be put in place as soon as possible to ensure a level playing field in the international aviation sector;]] [[calls on the Government, in consultation with other EU Member States, to encourage them to follow the Dutch example not to grant additional landing rights to carriers from the Gulf until a negotiating mandate is in place, and to inform the House of Representatives about the outcome of this consultation before 1 September next,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Visser and Mr Leenders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-278]]
ParlaMint-NL_2015-06-18-tweedekamer-4.u7	I have one more question. Yesterday, the media reported that a number of European airlines have submitted a request to the European Commission to see how we can handle the level playing field in Europe with the world. Would the Secretary of State be able to respond by letter? We can then involve this in discussions during the round table in the future.
ParlaMint-NL_2015-06-18-tweedekamer-4.u8	Mr. Chairman. During the general consultation, the Secretary of State promised that she and her staff in the department would make every effort to contribute from the Netherlands to the discussion on the competitive position of Dutch and European airlines in the world. Their commitment is to achieve a more level playing field. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the aviation sector with Schiphol makes an important contribution to our economy and employment;]] [[noting that the Secretary of State for Infrastructure and the Environment has undertaken to work within the European Union to combat unfair competition within the aviation sector;]] [[Whereas fair competitiveness is crucial to maintain a strong aviation sector in the Netherlands in the future;]] [[calls on the Government to inform the Second Chamber twice a year about the claims to combat unfair competition,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bashir. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-279]]
ParlaMint-NL_2015-06-18-tweedekamer-4.u9	Finally, we have questions about the fact that Qatar Airways has been given a day and is now allowed to fly to Amsterdam seven days a week instead of six days a week. The Secretary of State had just promised that it would consider whether the unfair position could be monitored and that it would intervene at the time of state aid. Those records are known. State aid is involved. In addition, we are receiving disturbing reports about cabin crew labour rights at Qatar Airways. The company has the right to terminate contracts immediately if the cabin crew becomes pregnant. Also, female cabin crew members should not be dropped off by any man at work but only by their own husband or by any member of the family. Should we facilitate this sort of thing? Is the Secretary of State prepared to ask the inspection to look into this?
ParlaMint-NL_2015-06-18-tweedekamer-4.u10	Mr. Chairman. I would like to thank the Secretary of State for her commitments in general, including on the transformation of housing into the second noise zone around Schiphol, on freight around Schiphol and on the balance in the labour market of pilots. We also discussed in the AO the situation surrounding Eindhoven Airport, where air traffic interference in the Eindhoven region has increased in recent years, according to a study by the GGD in the North Brabant region. That's what we're worried about. We ask the Secretary of State for attention on this issue. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the first phase of growth of Eindhoven Airport is currently under review and that the aim is to reach agreement on the second phase of growth by 2020 at the Alderstable by 3 July;]] [[Whereas it is important that the support in the environment for (the further growth of) Eindhoven Airport should continue to exist;]] [[points out that it is desirable for the parties concerned to come to the Alders table with a supported opinion on the further growth of the airport;]] [[calls on the government to make an effort to reach a supported opinion at the Alderstable on the further growth of Eindhoven Airport,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Leenders and Mr Hachchi. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-280]]
ParlaMint-NL_2015-06-18-tweedekamer-4.u11	Mr. Chairman. We also discussed in general consultation the exact arrangements made when the Secretary of State was in Paris with Mr Alders and Mr De Juniac and what agreements were made with the Secretary of State in the Netherlands and in France. That is what we want to clarify. We want to be able to control as representatives of the people and also to see that the other party agrees with that. It's not enough for a letter of inquiry. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas a strong position of KLM within the holding company of Air France-KLM is important for the Netherlands;]] [[whereas, however, talks have been held between the government and the management of Air France and KLM and agreements have been made;]] [[Whereas there have also been talks between the Dutch Government and the Government of France on this subject;]] [[Whereas it is important for an assessment of the agreements made in the past that recent agreements on paper should also be transparent;]] [[calls on the Government to provide insight into the arrangements made in connection with the talks with Air France and KLM and with the French Government without the need for literal interview reports and business sensitive information to be disclosed,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Helvert, Mr Bashir and Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-281]]
