ParlaMint-NL_2015-04-14-tweedekamer-29.u1	I would like to welcome the Secretary of State for Economic Affairs.
ParlaMint-NL_2015-04-14-tweedekamer-29.u2	Mr. Chairman. We have had two extensive written rounds on the ban on wildlife in the circus. On that occasion, I shall table one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the draft decision prohibits the participation of wild animals in circuses and other exhibitions means that wild animals will no longer take part in circuses, parades, advertising and exhibitions;]] [[Whereas animals in zoos and dolphinarium are subject to other laws and regulations;]] [[points out that the ban will not be extended to other wild species and that the ban will be limited to circuses, parades, advertising and exhibitions,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Rudmer Heerema and Mr Van Dekken. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-802]]
ParlaMint-NL_2015-04-14-tweedekamer-29.u3	Does the VVD believe that wild animals in the circus in the Netherlands are being treated badly?
ParlaMint-NL_2015-04-14-tweedekamer-29.u4	I have seen that the wild animals that are now mentioned are treated very well at times and at times a little less. It's good to draw one line. That line has been indicated by the Secretary of State and we can underline it.
ParlaMint-NL_2015-04-14-tweedekamer-29.u5	The text of the motion is a bit of a slap in the face of the argument the cabinet uses to drive the wild animals out of the circus. Circus animals out of the tent, so to speak. With the same argument, you can also close the Dolphinarium and zoos. Mr Heerema will then be able to table a motion together with the PvdA Group, but that will of course just happen with this argument. I do not hear any other argument from the VVD not to do it.
ParlaMint-NL_2015-04-14-tweedekamer-29.u6	No, the motion is very clear and very clear. Two major parties in this Chamber are behind that. We are confident that this is not going to happen for zoos and dolphinariums for the simple reason that it is also a completely different decision. We just want to mark that it stays here.
ParlaMint-NL_2015-04-14-tweedekamer-29.u7	I wonder what the point of such a motion is. At present, the use of such animals in zoos and dolphinariums is permitted. The legislator always has the opportunity to think about and propose a ban. It seems to me that the VVD will protest then. What is the purpose of the statement made by Mr Heerema on behalf of the VVD and the Labour Party with this motion?
ParlaMint-NL_2015-04-14-tweedekamer-29.u8	I sometimes wonder at the Party of Animals what the usefulness of a motion is. It is good that Mrs Ouwehand does the same to us. That'll tell us which side of the spectrum we're on. We think it is important to send a very clear signal to the cabinet at this time that it is. That is why we are tabling this motion.
ParlaMint-NL_2015-04-14-tweedekamer-29.u9	But did the cabinet send out signals that it would propose a ban on the use of dolphins in dolphinarium or otherwise? Are there any proposals from the cabinet in which the VVD is not hungry? Those signals aren't there at all, are they?
ParlaMint-NL_2015-04-14-tweedekamer-29.u10	No, but as a Chamber, we also have an independent role to say what frameworks and limitations should be for the longer term. Like the Animal Party, we sometimes think about the future. That's why.
ParlaMint-NL_2015-04-14-tweedekamer-29.u11	Mr. Chairman. Many thanks to the Secretary of State. It was a historic moment in 2012 in the government agreement, in which it said that there would be a ban on the use of wild animals in circuses. It's been a long time, and now it's finally time. However, there is still a bit of a split by these and genes, I see. But again, congratulations to the Secretary of State for the draft decision. The Animal Party still sees two points on which it would like to table another motion. The first motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the coalition agreement announced a ban on the use of wild animals in circuses;]] [[noting that since the Zoo Decision (2002) a clear definition of wild species has been used, including the llama, alpaca, camel and dromedaris;]] [[noting that the present draft decision does not include the lama, alpaca, camel and dromedaris;]] [[calls on the Government to extend the ban on the use of wild animals in circuses to the lama, alpaca, camel and dromedaris,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the draft decision on the prohibition of the use of wild animals in circuses only provides for a ban on wild mammals;]] [[calls on the Government, in addition to the list for mammals, to draw up lists for reptiles and birds which may not be used in circuses and events,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-803]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-804]]
