Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-15-tweedekamer-5	ParlaMint-NL_2015-12-15-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 37, Session 5 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2015-12-15-tweedekamer-5	ParlaMint-NL_2015-12-15-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 37, Session 5 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-12-15-tweedekamer-5	ParlaMint-NL_2015-12-15-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 37, Session 5 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2015-12-15-tweedekamer-5	ParlaMint-NL_2015-12-15-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 37, Session 5 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-12-15-tweedekamer-5	ParlaMint-NL_2015-12-15-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 37, Session 5 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2015-12-15-tweedekamer-5	ParlaMint-NL_2015-12-15-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 37, Session 5 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-12-15-tweedekamer-5	ParlaMint-NL_2015-12-15-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 37, Session 5 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2015-12-15-tweedekamer-5	ParlaMint-NL_2015-12-15-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 37, Session 5 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KeklikYücel	Yücel, Keklik	F	1968	
ParlaMint-NL-en_2015-12-15-tweedekamer-5	ParlaMint-NL_2015-12-15-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 37, Session 5 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-12-15-tweedekamer-5	ParlaMint-NL_2015-12-15-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 37, Session 5 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KeklikYücel	Yücel, Keklik	F	1968	
ParlaMint-NL-en_2015-12-15-tweedekamer-5	ParlaMint-NL_2015-12-15-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 37, Session 5 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 37	Sitting 2015-12-15	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
