Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-08-tweedekamer-6	ParlaMint-NL_2015-04-08-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 73, Session 6 (2015-04-08)	2015-04-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 73	Sitting 2015-04-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-08-tweedekamer-6	ParlaMint-NL_2015-04-08-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 73, Session 6 (2015-04-08)	2015-04-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 73	Sitting 2015-04-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-04-08-tweedekamer-6	ParlaMint-NL_2015-04-08-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 73, Session 6 (2015-04-08)	2015-04-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 73	Sitting 2015-04-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2015-04-08-tweedekamer-6	ParlaMint-NL_2015-04-08-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 73, Session 6 (2015-04-08)	2015-04-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 73	Sitting 2015-04-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-08-tweedekamer-6	ParlaMint-NL_2015-04-08-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 73, Session 6 (2015-04-08)	2015-04-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 73	Sitting 2015-04-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-04-08-tweedekamer-6	ParlaMint-NL_2015-04-08-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 73, Session 6 (2015-04-08)	2015-04-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 73	Sitting 2015-04-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-04-08-tweedekamer-6	ParlaMint-NL_2015-04-08-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 73, Session 6 (2015-04-08)	2015-04-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 73	Sitting 2015-04-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-04-08-tweedekamer-6	ParlaMint-NL_2015-04-08-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 73, Session 6 (2015-04-08)	2015-04-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 73	Sitting 2015-04-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-04-08-tweedekamer-6	ParlaMint-NL_2015-04-08-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 73, Session 6 (2015-04-08)	2015-04-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 73	Sitting 2015-04-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-04-08-tweedekamer-6	ParlaMint-NL_2015-04-08-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 73, Session 6 (2015-04-08)	2015-04-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 73	Sitting 2015-04-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-04-08-tweedekamer-6	ParlaMint-NL_2015-04-08-tweedekamer-6.u11	Report of the meeting of the Dutch Lower House, Meeting 73, Session 6 (2015-04-08)	2015-04-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 73	Sitting 2015-04-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
