ParlaMint-NL_2015-10-06-eerstekamer-9.u1	I would like to welcome the Secretary of State for Finance to the First Chamber.
ParlaMint-NL_2015-10-06-eerstekamer-9.u2	Mr. Chairman. First of all, let me thank the Secretary of State for the detailed and detailed answers to the questions we had. Let me add something immediately: I am experiencing some hesitation in myself and in my group on this issue. After all, we do not want to sit in the chair of management. When parliaments do that, the end of the day is usually just losers. That said, this is a tax charge, a central function of the state. According to some scholars, it is even the hallmark of a functioning state. That justifies care and caution, and that actually opposes experiments. Our group warmly welcomes the direction the Secretary of State intends to take with this bill. If things go well, the ability to act and flexibility in the movement between citizens and the tax authorities will become more important. That's what we'd all like to see. However, the precarious is in the transition from one to the other. We all know how much the Tax Administration has been pushed towards shipwreck by all kinds of improper side-effects. That is why we pay extra attention to friction risks in transition periods. Our group had asked whether the Secretary of State could not have a somewhat longer period of implementation than one year in which to communicate both on paper and digitally. He replied: it is impossible for the Tax Administration to have two processes run side by side for years. I understand, and that's why we didn't ask. There is a difference between what we had asked for, namely a little longer, and what the Secretary of State answers, namely for years. I'd like to receive a response from the Secretary of State. Finally, the HUBA, the help with the declaration. I would never use such abbreviations myself, because official abbreviations are always the beginning of alienation between government and citizens, but that aside. We are talking just about 120.917 people aged 71 and over who made a paper declaration in the 2013 academic year. They all have to go to desks at tax offices, or get help from senior citizens' unions or, if they're lucky, from their children. Of course, the Secretary of State is right when he writes that this group is decreasing annually. This is an excellent feature of this age group. Yet, we are talking about people of flesh and blood, about taxpayers. Is a somewhat longer transitional period technically impossible for such a group? Is it expensive, maybe too expensive? And if so, what is the cost of such a thing? That is why I call once again for caution. What is perhaps a small thing for you and for me can be a horde for many honourable citizens, which is felt not as a horde but as a deep injustice.
ParlaMint-NL_2015-10-06-eerstekamer-9.u3	Mr. Chairman. Meeting tax obligations is more than just a financial transaction between citizen and government. There's a bigger story to it. It also has to do with civic spirit, community duty and contributing to the financial strength of a society. On the basis of politically agreed standards, the government determines which part of the citizen's income or assets will end up in the community mockery. Public goods are financed from this collective provision. These shared standards have been established in the political arena on the basis of values around dividing justice. State taxation binds citizens to society and society. Citizen and government meet directly in the fiscal domain. These are important matters for both parties. Both private and collective interests are at stake. Good communication is essential. The fact that citizens and governments meet so directly in the fiscal domain, at the intersection of personal and common values, leads to the argument that there should be no barriers to communication between citizens and government that make access to this domain more difficult. That is precisely where we are at the heart of our great concern about this bill, namely that it only wants the communication between the tax administration and the taxpayer to be carried out electronically. For some groups of taxpayers this is a bridge too far. Here, the basic sociological observation is that digital skills are unevenly distributed in society. Some observers even speak of a digital divide. Many have embraced the digital revolution, but others can hardly come along. Despite our high level of prosperity and education, our country has a large group of about 1.5 million low-skilled people. People with limited intellectual abilities, some groups of elderly people, as well as people without computers, can struggle through the digital revolution. They cannot meet the digital skills that electronic tax traffic requires. They will therefore also have to rely on care services that are already overloaded or on commercial tax service providers. It is these groups of Dutch people that the Christian Union Group is very concerned about. These groups, despite the support provided by the Tax Administration, will literally miss the connection. They experience the access to the tax domain as a blockade and as an exclusion by digitisation. My group notes little passion and compassion with the cabinet in the explanatory statement and the response for the limited digital skills of these groups of taxpayers. There are many words devoted to supporting these groups, but my group does not believe that the actions envisaged are convincing. Let me be clear. The Christian Union also sees that the route to digitization of the tax return is irreversible. The system offers efficiency benefits and leads to cost savings; little doubt about that. The majority of taxpayers will be happy to join. But that is not what our concern is for. My group calls primarily for attention to be paid to vulnerable groups of taxpayers who, for a variety of reasons, take a rear-guard position in the digital rat race. For them, terms such as "DigiD," "DigiD Powerful Message Box" or "Notification Function" are part of a wondrous world that is not theirs. They don't have an address either. It is our conviction that we need to take much more time to guide and support these vulnerable groups. The planned starting date for the next fiscal year is simply too early. The speed with which the Secretary of State wants to introduce the bill is very closely linked to our analysis of vulnerable groups of digital behind. Why aren't we taking a little more time? What really goes wrong when these groups are awarded to meet their tax returns and their communication with the government in the old, paper way? Is there not much more balance in the rhyme of private and collective interests? What's the rush? Why so little sense for weaker groups of taxpayers who are at risk of falling off the digital boat? We would like the Secretary of State to be somewhat technocratic in his attitude, a little more bound up with compassion for taxpayers who do not lack tax bourgeoisness but digital competences. We ask the Secretary of State to continue the two-track policy of electronic and non-electronic tax returns and the communication between citizens and the government associated with them. Can the Secretary of State take stock of this? We must close the gap in public communication with the citizen and not widen it. Digital self-reliance is far from a reality. Moreover, CBS figures show that around 40% of Dutch people between the ages of 65 and 75 do not have internet access. How does the Secretary of State intend to impose electronic reporting obligations on them and to communicate with them via digital means at all? We simply need to continue to offer this group the alternative of paper communication. I agree with the statement of CDA spokesperson Ommzigt across the street. He argued that his group sees the bill as a "pink cloud effect," a law that is "full of unrealistic wishful thinking." The State Secretary's own investigation shows that one in six citizens does not consider themselves capable of contacting the Tax Administration and does not know how to find assistance in completing the declaration. Well, that's a lot to think about, isn't it? Conversely, research shows that the government is failing to reach older people and the low-skilled through electronic communications. For example, our National Ombudsman concludes that personal contact with the government is necessary to support these groups. Citizens, according to the Ombudsman, want to have a choice between paper and digital communications. And Minister Plasterk rightly writes in his Vision Letter digital government 2017: "There will always have to be alternatives for citizens who lack the opportunities or skills to arrange their contacts with the government via the digital way. Personal contact with the government should remain possible for these citizens." Clear conclusions, I think. Despite our questions about this, the Christian Union Group remains in the dark when exactly the flow of messages must take place entirely electronically. What is the exact timeline and what order does it take? Can the Secretary of State make this clear again? We understand that as early as 2017 the income tax return can only be made electronically and that the provisional and final attacks will only be sent electronically. This is a very short timetable. Does the Secretary of State really think that he will get the digital competences of vulnerable groups in the intervening year in order? Does he think the digital divide will be closed? When exactly is the end of the start-up period foreseen? I'd like some clarity on this point. The Secretary of State uses many phrases in the underlying documents on how he will support taxpayers in this mandatory electronic messaging. Much of this support, as my group has said, is a policy of standing. What new forms of support does the Tax Administration which is part of this new phase in the communication between government and citizens? Is there more budget for that and if so, how much? Will personal services be intensified through personal contact? What kind of service is being used for the weak groups I mentioned? Are we taking their needs seriously? The reference to the HUBA system is somewhat painful in this respect. We are talking about a computer service at the Tax Office desk. I'm closing up. The ChristianUnion Group sees the benefits of digitisation of the tax return. But it is mainly benefits for the Tax Administration itself and for taxpayers who are digitally skilled. Vulnerable taxpayers are difficult to cope with at this time of far-reaching digitisation. They experience blockades in their access to government. My group is in favour of taking more time to introduce electronic reporting and to devote much more time to getting the tax support structure in place for these groups. It will be clear that my group is having difficulty with this bill. We await the answers of the Secretary of State to our questions with interest.
ParlaMint-NL_2015-10-06-eerstekamer-9.u4	Mr. Chairman. The members of the D66 Group thank the Secretary of State for his answers to our written questions on this bill, which aims at a "simpler, more unambiguous and informal contact between taxpayers and the Tax Administration." I'm going back in time. Six months ago, DUO, the Education Department, apologized to 10,000 MBO students. I quote from the Volkskrant of 17 March 2015: "At the end of February, thousands of MBO students were surprised by a court order. (...) They hadn't paid their tuition fees. (...) The amount was therefore increased by €300. (...) The bailiff came out of nowhere for us, says the father of one of the students. His son was one of 140,000 students who received the post of DUO only digitally. Every time there is a new message about, for example, tuition or a late payment in the personal DUO portal, the students are emailed about it. Those were neutral e-mails in which it was only said that a new message was ready, says the spokesman of DUO. This weekend the ten thousand students received a letter stating that they do not have to pay the €300 in extra costs. DUO should not have assumed that the messages are read in the DUO portal, the implementing authority itself notes. 'The e-mails we sent were apparently not a trigger to log in. We should have communicated more strongly," admits the spokesperson. 'And because it's such a large group, we've decided that the extra costs will be borne by us'. The end of the digital song was that DUO received tuition fees less quickly, lost 1 million euros in recovery costs, and in a bad magazine came students and their parents. The draft law before us differs in a number of respects from the DUO approach. First of all, DUO was concerned only with students who had indicated in advance that they only wanted to receive the messages electronically. Taxpayers, if this Chamber approves this bill, have no choice: they must. Secondly, according to this bill, taxpayers do not receive, as the students do, by default, a warning in their e-mail that a message is ready for them. They can get a warning though, it's called in the proposal, but only if they ask for it. Whoever shuts up doesn't get anything. That is the standard, and we know that 80% of people are affected by it. Furthermore, taxpayers are on average a lot older than students, and I can assume that on average less digitized and skilled. If students are already having trouble with this system, how about the average taxpayer and the elderly? Will the problems that arise when we approve this bill not be greater, indeed much greater, than those of the students? My group realizes that this bill was already being worked on before the Duo digital drama became known. But shouldn't we learn a lesson from that while we still can? Of the students concerned, more than 7% received a bailiff on the sidewalk. If that percentage is the same for taxpayers, it would be 700,000 people. DUO lost 1 million to 10,000 students. Then it would cost the Tax Administration 70 million more than the savings of 60 million per year that the Secretary of State expects to achieve with the transition to the new system. If the Tax Administration does not make this gesture, it will charge the taxpayers with these costs. That is only the direct damage, because tax morals are influenced by the way people feel treated. Small, subtle changes can have a major impact on compliance. For example, by placing the signature at the beginning of the declaration form, the upper signs shall lead to more than half of the percentage of people "sjoaming" with the declaration. Research by the Tax Administration itself shows that taxpayers react almost twice as quickly as their blue envelope has a personalised message. Has the Secretary of State taken this into account when estimating savings for the Tax Administration? In the written round, I asked the Secretary of State if the Tax Administration, like DUO, will also send letters of formal notice digitally. The Secretary of State replies that this is not yet known and will also be determined by experience, but that this will be the case at some point. Does this mean that the Tax Administration does not yet know how it will send letters of formal notice next year? Or that letters of formal notice will be sent on paper next year? We also ask the Secretary of State whether the amount of 60 million he expects to save is based on letters of formal notice or letters of formal notice via the proposed digital channel and whether he expects more reminders to be sent next year. In his reply to a question from my group, the Secretary of State states that the degree of ease in fulfilling an obligation increases the willingness to comply with it, that the Tax Administration is strongly committed to this and that this bill creates the preconditions for that. My group is concerned that this bill makes taxpayers more difficult than easier. The bill may seem to be merely a transition from paper to electronic messaging, but it is not. It would be such a transition if citizens received the tax authority's mail as an attachment in their own e-mail. In principle, the D66 Group would be in favour of this if it were sufficiently safe - especially if the taxpayer could contact the Tax Administration by pressing the answer button. However, the bill wants citizens to create a digibox and check it periodically to see if there is a tax administration post in it. In short, the bill wants two changes: from paper to electronic......................................................................................................................................................................................................... The latter is asking for trouble. As if citizens would no longer receive their blue envelope in their own mailbox, but in an external mailbox, where they should actively go when they do not know when mail will arrive, but that this is not more than a few times a year. If the Secretary of State suggested this for the paper mail, wouldn't the Chamber say he's gone mad? We are also talking about taxing. This is already perceived by the citizen as something that is not pleasant.
ParlaMint-NL_2015-10-06-eerstekamer-9.u5	In support of the bill, the government indicates that 95% of the tax returns are digital. In the debate in the Lower House, the State Secretary mentioned that 90% of the 65-plussers and 86% of the 71-plussers report digitally and that we should not link it to age. But that's sending. My group has difficulty in receiving, namely forcing the taxpayer to receive messages digitally in an external mailbox, i.e. not its own. By the way, that possibility is already there. The Tax Administration has called on people to activate their account on mijnoverheid.nl. I have asked the Secretary of State how many taxpayers have already done this, which turns out to be less than 20%. The Secretary of State promises a campaign. Earlier he said in the House of Representatives: if 30% of taxpayers haven't even activated their mailbox, that's a good thing. At the moment, that percentage is more than twice as high, 80. Doesn't that say enough? According to the explanatory memorandum, sending and receiving messages on paper is more important than sending or receiving the same messages by electronic means. The D66 Group asked the Secretary of State for an explanation of this. He admits in his reply that "logging in will indeed take more time than walking to the mailbox and removing the mail." He explains that the lesser work is in cleaning up and archiving. However, my group's main concern is that the taxpayer does not even know when to log in. It's not automatic like opening your own mail, paper or digital. We ask the Secretary of State for the possibility of the subsequent transmission of messages via the taxpayer's own mailbox and to allow people who do not want to continue to receive paper mail. The latter would help people who, for any reason, for example age, are not able to handle the Internet properly or who do not want or remember another code. We can imagine that this is not safe, but DigiD is also waterproof. We've known that since the Bulgarian scam. At the present level, it is a very easy tool to manipulate. It is not for nothing that many European tax administrations use a different system, similar to what our banks do. A look at the neighbors should be able to provide a lot of valuable information. I understand that the Secretary of State is keen to save on the cost of implementation, but in this case this could mean: before you start. Does the Secretary of State see an opportunity to enable a parallel system with paper receipt of tax post or to carry out an execution test and to introduce the new system only if it has proved successful? I'm rounding up. My group has difficulty with this bill, not because we object to the transition from paper to digital communication for those who can handle it, but because of the fact that recipients do not receive their mail on their own bus and do not know whether anything has arrived on their external bus. We also have difficulty with the digidwang imposed on citizens. Finally, we are not convinced now that this will achieve the expected savings and maintain compliance. The Secretary of State wants to save the IRS. We welcome that, but haste is rarely good. It is the task of this Chamber to assess the enforceability and feasibility of proposed legislation, in this case also in the interest of the Tax Administration. I look forward to the Secretary of State's reply.
ParlaMint-NL_2015-10-06-eerstekamer-9.u6	I'm going to press the bell, because now comes Mr Van de Ven's maiden speech.
ParlaMint-NL_2015-10-06-eerstekamer-9.u7	Madam President. The maiden speech of a new member of the First Chamber is a nice use of this high house. Today, I am officially introduced to the multiform political community that is now forming this Chamber. As a Liberal and a member of the Liberal Group of the European People's Party (Christian Democrats) and European Democrats, I would like to take this opportunity to make myself accessible. I look forward with interest and confidence to fruitful cooperation with all groups and with the government in the interests of society as a whole. This 56th working day I would like to use to thank the Registrar and all members of his staff for the exemplary reception and guidance from my installation on 9 June. The multitude of impressions over the last 56 days makes me want to praise the involvement of official support. Thank you for your commitment. I would ask the Registrar to convey my gratitude to his staff. The Electronic Message Traffic Act Tax Administration is under discussion. The VVD Group supports the logical step of introducing the EBB Act into the chain of advanced information technology. My group is therefore in favour of this proposal. However, the VVD Group has some questions regarding the application and operation of the EBB Act for the income tax return for individuals as of 2016. Before moving on to the legislative proposal, I would like to start by briefly informing Members about what motivates me as a liberal and a VVD member in my Chamber work. Part of my first performance in this house is that you will explain the background of the new Member at the end. I must suspect that you will inform this Chamber of my choice in 1973 to assess the Netherlands against the background of taxation. Over the last 42 years, I have had an insight into the taxation that I would like to give an example of. The employee who earns twice a modal, €70,000, and has a rental house of €900 per month, after payment of payroll tax and rent, will have about €32,000 left. Reduced for holiday money means less than €2,500 per month. But in spending, the tax festival begins: turnover taxes, excise duties, health contributions, environmental taxes, vehicle taxes, provincial increases, taxes on local authorities, insurance taxes and so on, and so on. The government has only increased the tax burden since the 1970s. The average citizen now has hardly any financial space after taxes to replace a broken washing machine. But a politician can't increase citizens' happiness with a new washing machine. I believe from my liberal anchors that the current tax pressure has cut citizens' independence. The deep financial and economic crisis from 2008 has made it clear that citizens must have a financial buffer for emergencies. Clearly, I welcome the government's investment of 5 billion in the citizens' wallet. The tax wedge between gross and net income should also be reduced in order to create employment. The effective tax burden leaves little room for further burden increase. I hope for a further reduction in the tax burden from my point of view that an independent citizen is also empowered to build up power and to decide on certain spending. So my commitment to this high house is the citizen's wallet. Taxation is based on principles. These principles are, in particular, the principle of capacity, the principle of privileged acquisition and the principle of profit. These principles are hardly respected. Now the principle of "grabbing what you can get" applies. New burdens under new legislation will no longer be assessed against tax principles. No new tax principle has been devised in the last 60 years. On the occasion of my maiden speech, I advocate a new tax principle: the capital building principle. As I have said, I believe that every citizen has the right to build and retain a freely expendable wealth from his income as an asset for thirst, i.e. income, taxes, expenditure and also capital building. That capital must be there for unexpected expenditure and for financially difficult times. With the financial and economic crises, we realise that fellow citizens can get into problems beyond their debt, for which, unfortunately, they have no financial buffer. I would now like to move on to ask a number of questions on behalf of the VVD Group in the Tax Administration Act. My group assesses the EBB Act against the background of the Generic Digital Infrastructure for the Netherlands in the run-up to the digital government Act in 2017. Digitisation of our society is inevitable and it is good that the government is working on it. The Tax Administration plays a leading role. This bill deserves a compliment. My group reads in the response of 18 September that the private individual will be obliged to submit his income tax return digitally from the tax year 2016. So in three months' time the era of the digitally compulsory income tax return will start. It is to be expected that in 2017 individuals will submit their pre-filled declaration note 2016 massively with a push of a button. I ask the State Secretary to confirm that the private individual must submit his income tax return by electronic means as of the reporting year 2016. Is it his expectation that individuals will almost without exception benefit from the pre-filled income tax return? The pre-filled income tax return for individuals has taken a high flight. However, it is the impression of the members of the VVD Group that the pre-filled declaration needs to be further improved. As an example of data available to the Tax Administration on 1 March but not yet included in the income tax return note for the previous year, dividends and related dividend tax apply in case of a profit distribution to a director-large shareholder. Another example concerns municipal fees. Those data are available before 1 March, but not pre-filled. Also, the inclusion in the pre-filled declaration note of the donation to a public utility institution, an ANBI, is not yet regulated. These are some examples, but there are others. Members of my group have the following questions about the quality of the pre-filled income tax return for individuals. Can the Secretary of State undertake that the pre-filled income tax return 2016 will be perfected for the private sector in the coming year, now that the private sector will have to make a mandatory digital declaration from March 2017 onwards? The VVD Group asks the State Secretary to provide the pre-filled income tax return 2016 with a list of income items that have not yet been incorporated into that bill by the Tax Administration. That list shall then be used to draw the taxpayer's attention to his income items which are outside the public domain of pre-filling. A further question of a different nature is how the Secretary of State can ensure that the taxable citizen, the private individual, with the push of a button, submit his mandatory electronic declaration correctly and in full. Will it not be too easy for the private individual to press the declaration button in the, possibly incorrect, assumption that his pre-filled income tax return is complete and correct? Will the Secretary of State undertake that by the autumn of 2017, when the 2018 Tax Plan is discussed, information is organised and available to private individuals at the Ministry of Finance on the income tax declaration campaign 2016 so that it can be assessed to what extent the pre-filled declaration note does not give rise to a tax leak? Will he also build up information by that date which provides insight into the enforcement of the recovery of the tax due by the private person? I thank the Secretary of State for his answers to the questions of the VVD Group. I'll come to a conclusion. Ceterum censeo institutional peculii exstruendi adhibendum esse. That is pot Latin and it means: and, by the way, I believe that the capital building principle should apply. Thank you for your attention. Dixi.
ParlaMint-NL_2015-10-06-eerstekamer-9.u8	Thank you very much, Mr Van de Ven. I'm glad you added the translation just now. Yes, it was pot Latin, but it was fascinating. Congratulations on your maiden speech. On June 9th of this year, you were sworn in as a member of this house. You are a member of the Committees on Finance, European Affairs, Kingdom Relations and Social Affairs and Employment. The subject of taxation that we are discussing today is an area where you feel at home, and that is what we have heard. You graduated from tax law in Leiden and in 1979 you started your first job as a tax inspector. Since 1980 you have spent five years in the Ministry dealing with the taxation of foreign diplomats and the staff of international organizations in the Netherlands. Then you switched to what was then called Moret Ernst & Young, and now Ernst & Young or EY, where you eventually became a partner. Four years ago, you made a radical change and became an independent tax advisor. You also decided to broaden your legal horizon and return to the college benches. Not at your alma mater, but at the Open University in Heerlen. There you followed the subjects of procedural law, formal criminal law and substantive criminal law. When I see it that way, it's about achieving the civilian effect. I think I got that right, because then you can do tax lawyers. You've been politically active at the VVD for over 25 years. The vast majority of them were alternate members and chairman of the VVD Committee on Taxation. You have also worked for the party as a member of the party council, as a national treasurer and as secretary and chairman of the Alkemade department. Today you have given the official kick-off to your work as a representative of the people, on a subject that, as I have said, fits you perfectly. It is a subject that seems to be far removed from the other subject that is on our plenary agenda today and has now been dealt with. But appearances are deceiving, and I'll explain that. The father of the Dutch tax authorities is, as you know, Mr Van de Ven, but then you will be a select company, Alexander Gogel, an incorruptible liberal who in French times managed to build a bureaucratic and centralised tax administration and put in place the then towering public debt. What perhaps fewer people know, is that Gogel was entrusted by Louis Napoleon with the creation of a national art collection from which the present Rijksmuseum was created, a museum that hopes to soon exhibit two special pieces of Dutch heritage in co-ownership. So today's two topics come together wonderfully. Mr Van de Ven, I wish you every success in your further contribution to the work of the Chamber and so suspend the sitting to give colleagues the opportunity to congratulate you on your maiden speech. However, I have said before today, at another maiden speech, that I myself like to be the first to wish happiness. I didn't do that earlier today, because I thought everyone knew that by now. But then I had to get in the middle of it. I would therefore ask Members to wait until I congratulate Mr Van de Ven.
ParlaMint-NL_2015-10-06-eerstekamer-9.u9	Mr. Chairman. I would like to begin by congratulating Mr Van de Ven on his beautiful maiden speech. We welcome our cooperation over the coming period. Today we are discussing a legislative proposal aimed at ensuring that, in the longer term, the transmission of messages between the taxpayer and the tax administration is only carried out by electronic means. The government believes that the digitalisation of messages can improve the provision of services to the taxpayer and reduce the administrative burden. Well, according to the comedian Will Rogers, the only difference between death and taxes is that death doesn't get worse every time the American Congress meets. I very much hope that taxes will improve when the Dutch Senate meets. To this end, the PvdA would like to bring to the attention of the Secretary of State three aspects of the legislative proposal before us. The first concerns the perspective of the taxpayer who embraces digitisation. What stands out from the investigation The citizen goes digital from the National Ombudsman, is that the majority of citizens think that digital services have advantages. However, 95% of citizens want to be able to choose whether or not to go digital. At the same time, the legislative proposal before us forces citizens to engage in digital contacts. Why does the Secretary of State choose not to respond to this almost unanimous need of citizens to choose for themselves? The University of Twente also makes a number of commendable recommendations in the study De eGovernment from a user perspective. For example, it is advised to use positive incentives in the relatively early phase of electronic service development. The Secretary of State writes in the reply that the Tax Administration makes structural use of insights such as these from the behavioural sciences in developing new forms of service. My group would like to hear from him the extent to which lessons are learned from behavioural sciences in the implementation of the legislative proposal before us. The second point concerns the perspective of the taxpayer who does not embrace digitisation. What stands out from the above-mentioned investigation The citizen goes digital from the National Ombudsman, is that not all citizens can come along with the digital developments and experience a large group of permanent problems with digital services. Are users of different backgrounds sufficiently involved in designing the digital services? Is the principles of design-for-all sufficiently taken into account at all stages of development, so that the service is also useful for people with disabilities, such as people who are blind or visually impaired? In the reply it can be read that 17% are in need of help but do not yet know how to find it. The National Ombudsman therefore recommends providing structural support for citizens who continue to have trouble with digital services, so that access to government is guaranteed for them as well. Does the Secretary of State consider that the government complies with the measures set out in the reply? If so, what does he base that opinion on? What is striking in the reply is that the Tax Administration does not have the personal characteristics of the groups of citizens who are still in contact with the Tax Administration on paper. How can the Secretary of State expect to reach these groups? In the reply, the State Secretary writes that much attention is paid to the findability, accessibility and user-friendliness of services of the Tax Administration. For example, user panels for testing portals and developing a new website are used here. However, the large group that experiences permanent problems with digital services is not likely to be a member of such user panels. And the customer group that is questioned every two weeks by the Tax Administration on various issues related to digital services is most likely digitally questioned and is therefore not representative. What consequences does the Secretary of State have for this? In addition, it is not unlikely that the taxpayer who does not embrace digitisation will be extra dependent on the proper functioning and implementation of schemes. The National Ombudsman concludes in the report In his debt to the government that there are unnecessarily many problem debts, precisely because all the different government regulations are so complex and often so unclear and unpredictable in their effect. As a result, the government is in practice the most important creditor of the Netherlands. In this context, how does the Secretary of State feel that the present bill relates to the basic duty of care of the government to all its citizens? The third and final point concerns the security of digital infrastructure. What once again stands out from the investigation The citizen goes digital from the National Ombudsman, is that citizens' confidence in their digital government is not very high. The National Ombudsman therefore advises targeted actions to restore confidence in the digital government. How does this bill relate to this opinion, my group asks the Secretary of State. In this context, it is worrying that DigiD is in fact at the end of its life cycle. For example, in its letter of 27 October 2014, the General Court notes that the recommendations on the security of the DigiD environment have not been followed. The General Court's assessment is that the implementation of the Action Plan, which should lead to a DigiD environment meeting security standards, will reduce security risks in the coming period, but not eliminate all security risks. What consequences does the Secretary of State have for this? The Secretary of State writes in the reply that the cabinet is working on the elD system in cooperation with private parties. elD should provide both businesses and citizens with access to online services from both public authorities and businesses. The Personal Data Protection Board (CBP) states that the project currently does not pay sufficient attention to three points that are part of the Personal Data Protection Act (Wbp): responsibility, security and the use of civil service numbers. In addition, the full implementation is long overdue. I would like to hear the consequences of this from my group from the Secretary of State. I'm rounding up. Digitisation is generally seen as progress. This threatens to close our eyes to costs, risks and disadvantages. In this plenary contribution, the PvdA has tried to open its eyes to the needs of taxpayers in all their diversity, precisely because of the special position of the government in the digitisation process. My group therefore looks forward with great interest to the answers of the Secretary of State.
ParlaMint-NL_2015-10-06-eerstekamer-9.u10	Mr. Chairman. This cabinet showed an enormous ambition with the electronic government when it took office. By 2016, all communications should go by electronic means. It hasn't come to that yet, but with this bill, the Secretary of State shows that this route is being built steadily. The members of the SP Group see the absolute added value of electronic reporting. The corridor to the mailbox can be replaced by a push of a button. It is no longer of this time to continue communicating through paper. When we start communicating digitally, the example in Denmark teaches us, it is best to do this 100% at once. The starting point must be that we communicate digitally unless someone indicates that we can't. Such a setup at the UWV ensured that only 10% of the contacts are not digital. So it's possible. By the way, I do not express a value assessment of the quality of this digital service of the UWV; there is still something to be said about that. My group also believes that it is necessary to look at the safeguards needed for such communication. In my view, three factors play a role: accessibility, customer orientation and security. The Netherlands has about 4 million people who have difficulty reading. From blind and visually impaired to people who are dyslexic or low-literate. For this large group, the government has developed web guidelines. Unfortunately, my group notes that many government websites do not comply with this. So is the website of the Tax Administration. Can the Secretary of State ensure that the website complies fully with the web guidelines by the end of the year? The communication and the declaration form are now being digitalized. How does this take account of accessibility? Accessibility is important not only for the websites, but also for the applications that become mandatory for citizens. Is the communication done with a dyslection-friendly font? And are the other tips in the web guidelines included in the development? Then there's customer friendliness. At the moment, the IRS is getting a lot of calls. The employees then help with questions about filling out the declaration. Has the IRS considered helping you through the chat? The biggest challenge will be whether people see the notification. The Secretary of State says that e-mails can disappear in cyberspace, spam filters, trash can or through, as I often experience, a jump from the cat on the keyboard, or simply a computer or internet malfunction. However, this can also be done with a notification. What are the consequences if someone misses a notification? There are, of course, some measures for this. My colleague across the street suggested text notification, and I would like to hear from the Secretary of State why he thinks that is such a bad idea. The government may also indicate whether the messages have been read. If you do not read a message, you can then notify again. Now the notification must also be turned on in the institutions. The Secretary of State asks for a lot of digi-handiness from the average Dutchman. We haven't got that far yet. Why doesn't the Secretary of State turn on this notification by default? The SP also believes that with sufficient support people who are not used to digital communication can be helped. The Secretary of State points out all kinds of possibilities. The elderly in particular have access to support through trade unions or computer associations. However, these are not cost-free. In fact, it can even generate additional costs for people. Low-threshold access to support is very important. Is the Secretary of State prepared to offer sufficient support? Does he also want to monitor whether this support is sufficient? And is he willing to release money to ensure that there is enough low-threshold support when monitoring shows that there are problems with financing that support? Then safety. I know the IRS is doing its utmost to keep this place secure. But there's no such thing as an unbreakable vault. So we're not gonna pretend we can. The question I can put to the Secretary of State is how the government continues to do its utmost. ICT problems in the government have been a thorn in the eyes of parliament for many years. My group is therefore extremely concerned about the ad interim head of the BIT, the ICT Examination Office, to be set up. He used to work at Capgemini and now works at Deloitte. This guy gets to put the team together. This does not give rise to confidence in the urgency of solving ICT problems, but much more so it demonstrates a stubborn refusal to learn lessons from the past. And that's exactly what's needed right now. I'd like a response from the Secretary of State. I would also like to say a few words about DigiD, but I understand the gap in which we find ourselves, namely that this Secretary of State is not about DigiD, but is cooperating in it. Nor is this Secretary of State about ICT security, not about being digitally aware, and yet all of these are issues that touch this issue. This reflects the importance of all ICT thinking in government. So I'm gonna ask the Secretary of State some questions about DigiD. Because indeed, as I said, DigiD is still unsafe. Across the street, I asked for a better system years ago. Last year Mrs Duthler asked for this in this Chamber. For years we have been working with this system pending indeed the eID. And, Mr President, I will tell you that eID is far from coming. There are so many problems with getting that safe and above all to build trust and support. We are talking first about eID only for citizens, then for businesses, then for a service and then for all services, for all services and businesses, and now we are talking about an eID system for the whole of Europe. By the time we get that done, I won't be here for a long time. In the meantime, will the Secretary of State be committed to a new DigiD system or a safer system? Finally, a little thing. In preparing this debate I wanted to go to the site of MyGovernment. I am one of those who have already signed up for this. So I know My Government. I reviewed "mygovernment.nl." I'm not pressing "Ww" anymore. The server was untraceable. So I enter "www.mijnoverheid.nl," but that server was also untraceable. Google then told me it was "www.my.government.nl." I don't know which IT marketer genius came up with this, but I'll tell you that most of the people aren't gonna think of that. Does the Secretary of State therefore wish to retain the URL name that is also used in the corporate identity?
ParlaMint-NL_2015-10-06-eerstekamer-9.u11	I shall suspend the sitting until 7.15 p.m., and I hope that everyone will be able to have taken the meal.
