ParlaMint-NL_2015-07-02-tweedekamer-20.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2015-07-02-tweedekamer-20.u2	Mr. Chairman. In this AO we talked about the transfer of monuments and agreed that we will postpone that part a bit. About the transfer of other state real estate, I'd like to file the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Empire is rejecting millions of m of real estate in the coming years;]] [[Whereas the rejection operation can have a significant impact on local and regional real estate markets;]] [[Considering that the General Court (ARK) considers that in achieving the best cost-benefit ratio, not only financial but also social costs and benefits are relevant and that for this reason, property decisions should be better aligned with the spatial policies of local authorities;]] [[noting that the Council for the Environment and Infrastructure (Rli) and the College of Rijksadvisers (CRa) also recommend a broadening of the policy weighting in dealing with Rijksvastgoed with more emphasis on regional social goals;]] [[calls on the government to adopt the recommendations of Rli, CRa and ARK in the rejection operation and to make it transparent how financial and social goals are balanced against each other,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in addition to the millions of m of real estate that the Empire will dispose of in the coming years, healthcare providers will also market millions of m of real estate;]] [[Whereas the College of Health Care Institutions (CSZ) is required to approve the disposal of care real estate financed by AWB funds;]] [[Considering that the CSZ often declines bids for care properties because of unrealistic views about the market price, which has for example left the St. Anna site in Venray structurally empty for years and has lost despite the huge cost of managing this monument;]] [[considers that the rejection operation can have a significant impact on the local and regional real estate market;]] [[calls on the Government to promote coordination between the state real estate company and the CSZ on the disposal of real estate;]] [[In the present case, the Government also asks the Minister for Health, Welfare and Sport to persuade the CSZ to bring it into line with the competent authority and to involve it in the assessment of value,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Albert de Vries. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11490-180]] [[This motion was tabled by Mr Albert de Vries and Mr Ronnes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11490-181]]
ParlaMint-NL_2015-07-02-tweedekamer-20.u3	Mr. Chairman. I've got the motion in part no. 181 co-signed and wants to add a little more. I am specifically concerned with the building on the Sint Anna grounds in Venray. We have noted that some EUR 8 million has been spent in the maintenance of an empty building over the last ten years. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Environment and Infrastructure Council and the College of National Advisors advise that social goals should also be taken into account in determining the asking price for state real estate released;]] [[noting that in many regions there is large-scale vacancy and oversupply of real estate such as the Sint Annarein in Venray, leading to long-term vacancy and substantial maintenance costs;]] [[invites the Government, in consultation with the Province of Limburg, the Vincent van Gogh Foundation, which owns the Sint Anna complex, the College of Health Care Institutions and the Municipality of Venray, to find a financially viable re-destination for the Sint Anna site and to inform the Chamber twice a year about the results achieved,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Ronnes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11490-182]]
ParlaMint-NL_2015-07-02-tweedekamer-20.u4	Mr. Chairman. In the motion in part No. 180 refers Mr De Vries to the reports of the General Court and the Council for the Environment and Infrastructure. It invites the government, in the rejection operation, to adopt the recommendations of both institutions and to make transparent how financial and social goals are balanced against each other. I consider this motion to be a policy support, stating that I assume that Mr De Vries understands that when selling real estate there may be considerations that do not allow for disclosure outside a confidential procedure. With that note, I see the motion as a policy support. In the motion in part No. 181 is specifically addressed to care real estate. The operative part shall consist of two parts. In the first part of the operative part, the Government is asked to promote coordination between the National Real Estate Company and the College Sanering Zorginstituuts on the disposal of real estate. I'd be happy to do this. I can practically do this by inviting the College of Health Care Institutions to join the Real Estate Government Council, in which this alignment takes place. In the second part of the operative part, the Government, in the present case the Minister of Health, Welfare and Sport, is asked to persuade the College of Health Care Institutions to find a realistic re-use after coordination with the competent authority, and to include this in the valuation. In any case, I believe that this discussion should take place with the Minister of Health, because the way in which the college works is strongly motivated by the desire to maintain resources for the care sector. I do not feel free to make a commitment to the Chamber without weighing all the consequences. I would therefore ask Mr De Vries and Mr Ronnes to amend the motion and maintain the first operative part. If the second operative part is maintained, I must advise against the motion for a resolution for this reason.
ParlaMint-NL_2015-07-02-tweedekamer-20.u5	Of course, I understand what the Minister is saying. If a Member of Parliament wishes to discuss with the government certain issues that are very closely linked, it is very difficult to discuss them in two different places. I cannot imagine that this Minister would not be able to raise this problem in the cabinet. I ask him to respond to that. Why isn't that conceivable?
ParlaMint-NL_2015-07-02-tweedekamer-20.u6	On the issue of coordination, Mr De Vries is right. That is why I would like to mention the first operative part of this report. In that operative part, I see that alignment role. It may indeed be that in a place where the Empire owns and rejects real estate, there may also be care real estate that does not belong to the Empire, but that does influence the real estate market on the spot. The second operative part really contains a financial balance within the healthcare sector. This concerns the question of whether or not we keep money in the healthcare sector. Then there is no coordination across ministries, but then there is real coordination within the healthcare sector. That's why I'm here to make the cut.
ParlaMint-NL_2015-07-02-tweedekamer-20.u7	If Mr Ronnes agrees, I am prepared to amend the motion in the direction indicated by the Minister.
ParlaMint-NL_2015-07-02-tweedekamer-20.u8	I see Mr Ronnes nodding "yes." I'm just saying for the Acts, to keep the momentum in the debate a little bit.
ParlaMint-NL_2015-07-02-tweedekamer-20.u9	Well, that's good, but I still think the reasoning is debatable. As well as the Minister for Housing and National Service is responsible for ensuring that state real estate comes into the market at a normal value, the Minister of VWS must take care of this, and then for another reason, namely to keep it within the care. However, the concerns are identical. Anyway, I'll change the motion. I will ask my colleague, who regularly talks to the VWS Minister, to table that motion during a debate with her. Then we can make it coherent in that way.
ParlaMint-NL_2015-07-02-tweedekamer-20.u10	Mr Ronnes, I see that you want to respond to this. I would like to point out that, during the VAO, everyone is allowed to place only one interruption. I would like to say this because you yourself have tabled a motion.
ParlaMint-NL_2015-07-02-tweedekamer-20.u11	I thank Mr De Vries for his response. I consider the first operative part to support the policy. Mr Ronnes' motion for a resolution (Doc. 182 goes into a specific piece of care real estate; the Sint Anna complex in Venray. In this motion, the government is asked to enter into consultation with the owner of the property, it is not a state property, the province of Limburg, the College Sanering Zorginstituuten and the municipality of Venray to find a financially viable re-destination. I really think that this is an incorrect mix of tasks. In my previous life, I was a member of the supervisory board of a large ggz institution with a lot of buildings. We sold part of it and we built new buildings. There are dozens of ggz institutions and hundreds of healthcare institutions. I shouldn't think that the supervisory board of such a ggz institution should sit down with the Empire every time. I fully agree that this is the case with the municipality. Furthermore, the College Restoration Care Settings automatically sits at the table. So I don't have to think about that. In doing so, we are creating an interference of the government in doing and leaving private health care institutions which I find not only not feasible, but also undesirable. That's why I have to discourage this motion.
ParlaMint-NL_2015-07-02-tweedekamer-20.u12	I can go part of the Minister's story. Although it is care property, it is real estate that has been maintained in those ten years and in which quite a few cents have gone in, which should otherwise have gone to the care. I think that from Wonen and Rijksdienst there can be quite a challenge to offer a bit of support to see how you can offer solutions in these places. In that sense, I still want to keep the motion in the air.
ParlaMint-NL_2015-07-02-tweedekamer-20.u13	I recognize what Mr Ronnes is saying about the coordinating task. In response to Mr Ronnes' motion, I also took this task on me along the route of the Real Estate Government Council. However, I do not think it is logical to take on a role in an individual building owned by an individual health care institution, which is already in the picture of the College Sanatorie Zorginstituuts. That would immediately raise the question of what to do with the dozens of other care homes that need to find a different destination. So I'm sticking to my judgment. I'm deceiving the motion in part No. 182.
ParlaMint-NL_2015-07-02-tweedekamer-20.u14	We are voting tonight on the motions that have been tabled. One of the motions will be retabled.
