Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-10-07-tweedekamer-7	ParlaMint-NL_2015-10-07-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 11, Session 7 (2015-10-07)	2015-10-07	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 11	Sitting 2015-10-07	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-07-tweedekamer-7	ParlaMint-NL_2015-10-07-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 11, Session 7 (2015-10-07)	2015-10-07	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 11	Sitting 2015-10-07	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-10-07-tweedekamer-7	ParlaMint-NL_2015-10-07-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 11, Session 7 (2015-10-07)	2015-10-07	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 11	Sitting 2015-10-07	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PeterOskam	Oskam, Peter	M	1960	
ParlaMint-NL-en_2015-10-07-tweedekamer-7	ParlaMint-NL_2015-10-07-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 11, Session 7 (2015-10-07)	2015-10-07	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 11	Sitting 2015-10-07	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2015-10-07-tweedekamer-7	ParlaMint-NL_2015-10-07-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 11, Session 7 (2015-10-07)	2015-10-07	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 11	Sitting 2015-10-07	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	SietseFritsma	Fritsma, Sietse	M	1972	
ParlaMint-NL-en_2015-10-07-tweedekamer-7	ParlaMint-NL_2015-10-07-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 11, Session 7 (2015-10-07)	2015-10-07	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 11	Sitting 2015-10-07	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2015-10-07-tweedekamer-7	ParlaMint-NL_2015-10-07-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 11, Session 7 (2015-10-07)	2015-10-07	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 11	Sitting 2015-10-07	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SharonGesthuizen	Gesthuizen, Sharon	F	1976	
ParlaMint-NL-en_2015-10-07-tweedekamer-7	ParlaMint-NL_2015-10-07-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 11, Session 7 (2015-10-07)	2015-10-07	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 11	Sitting 2015-10-07	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-07-tweedekamer-7	ParlaMint-NL_2015-10-07-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 11, Session 7 (2015-10-07)	2015-10-07	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 11	Sitting 2015-10-07	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2015-10-07-tweedekamer-7	ParlaMint-NL_2015-10-07-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 11, Session 7 (2015-10-07)	2015-10-07	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 11	Sitting 2015-10-07	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-10-07-tweedekamer-7	ParlaMint-NL_2015-10-07-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 11, Session 7 (2015-10-07)	2015-10-07	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 11	Sitting 2015-10-07	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
