ParlaMint-HR_2017-07-07-0.u38846	Mr. Bunjac asked for a word.
ParlaMint-HR_2017-07-07-0.u38847	Thank you very much, Vice President. On behalf of the Living Wall and SNAG Representatives Club, I'm looking for a 10-minute break to discuss the threat of Plitvice Lakes and the protest that has been going on since 21 June.
ParlaMint-HR_2017-07-07-0.u38848	Is this a time-out or can you speak right now?
ParlaMint-HR_2017-07-07-0.u38849	.../Intruder Bunjac: I can do it right now./...
ParlaMint-HR_2017-07-07-0.u38850	Here you go.
ParlaMint-HR_2017-07-07-0.u38851	Vice President of the Parliament, distinguished colleagues and colleagues. Since June 21st, it means a full 2 weeks of protest led by 4 defence associations at Plitvice Lakes at the direct level of the Great Falls. Protestors are demanding to immediately stop further construction of a settlement called Plitvica sela, near the Great Falls. It states that the survival of waterfalls is the main attraction of the national park only possible with normal water supply and that it decreases because the settlers draw water from the stream that the waterfall supplies. The measurements show that the water level that touches the waterfall is dramatically reduced up to three times compared to the flow at the source. Generally, the lakes we know can exist only and only if the water is in the stream, or the lakes are clean because otherwise it will destroy the sedars and if the sedra lakes are destroyed it will turn into a swamp. There is a real danger that a new settlement due to the presence of humans will lead to pollution and thus to the destruction of microorganisms so-called. The sedars. A major problem in this case is the spatial plan adopted in 2014 by the local HDZ administration and adopted by the SDP and HNS majority in the Assembly. According to the plan, individual tycoons are allowed to approach their facilities, lakes at such a distance that guests can have a view, right to the lake. These first apartments and hotels that have been built, so on an altitude above the lake are currently rented at a price of 500 euros per day. Of course, both bankers and politicians, all parties, are involved until the very top of the state. The representatives of the Living Wall visited Plitvice, and after the talks on both sides, we were convinced that the demands of the protesters were justified. In addition, there is a whole series of news reports on the significant pollution of the lake due to the flow of sewers, and it was once ironically reported that Plitvice had received their 17th lake. The reports also talk about the excessive number of tourists and their inappropriate behaviour. It was mentioned that the lakes also damaged the military polygon at Slunj due to both detonation and earthquake of the soil and possible pollution. In addition, the international community shows great interest in this issue, with the following news to be set aside. The UNESCO mission report in February this year raised concerns about the unsustainable expansion of tourism content and the excessive number of visitors to the park. Therefore, at its 42nd session, members of the mission will recommend that the World Heritage Committee consider entering Plitvice Lakes National Park on the World Heritage List in danger. This means translated that Plitvice Lakes National Park should actually be found on the so-called so-called “Plitvice Lakes. ” Blacklist. Other European countries know how to protect world heritage. France, for example, has gone so far as to ban access to tourists completely. So no tourist can talk to any particular localities anymore because their presence and locality has damaged and destroyed them. We obviously have no will for such a thing, we have a national park, so we have a world heritage, but the interests of a few tycoons and politicians are obviously ahead of what we should do. Plitvice Lakes should be preserved for generations to come, Plitvice Lakes are not only ours, nor are they of the inhabitants who live there, they repeat once again represent the national park but also the world heritage, they are in fact somehow the property of citizens of the whole world. I ask you once again to inform yourself about the protest that is going on there, about four defense associations, a whole series of citizens who support this protest, there could be a serious incident, and I think things should be considered calmly and taken whatever it takes to calm down the tensions and Plitvice Lakes have been preserved and treated appropriately. Thank you very much.
ParlaMint-HR_2017-07-07-0.u38852	Thank you, too, Mr. Bunjac, and for the precision of time. Good afternoon, we can begin. Although a large number of MPs are at the Srebrenica memorial we must stick to time, time and we must begin. The first item of the agenda is the - Report on the operation of the Pension Fund from 1 January 2010 to 31 December 2015 by the applicant: The Management Board of the Pension Fund The holder of the Act is the Management Board of the Pension Fund under Article 35. Retirement Fund Act and Article 10 The Statute of the Pension Fund. A motion for an act delivered to all of you in boxes. The debate was conducted by the Committee on Labour, Pensions and Social Partnership. You've received a report. The government delivered an opinion. I want to give a word first to the Government's representative for an additional explanation. Here are Ivana Jakir-Baja, the applicant of the Management Board of the Pension Fund.
ParlaMint-HR_2017-07-07-0.u43910	Thank you. Dear MPs and MPs before you is the Report on the operation of the Pension Fund for the period from 1 January 2010 to 31 December 2015, which is being produced as heard by the Pension Fund Act. Before presenting the fund's operations during that period, allow me to look at the relevant relevant, important legislative framework at the beginning of the few minutes for this report. Law implementing the decision of the Constitutional Court of the Republic of Croatia of 12 May 1998. which entered into force in 2004 shall be governed by the implementation of that decision of the Constitutional Court in order to compensate the beneficiaries of pensions which took place due to the partial harmonisation of pensions for the period from 1 September '93. until 31 December '98. A year. The beneficiaries of old and early age, disability, family pensions were entitled to compensation under the provisions of the '91 Law on Fundamental Rights of Pension-Invalid Insurance. the year and the Retirement-Invalid Insurance Act and how I have already pointed out for the period from 1 September '93. until 31 December '98. a on the basis of the harmonisation of these pensions with the movement of the average net salary of all employees in the territory of the Republic of Croatia during the same period according to data provided by the State Statistics Office. The law implementing the Constitutional Court decision also defined that the compensation of pensioners would be achieved through a specific fund to be established by a special law. It is certainly about the Pension Fund Act on the basis of which this report was submitted, which was adopted in 2005. This law establishes the Pension Fund and regulates the way in which pensioners are compensated. The HPB Invest of 22 November 2005 and in accordance with the Agreement on the Management of Assets of the Pension Fund shall carry out management tasks of this Fund. To remind ourselves, pensioners were able to decide on the selection of the compensation model by choosing between model A and the half-payment of the amount of compensation within 2 years or model B and the payment of the total amount of compensation within 8 years from two years. Two registers have been established – the basic register of fund members and the register of users of the family's highest pensions of fund members. The first payments started in June 2006. From June 2006 to the end of 2009, 7.7 billion kuna was paid from the fund. This report clearly describes the operations of the Fund in the next period, meaning from the beginning of 2010 until the end of 2015. In November 2010, the Government of the Republic of Croatia decided at its meeting to transfer 2 million 859 thousand and 148 regular shares of Croatian Telecommunications to the Pension Fund at a price of 283,31 kuna. In December 2010, 826.2 million kuna was paid for the 4th war on the compensation of model B of the basic register of 707.6 million kuna and the third war on the compensation of model B of the family's largest pensions of 118.6 million kuna. In 2011, the basic register fund entered with assets of 3.6 million kuna, 2 million 399 thousand and 158 shares of total HT value 692.7 million kuna, claims for unpaid assets of 1.5 billion kuna and total liabilities of 728 million kuna. And the Family Top Pensions Register entered with assets in 2011 of 2.1 million kuna of money, 459990 shares of total HT 132.8 million kuna, claims for unpaid assets worth 353 million kuna and total liabilities of 728 million kuna. In May 2011, a dividend from HT shares of 65.1 million kuna was also paid to the pension fund. In October 2011, 818.8 million kunas were paid in damages and this fifth war of compensation of model B of the basic register amounting to 700.9 million kuna and the fourth war of compensation of model B of family and largest pensions of HRK 117.8 million. Clearly, in order to secure the funds for the above-mentioned payment, HPB Invest previously concluded a trade agreement with Zagreb Bank and HPB in the amount of 818.8 million kuna. In the same contract, the HPB Invest committed itself to buying the same amount of HPB by October 2012 at the latest. It is important to stress that in October 2012, the Government of the Republic of Croatia made a decision to give consent to the Ministry of Finance, to assume the obligation of the pension fund to the Bank of Zagreb and the HPB, based on the 2010 and 2011 trade agreement that I mentioned in the total amount of HRK 1.6 billion, which is included in the public debt. During 2012, as well as during 2011, a dividend from HT shares of €63.3 million was also paid to the pension fund. In December 2012, 817.7 million kunas of compensation were paid and 6 wars of compensation of model B of basic register amounting to 700.5 million kuna and 5 wars of compensation of model B of family and highest pensions amounting to EUR 117.2 million. In order to ensure that these funds were previously in debt of 720 million kuna. In accordance with the government's decision, from December 2012, the fund was also paid EUR 100 million to compensate for the difference in the price of the share to the nominal value of the share of 1 kuna. In December 2013, 6 wars of model B were paid to register the family's highest pensions of EUR 117.1 million. It is important to stress that this is both the united and the final war of compensation. To sum up, in the period from 2010-2013, which includes this report, it has been paid to the damages of 2.6 billion kuna. In 2006-2009, 7.7 billion kuna was paid. The biggest payments went right in those first years. In 2006, we own ourselves, that in October 2006, the Republic of Croatia introduced 3 million 117 thousand and 127 shares of Pliva sold in 2.6 billion kuna. In November of the same year, the pension fund was allocated 8000 and 875 shares of INA at the price of 1690 kuna per share. All shares were sold until June 2007 for compensation payments in 2007. So from the draft pension fund until 31 December 2015, which includes that report, a total of 10.3 billion kuna was paid for 488 thousand 577 members. That amount should certainly be added to the amount of 180 million kuna, as the fund carried out from 21 December 2015 for the purpose of the payment of one-off monetary income to pensioners realised in compulsory pension insurance on the basis of generational solidarity, in accordance with the government's decision. On 31 December 2015, the account showed a balance of 9.6 million kuna. Financial reports of the Fund, 2010, 2011 In 2012, 2013, 2014, Deloitte audited the audit house. All financial reports have been given a positive opinion by the audit houses. The Management Board of the Pension Fund adopted audited financial reports each year at its meetings. HPB Invest has established an effective fund management through the contact centre and the entry centre. Contact center with free phone number, worked every day from 7-24. From the start of the Fund's work, the number of calls for a free number was 736741 from 2006 to 31 December 2015. The report you have before you also shows data on the logistics support provided by HPB Invest during the management of the pension fund. From January 2011, until May 30, 2012, the chairman of the Management Board was Mr Hrvoje Dolenec. By May 2016 Mr Miljenko Fitzer. I must say that HPB Invest with colleagues as chairman of the board of directors, that they have done the job, and on me as chairman of the board of directors since May of the previous year, I have remained to recapitulate, through this report, the operations of the fund and their work when the implementation of this extremely important, large and technically complex project is being carried out. Thank you.
ParlaMint-HR_2017-07-07-0.u43911	Thank you, too. I'm opening a debate. First came Mr. Silvano Hrelja Club of Independent Representatives and HSU. And it was a replica? Who? ... I didn't see it. [[You can't hear the intruder.]] Mr. Shuker replica. Excuse me.
ParlaMint-HR_2017-07-07-0.u43912	Thank you very much. This is how I'm interested in Table Six. It's about the total amount of 13 billion and 780 million. So it's about the principal and the interest. And those subsequent liabilities that are retired, by subsequent memo, the total repayment of the pensioner's debt is somewhere over 14 billion kuna. However, what I would like to say here, and very often here in the debates is used. So, most of the IPO's income, HT went to pay back the pensioners. So through the IPO, the state sold 32.5% of HT shares in total about 7 billion kuna, and most of it went to pay the pensioners back. Also through the IPO, a little less than 17% of INA shares, Croatian citizens and institutional investors were sold for a total of 3.5 billion kuna revenue somewhere. And not to speak, and here you have indicated in the report that there are also later transferred shares of HT to the Pension Fund. What I have reported for the replica is that here very often it is said that someone sold it to the INA, etc., so HDZ did not sell any of the shares of the INA to MOL, none of them should say it out loud and clear here. Today's ownership structure of INA is 49.1% MOL, 44.8% Croatian state and 6.1% institutional investors, hence the Croatian state with institutional investors still has over 50% of the INA Assembly votes.
ParlaMint-HR_2017-07-07-0.u43913	Thank you very much. Mrs. Jakir-Bajoy, do you want to answer now or in the end? In the end. Thank you. Now here's Mr. Silvano Hrelja in front of the club of Independent Representatives and HSU. Here you go.
