Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62194	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	SDSS	Samostalna demokratska srpska stranka	Opposition	Centre-left	HorvatMile	Horvat, Mile	M	1959	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62195	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62196	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	HRAST	Hrvatski rast	Coalition	Right	ZekanovićHrvoje	Zekanović, Hrvoje	M	1974	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62197	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62198	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ZmajlovićMihael	Zmajlović, Mihael	M	1978	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62199	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62200	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	HRAST	Hrvatski rast	Coalition	Right	ZekanovićHrvoje	Zekanović, Hrvoje	M	1974	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62201	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62204	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	HSS	Hrvatska seljačka stranka	Coalition	Centre to centre-right	MadjerMladen	Madjer, Mladen	M	1965	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62205	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2017-11-24-0	ParlaMint-HR_2017-11-24-0.u62206	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 6	2017-11-24	Unicameralism	9. mandat	-	Zasedanje 6	2017-12-15	-	Reference	English	Regular	MP	notMinister	HSS	Hrvatska seljačka stranka	Coalition	Centre to centre-right	VlaovićDavor	Vlaović, Davor	M	1963	
