ParlaMint-HR_2017-04-05-0.u25144	Are they interested in taking a break? There are. Representative Alexic.
ParlaMint-HR_2017-04-05-0.u25145	Thank you, Your Honor. I want to talk about the latest rulings against the banks, two powerful and one ineligible in the name of the Living Wall and the SNAGA, a break of ten minutes.
ParlaMint-HR_2017-04-05-0.u25146	Representative Lovrinović.
ParlaMint-HR_2017-04-05-0.u25147	Your Honor, Mr. President. On behalf of the Club of Representatives Let's change Croatia I am looking for a ten-minute break to point out some new circumstances regarding the Agrokor case.
ParlaMint-HR_2017-04-05-0.u25148	Are there any other interested representatives? There isn't. I'm setting a break of ten minutes.
ParlaMint-HR_2017-04-05-0.u25149	[[CONTINUATION AFTER 9:50 A.M.]] On behalf of the Living Wall and SNAGA, Stanko was requested by a respected colleague, Goran Aleksic. Here you go.
ParlaMint-HR_2017-04-05-0.u25150	Thank you, dear Vice President. I will talk about the latest rulings at municipal and county courts in the Republic of Croatia. As we know, the banks are convicted of illegally raising interest rates and a whole series of private lawsuits followed, and now we already have a case law that shows that banks should not behave that way. First of all, I will say something about the rightful verdict against the Split Bank in Osijek, it is that the Split Bank has negotiated with certain debtors who have negotiated after the encouraging housing of the loan, it has agreed on an interest rate in a way that it is changing according to the change in EURIBOR. However, it did not apply EURIBOR to the change in interest rates and the debtors noticed that, they went to the courts and received judgments. And so we have such a rightful verdict where the debtor had to return all the overpaid interest for five years because the bank did not reduce the interest rate on the principle of change in the EURIBOR and after the Split Bank, it was just the Split Bank, after which she noticed that other people would go to courts she offered all such debtors of the settlement. However, with these settlements, something is wrong. What's wrong? The settlement offers a difference of annuity. When offering overpaid interest, there must be a difference in interest, the difference between the charged interest and the interest as it was due under the contract. Since an annuity difference has been offered, the debtors are also damaged and all those debtors who feel that they could prosecute some period of two, three years should go to court and should not accept such settlements. The other important thing is, we have one verdict in Kunski's loan. So in Osijek it was decided that a debtor who had raised a loan for a car in kuna, therefore not with a currency clause had received a verdict in his favour, the first degree and the bank had to pay him over the amount of interest. This is proof that the collective court ruling applies to all currencies, so not only to CHF but also to kuna loans and euro loans. And the other important thing about that verdict is that the court, the court, did not accept the objection of an old-fashioned bank. The bank objected, she felt that the claim was outdated, that it could only be sought back five years. However, in my view and in the opinion of many lawyers, the court has done the right thing and found that the limitation of overpaid interest started on 14 June 2014 and since the beginning of the day following the decision of power in the case of Franak. Namely, no one can ask for anything unless they knew they could ask for something. So only on the day of knowledge of the claim can it begin to run out of time and again. It's the proper thinking of the District Court judge in Osijek. And finally, the sugar finally has the first power of judgment on the integrity of the interest rate contracted in a CHF loan that's been converted. Therefore, the County Court in Osijek ruled that the interest rate was agreed as variable, which was changed by the decision of the bank, was worthless, that it was not valid despite the conversion of CHF credit. The lawsuit did not appear to be due, so the lawsuit did not require payment of the amount, so the debtor who received the suit for his own benefit will have to demand either outside the court money the bank owes him or will have to press charges again to get the money. But what does it matter in everything? However, I must say that those who have not yet filed charges, and have converted their CHF loans, these lawsuits should not be filed before a new decision on the review of the Supreme Court is made. So, let's wait for all the joint new decision on the review of the Supreme Court, after the Constitutional Court has returned the case to the Supreme Court and then we'll all be smarter together. And I am finally announcing today a thematic session to discuss illegalities in determining interest rates and possible solutions, judicial practice and this thematic session is being organised by the Committee on Justice and the Committee on Finance and Budget. At the session, he will talk among other coordinators from the Franak Denis Majo Association, I will talk about illegalities and possible solutions, he will speak to Professor Denis Majo. Lovrinovic on interest differences here and in the euro area and finally Dr.sc. Dominik Vuletic on case law in the eurozone. Thank you.
ParlaMint-HR_2017-04-05-0.u25151	I thank my esteemed colleague, Alexic, for the reason of the break. The following came for a break on behalf of the party Let's change Croatia's distinguished professor. Ivan Lovrinović. Here you go.
ParlaMint-HR_2017-04-05-0.u25152	Thank you, Mr. Vice President. Dear colleagues and fellow citizens who follow us through the media. Here's every day some new details about the Agrokor case, about the problems. We economists know that these days are key, critical, especially for the next ten days because liquidity is at risk, or indifference across the entire system, and if someone does not approve an intervention or credit for overcoming this indivisibility in the next ten days, it is possible that inconspicuous consequences are possible. In this whole story, it is extremely important to stress that the share of Agrokor in the external debt of the Republic of Croatia totaling about 41 billion euros is 8%, meaning about 3.6 billion euros. It's 8% so just made the system of Agrokor. Out of the total corporate sector that is in charge abroad, around 15 and a half billion euros, 22% of all companies in Croatia created Agrokor. Please, everyone knew it well, everything was known how nice a representative of the Croatian National Bank said yesterday but no one intervened. She knew HANFA, she knew the CNB, they knew that this was a strategic threat to the financial stability of Croatia, which has been severely damaged these days and they have done nothing and it is necessary to seek responsibility for these institutions. We will not support it, the party Change Croatia will not support this law on extraordinary management because it is extremely bad without any professional analysis, it is missingly prepared. And he'll only favor some again, he knows the strongest. If it was applied as it was proposed, it could question the legal security of the state and drive away several thousand small and medium-sized suppliers, producers, of course, workers. I have a few questions for the government. First, who will be responsible for how and why such a great debt of Agrodor has occurred both internally and externally towards the state and suppliers. The second question is when will some ruling politicians stop acting as citizens before noon, and in the afternoon as politicians at the top of the state and realize that they are the ones who lead the state and should behave accordingly. Who's going to be responsible for not respecting the Law on payment deadlines. So it's a public secret that Agrokor has been late for years with payments for several months. He thus produced indifference and destroyed hundreds and thousands of small suppliers. The third question is who will protect the small suppliers, and the state obviously won't, even though it's telling us declared that it will. And the problem is that the state can't protect its own interests. In this context, to conclude this, it will all increase the overall liquidity and debt of citizens and entrepreneurs, and that is not at all questionable. The first wave could block even a few thousand family farms that are at risk anyway. We will not support the law because it was done by dominant politicians. The waist is dominantly bypassed. He's being brought in without professional analysis. He's missing. He will only favor some and could question the legal security of the state and, as I said, send several more thousands of small, medium suppliers, producers and workers into debt slavery. I ask the government to appoint its representative to monitor the process of restructuring the concerts, which will monitor the payment of debts to suppliers especially small ones who will ensure the payment of salaries, the preservation of the strategic interests of the state and the repayment of debts to the state, and that new owners are required to comply with all Croatian laws. And one more thing to say. This law simply puts aside everything that has been declared strategic companies in Croatia so far. So this is the new redefinition of strategic companies. I already said on Croatian Radio this morning, let's say you take Croatian Radio, she's a strategic company, but according to these features and regulations, she's not. Gentlemen, we can't help but get the impression that this law is so-called. Lex Agrokor, so he's opposing the Constitution, he's referring to wanting not to take on one company and what's most important of all of us is being asked to support this law. The state will not appoint its representative there, therefore, and the commissioner will only report to the Ministry of Economy, and those who have approved the law will not. So much for laws and ways of solving problems in Croatia. The Change Party of Croatia really wants to change this.
ParlaMint-HR_2017-04-05-0.u25153	I thank my esteemed colleague, Lovrinovic, for the reason of the break.
ParlaMint-HR_2017-04-05-0.u35638	We move to the next item of the agenda - Proposal for a decision on the resolution of part of the members of the Governing Council of the Croatian News Agency and under (b) Proposal for a decision to appoint part of the members of the Governing Council of the Croatian Reporting News Agency is proposed by the Government of the Republic of Croatia on the basis of Articles 11 and 12. The law on Croatia reports to the news agency. The materials were delivered to you in the boxes. Contributions to the proposals are not multiplied but are found on the Croatian Assembly website. The debate was conducted by the home Board on Information, Information and Media. You also received the report at the sessions. Is it possible that the proposaler's representative would like to give an additional explanation? Here you go. Dear Secretary of State at the Ministry of Culture Mr. Kresimir Partl. Here you go.
ParlaMint-HR_2017-04-05-0.u35639	Members of the Committee of the European Parliament and of the Council shall be responsible for the implementation of this Regulation. The law on Croatia's news agency is prescribed that the Croatian Parliament appoints and resolves members of the Governing Council of HINA on a four-year basis. According to Article 12 of the Law, the Government of the Republic of Croatia proposes to the Croatian Assembly of members of the Governing Council on the basis of a public call procedure. Part of the previous members of the Governing Council have expired from four years, and the government has established a proposal for a decision to resolve part of the members of the Governing Council for the expiry of the term of office. On the basis of the procedure followed by a public call, the Government also established a proposal for a decision appointing a member of the Administrative Council of HINA. The following is proposed to the Croatian Parliament to appoint the following candidates as members of the Governing Council of HINA. From the ranks of HINA employees Slavica Cvitanic, from the order of legal experts Maja Plesskalt, from the order of IT experts Roman Bogut, from the order of economic and financial experts Bruno Dobranić. We also propose that members of the HINA Governing Council be resolved, which expired the mandate of Slavica Cvitanic, Roman Juric, Vlado Raic and Josip Veber. Thank you.
ParlaMint-HR_2017-04-05-0.u35640	I would like to thank Mr. Kreshimer Partl, the guest secretary of state, for this further explanation. Would the committee's rapporteurs perhaps like to take a word for it? No, I don't. Thank you. I'm opening a debate. We're moving on to debates. On behalf of the Representatives of the Living Wall, Ivan Vilibor Sinčić. He's gone. He's losing his right to argue on this agenda point. The following has been reported for discussion on behalf of the Club of Representatives of the Most Independent Lists by Honorable counterpart Miro Bulj. He's gone. Thank you. The following has appeared individually for the debate, dear colleague Gordan Maras. He's not here either. The following appeared for discussion on behalf of, or individually respected colleague Miro Bulj. There isn't. Thank you. Is there a final word from the motionor? There isn't. I'm closing the debate on this agenda item. We'll vote when the conditions are met. I thank the representatives of the proposing state secretary, Mr Krešimir Partl and Mr Tomislav Jelic, the head of the culture ministry sector, for the reasons of the law. I now set a break until 11.00 p.m. when we will begin with the agenda Final draft law on the procedure of the extraordinary administration in trading societies of systemic importance for the Republic of Croatia. Thank you very much.
