ParlaMint-HR_2017-02-09-0.u24659	Dear colleagues and colleagues, we continue our work. Representative Misic.
ParlaMint-HR_2017-02-09-0.u24660	I ask for a break in front of the party Let's change Croatia to say something about Croatian railways, from a ten-minute break.
ParlaMint-HR_2017-02-09-0.u24661	A colleague of Maras.
ParlaMint-HR_2017-02-09-0.u24662	I'm looking for a break on behalf of the SDP Representatives' Club in connection with a crisis going on in the film industry, our home industry.
ParlaMint-HR_2017-02-09-0.u24663	If there are no others... Here's Agent Mesic.
ParlaMint-HR_2017-02-09-0.u24664	HDZ club related to the film industry.
ParlaMint-HR_2017-02-09-0.u24665	A representative of the bush. I'd like you to turn off the microphone, please. [[Intruder Mesic: A pardon.]]
ParlaMint-HR_2017-02-09-0.u24666	On behalf of the MOST Club, I'm looking for a break, so it's about the situation around the Levice Waste Management Center.
ParlaMint-HR_2017-02-09-0.u24667	If there are no other interested deputies, I'll set a 10-minute break. Thank you. [[CONTINUES AFTER 9:45 A.M.]] The first club that requested a break is the club Let's change Croatia and their representative, Ivica Misic, will explain the reason for the request for a break.
ParlaMint-HR_2017-02-09-0.u24669	President-in-Office of the Parliament, honourable MPs and MPs. I wanted to talk about the railroads, the condition on our railroads and the problems the railroads have today. What to say about it when we all see that our railroads are in catastrophic condition. What condition? I've been using railroads a lot and traveling trains, so I've seen a lot of problems I'm going to talk about later, I'm just going to try to say something about HH infrastructure. We all know that our railroad is simply ruined, I'd say the state of such a railroad. What's going on in the infrastructure? Currently, around 200 workers should be employed there, perhaps even more, but no one is trying to call these competitions, probably because they have extra people on the railroad. We know this well that a lot of things and cancellations have been received, but those of the technical service that these people need to do are needed, but no competitions. In order to bring the state of the union a little bit closer to you in infrastructure, we wouldn't believe that our infrastructure railways have 105 unionists, 105. Imagine 105 unionists who don't work, 37 professionals and others who get what they pay to be union commissioners. 37 people have a salary of 11 to 15 thousand kuna, interesting, and these 68 have somewhere between 7 and 10 thousand kuna. To be even more absurd if someone is eight years old, two terms of office he retains his salary until the end of his job. Is it getting normal for you? Is that normal? And our citizens, young people who should get a job, can't get a job, and it's necessary. So the emissaries, the detours, the people who maintain the railroads, the electrostructs, tomorrow should be 200 people admitted to function normally, but they can't. Since I've been using railways, I've personally used them for a long time, and I'll tell you only one story a month ago I traveled from Zagreb to Frankfurt and from Frankfurt to Zagreb and then I got somewhere at 21.00 hours in Zagreb, moved to the Croatian train to 21.40 that train leaves Zagreb for Vinkovce was minus 12, I got out of a decent German train, not that IC and the others, you're not driving us, but a normal train that is neat, clean like that. When I got on our train, gentlemen, I got a picture taken I got in my cell phone I can show it to you all, I sat in one car, the truth was the heating was that we could sit in the pumpkin but it was still a little warm, all the glass was frozen, that front door was frozen with snow. My bag was in one seat because the train was empty, but it fell there the way it was going it was like it was raining and the wet bag had to get it out of my way. That's what the Croatian train looks like. To make the absurd bigger I took a train somewhere this summer at 7 a.m. there was a temperature 35 out in Novska we were going to get on a bus and move to Okucana. I guess they were doing something. You can't believe the train that was driving the passengers we all got on two buses put us on, on two buses. Believe that people almost fainted. I still told the driver you're giving me, please turn on the air conditioning on that bus people will die. 100 people got on a bus. [[Intruder Petrov: Time.]] What a state of such and railways, and I ask the government to take care of it for a while. Thank you.
ParlaMint-HR_2017-02-09-0.u24670	Thank you. A SDP representative club has asked for a break and their representative Gordan Maras will explain the reasons.
