Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-02-24-prot-201516--69	i-5c4148c72c223ac9-0	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 69	2016-02-24	Unicameralism	2015/16	-	-	2015/16--69	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2016-02-24-prot-201516--69	i-5c4148c72c223ac9-1	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 69	2016-02-24	Unicameralism	2015/16	-	-	2015/16--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2016-02-24-prot-201516--69	i-5c4148c72c223ac9-56	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 69	2016-02-24	Unicameralism	2015/16	-	-	2015/16--69	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q3544279	Enström, Karin	F	-	
ParlaMint-SE-en_2016-02-24-prot-201516--69	i-5c4148c72c223ac9-60	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 69	2016-02-24	Unicameralism	2015/16	-	-	2015/16--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2016-02-24-prot-201516--69	i-5c4148c72c223ac9-63	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 69	2016-02-24	Unicameralism	2015/16	-	-	2015/16--69	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q3544279	Enström, Karin	F	-	
ParlaMint-SE-en_2016-02-24-prot-201516--69	i-5c4148c72c223ac9-65	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 69	2016-02-24	Unicameralism	2015/16	-	-	2015/16--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2016-02-24-prot-201516--69	i-5c4148c72c223ac9-67	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 69	2016-02-24	Unicameralism	2015/16	-	-	2015/16--69	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q4959972	Kronlid, Julia	F	-	
ParlaMint-SE-en_2016-02-24-prot-201516--69	i-5c4148c72c223ac9-69	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 69	2016-02-24	Unicameralism	2015/16	-	-	2015/16--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2016-02-24-prot-201516--69	i-5c4148c72c223ac9-72	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 69	2016-02-24	Unicameralism	2015/16	-	-	2015/16--69	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q4959972	Kronlid, Julia	F	-	
ParlaMint-SE-en_2016-02-24-prot-201516--69	i-5c4148c72c223ac9-74	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 69	2016-02-24	Unicameralism	2015/16	-	-	2015/16--69	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2016-02-24-prot-201516--69	i-5c4148c72c223ac9-76	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 69	2016-02-24	Unicameralism	2015/16	-	-	2015/16--69	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q4964100	Lundgren, Kerstin	F	-	
