Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-0	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-A94w8mYo8Uwrcc5Gz8TN3c	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4755577	Norlén, Andreas	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-29	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5707578	Ekström, Hans	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-33	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5901848	Karlsson, Mattias	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-38	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5571416	Berg, Ulf	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-56	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5740653	Fransson, Josef	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-73	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q4962331	Lindahl, Helena	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-AhgUSgQYFRrPNCDkJCncvo	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243576	Lahti, Birger	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-110	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q18335061	Weimer, Maria	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-121	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4951444	Gunther, Penilla	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-130	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q19977330	Westerén, Hanna	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-147	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5571416	Berg, Ulf	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-150	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q19977330	Westerén, Hanna	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-152	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5571416	Berg, Ulf	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-154	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q19977330	Westerén, Hanna	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-155	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243576	Lahti, Birger	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-156	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q19977330	Westerén, Hanna	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-157	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243576	Lahti, Birger	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-159	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q19977330	Westerén, Hanna	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-161	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q4962331	Lindahl, Helena	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-168	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q19977330	Westerén, Hanna	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-170	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q4962331	Lindahl, Helena	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-174	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q19977330	Westerén, Hanna	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-177	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4962191	Lillemets, Annika	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-194	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5571416	Berg, Ulf	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-196	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4962191	Lillemets, Annika	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-200	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5571416	Berg, Ulf	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-201	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4962191	Lillemets, Annika	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-202	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q4962331	Lindahl, Helena	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-203	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4962191	Lillemets, Annika	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-204	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q4962331	Lindahl, Helena	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-206	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4962191	Lillemets, Annika	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-207	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202413	Sätherberg, Anna-Caren	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-219	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5571416	Berg, Ulf	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-221	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202413	Sätherberg, Anna-Caren	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-224	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5571416	Berg, Ulf	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-228	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202413	Sätherberg, Anna-Caren	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-231	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255956	Åsling, Per	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-235	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243576	Lahti, Birger	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-238	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255956	Åsling, Per	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-242	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243576	Lahti, Birger	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-244	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255956	Åsling, Per	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-248	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-274	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5740653	Fransson, Josef	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-304	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-307	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5740653	Fransson, Josef	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-309	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-312	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5740653	Fransson, Josef	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-VT79pE2Jb7UvvGvbNTjqpD	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q25935880	Helander, Peter	M	-	
ParlaMint-SE-en_2016-04-20-prot-201516--95	i-cba7ca4a1fd5012d-336	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 95	2016-04-20	Unicameralism	2015/16	-	-	2015/16--95	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18246258	Svenneling, Håkan	M	-	
