Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-3	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-6	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18202362	Stenergard, Maria Malmer	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-17	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-28	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18202362	Stenergard, Maria Malmer	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-39	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-43	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18202362	Stenergard, Maria Malmer	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-46	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-50	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-56	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-66	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18202362	Stenergard, Maria Malmer	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-73	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-78	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-81	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18202362	Stenergard, Maria Malmer	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-85	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2016-09-23-prot-201617--8	i-66e2d4a7aa979c79-89	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 8	2016-09-23	Unicameralism	2016/17	-	-	2016/17--8	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
