Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-4	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-10	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6198899	Svensson, Michael	M	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-19	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-24	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6198899	Svensson, Michael	M	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-29	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-36	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6198899	Svensson, Michael	M	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-40	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-44	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-Wwdj8HayexFJfzTpFojdA5	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-60	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-68	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-76	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-83	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2016-10-14-prot-201617--15	i-f975ccf43fa835d5-90	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 15	2016-10-14	Unicameralism	2016/17	-	-	2016/17--15	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
