Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-06-10-prot-201516--117	i-ef6eb3a62bc97ab9-2	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 117	2016-06-10	Unicameralism	2015/16	-	-	2015/16--117	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2016-06-10-prot-201516--117	i-ef6eb3a62bc97ab9-7	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 117	2016-06-10	Unicameralism	2015/16	-	-	2015/16--117	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6169540	Schulte, Fredrik	M	-	
ParlaMint-SE-en_2016-06-10-prot-201516--117	i-3xYhNR9dpp8y6jSLjmodCV	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 117	2016-06-10	Unicameralism	2015/16	-	-	2015/16--117	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2016-06-10-prot-201516--117	i-PGEgfVk5MNpxuiWtUk9RN5	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 117	2016-06-10	Unicameralism	2015/16	-	-	2015/16--117	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4951444	Gunther, Penilla	F	-	
ParlaMint-SE-en_2016-06-10-prot-201516--117	i-ef6eb3a62bc97ab9-21	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 117	2016-06-10	Unicameralism	2015/16	-	-	2015/16--117	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2016-06-10-prot-201516--117	i-ef6eb3a62bc97ab9-31	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 117	2016-06-10	Unicameralism	2015/16	-	-	2015/16--117	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4951444	Gunther, Penilla	F	-	
ParlaMint-SE-en_2016-06-10-prot-201516--117	i-ef6eb3a62bc97ab9-40	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 117	2016-06-10	Unicameralism	2015/16	-	-	2015/16--117	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2016-06-10-prot-201516--117	i-ef6eb3a62bc97ab9-47	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 117	2016-06-10	Unicameralism	2015/16	-	-	2015/16--117	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4951444	Gunther, Penilla	F	-	
ParlaMint-SE-en_2016-06-10-prot-201516--117	i-ef6eb3a62bc97ab9-51	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 117	2016-06-10	Unicameralism	2015/16	-	-	2015/16--117	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2016-06-10-prot-201516--117	i-ef6eb3a62bc97ab9-55	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 117	2016-06-10	Unicameralism	2015/16	-	-	2015/16--117	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2016-06-10-prot-201516--117	i-ef6eb3a62bc97ab9-61	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 117	2016-06-10	Unicameralism	2015/16	-	-	2015/16--117	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4972634	Petersson, Jenny	F	-	
