Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-09-16-prot-201617--4	i-f8638303d5efc6e9-0	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 4	2016-09-16	Unicameralism	2016/17	-	-	2016/17--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2016-09-16-prot-201617--4	i-f8638303d5efc6e9-13	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 4	2016-09-16	Unicameralism	2016/17	-	-	2016/17--4	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2016-09-16-prot-201617--4	i-f8638303d5efc6e9-23	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 4	2016-09-16	Unicameralism	2016/17	-	-	2016/17--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2016-09-16-prot-201617--4	i-f8638303d5efc6e9-31	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 4	2016-09-16	Unicameralism	2016/17	-	-	2016/17--4	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2016-09-16-prot-201617--4	i-f8638303d5efc6e9-42	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 4	2016-09-16	Unicameralism	2016/17	-	-	2016/17--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2016-09-16-prot-201617--4	i-f8638303d5efc6e9-49	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 4	2016-09-16	Unicameralism	2016/17	-	-	2016/17--4	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2016-09-16-prot-201617--4	i-f8638303d5efc6e9-53	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 4	2016-09-16	Unicameralism	2016/17	-	-	2016/17--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2016-09-16-prot-201617--4	i-f8638303d5efc6e9-58	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 4	2016-09-16	Unicameralism	2016/17	-	-	2016/17--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2016-09-16-prot-201617--4	i-f8638303d5efc6e9-69	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 4	2016-09-16	Unicameralism	2016/17	-	-	2016/17--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2016-09-16-prot-201617--4	i-f8638303d5efc6e9-75	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 4	2016-09-16	Unicameralism	2016/17	-	-	2016/17--4	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5781437	Haddad, Roger	M	-	
ParlaMint-SE-en_2016-09-16-prot-201617--4	i-f8638303d5efc6e9-80	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 4	2016-09-16	Unicameralism	2016/17	-	-	2016/17--4	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
