Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-AT-en_1996-01-15-020-XX-NRSITZ-00001-meta.tsv,1996-01-15,8,4,0,0,0
ParlaMint-AT-en_1996-01-15-020-XX-NRSITZ-00002-meta.tsv,1996-01-15,2,0,0,0,0
ParlaMint-AT-en_1996-01-15-020-XX-NRSITZ-00003-meta.tsv,1996-01-15,1,0,0,0,0
ParlaMint-AT-en_1996-01-30-020-XX-NRSITZ-00004-meta.tsv,1996-01-30,19,8,1,0,0
ParlaMint-AT-en_1996-01-31-020-XX-NRSITZ-00005-meta.tsv,1996-01-31,16,25,1,0,0
ParlaMint-AT-en_1996-01-31-020-XX-NRSITZ-00006-meta.tsv,1996-01-31,1,0,0,0,0
ParlaMint-AT-en_1996-02-27-020-XX-NRSITZ-00007-meta.tsv,1996-02-27,16,14,0,0,0
ParlaMint-AT-en_1996-02-28-020-XX-NRSITZ-00008-meta.tsv,1996-02-28,26,41,0,0,0
ParlaMint-AT-en_1996-02-29-020-XX-NRSITZ-00009-meta.tsv,1996-02-29,1,0,0,0,0
ParlaMint-AT-en_1996-03-13-020-XX-NRSITZ-00010-meta.tsv,1996-03-13,25,24,1,0,0
ParlaMint-AT-en_1996-03-14-020-XX-NRSITZ-00011-meta.tsv,1996-03-14,32,23,1,0,0
ParlaMint-AT-en_1996-03-14-020-XX-NRSITZ-00012-meta.tsv,1996-03-14,2,0,0,0,0
ParlaMint-AT-en_1996-03-20-020-XX-NRSITZ-00013-meta.tsv,1996-03-20,28,37,2,0,0
ParlaMint-AT-en_1996-03-21-020-XX-NRSITZ-00014-meta.tsv,1996-03-21,24,36,1,0,0
ParlaMint-AT-en_1996-03-21-020-XX-NRSITZ-00015-meta.tsv,1996-03-21,1,0,0,0,0
ParlaMint-AT-en_1996-04-16-020-XX-NRSITZ-00016-meta.tsv,1996-04-16,60,90,3,0,0
ParlaMint-AT-en_1996-04-23-020-XX-NRSITZ-00017-meta.tsv,1996-04-23,59,80,2,0,0
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00018-meta.tsv,1996-04-26,1,0,0,0,0
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00019-meta.tsv,1996-04-26,2,0,0,0,0
ParlaMint-AT-en_1996-05-07-020-XX-NRSITZ-00020-meta.tsv,1996-05-07,29,35,1,0,0
ParlaMint-AT-en_1996-05-07-020-XX-NRSITZ-00021-meta.tsv,1996-05-07,1,0,0,0,0
ParlaMint-AT-en_1996-05-07-020-XX-NRSITZ-00022-meta.tsv,1996-05-07,1,0,0,0,0
ParlaMint-AT-en_1996-05-22-020-XX-NRSITZ-00023-meta.tsv,1996-05-22,42,44,1,0,0
ParlaMint-AT-en_1996-05-22-020-XX-NRSITZ-00024-meta.tsv,1996-05-22,1,0,0,0,0
ParlaMint-AT-en_1996-05-23-020-XX-NRSITZ-00025-meta.tsv,1996-05-23,37,47,1,0,0
ParlaMint-AT-en_1996-05-23-020-XX-NRSITZ-00026-meta.tsv,1996-05-23,1,0,0,0,0
ParlaMint-AT-en_1996-06-13-020-XX-NRSITZ-00027-meta.tsv,1996-06-13,32,31,0,0,0
ParlaMint-AT-en_1996-06-14-020-XX-NRSITZ-00028-meta.tsv,1996-06-14,1,0,0,0,0
ParlaMint-AT-en_1996-06-14-020-XX-NRSITZ-00029-meta.tsv,1996-06-14,1,0,0,0,0
ParlaMint-AT-en_1996-06-18-020-XX-NRSITZ-00030-meta.tsv,1996-06-18,13,16,0,0,0
ParlaMint-AT-en_1996-06-27-020-XX-NRSITZ-00031-meta.tsv,1996-06-27,36,46,1,0,0
ParlaMint-AT-en_1996-06-28-020-XX-NRSITZ-00032-meta.tsv,1996-06-28,27,44,2,0,0
ParlaMint-AT-en_1996-06-28-020-XX-NRSITZ-00033-meta.tsv,1996-06-28,1,0,0,0,0
ParlaMint-AT-en_1996-07-09-020-XX-NRSITZ-00034-meta.tsv,1996-07-09,24,35,1,0,0
ParlaMint-AT-en_1996-07-10-020-XX-NRSITZ-00035-meta.tsv,1996-07-10,42,53,0,0,0
ParlaMint-AT-en_1996-07-11-020-XX-NRSITZ-00036-meta.tsv,1996-07-11,47,58,1,0,0
ParlaMint-AT-en_1996-09-19-020-XX-NRSITZ-00037-meta.tsv,1996-09-19,30,32,0,0,0
ParlaMint-AT-en_1996-09-20-020-XX-NRSITZ-00038-meta.tsv,1996-09-20,30,49,1,0,0
ParlaMint-AT-en_1996-09-20-020-XX-NRSITZ-00039-meta.tsv,1996-09-20,1,0,0,0,0
ParlaMint-AT-en_1996-10-02-020-XX-NRSITZ-00040-meta.tsv,1996-10-02,41,32,1,0,0
ParlaMint-AT-en_1996-10-03-020-XX-NRSITZ-00041-meta.tsv,1996-10-03,30,41,0,0,0
ParlaMint-AT-en_1996-10-03-020-XX-NRSITZ-00042-meta.tsv,1996-10-03,1,0,0,0,0
ParlaMint-AT-en_1996-10-30-020-XX-NRSITZ-00043-meta.tsv,1996-10-30,30,50,2,0,0
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00044-meta.tsv,1996-10-31,29,41,1,0,0
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00045-meta.tsv,1996-10-31,1,0,0,0,0
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00046-meta.tsv,1996-10-31,1,0,0,0,0
ParlaMint-AT-en_1996-11-27-020-XX-NRSITZ-00047-meta.tsv,1996-11-27,29,41,0,0,0
