Session,Date,Male,Female
ParlaMint-AT-en_1996-01-15-020-XX-NRSITZ-00001-meta.tsv,1996-01-15,11,1
ParlaMint-AT-en_1996-01-15-020-XX-NRSITZ-00002-meta.tsv,1996-01-15,1,1
ParlaMint-AT-en_1996-01-15-020-XX-NRSITZ-00003-meta.tsv,1996-01-15,1,0
ParlaMint-AT-en_1996-01-30-020-XX-NRSITZ-00004-meta.tsv,1996-01-30,26,2
ParlaMint-AT-en_1996-01-31-020-XX-NRSITZ-00005-meta.tsv,1996-01-31,30,12
ParlaMint-AT-en_1996-01-31-020-XX-NRSITZ-00006-meta.tsv,1996-01-31,1,0
ParlaMint-AT-en_1996-02-27-020-XX-NRSITZ-00007-meta.tsv,1996-02-27,26,4
ParlaMint-AT-en_1996-02-28-020-XX-NRSITZ-00008-meta.tsv,1996-02-28,51,16
ParlaMint-AT-en_1996-02-29-020-XX-NRSITZ-00009-meta.tsv,1996-02-29,1,0
ParlaMint-AT-en_1996-03-13-020-XX-NRSITZ-00010-meta.tsv,1996-03-13,40,10
ParlaMint-AT-en_1996-03-14-020-XX-NRSITZ-00011-meta.tsv,1996-03-14,41,15
ParlaMint-AT-en_1996-03-14-020-XX-NRSITZ-00012-meta.tsv,1996-03-14,2,0
ParlaMint-AT-en_1996-03-20-020-XX-NRSITZ-00013-meta.tsv,1996-03-20,51,16
ParlaMint-AT-en_1996-03-21-020-XX-NRSITZ-00014-meta.tsv,1996-03-21,45,16
ParlaMint-AT-en_1996-03-21-020-XX-NRSITZ-00015-meta.tsv,1996-03-21,1,0
ParlaMint-AT-en_1996-04-16-020-XX-NRSITZ-00016-meta.tsv,1996-04-16,114,39
ParlaMint-AT-en_1996-04-23-020-XX-NRSITZ-00017-meta.tsv,1996-04-23,105,36
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00018-meta.tsv,1996-04-26,1,0
ParlaMint-AT-en_1996-04-26-020-XX-NRSITZ-00019-meta.tsv,1996-04-26,1,1
ParlaMint-AT-en_1996-05-07-020-XX-NRSITZ-00020-meta.tsv,1996-05-07,46,19
ParlaMint-AT-en_1996-05-07-020-XX-NRSITZ-00021-meta.tsv,1996-05-07,1,0
ParlaMint-AT-en_1996-05-07-020-XX-NRSITZ-00022-meta.tsv,1996-05-07,1,0
ParlaMint-AT-en_1996-05-22-020-XX-NRSITZ-00023-meta.tsv,1996-05-22,74,13
ParlaMint-AT-en_1996-05-22-020-XX-NRSITZ-00024-meta.tsv,1996-05-22,1,0
ParlaMint-AT-en_1996-05-23-020-XX-NRSITZ-00025-meta.tsv,1996-05-23,66,19
ParlaMint-AT-en_1996-05-23-020-XX-NRSITZ-00026-meta.tsv,1996-05-23,1,0
ParlaMint-AT-en_1996-06-13-020-XX-NRSITZ-00027-meta.tsv,1996-06-13,46,17
ParlaMint-AT-en_1996-06-14-020-XX-NRSITZ-00028-meta.tsv,1996-06-14,1,0
ParlaMint-AT-en_1996-06-14-020-XX-NRSITZ-00029-meta.tsv,1996-06-14,1,0
ParlaMint-AT-en_1996-06-18-020-XX-NRSITZ-00030-meta.tsv,1996-06-18,22,7
ParlaMint-AT-en_1996-06-27-020-XX-NRSITZ-00031-meta.tsv,1996-06-27,61,22
ParlaMint-AT-en_1996-06-28-020-XX-NRSITZ-00032-meta.tsv,1996-06-28,58,15
ParlaMint-AT-en_1996-06-28-020-XX-NRSITZ-00033-meta.tsv,1996-06-28,1,0
ParlaMint-AT-en_1996-07-09-020-XX-NRSITZ-00034-meta.tsv,1996-07-09,45,15
ParlaMint-AT-en_1996-07-10-020-XX-NRSITZ-00035-meta.tsv,1996-07-10,68,27
ParlaMint-AT-en_1996-07-11-020-XX-NRSITZ-00036-meta.tsv,1996-07-11,89,17
ParlaMint-AT-en_1996-09-19-020-XX-NRSITZ-00037-meta.tsv,1996-09-19,45,17
ParlaMint-AT-en_1996-09-20-020-XX-NRSITZ-00038-meta.tsv,1996-09-20,54,26
ParlaMint-AT-en_1996-09-20-020-XX-NRSITZ-00039-meta.tsv,1996-09-20,1,0
ParlaMint-AT-en_1996-10-02-020-XX-NRSITZ-00040-meta.tsv,1996-10-02,57,17
ParlaMint-AT-en_1996-10-03-020-XX-NRSITZ-00041-meta.tsv,1996-10-03,57,14
ParlaMint-AT-en_1996-10-03-020-XX-NRSITZ-00042-meta.tsv,1996-10-03,1,0
ParlaMint-AT-en_1996-10-30-020-XX-NRSITZ-00043-meta.tsv,1996-10-30,59,23
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00044-meta.tsv,1996-10-31,52,19
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00045-meta.tsv,1996-10-31,1,0
ParlaMint-AT-en_1996-10-31-020-XX-NRSITZ-00046-meta.tsv,1996-10-31,1,0
ParlaMint-AT-en_1996-11-27-020-XX-NRSITZ-00047-meta.tsv,1996-11-27,48,22
ParlaMint-AT-en_1996-11-28-020-XX-NRSITZ-00048-meta.tsv,1996-11-28,57,29
ParlaMint-AT-en_1996-11-29-020-XX-NRSITZ-00049-meta.tsv,1996-11-29,55,23
ParlaMint-AT-en_1996-11-29-020-XX-NRSITZ-00050-meta.tsv,1996-11-29,1,0
ParlaMint-AT-en_1996-12-11-020-XX-NRSITZ-00051-meta.tsv,1996-12-11,59,19
ParlaMint-AT-en_1996-12-12-020-XX-NRSITZ-00052-meta.tsv,1996-12-12,79,22
ParlaMint-AT-en_1996-12-13-020-XX-NRSITZ-00053-meta.tsv,1996-12-13,71,27
ParlaMint-AT-en_1996-12-13-020-XX-NRSITZ-00054-meta.tsv,1996-12-13,1,0
ParlaMint-AT-en_1997-01-14-020-XX-NRSITZ-00055-meta.tsv,1997-01-14,35,3
ParlaMint-AT-en_1997-01-14-020-XX-NRSITZ-00056-meta.tsv,1997-01-14,1,0
ParlaMint-AT-en_1997-01-22-020-XX-NRSITZ-00057-meta.tsv,1997-01-22,68,20
ParlaMint-AT-en_1997-01-23-020-XX-NRSITZ-00058-meta.tsv,1997-01-23,59,34
ParlaMint-AT-en_1997-01-23-020-XX-NRSITZ-00059-meta.tsv,1997-01-23,1,0
ParlaMint-AT-en_1997-01-29-020-XX-NRSITZ-00060-meta.tsv,1997-01-29,41,16
ParlaMint-AT-en_1997-01-29-020-XX-NRSITZ-00061-meta.tsv,1997-01-29,1,0
ParlaMint-AT-en_1997-02-18-020-XX-NRSITZ-00062-meta.tsv,1997-02-18,34,11
ParlaMint-AT-en_1997-02-26-020-XX-NRSITZ-00063-meta.tsv,1997-02-26,52,14
ParlaMint-AT-en_1997-02-27-020-XX-NRSITZ-00064-meta.tsv,1997-02-27,72,14
ParlaMint-AT-en_1997-02-27-020-XX-NRSITZ-00065-meta.tsv,1997-02-27,1,0
ParlaMint-AT-en_1997-03-19-020-XX-NRSITZ-00066-meta.tsv,1997-03-19,66,25
ParlaMint-AT-en_1997-03-20-020-XX-NRSITZ-00067-meta.tsv,1997-03-20,56,16
ParlaMint-AT-en_1997-03-20-020-XX-NRSITZ-00068-meta.tsv,1997-03-20,1,0
ParlaMint-AT-en_1997-04-10-020-XX-NRSITZ-00069-meta.tsv,1997-04-10,13,16
ParlaMint-AT-en_1997-04-16-020-XX-NRSITZ-00070-meta.tsv,1997-04-16,52,14
ParlaMint-AT-en_1997-04-17-020-XX-NRSITZ-00071-meta.tsv,1997-04-17,52,13
ParlaMint-AT-en_1997-05-06-020-XX-NRSITZ-00072-meta.tsv,1997-05-06,21,8
ParlaMint-AT-en_1997-05-06-020-XX-NRSITZ-00073-meta.tsv,1997-05-06,1,0
ParlaMint-AT-en_1997-05-14-020-XX-NRSITZ-00074-meta.tsv,1997-05-14,56,17
ParlaMint-AT-en_1997-05-15-020-XX-NRSITZ-00075-meta.tsv,1997-05-15,53,17
ParlaMint-AT-en_1997-06-05-020-XX-NRSITZ-00076-meta.tsv,1997-06-05,34,5
ParlaMint-AT-en_1997-06-11-020-XX-NRSITZ-00077-meta.tsv,1997-06-11,82,26
ParlaMint-AT-en_1997-06-12-020-XX-NRSITZ-00078-meta.tsv,1997-06-12,57,18
ParlaMint-AT-en_1997-06-12-020-XX-NRSITZ-00079-meta.tsv,1997-06-12,1,0
ParlaMint-AT-en_1997-07-08-020-XX-NRSITZ-00080-meta.tsv,1997-07-08,57,13
ParlaMint-AT-en_1997-07-09-020-XX-NRSITZ-00081-meta.tsv,1997-07-09,73,29
ParlaMint-AT-en_1997-07-10-020-XX-NRSITZ-00082-meta.tsv,1997-07-10,69,33
ParlaMint-AT-en_1997-07-11-020-XX-NRSITZ-00083-meta.tsv,1997-07-11,56,27
ParlaMint-AT-en_1997-09-18-020-XX-NRSITZ-00084-meta.tsv,1997-09-18,60,17
ParlaMint-AT-en_1997-09-19-020-XX-NRSITZ-00085-meta.tsv,1997-09-19,55,21
ParlaMint-AT-en_1997-09-19-020-XX-NRSITZ-00086-meta.tsv,1997-09-19,1,0
ParlaMint-AT-en_1997-10-02-020-XX-NRSITZ-00087-meta.tsv,1997-10-02,18,6
ParlaMint-AT-en_1997-10-08-020-XX-NRSITZ-00088-meta.tsv,1997-10-08,47,16
ParlaMint-AT-en_1997-10-09-020-XX-NRSITZ-00089-meta.tsv,1997-10-09,44,11
ParlaMint-AT-en_1997-10-10-020-XX-NRSITZ-00090-meta.tsv,1997-10-10,54,9
ParlaMint-AT-en_1997-10-10-020-XX-NRSITZ-00091-meta.tsv,1997-10-10,1,0
ParlaMint-AT-en_1997-10-10-020-XX-NRSITZ-00092-meta.tsv,1997-10-10,1,0
ParlaMint-AT-en_1997-11-05-020-XX-NRSITZ-00093-meta.tsv,1997-11-05,33,17
ParlaMint-AT-en_1997-11-06-020-XX-NRSITZ-00094-meta.tsv,1997-11-06,55,21
ParlaMint-AT-en_1997-11-07-020-XX-NRSITZ-00095-meta.tsv,1997-11-07,56,19
ParlaMint-AT-en_1997-11-11-020-XX-NRSITZ-00096-meta.tsv,1997-11-11,36,23
ParlaMint-AT-en_1997-11-12-020-XX-NRSITZ-00097-meta.tsv,1997-11-12,68,14
ParlaMint-AT-en_1997-11-13-020-XX-NRSITZ-00098-meta.tsv,1997-11-13,67,20
ParlaMint-AT-en_1997-11-14-020-XX-NRSITZ-00099-meta.tsv,1997-11-14,56,24
ParlaMint-AT-en_1997-11-14-020-XX-NRSITZ-00100-meta.tsv,1997-11-14,1,0
ParlaMint-AT-en_1997-11-19-020-XX-NRSITZ-00101-meta.tsv,1997-11-19,22,2
ParlaMint-AT-en_1997-12-10-020-XX-NRSITZ-00102-meta.tsv,1997-12-10,41,22
ParlaMint-AT-en_1997-12-10-020-XX-NRSITZ-00103-meta.tsv,1997-12-10,1,0
ParlaMint-AT-en_1997-12-11-020-XX-NRSITZ-00104-meta.tsv,1997-12-11,54,24
ParlaMint-AT-en_1997-12-12-020-XX-NRSITZ-00105-meta.tsv,1997-12-12,76,26
ParlaMint-AT-en_1998-01-21-020-XX-NRSITZ-00106-meta.tsv,1998-01-21,66,26
ParlaMint-AT-en_1998-01-22-020-XX-NRSITZ-00107-meta.tsv,1998-01-22,69,32
ParlaMint-AT-en_1998-01-22-020-XX-NRSITZ-00108-meta.tsv,1998-01-22,1,0
ParlaMint-AT-en_1998-02-25-020-XX-NRSITZ-00109-meta.tsv,1998-02-25,61,21
