Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817100005	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817100129	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817100206	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Regular	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	HækkerupNick	Hækkerup, Nick	M	1968	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817100420	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817100436	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Regular	MP	notMinister	DF	Dansk Folkeparti	-	Right	KrarupMarie	Krarup, Marie	F	1965	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817100524	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817100535	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre-right	JensenMichaelAastrup	Jensen, Michael Aastrup	M	1976	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817100936	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817100942	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Regular	MP	notMinister	EL	Enhedslisten	Opposition	Left to far-left	VillumsenNikolaj	Villumsen, Nikolaj	M	1983	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817101247	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817101254	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Regular	MP	notMinister	LA	Liberal Alliance	-	Centre-right to right	EgelundChristina	Egelund, Christina	F	1977	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817101555	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817101602	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Regular	MP	notMinister	ALT	Alternativet	Opposition	Centre to centre-left	GadeRené	Gade, René	M	1982	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817101826	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817101838	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Regular	MP	notMinister	RV	Radikale Venstre	Opposition	Centre to centre-left	ØstergaardMorten	Østergaard, Morten	M	1976	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817102043	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2016-08-17-20151-M110	ParlaMint-DK_20160817102056	Hansard of the session of the Danish Parliament (Folketinget), 20151, M110 (2016-08-17), final version	2016-08-17	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M110	-	-	Reference	English	Regular	MP	notMinister	SF	Socialistisk Folkeparti	Opposition	Centre-left to left	NielsenHolgerK	Nielsen, Holger K.	M	1950	
