Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26693	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BosićMladen	Bosić, Mladen	M	1961	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26696	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26697	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BosićMladen	Bosić, Mladen	M	1961	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26698	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	MagazinovićSaša	Magazinović, Saša	M	1978	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26699	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BosićMladen	Bosić, Mladen	M	1961	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26700	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Regular	MP	notMinister	BPS	Bosanskohercegovačka patriotska stranka	Opposition	Centre-right	BackovićZaim	Backović, Zaim	M	1954	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26701	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BosićMladen	Bosić, Mladen	M	1961	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26702	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Regular	MP	notMinister	BPS	Bosanskohercegovačka patriotska stranka	Opposition	Centre-right	BackovićZaim	Backović, Zaim	M	1954	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26703	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BosićMladen	Bosić, Mladen	M	1961	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26704	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Regular	MP	notMinister	BPS	Bosanskohercegovačka patriotska stranka	Opposition	Centre-right	BackovićZaim	Backović, Zaim	M	1954	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26705	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BosićMladen	Bosić, Mladen	M	1961	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26706	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Regular	MP	notMinister	BPS	Bosanskohercegovačka patriotska stranka	Opposition	Centre-right	BackovićZaim	Backović, Zaim	M	1954	
ParlaMint-BA-en_2018-07-26-0	ParlaMint-BA_2018-07-26-0.u26707	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 10h	2018-07-26	Unicameralism	7. mandat	-	Sjednica 10h	2018-07-26	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BosićMladen	Bosić, Mladen	M	1961	
