ParlaMint-NL_2016-02-02-tweedekamer-27.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2016-02-02-tweedekamer-27.u2	Mr. Chairman. To be honest, there is a legislative proposal before us which is actually made up of two totally different things. On the one hand, it is a question of extending temporary leases and, on the other hand, introducing the rent-based approach, i.e. a new lease policy. I wonder why you would link two completely different subjects so closely. Why are temporary rental contracts linked to a change in the rent policy? In the Minister's reasoning, both the extension of temporary leases and the introduction of the rent-sum approach have to do with the flow in the rental sector. Of course, the Minister may think so, but this is more like tying. The VVD has brought in the flexibilisation of the rental contracts and the PvdA thought with the rent-sum approach to accommodate the tenants. The latter was also worked out by a minister of VVD-huis. The result is therefore double VVD policy. The SP Group has been pointing for years to the housing shortage, the waiting lists and the lack of affordable houses. On average, people have to wait eight years. Eight years! They are then eligible for a house with a high rental price. Passage seems to be the magic word of this cabinet, but three years after the beginning of the policy there is hardly any flow. Everything is aimed at letting people on high incomes flow through, but the policy is not working. Only 3% of those living crooked according to the Minister have actually moved. So 97% of the people haven't moved. At the same time there are much less affordable rentals. Instead, the rental prices have exploded and the housing corporations and therefore also the tenants pay blue to the extra tax demanded by the cabinet, namely the landlord tax. The EUR 1.7 billion landlord levy is at the expense of investment capacity. Several investigations have shown this, but the Minister denies it. He says that there is no link between the landlord levy and the decrease in investment, while the investigations really show something else.
ParlaMint-NL_2016-02-02-tweedekamer-27.u3	The SP card rightly addresses a problem, namely the waiting lists for social housing. However, the SP also knows that this is mainly due to the asylum seekers, there is a huge influx of refugees and the status holders who get such a social housing priority. They just go first, while Dutch people are on the waiting lists for years. Why does the SP want to hold onto that? Why does the SP want to keep the borders open and allow the Netherlands to Islamicize even further with all the problems and consequences of that? We're seeing the neighborhoods deteriorate again. We're seeing the waiting lists rise again. Yet the SP says: leave those boundaries open and come to the Netherlands!
ParlaMint-NL_2016-02-02-tweedekamer-27.u4	Last year there was an influx of asylum seekers and then an outflow of status holders from the azc's. Even if that outflow hadn't been there, you'd still have a seven to eight-year waiting list. The solution proposed by the PVV, namely the closing of borders, will not change the fact that those waiting lists remain. A better solution is to put the shoulders underneath and build, build and build. In this way you ensure that the Dutch who are also on the waiting list get a house, because they have been waiting for this for far too long.
ParlaMint-NL_2016-02-02-tweedekamer-27.u5	We agree on the building. However, you cannot say that you have to build, when you do not look at reality, namely that the Netherlands is filling up with non-Western immigrants again. They end up in disadvantaged areas with all the problems that this entails. Crime is on the rise. Unemployment is rising. It costs us a lot of social services. It's priceless. Why does the SP stick to the open border policy, when its constituents become unemployed, run out of homes and will be unable to pay the medical costs? Why does the SP keep doing this?
ParlaMint-NL_2016-02-02-tweedekamer-27.u6	The SP Group was not in favour of bombing Iraq. The SP Group was not in favour of bombing Libya. The PVV Group did vote for it. Then there are refugee flows that are also coming this way. The SP is in favour of catching people who really run from the war. However, the SP is not in favour of misrepresentation, which the PVV Group does. The moment you close the borders, the waiting lists do not disappear. If you really want to get rid of the waiting lists, you have to build. I do not hear from the PVV about this, but I do hear that the borders should be closed, after which the so-called waiting lists would disappear. Then I come to the next thing. Why doesn't the Minister say, if he really wants to stimulate the flow, that there should be more affordable housing? Why is he persistently sticking to the landlord's tax that hinders construction? Why should there be all kinds of measures that might improve the flow into a paper reality, but which do not change the real reality in which the tenants sit? The inflation-related rental policy has been abandoned by this cabinet. Tenants received an additional rent increase on top of inflation, for three years in a row and depending on income. This would deal with the so-called crooked living. The question is therefore right whether the Minister thinks that the policy has really worked after three years. Has the approach of skeptics led to more flow, after all, what was the aim of the policy? The NOS launched a study in November last year to show that the approach has failed. Tenants with a higher income do not flow through. 'Cause where are they gonna go? They have nowhere to go. At the same time, there are over 330,000 low-income tenants. They pay way too much for their home. What has this coalition been doing all these years for those people whose water is up to their necks? This minister often talks about support for his policy. However, a majority of aldermen in municipalities do not agree with the Minister's policy. Most aldermen argue that affordable rentals should be added. That must be the spearhead and not the approach to the crooked habitation. What's the Minister's reaction to all these aldermen? What does the Minister say to the housing corporations? Nearly three quarters of the 57 housing corporations questioned by the NOS indicate that the approach to skewing does not work. Corporates do have more income because of the rent increases, but they have to pay them again immediately for the landlord's tax. Moreover, the corporations also see more and more tenants in financial difficulties. They set all sails to prevent the expulsions of families. It is not just low-income households that are in trouble. It also applies to households with higher incomes. What does this cabinet do? The cabinet calls these people crooked. The cabinet puts these people away as profiteers and tries to chase them out of their homes. As it turns out, other policies are needed. We need other targets. In previous legislative proposals, the Minister did not want to set concrete targets. Is the Minister prepared to set specific targets for this bill? How is this bill measured if it works? What can we charge the Minister for? Is the Minister prepared to unravel the various proposals? After all, a change in the rent policy is independent of temporary leases. Will the Minister make it two separate laws? I would like to have a reaction to this, because that makes it clearer for my group. The SP isn't negative about everything in the bill. We have seen that rents have increased by 28.8% in six years. We see possibilities to put a stop to that, but then the bill has to be split into two. I would therefore like to start with a positive point: the rent-sum approach. That's a complicated term. The rent sum approach means that the rental prices of all the properties of a landlord are taken in total and that a brake is put on the rent increase. That could mean those endless rent increases are finally gonna stop. You could even take the step to lower the rent for some groups of people. That's a good thing about the rent-to-pay approach. We support the principle of the rent-sum approach. Does the Minister also expect the rents to be reduced? What are the expectations? It is a good thing that the rent increases that new tenants receive, the so-called rental harmonisation, are included in the rental sum approach. That puts an extra brake on the huge rent increase when a resident moves. Also, the rent-based approach can reduce large differences in rental prices for exactly the same housing. The SP Group does not want this to go with excessive shocks. How's the secretary gonna prevent that? According to the SP Group, this rent-sum approach has been worked out in a way that is too complicated. The SP therefore makes four proposals to make the rent-sum approach even better. Our first question is why the total rent increase is focused on inflation plus 1%. The SP calls for the rent-to-pay approach to follow inflation. As far as we are concerned, there is no justification to increase the price of a particular product, in this case rent, more than the average price of all other products. Or does the Minister have any justification for increasing rents more than inflation? If so, which one? I have tabled an amendment or amendment to the legislative proposal on this matter. It is very important that rents are moderated. My proposal contributes to this.
ParlaMint-NL_2016-02-02-tweedekamer-27.u7	We had a debate before about a bill. In that, Mr Bashir said: I am waiting for the bill to be built, built, built. In my opinion, he sets out exactly the dilemma that everyone in this Chamber is struggling with. On the one hand, you don't want the rent increases to go too fast. On the other hand, you also want corporations to be able to build, build, build. Mr Bashir says that he wants those rent increases to go down and that the total rent will also be lower, but he started building, building, building his speech. How does he unite these two? Where does he think the corporations can get the investments to build, build, build?
ParlaMint-NL_2016-02-02-tweedekamer-27.u8	The rent has often included the reinvestment, especially recently. Over the last five years, rents have increased by 28.8%. The housing corporations are richer than ever, not all of them. I have been on the Parliamentary Committee of Inquiry into Housing Corporations myself, and I know that some housing corporations are not doing very well. According to the SP Group, the solution is to convert the landlord's tax into an investment obligation. Unfortunately, there is no majority for this, but we cannot justify it to the tenants to increase a particular product, in this case the rent, more than the average of all other prices. Rents may also rise by an average of 1% above inflation in this legislative proposal. We don't think we can explain that.
ParlaMint-NL_2016-02-02-tweedekamer-27.u9	In my term, I will also come back to the increase in rents and whether there are concerns about them or not. Has Mr Bashir calculated exactly what his amendments on rent and individual rent increases for groups have an effect on investment or the production of new homes, precisely in order to eliminate those waiting lists? Can Mr Bashir indicate what his proposals will have to do to eliminate all those waiting lists, which he is also acting against?
ParlaMint-NL_2016-02-02-tweedekamer-27.u10	I find it very strange to say that the waiting lists should be dealt with and that this should only be paid by the tenants. We'll all pay the mortgage interest deduction. It is not the case that only the buyers pay the tax, but there are general funds flowing there. It's very strange to maintain the landlord's tax if you want housing corporations to start building. Let us ensure that this landlord's tax can be converted into an investment obligation, because then housing corporations will build. In practical terms, this amendment means that, on average, rents should not increase more than with inflation. Given that they have increased by 28.8% in recent times, it is in fact not justified that they should continue to rise. In this proposal they will continue to rise, but now only with inflation. That's all you can actually ask from the tenants. Moreover, if you really want investment to be made, turn that landlord's tax into an investment obligation. Then I come to the second proposal. It is also very strange that some rent increases do not fall within the rental sum approach. Municipalities, housing corporations and tenants can make agreements on income-dependent rent increases that do not fall within the rental sum approach. The SP Group believes that any income-dependent rent increase should fall within the rental sum approach. I have just argued that it has been shown that the income-dependent rent increase does not really help to get the flow going. My amendment makes it possible for municipalities, tenants and corporations to retain an income-dependent component in the performance arrangements, but it should fall within the rent-based approach. Then I come to my third proposal which contributes to the moderation of rents. The low incomes and middle incomes have had to cope with substantial rent increases for years at a time. Rent increases within the rental sum approach, i.e. for individual households, should also be reduced. Therefore, the income limits of the three-year income test should be improved. The Minister's borders are too low. Households with an income above €39.000 can already face a rent increase of 4%, plus inflation. At the moment, this means that you can get a rent increase of around 5%. For example, I am talking about a cashier and a teacher who together earns €40,000, but also about a journalist and a police officer, or two part-timers. As far as I'm concerned, those aren't people you can call profiteers. The SP believes that the rent increase for more households should be moderated. Raise the limit of €39,000 to €65,000. There are approximately 165,000 households with an income above €65,000. If the minister really wants to flow, then he should focus on this group. Don't give all the other groups huge rent increases. With this proposal you avoid that around 350 000 households are faced with rent increases of up to 5%. The question is also why the Minister focuses on hard-working families with an income of €40,000. Why should they be driven out of their neighborhoods and their homes? Why do they need these huge rent increases? Isn't it good for living in their neighborhoods when they're mixed? It's also the question of where to take these people when they have to leave. There are no alternatives at all. Now they have nowhere to go. There are other ways to do that, and it could be more honest. My last proposal is about private landlords. Why does the Minister leave the private landlords out of this law? Why are tenants in the free sector declared outlaw? The SP wants homes of private landlords and corporation housing with liberalised rental contracts to be included in the rental sum approach. It is unfair not to impose on private landlords the same restrictions in the rent increase as social landlords. The dome of housing corporations, Aedes, and the Houses Association have made an important agreement to arrive at rent moderation. That's the social rental agreement. The cabinet, as well as the minister, say that they accept this agreement, but actually nothing less is true. There are three main points on which the Minister deviates from the lease agreement. First of all, there is the fact that private landlords are not covered by this bill, which further differentiates the differences between commercial and regulated tenants. The landlord charge does not disappear, while that is also an agreement made by the parties. And finally, where has the truffle that is in the social rental agreement gone? This is because if a house is already at 80% of the maximum price, the rent increase can only go with inflation. In addition, it should be possible to build in local bars. Why doesn't the Minister take over these proposals? Of the year 2016, the Minister wants to make a transition year. The current income-dependent rent increases will then remain possible for the fourth year in a row. Why doesn't the Minister choose a less bureaucratic solution? The SP Group wants the rent increases to follow only inflation in the July rent increases this year. Landlords don't have to request income data at the tax, and this gives them breath. What does the Minister think of this? I am considering tabling a motion on this point. Let me start with a positive point on the subject of temporary contracts. After all, we understand that, in exceptional cases, tenants only want to live somewhere for a short time. There are opportunities for this now. We think it is a good step that these possibilities should be extended to include temporary rental contracts for properties for sale. Homeowners can earn back some of their double living expenses. The street also does not benefit from empty spaces and so it is also nice for the neighborhood if someone lives in a house. It is logical that such a housing solution cannot be a fixed contract. I also see opportunities to give status holders, for example, temporary accommodation in this way. In Limburg there is a need for this. Can the Minister comment on this? Is he going to ensure that landlords do not have to pay a landlord's tax on these properties? How is it encouraged that residential properties are not left empty for too long while certain groups require quick housing? That could also be a divorced man who had to leave his house. I would like to have an explanation of this. As I said in the debate on Mrs Schouten's initiative law, which should enable temporary youth contracts, my group considers the large expansion proposed by the cabinet to be disproportionate. We do not see any need to undermine the rights of tenants. As far as we are concerned, there are sufficient opportunities to offer temporary leases. Think of the campus contract for students or temporary residence because a property is demolished. Contracts for an indefinite period of time shall be and shall remain the standard. A proliferation of temporary contracts runs counter to that principle. I would like a response from the Minister. In answering our written questions, the Minister states that he does not wish to set a ceiling on the number of temporary contracts a landlord may enter into. So a landlord gets to do whatever he wants and the tenant has to swallow it. There may be situations where tenants go from temporary contract to temporary contract. Are we gonna go from job-hopping to rental hopping now? As I said before, I wonder where it ends. Are we going from flex work to flex hire to flex kids, with all the uncertainties of that? How can the Minister maintain that fixed contracts are the norm if he does not put the landlords in the way when he wants to increase uncertainty for the tenants? There may be landlords or even house milkers who do not offer permanent contracts at all, but only temporary contracts. The SP Group asks the Minister to limit the number of temporary leases that a landlord may enter into to, for example, 10%. Is he willing to do that? I'd like to get a response. How can the Minister guarantee that the quality of life in a neighbourhood will not be under pressure from temporary or one-year contracts? Temporary tenants have much less connection with their neighbors and the surroundings. Temporary contracts therefore run counter to the idea of integration and the prevention of division. Especially now that there are more refugees with a residence permit at this time, it is important that these people settle in. Uncertainty and a temporary contract do not help, especially if there are children in the family who are in a school nearby. I would like to receive a response from the Minister. There's been a hard fight for tenant rights and rent protection. There has been a lot of debate about this in this House. In 1947, a new Civil Code was introduced, but it was not until 1979 that the rental protection was included in that Civil Code. Only after a revision in 1992 did the rental right become integral in the Civil Code, but then only on a temporary basis. It took until 2003 to complete the modernisation process. Is it now, only thirteen years later, time to break down the acquired rights? I don't think so. I would like to hear from the Minister how his bill relates to this valuable history. I'd like a response. There are tenants in this country who have no rights at all. They are therefore not seen as tenants, but as loaners. I'm talking about anti-crackers. SP-Kamer member Karabulut has advocated that this lawless living should be made impossible. The minister didn't want this at the time, because he didn't want any extra demands or a third form of rent. But how does that relate to the five measures that the cabinet is going to take? How can the Minister justify that he does nothing to stop living in an unrighteous way and does not want additional forms of hire, but at the same time wants to enable five new forms of hire? That's a little weird and inconsistent, isn't it? It's kind of like selective shopping, like hanging your head off to landlords and leaving your tenants in the cold. Now that the Minister turns out to be such a fan of temporary leases, does he ensure that anti-cracking contracts are converted into temporary leases? That would make sense to me. I would like to receive a response from the Minister. Apart from ignoring anti-cracking problems, the one-year contracts are the main concern for the SP fraction. After a one-year lease, such a lease cannot be concluded for another year. This should be a fixed contract, but the rent may be increased. That's really weird. Isn't there something the Minister can do to change that? For exactly the same house, you suddenly pay more, while a tenant will handle the house more neatly and responsibly, because he lives longer in it. A home is no longer a roof over his head but a home. It is therefore illogical and unnecessary to punish that with a higher rent. After all, a landlord also gets more security. Is the Minister prepared to do something about this? I'd like to get a reaction to this. In what way was a tenant helped with such a one-year contract? For example, if a tenant wishes to move into another home after eight months, he may not cancel the contract and must serve his time as it were. A landlord, on the other hand, has the right to terminate the contract and expel the tenant after a year. That doesn't seem entirely fair to me. What additional rights is the Minister prepared to give a tenant if he agrees to a one-year contract? Is he willing to shorten the notice period for the tenant? What guarantees does a tenant have on another property when the temporary contract expires? Is the Minister prepared to guarantee that no one will be on the street? I would like to have an explanation of this. On this point, I am curious about the PvdA Group's position on temporary contracts. The PvdA Group's tenants' working group is very clear about this, namely that the current rent protection must be maintained. That is the thrust of the motion adopted at the last Congress of the PvdA. Will the PvdA Group listen to its members or will it agree to the erosion of tenant rights? This bill is based on the idea of promoting flow. In reality, middle incomes are being further squeezed and many are getting into financial difficulties. The SP Group would have made a different choice. She would stop the landlord's tax and the huge rent increases. There's a shortage of homes, we have huge waiting lists and we happen to have a minister for Living. Why doesn't he go to work to build houses? Let him take care of the waiting lists. You don't do that by squeezing tenants financially, but by building houses. So work to be done, Minister.
ParlaMint-NL_2016-02-02-tweedekamer-27.u11	I waited until Mr Bashir had finished his speech before I asked him a question of principle. This question goes back to the beginning of his speech. I heard him say a number of times that crooked people are actually being thrown away as profiteers and that we should not undermine rental rights, but does Mr Bashir think it is fair that someone with €45,000 gross per year lives in a social rental house and pays €500 per month rent, while someone with €20,000 gross per year is on a waiting list for a social rental house and therefore has to wait for that cottage of €500 for the one with €45,000?
