ParlaMint-NL_2016-06-01-tweedekamer-3.u1	I give the floor to the first speaker, Mr Van Meenen.
ParlaMint-NL_2016-06-01-tweedekamer-3.u2	Mr. Chairman. It is a pleasure to serve among you; truly such a cozy educational atmosphere. We're gonna keep it in all day; friends to each other. In order to get the vote right, I will table a motion aimed at reducing the number of lecturers' hours. I have often tabled such a motion, but I am delighted to be able to do so on behalf of Mrs Ypma of the Labour Party. The motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is of great importance for the development of educational renewal that teachers in primary and secondary education have sufficient time to shape this at a high level;]] [[calls for a maximum number of teaching hours of twenty per full-time teacher for secondary education and eight days for a full-time teacher in primary education;]] [[calls on the Government, in consultation with the educational field, to draw up proposals for this purpose, including financial implications and consequences for pupils, giving teachers time and space to improve, broaden, deepen and shape education renewal,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Meenen and Ypma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31293-315]]
ParlaMint-NL_2016-06-01-tweedekamer-3.u3	Now that this motion is part of the deliberations, I would like to put a question to Mr Van Meenen. Are we, as a Chamber, going to talk about the number of hours teachers teach, or are we going to talk about the number of hours that students learn?
ParlaMint-NL_2016-06-01-tweedekamer-3.u4	Mr Rog, of course, knows the answer: we are talking about the number of hours that pupils receive. That should therefore be involved in the discussions.
ParlaMint-NL_2016-06-01-tweedekamer-3.u5	I understand that the motion is based on the number of hours teachers teach. I think it's a bit of a weird motion. Mr Van Meenen finds something about teachers, rather than students. Then he says, "Well, Secretary of State, why don't you go and figure out how much it costs?" Does Mr Van Meenen realize that reducing the task of teaching by 20%, unbiased, perhaps amounts to EUR 1.5 billion to EUR 2 billion, and that it would actually be nice to come up with cover on your own, rather than sending the Secretary of State on the road with this?
ParlaMint-NL_2016-06-01-tweedekamer-3.u6	I have tabled this motion before, and it has been discussed before. I am not at all certain that the number of teaching hours for students in the Netherlands should remain the same. I think we have said it many times before, and I think we should look much more closely at the size of the student. So the question is whether this very high number of lessons students all receive in the Netherlands is necessary if necessary. That's why I want that conversation so bad. For me, this is not meant to be accompanied by a lot of extra money. What if it is? Fine, then we have to look at that and then it will be evident from the talks that the Secretary of State is having, but that is not my intention in the first place.
ParlaMint-NL_2016-06-01-tweedekamer-3.u7	You will continue your speech.
ParlaMint-NL_2016-06-01-tweedekamer-3.u8	The second motion concerns the Education Cooperation, which now has an important role to play in the follow-up process for the new curriculum. It is very important that the Education Cooperation be recognised as the profession of teachers, hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas teachers should be involved in policy development and that a well-organised professional group can strengthen this process;]] [[Whereas the Education Co-operation has an important role to play in the teacher register and the development of Education2032;]] [[calls on the Government to actively promote the teaching cooperative to be the representative body for the profession of teachers, administered by teachers,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Meenen and Mr Straus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31293-316]]
ParlaMint-NL_2016-06-01-tweedekamer-3.u9	Mr. Chairman. I have one very brief motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considers that all teachers in the po and vo should have the opportunity to think along on Education2032;]] [[calls on the Government, in cooperation with the School Boards, to create an adequate facility allowing teachers to free hours to actively participate in the further process of curriculum development,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Grashoff. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31293-317]]
ParlaMint-NL_2016-06-01-tweedekamer-3.u10	Mr. Chairman. After the general consultation on Education2032, it is much clearer to me how the process will proceed. It will not be an education reform from above by the Ministry or centres of expertise; from below it is now being considered whether and what a renewal of the curriculum will look like. Teachers are closely involved in this. We do not go to broad to cross-domain courses and teachers. I would like to thank the Secretary of State for his commitment to review the process at every step against the framework of the Dijsselbloem Commission and the Education Council. Vocational education and practical skills will become a full part of Education2032 in line with my previous motion. More attention will be paid to the golden hands in the foundation education. I thank the Secretary of State for his commitment to involve important parties such as employers, the platforms vmbo and TechniekTalent.now. I'd like to stay informed about the progress. I therefore have no motions.
ParlaMint-NL_2016-06-01-tweedekamer-3.u11	Mr. Chairman. You hear it: D66 and other parties immediately take the opportunity to bring in their own stickhorses. That is the political deal that is being made here and now. D66 and all the other parties that are now negotiating with the Secretary of State on details simply agree to the system change that Education2032 is. D66 gets some glass beads thrown over a lesson more or less or some more participation, but hoppa, with that Education2032 is a fact. I give all parties another chance, because otherwise we will not get out and Education2032 will indeed be deployed and we will not get out until 2032. I do not want to do that to education, because it is a major change in the system. I shall therefore table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas all parties who have not initially opted for the cessation of Education2032 have thereby committed themselves to this education renewal;]] [[Considers that these parties deserve a second chance to halt the Education project2032;]] [[Whereas the rejection of this motion will have the effect of bringing about this renewal of education, albeit occasionally with an amendment which will have little or no effect on the underlying system change;]] [[calls on the government to stop the pathway Education2032,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beertema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31293-318]]
ParlaMint-NL_2016-06-01-tweedekamer-3.u12	I don't know exactly how the motion started. It began with the wording "with all parties who have not initially distanced themselves" or something like that. In any case, D66 does not feel touched by that, because unlike the image that Mr Beertema is constantly trying to present, D66 has not committed to Education2032 at all. I have always said that it is an interesting starting point for a debate. I also said that I believe that the debate should now be continued by teachers. We're all gonna wait and see. We'll see what comes out of that. For that reason alone, therefore, I would like to vote against Mr Beertema's motion. I don't understand what his purpose is. Does Mr Beertema agree that the debate on the content of education should be conducted? Or is he saying that this content remains the same for hundreds of years and that we should never talk about it, no matter what happens in society?
ParlaMint-NL_2016-06-01-tweedekamer-3.u13	I think Mr Van Meenen understands very well what I mean. He's from the educational world. He knows how politics works and how a big project can be deployed in a very sneaky way. After two more debates, the Secretary of State says: "Yes, Mr Van Meenen, the train is driving. What you're talking about are all over stations. We have long been working on Education2032 at OCW and at all domes; everywhere it is already ready. And now you've come up with something completely different. I promised you a little more participation. We're going to take a critical look at the number of classes that have to do with it. The Education Co-operation has been established." Mr Van Meenen, you have simply committed yourself. You just have to face that. You are jointly responsible for Education2032. Be a man and wear it, but take responsibility for it. I just heard you're going to vote against my motion. This makes you fully committed to Education2032.
ParlaMint-NL_2016-06-01-tweedekamer-3.u14	I am going to vote against the motion because otherwise I would confirm the image that Mr Beertema is trying to put down. Of course I'm not. Indeed, we have both worked in education and know how it works with educational renewals. They're all in the cemetery. That's because they've never gotten out of education themselves, since they've always stayed The Hague. That has exactly been my commitment to this process. So we should not let that happen again. That is why I came to The Hague, and probably Mr Beertema too. So we're not gonna let that happen.
ParlaMint-NL_2016-06-01-tweedekamer-3.u15	Mr Van Meenen will let it happen. Let me remind him of our tough fight against competence-driven education. In the end, the word "competence-driven" has been removed from the law, but competence-driven education is still being given everywhere in the MBO and HBO. It's just not called that anymore. That's how it works, I'll give Mr. Van Meenen. He's responsible for Education2032 if he doesn't take the opportunity to call it off right now.
ParlaMint-NL_2016-06-01-tweedekamer-3.u16	Mr. Chairman. The CDA had a lot of criticism of the mold that Education2032 imposed, with the emphasis on new learning and person formation. However, a good debate has led to a greater focus on citizenship, on vocational training and on the involvement of the profession. The Secretary of State has carried out a motion by Mr Van Meenen and myself to that effect, which, incidentally, has only been held. I congratulate him for that and thank him for that. I make one motion because I think that we should continue to look at the position of the teacher and the quality of teachers in the course of Education2032, because these things ultimately make education. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that, in consultation with the educational field, the cabinet facilitates a deepening of curriculum renewal;]] [[Whereas the quality of education is particularly beneficial to good teachers;]] [[Whereas resources available through the teacher's fair remain underutilised and time spent on intervision is reduced, while training, intervision and feedback are essential to move from good to great education;]] [[calls on the Government, in consultation with those involved in education, to come forward with proposals to make full use of the resources available for the teacher grant and to devote more time to preparing lessons, intervision and feedback together,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Rog. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31293-319]]
ParlaMint-NL_2016-06-01-tweedekamer-3.u17	Mr. Chairman. The success of Education2032 stands or falls with the teachers. I would therefore like to thank the Secretary of State for his commitment to call on the school authorities to allow teachers to participate as much as possible in the deepening phase. On 4, 5 and 6 October, the deepening phase will begin. A digital session like this takes an hour and a half. I sincerely hope that as many teachers as possible can participate. There's only one thing left. Devoted and bluntly motivated teams such as the Hugo de Groot and many other schools manage to get rid of major children's backwardness, but those heroes in education at such schools are really exhausted, while the children need them so much. That's why I'd like to ask for an experiment. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is important for the quality of education that teachers should be given more time for teaching preparation through a maximum number of teaching hours of twenty hours per full-time teacher;]] [[calls on the government to draw up an experiment in which this new standard of hours is already being experimented in a number of schools in neighbourhoods with many children who are lagging behind;]] [[calls on the Government, in consultation with the educational field, to draw up a proposal for this purpose by September 2016,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Ypma and Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31293-320]]
ParlaMint-NL_2016-06-01-tweedekamer-3.u18	Mr. Chairman. Support for the Education project2032 is under pressure. The secretary of state had to stand on the brakes when it became clear that there was no support for the teachers at all. This is why an intermediate phase has been introduced in which teachers can see what they think of Education2032. I have tabled a motion on this subject which could also'solve' the debate between Mr Van Meenen and Mr Beertema. This motion regulates that teachers should be completely free to advise on the curriculum, independently of the Schnabel Committee. That would be fair and then we know if there is real support. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the support for Education2032 is under discussion and that a "floor stage" has therefore been established in which teachers will have until 1 November to assess their agreement with the Schnabel Committee;]] [[believes that teachers should be free to advise on a new curriculum at this stage of the deepening process, regardless of the opinion of the Schnabel Committee;]] [[calls on the government to release teachers fully in the deepening phase around the advice for a new curriculum,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31293-321]]
ParlaMint-NL_2016-06-01-tweedekamer-3.u19	I have a few seconds left to speak. The concerns about Education2032 relate in particular to the fear that the new learning, with which we dealt with ten years ago, is coming back, and I would like to say this to Mr Bruins about the fact that crucial subjects are indeed at risk. A course such as history can still be referred to the trash can via the cross-disciplinary domains via Education2032. So be vigilant!
ParlaMint-NL_2016-06-01-tweedekamer-3.u20	We are waiting for the final motion to be distributed. I see the motions have been distributed and then we move on. I call the Secretary of State.
ParlaMint-NL_2016-06-01-tweedekamer-3.u21	Mr. Chairman. For the sake of clarity, I agree with what Mr Rog said about the debate on how to proceed with Education2032. That debate has been constructive in two respects. First of all, it has led to good agreements with the education corporation on a deepening and a thorough involvement of teachers and, secondly, it has produced a good discussion in the House of Representatives in which the wishes and concerns of the various groups have been put on the table. These points will be taken into account in the further pathway of Education2032. I'll walk you through the motions. The motion in part No. 315 by Mr Van Meenen has also been signed by Mrs Ypma. It's a bit of a rerun of moves. They know my objections to the motion. If you want to do this without the classes getting much bigger or without it leading to much less hours of teaching, Mr Rog's estimate is still on the conservative side. This costs about 3.3 billion. It's nice to talk about, but totally unrealistic. That's why I'm dissuading the motion.
ParlaMint-NL_2016-06-01-tweedekamer-3.u22	Let's let the fact-checker go straight to it: how much does the Secretary of State say is going to secondary education?
ParlaMint-NL_2016-06-01-tweedekamer-3.u23	To po and vo goes out of my mind in total............................................................................................................................................................
ParlaMint-NL_2016-06-01-tweedekamer-3.u24	A small 30 billion in a budget of 32 billion! Let me put it another way: I would like to see a justification of this number.
ParlaMint-NL_2016-06-01-tweedekamer-3.u25	I can give it to Mr Van Meenen. It amounts to about 1.8 billion for secondary education. If you reduce the number of teaching hours from 25 to 20, this will lead to a cost increase of about 20%. The same applies to primary education. This has a slightly different basis, but this is a cost increase of about 1.5 billion.
ParlaMint-NL_2016-06-01-tweedekamer-3.u26	Mr Van Meenen is running to the interrupting microphone again.
ParlaMint-NL_2016-06-01-tweedekamer-3.u27	I keep repeating, this is all when we do what the Secretary of State wants to do, which is to teach a lot of lessons. I care about quality and he cares about quantity. I'm sorry, because these kind of lyrics might scare people off. In the end, we are really giving teachers the opportunity to work on the quality of their education. However, it seems that this Secretary of State does not recognize that.
ParlaMint-NL_2016-06-01-tweedekamer-3.u28	I do not think that is the case The number of hours teachers have to teach is high in the Netherlands. However, teachers still have more than half the time to spend on non-lessons on their total appointment. During this period we have invested a lot more to work on professionalisation. If you say that the number of lessons should be reduced by 20%, it should come from the length or width. Then the classes become 20% larger. I hear Mr Van Meenen talking in every debate about 'popklasssen', but it seems that this is not a problem. There can also be 20% of hours off, which means that children simply get less lessons, but that also seems undesirable to me. We have had a wide-ranging debate on education time, and that would put you in a tight spot with the laws and regulations. That's not even possible. Or you want to stick to hours and not even bigger classes, but then you need 20% more money. Then you come up with these kinds of amounts. There's an incredible amount of money involved in education. If the number of hours teachers teach has to be reduced by 20%, it will soon cost a lot of money. This is about so much money that I say to it: such a exploration is not meaningful if there is not yet a start of coverage in sight.
ParlaMint-NL_2016-06-01-tweedekamer-3.u29	You will continue your speech.
ParlaMint-NL_2016-06-01-tweedekamer-3.u30	The Van Meenen/Straus motion in part No. 316 is unnecessary in my view. I'm already actively promoting this. I am busy making sure that education cooperation becomes a full-fledged profession. So I'm deceiving the motion. I shall then turn to the Grashoff motion in part No. 317.
ParlaMint-NL_2016-06-01-tweedekamer-3.u31	One moment, please. Mrs. Straus wants to interrupt.
ParlaMint-NL_2016-06-01-tweedekamer-3.u32	I have Mr Van Meenen's motion on item No. 316 co-signed because we wanted to emphasise once again how important we think it is that teachers who are not members of one of the organisations that are members also feel represented at the Education Council. For me, this confirmation from the Secretary of State is sufficient. As far as I'm concerned, the motion can be withdrawn. However, Mr Van Meenen is the first petitioner, so he still needs to find something. For me, this answer is sufficient.
ParlaMint-NL_2016-06-01-tweedekamer-3.u33	Okay. I'll see what Mr. Van Meenen's gonna do. Mr Van Meenen, the co-author of your motion asks you to withdraw this motion after this reply.
ParlaMint-NL_2016-06-01-tweedekamer-3.u34	Yes, Chairman, of course. It's about the motion in part No. 316? I don't want us to be wrong.
ParlaMint-NL_2016-06-01-tweedekamer-3.u35	Yes.
ParlaMint-NL_2016-06-01-tweedekamer-3.u36	I was just having a little chat with a colleague about education. Apologies.
ParlaMint-NL_2016-06-01-tweedekamer-3.u37	No, that's totally good. No problem.
ParlaMint-NL_2016-06-01-tweedekamer-3.u38	I shall then turn to the Grashoff motion in part No. 317. We have discussed for a very long time how to ensure that all teachers who like to participate are involved. I get the impression that this is a motion that responds to a feeling that many Members of Parliament live with, without falling directly into very rigorous generic measures such as reducing the number of hours of lessons by 20%. It will also vary from teacher to teacher. One teacher will be more involved in this than the other teacher. We are already meeting the Education Co-operation by funding a number of teachers who want to do this. This motion actually relates more to all teachers who want to participate in this discussion. I'd like to take over this motion. This afternoon I sit with the director group at the table; these are the domes of the board. I can discuss it right there.
ParlaMint-NL_2016-06-01-tweedekamer-3.u39	The Secretary of State has said, the motion in part No. 317 to take over. It appears to me that there are no Members who object to this.
ParlaMint-NL_2016-06-01-tweedekamer-3.u40	The Bertema motion in part No. 318, I advise. That goes without saying. The motion-Ray in part No. 319 I am also going to advise against, for a number of reasons. Firstly, Mr Rog assumes that there is under-exhaustment at the teacher's fair. He's got a point with that. However, the spring note shows that we need the unused money very much to solve a number of major problems in the field of education. Think, for example, of the increased flow of asylum-seekers' children who have a large impact on the budget of OCW. This year, for example, there is no longer any under-exhaustment. We really need that money to finance that. Secondly, working on intervision and feedback is not just a question of money; schools have been given more money for this through the sector agreements. It is also a question of culture and organisation. Thirdly, the teacher grant is part of the agreements we have made in the sector agreements. I cannot therefore depart from that immediately.
ParlaMint-NL_2016-06-01-tweedekamer-3.u41	The Secretary of State says we're gonna need the resources of the teacher's scholarship this time. I do not prejudice that, but we have this structural teacher grant to improve the quality of teachers. It's not about this year. I am concerned that we should also use resources that we have made available for the teacher grant to develop teachers. This is therefore aimed at training, at study. In addition, this motion only asks the Secretary of State to talk to teachers, school leaders and administrators to see how much time can be spent on intervision, feedback and preparing lessons. That doesn't have to cost any more money. It can be a solution within the existing time and resources. So I am not asking for extra money, nor am I asking for the funds for this year's teacher grant to be used for training. I would ask, however, that the resources that we have made available for this should actually be used in a structural manner in the future.
ParlaMint-NL_2016-06-01-tweedekamer-3.u42	I see the point and I would also like to respond to Mr Rog's request to sit down with the parties to see how we can achieve the objectives, such as using that grant, working on your training, more informal learning, feedback and forms of intervision. I think, however, that this really anticipates a question that we will have to answer later this year in the budget. Then we can weigh all the setbacks and windfalls well against each other. I do not think it is appropriate to anticipate this and to say already that we are broadening the basis if there is any scope, also in view of the financial problems we have in this area. If the motion is amended, in the sense that we are going to have a conversation without any direct financial consequences and without broadening the basis of the teacher's scholarship, I will be able to deal with it. However, these two elements are now in the operative part.
ParlaMint-NL_2016-06-01-tweedekamer-3.u43	I meant the motion as the Secretary of State explains to her. That is exactly what I am asking him to do, namely to talk about how the teacher grant can be used sufficiently in the future and how one can focus more on intervision, feedback and preparing lessons together in the time available in a working week. That's what I'm asking the Secretary of State. I think he interpreted the motion the same way at first. In my view, that would allow the motion to be taken over or could be given a Chamber of Appeal. If I have to change a comma somewhere in the operative part, I am always willing to do so, but I think what the Secretary of State says is exactly what I ask him to do.
ParlaMint-NL_2016-06-01-tweedekamer-3.u44	As a committee, we have talked about giving more advice on motions. I'm going to try that in the new philosophy anyway. This operative part calls for a broadening of the basis for the teacher grant scheme. The teacher's scholarship is intended for attending a master's programme. The costs are paid and teachers are exempted. The teacher's grant is therefore not intended to finance forms of intervision and feedback that take place in addition, i.e. independently of an education at a university or university. That's what the operative part implies. If Mr Rog can make a hard cut in the operative part and says that the Secretary of State should start talking to the school boards about how they can make better use of the teacher's grant and also meet more of their commitments from the sector agreements on feedback and intervision, then I can get away with it. The motion would then have to be amended on this point.
ParlaMint-NL_2016-06-01-tweedekamer-3.u45	That is the way I have intended it, and that is how we will adapt the operative part.
ParlaMint-NL_2016-06-01-tweedekamer-3.u46	You're going to change the operative part. Will the motion be taken over, or should it be put to the vote?
ParlaMint-NL_2016-06-01-tweedekamer-3.u47	We agreed I'd advise against the motion. Mr Rog and I may be in touch about the operative part of the motion. If that leads to an amended operative part, I can revise my opinion.
ParlaMint-NL_2016-06-01-tweedekamer-3.u48	Okay. You continue with the motion in part No. 320, I presume.
ParlaMint-NL_2016-06-01-tweedekamer-3.u49	The motion in part No. 320 is actually the motion in part No. 315, but a more limited variant. I will discourage this motion for the same reason. I would point out that schools in disadvantaged areas already receive additional resources. In primary education there is the weight regulation, in secondary education there are the learning plus arrangements. In this context, for example, schools can already opt for smaller classes or a slightly smaller teaching task of teachers. It is a political choice to do something about it, but that choice costs money. I don't see any cover for this motion. Also the motion in part No. 321, I'm not sure. We have discussed a very good and fine line in committee. We said there that the report of the Schnabel Commission, the Education Platform2032, was not poured into concrete. It is the starting point for a discussion, but we should not repeat everything that has happened in the past year. Every teacher in the discussion is free to say what he wants. I do not have the impression that there is even one teacher who is limited at this point. However, Mr Van Dijk's intention with this motion is another one. That's why I don't recommend the motion.
ParlaMint-NL_2016-06-01-tweedekamer-3.u50	We have come to the end of this VAO. I thank the Secretary of State for his presence. The vote on the motions will take place next Tuesday.
