Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	NineKooiman	Kooiman, Nine	F	1980	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	NineKooiman	Kooiman, Nine	F	1980	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	NineKooiman	Kooiman, Nine	F	1980	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	LilianHelder	Helder, Lilian	F	1973	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JoyceVermue	Vermue, Joyce	F	1985	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u12	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u13	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u14	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u15	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2016-01-19-tweedekamer-2	ParlaMint-NL_2016-01-19-tweedekamer-2.u16	Report of the meeting of the Dutch Lower House, Meeting 43, Session 2 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
