ParlaMint-NL_2016-04-12-tweedekamer-27.u1	I would like to welcome the Secretary of State for Finance.
ParlaMint-NL_2016-04-12-tweedekamer-27.u2	Mr. Chairman. You have to report it before May 1st, and then you'll get a message before July 1st. However, this is not a guarantee. If you wanted a warranty, you should've filed a report by April 1st. During the general consultation it was promised that it could also be 3 April. It's completely unclear what's going on. The SP Group wants transparency and clarity. Extend the reporting period so that the Tax Service and the Tax Phone have time to normally serve everyone well and give the citizen time to collect the documents and report them in time! Give people clarity when they get a message! Make sure they get a message within a specified time limit after making the declaration! I shall table the next motion for a resolution. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that a wider reporting period leads to less pressure on the Tax Administration, which has a positive impact on the capacity of the Tax Administration;]] [[calls on the Government to extend the reporting period as rapidly as possible and to impose an effort obligation on the Tax Administration to notify everyone within two months of making the declaration,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bashir. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31066-263]]
ParlaMint-NL_2016-04-12-tweedekamer-27.u3	Finally, I would like to point out that the Secretary of State made a number of commitments during the general consultation. I assume that he is still going after this, such as the possibility that people who help others to make the declaration can do so on a separate part of the tax authorities' servers, so that their declaration schedule does not get messed up.
ParlaMint-NL_2016-04-12-tweedekamer-27.u4	I give the floor to Mrs De Vries. No? Then I look at Mr Tony van Dijck. He doesn't have any more minutes. Then I'll go to Mr. Van Vliet.
ParlaMint-NL_2016-04-12-tweedekamer-27.u5	Mr. Chairman. We have had a good debate, hence the next motion for a resolution. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the digitisation of the contact between taxpayer and the Tax Administration is moving very quickly and that the Tax Administration is striving for an increasing number of people to make electronic returns;]] [[Whereas the explanatory notes on difficult parts of the declaration programme should be as clear as possible so that as few taxpayers as possible need to call the Tax Telephone;]] [[noting that tax experts broadly share the fact that the home housing scheme has become very complex and difficult to monitor for the average taxpayer;]] [[calls on the Government to make the explanatory notes on the various situations surrounding the home as comprehensive as possible and to publish them not only on the website but also as an explanation in the digital declaration programme,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Vliet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31066-264]]
ParlaMint-NL_2016-04-12-tweedekamer-27.u6	Thank you. The next one on my list of minutes behind his name is Mr. Omtzigt.
ParlaMint-NL_2016-04-12-tweedekamer-27.u7	Mr. Chairman. During the AO we talked about three notable things at the Tax Office that cannot be explained to the people: the abolition of the blue envelope, even though there are people who do not want or can not participate in digital communications; the disappearance of the offline declaration program; the group of taxpayers who have to pay double this year and have not been explained. I shall make three motions on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that taxpayers could not make an online declaration at several times for exceeding the capacity of the Tax Administration website;]] [[Whereas the authorities must enable taxable persons to make a declaration as easily as possible throughout the reporting period;]] [[invites the Government to make available again an offline declaration programme during the reporting period in 2017,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the National Ombudsman has concluded that the government has lost sight of the interests of people who cannot or do not wish to receive messages digitally;]] [[noting that the National Ombudsman recommends that citizens who state that they cannot or do not wish to participate in compulsory digitisation should submit messages on paper and provide them with certainty for the next three years;]] [[calls on the Government to allow taxable persons to continue to receive all messages from the Tax Administration on paper on request for the next three years;]] [[calls on the Government to examine, after two years, the size of the group which cannot or does not wish to receive messages digitally,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31066-265]] [[This motion has been tabled by Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31066-266]]
ParlaMint-NL_2016-04-12-tweedekamer-27.u8	I note that this does not include a test of the Tax Administration to determine whether people have a computer or someone in the area to help. Someone just says, "I can't do it," so I want it on paper. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that 171,000 taxpayers will have to pay both the 2015 tax and the 2016 provisional tax;]] [[noting that these taxpayers were not informed in advance;]] [[considers that the provisional assessment first indicates the total amount and the payment obligation and only as a later option the payment in eleven instalments;]] [[Whereas paying taxes is less felt when the tax is paid automatically and is in line with the moment of enjoyment of income;]] [[considers that there is no justification for paying a provisional tax at once because the income on which tax has to be paid has not yet been received;]] [[invites the Government, where appropriate, to inform taxpayers in advance and not only when sending the acceptance giro;]] [[calls on the Government to adopt a standard payment in instalments in the event of provisional attacks,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31066-267]]
ParlaMint-NL_2016-04-12-tweedekamer-27.u9	Mr. Chairman. This year's declaration campaign is also going well. So we are on the right track, that may be said at some point, but not everything is going well. My motion concerns another point. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[informed that entrepreneurs andzzp'ers can get a loan from the municipality in bad years to keep their heads above water;]] [[noting that if the setback lasts longer, that loan is often converted into a gift in the following year and that this gift then becomes taxable income;]] [[noting that this leads to additional taxation and possible loss of income supplements not received in that year;]] [[Considering that this problem has also been identified by the National Ombudsman and that the Ombudsman has been calling for a solution since December 2014;]] [[calls on the government to work out a solution to this persistent problem and to report on it in the 2017 Tax Plan,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Groot and Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31066-268]]
ParlaMint-NL_2016-04-12-tweedekamer-27.u10	I don't have all the motions yet. Is it possible to wait until we all have all the pieces?
ParlaMint-NL_2016-04-12-tweedekamer-27.u11	I am happy to wait a few minutes so that everyone can follow how the motions are judged.
