Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-01-12-tweedekamer-4	ParlaMint-NL_2016-01-12-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 40, Session 4 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-01-12-tweedekamer-4	ParlaMint-NL_2016-01-12-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 40, Session 4 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2016-01-12-tweedekamer-4	ParlaMint-NL_2016-01-12-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 40, Session 4 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-01-12-tweedekamer-4	ParlaMint-NL_2016-01-12-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 40, Session 4 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2016-01-12-tweedekamer-4	ParlaMint-NL_2016-01-12-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 40, Session 4 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-01-12-tweedekamer-4	ParlaMint-NL_2016-01-12-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 40, Session 4 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2016-01-12-tweedekamer-4	ParlaMint-NL_2016-01-12-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 40, Session 4 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2016-01-12-tweedekamer-4	ParlaMint-NL_2016-01-12-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 40, Session 4 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2016-01-12-tweedekamer-4	ParlaMint-NL_2016-01-12-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 40, Session 4 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 40	Sitting 2016-01-12	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-01-12-tweedekamer-4	ParlaMint-NL_2016-01-12-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 40, Session 4 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2016-01-12-tweedekamer-4	ParlaMint-NL_2016-01-12-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 40, Session 4 (2016-01-12)	2016-01-12	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 40	Sitting 2016-01-12	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
