ParlaMint-NL_2016-01-28-tweedekamer-7.u1	I welcome the committee and give the floor to Mrs Schouten, the chairman of the committee.
ParlaMint-NL_2016-01-28-tweedekamer-7.u2	Mr. Chairman. I would like to thank the Chamber for its first-term input. I would also like to thank the Chamber warmly for the compliments that have been expressed towards the committee. I am happy to pass it on to my colleagues, but also to the staff and to our advisers. Partly because of their excellent support, we as a committee have been able to find our way through the tangles of outdated and sometimes conflicting laws and regulations. I therefore say to them once again: thank you very much for your indispensable support. Before I answer the specific questions raised by the Chamber, I would first like to share some general thoughts with the Chamber on the process of the last two and a half months. I think it's good that I start with that. As a committee, we have worked hard to fulfil the task assigned to us by the Chamber, namely to investigate the violation of the confidentiality of the CIVD, the secret committee. We have done so in all conscience, but with a disappointing outcome; we share that with the Chamber. At the same time, we are unanimous in favour of this report. And I stand before this committee. For all of us, we have accepted the mandate of the Chamber because of the urge to get the truth on the table in this matter. The secrecy surrounding the CIVD, the committee secretly, has been violated, and that's not something to shrug your shoulders on. This is a criminal offense. The Chamber has rightly taken this very seriously. It also affects the reputation of politics. That is why, however difficult our task was, we have gone to the limit of the existing powers. We went to row with the belts we had. Or rather: we are going to row in dense fog and with a broken oar. That is what the committee has motivated in order to do its work as carefully as possible. The Chamber should have known that the law of 1855 which we were bound by would make our work more difficult. The 2010 Public Secret report was already very clear about this, but since nothing was done at the time with the recommendation to modernise all legislation on criminal offences, we had to do it as a committee with this dated framework. I think it is quite right that the Court has not seen any reason to abandon the investigation, but now is the time to modernise these laws and regulations, so that the detection and prosecution of criminal offences can be made more possible in the future. In the Committee's view, that is precisely what is important for the restoration of political standing. Before I start answering the various questions from the Chamber, I would like to say the following. Some members have made fundamental comments on the functioning and operation of the Commission for the Intelligence and Security Services, the CIVD. I am not going to go into those remarks, including those made by Mrs Thieme and Mr Van Raak. That was not part of the mission of our committee. We are well aware that the CIVD has carried out its own investigation. We understand that the outcome of the study entitled "Towards a stronger functioning CIVD" will be discussed very shortly, on 4 February, by the Chairman of the CIVD with the Permanent Committee for the Interior. I would like to answer the questions raised in the first period along the stages of our investigation and thus also the chapters of our report. I would like to mention the blocks: first, our mission, task and powers, second, what preceded the CIVD's declaration and the investigation of the Public Prosecutor's office, third, the committee's investigation and fourth, the conclusions of the committee.
ParlaMint-NL_2016-01-28-tweedekamer-7.u3	Thank you very much for this enlightening account of what awaits us.
ParlaMint-NL_2016-01-28-tweedekamer-7.u4	Before we move on to the first block, I think it is appropriate to ask the committee whether she had a sense of mission impossible at the beginning of her research assignment. This is one of the conclusions of the investigation.
ParlaMint-NL_2016-01-28-tweedekamer-7.u5	The conclusion looks at the laws and regulations applicable to this trajectory. I have only just argued, and I stand by it, that it was precisely the reputation of the Chamber that was damaged if we had said immediately: we will stop. Then we knew for certain that the truth had not come out. We didn't know in advance whether that would work either, but at least we tried to track her down. We have indeed run into conflicting and outdated legislation, but that has not prevented us from doing everything we can to find out that truth.
ParlaMint-NL_2016-01-28-tweedekamer-7.u6	Finally, Mr Kuzu.
ParlaMint-NL_2016-01-28-tweedekamer-7.u7	I also believe that the committee has acted in good conscience; let there be no misunderstanding about that. The point is, however, that, in the run-up to this investigation and the setting up of this committee, we have also received a letter from the Bureau stating that this legislation is obsolete. I find it disappointing that three months ago we had the conclusion that it was a very difficult task, that it was an old legislative process, and that three months later it turns out that nothing has actually changed and that it is still the same. My question is clear: couldn't we have known this at the front? The outcome has remained the same, but we are still three months ahead and we are still asking how politics stands.
ParlaMint-NL_2016-01-28-tweedekamer-7.u8	The point remains that these laws and regulations do apply. We can't just shove the law aside. It was the Chamber that did not do so much after 2010 with the recommendation from the Public Secret report that these laws and regulations should be modernised. If we had returned the order immediately, there would have been no possibility of further investigation. It is precisely on the basis of that old law, the Ministerial Responsibility Act, that the Chamber should investigate political ministers. Then the investigation would have been complete and then nothing would have happened to it. I think we would certainly have been against appearances, because then we would have known for sure that we had not even tried to get the truth out of the table.
ParlaMint-NL_2016-01-28-tweedekamer-7.u9	I have here a publication by Mr Boogaard, lecturer in Administrative and State Law at Leiden University. He says that it is only an interpretation that only the Chamber is competent to conduct such investigations and that those investigations can best be carried out by the Public Prosecutor. The D.A. should have done the same, just as the D.A. did in the case of leaking the Ombudsman. What is the reason why the Committee did not ask the Public Prosecutor in its discussion with the Public Prosecutor to continue the investigation, just as the Public Prosecutor did in leaking the Ombudsman? Why the move to do this yourself, when everyone knew that we are dealing with outdated legislation?
ParlaMint-NL_2016-01-28-tweedekamer-7.u10	Can I point out to Mr Bontes that it was not the Chamber that insisted on that investigation? It was the Public Prosecutor's Office itself who came to the conclusion that it was no longer competent. That's why the D.A. transferred the file to the Chamber. So it was not a decision of the Chamber. The prosecution has said that we are no longer competent; please look at it now, because it is now on your plate.
ParlaMint-NL_2016-01-28-tweedekamer-7.u11	Yes, unless the Chamber or the committee had said: you have permission or consent to continue your investigation. The ball was indeed in the Chamber, but you can definitely hand it over to the D.A.'s office. What you are now saying on behalf of the committee is a very questionable interpretation. This publication shows that.
ParlaMint-NL_2016-01-28-tweedekamer-7.u12	If it were debatable, that qualification would have to be applied to the decision of the Public Prosecutor. The D.A. itself has done extensive research into this. We have referred in our report to a number of investigations carried out by the D.A. itself on this point to see where the competence for this investigation lies. It was the D.A. who handed this investigation over to the Chamber and also indicated that this was done on the basis of the Ministerial Responsibility Act of 1855. That law states that the prosecution of political officials is reserved for the Chamber. That is why we are holding this debate. Our committee did not say itself that it wanted to do this investigation so badly. It has been the Chamber, all of you, except for a number of political groups, which have agreed to this inquiry. The Chamber itself said that this investigation should be carried out. I say 'with the exception of a number of groups'. If a majority of the Chamber says we should do this and the D.A. says we don't have jurisdiction, then we can say we don't, but then we'll be sure it stays still.
ParlaMint-NL_2016-01-28-tweedekamer-7.u13	I'd like to get on with that. My question is what exactly is the difference between this investigation and the investigation in the context of leaks from the Ombudsman's Committee. I understand that it is probably not well addressed if I ask Mrs Schouten now, but my question is how we can obtain clarification from the Public Prosecutor. I find it unsatisfactory that it seems impossible to do so when it comes to group chairmen, but perhaps it might have been possible to do so when it comes to an individual Member of Parliament.
ParlaMint-NL_2016-01-28-tweedekamer-7.u14	Mr Houwers is actually already giving the answer. The committee had the task of examining the facts and circumstances in this case. We have not examined any other cases. We did not investigate why it was decided at that time to investigate in a certain way or not. I am afraid I cannot answer that question.
ParlaMint-NL_2016-01-28-tweedekamer-7.u15	I understand that, but then I'll put the question to the chairman. Can you show me how to make that difference? I would ask the prosecution to clarify to me as a Member of Parliament why it does not consider itself competent in one case and in the other case. If you can't do that this way, I'll find another way myself to get it out of the water. I think Mr Bontes' comment is quite right.
ParlaMint-NL_2016-01-28-tweedekamer-7.u16	I have heard your comment. I am in a different role here, but I will certainly see how we can answer this question properly.
ParlaMint-NL_2016-01-28-tweedekamer-7.u17	Thank you, Mr. Chairman. I come to block one: the commission and the powers of the committee. The committee has taken a step-by-step approach for reasons of care. The committee had to reinvent the wheel. Actually, she had to invent the wheel completely. We did not want to make mistakes. We are the first committee of inquiry in 160 years set up to investigate a criminal offence. So we could not build on previous experiences. There was no manual ready. There was no clarity about what we could and had to do. That is why our start was a good deepening on our task, mission and powers. Mr Krol asked why we did not return the order. First of all, the law tells us to do this. This would no longer harm the reputation of the Chamber. The committee has therefore sought ways of doing the research. In advance, it wasn't certain what the outcome would be. We could still get a confession or an incriminating statement. The committee did not wish to exclude this possibility in advance. As far as our powers are concerned, Mr Bontes has asked why we did not involve the National Criminal Court. Of course, we have considered this and discussed it with experts. Unanimous, however, was the judgment that this is not possible. There's no relationship of authority with the National CID. The Committee does not know the powers which the National Police have in a normal investigation. Nor can it delegate powers which the committee does not have, nor can it transfer powers to the National Criminal Court. I come to block two: the examination of the D.A.'s investigation. After we had carefully mapped out our mission, possibilities and powers, we studied and analysed the investigation of the State's Attorney General. A number of questions have also been asked. Let me start with the report. The investigation by the Office results from the CIVD's declaration. Mr Houwers asked if the representative of the Lower House who made the declaration was authorized to do so on behalf of the chairman of the CIVD. That is the case; that is what the committee has been able to establish. It's a procedure customary in the Lower House. Where a declaration is made, the act of fact shall be carried out by a security officer who, of course, is also authorised to do so in writing. Otherwise, the D.A. wouldn't be handling a report either. It was also asked whether the declaration was not pointless. It was the CIVD who thought she should report it. The D.A. has decided to process the declaration. Mr Bishop called the investigation of the D.A.'s office a mess. He asked if there were any indications that the D.A. might have had more opportunities for investigation that had not been used solely because of its political character. Let me start with the latter, because I can be brief on that. No, only the fact that they are political ministers is the reason that another legal regime applies. They are therefore legal and not political reasons which led the prosecution to fail to pursue the investigation. Another image I want to take away is that the D.A.'s investigation would be a mess. That was not the case, quite the contrary. The file was logical and systematic. However, it was far from completed. That is what the committee wanted to say with the term 'not ready to go', which is a factual observation. The D.A. initially focused on one track, namely an article in the NRC. Within it, the investigation was then directed again to one group, namely those present on the side of the Lower House at CIVD-meetings. Those are the group chairmen who were members and the committee griffin. Other media statements about the CIVD and other persons present at CIVD meetings or able to have knowledge of reports were not included in the investigation. Because within this narrow track at some point only MPs survived, the prosecution could and should not continue. That's why our committee was dealing with a file that wasn't ready to go. We have continued the investigation by portraying traces and persons who have not yet been investigated. I shall come back later to the question of how we did this. I shall now turn to other questions about the D.A.'s office. Many questions about the investigation, including the members Van Raak, Verhoeven, Bisschop, Keijzer and Grashoff, focused on the twenty-month period between the time of the declaration and the return of the file to the House of Representatives. Couldn't the D.A. have previously found that it wasn't competent, so many questions were raised. The committee is well aware of the activities of the public prosecutor during which period; it has also outlined this in its report. From March 2014 to November 2014, the National Criminal Court conducted an investigation. Subsequently, legal investigations took place until March 2015. After that, internal discussions took place, which ended in November 2015 with the decision to transfer the file to the Lower House. However, we have seen these lead times as a fact. After all, the Committee had neither the mandate nor the power nor the time to determine how this internal decision-making process was conducted within the Public Prosecutor's Office.
ParlaMint-NL_2016-01-28-tweedekamer-7.u18	If I understand correctly, the National Police have been able to investigate for six months. The Committee notes that the investigation of the D.A.'s office was far from complete. Is she coming to that conclusion because much more research could still be done, or should the Rijkscepche also conclude after six months that no further research could be done because there was insufficient material to study?
ParlaMint-NL_2016-01-28-tweedekamer-7.u19	The reason why the D.A. handed over the investigation is because it also informed the Chamber that at that time only political officials remained. The D.A. concluded that, under the Ministerial Responsibility Act, it was not competent to carry out investigations. That was the reason. Further speculation as to whether more could be done, or whether more things could or could not go on, was not the reason. We didn't talk to the D.A. about that either. The prosecution was very clear: the point at that stage of the investigation that political ministers were in the picture makes the prosecution stop.
ParlaMint-NL_2016-01-28-tweedekamer-7.u20	Am I to understand that the investigation began on a wide scale, and that the prosecution no longer considered itself competent to deal with a number of figures being politicians, MPs? In that case, the Hoge Raad is competent if the Lower House gives an order to do so. Are there any other bodies that have the theoretical ability to conduct such an investigation, for example the secret services? Are there any other options? Or does the 1855 law say that this is where it ends?
