ParlaMint-NL_2016-11-01-tweedekamer-3.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport. I call Mrs Voortman.
ParlaMint-NL_2016-11-01-tweedekamer-3.u2	Mr. Chairman. Yesterday it was announced that municipalities have EUR 1.2 billion left over to health care and youth care. At the same time, many people are less concerned than before and ask for high contributions of their own. Youth care is also stopped in some municipalities. In the context of decentralisation, it is very sensible that municipalities do not spend everything because they are still facing substantial cuts. My party has always questioned the level of these cuts and the speed with which they have been introduced. The fact that municipalities complete the decentralisations in different ways and that they produce different results does not have to be so crazy. However, it cannot be the case that people who really need care miss them because of the wrong budgeting of municipalities. In Almere, for example, the money for youth care would already be gone. A few years ago, GroenLinks called for an emergency fund for distressing cases. In this way, there will be one nationwide point of contact where people who lose their necessary care can knock. Now they have nowhere to go. The Vereniging van Nederlandse Gemeenten (VNG) is currently investigating deficits on municipal budgets for youth care. In the meantime, I have done a round with a number of aldermen from medium-sized municipalities. They all indicate that they have a little left over on the Wmo, but they see deficits on the youth care money. The cabinet sketches the picture that municipalities have enough money to carry out their tasks, but that is simply not true. I therefore have the following questions to the Secretary of State. How can some municipalities be left with money and other municipalities are already out of the budget for youth care? How is it possible that the implementation and the scope of the tasks of municipalities differ so much? Does the Secretary of State see a role for himself in this? Does he think an emergency fund for distressing cases is a good idea? What does the Secretary of State think about the fact that there are municipalities that have money left, but at the same time demand a high level of own contribution? Does he see any reason to intervene? Yesterday, the cabinet announced that there is ample budget, but isn't that statement premature when you consider that 2015 is a transitional year and that the cuts in the coming years will be much higher? Should the cabinet not use this message correctly to see how we prevent these deficits from occurring in 2016 and 2017?
ParlaMint-NL_2016-11-01-tweedekamer-3.u3	Mr. Chairman. The message that municipalities are expected to have 1.2 billion left over in the social domain is something to talk about. As you know, I'm also a nuanced human being. I can make all kinds of nuances, such as: this is the first year, municipalities will sometimes have to operate in a somewhat unclear situation, because they don't know how many people they actually get. There is also a transitional problem. What about the registration? You can apply all these nuances, but 1.2 billion is just a lot of money. We should not overreact and have all kinds of views on this, but I think this is a good reason to say to the municipalities: explain for a moment! There is, in fact, a lot of explaining to local authorities, even in view of the tasks we have ahead of us. I've spoken to a lot of congregations in the last few months. Those were not the municipalities that had money left over, but often the municipalities that had deficits on their budgets. In this context, it is important that the municipalities look at the broad social domain. I've had discussions with municipalities about budget deficits for youth care. You can look at the deficits in the youth budget, but you actually have to look at the development of the budget for the social domain. At the moment, I see signs that the talks about a shortage of money are at least going to a different stage. Perhaps we can see that there is no shortage of money now and not next year, so let us talk about the quality that we want to achieve. Because there's still a lot to do. I spoke this morning with the healthcare providers, the trade unions and the municipalities to see what problems we face in terms of the labour market in care and long-term care. Municipalities and healthcare providers must make combinations. In short, it's a lot of money, but we shouldn't overreact. There are best nuances possible, but municipalities do have some explaining to do. I'm also going to sit around the table with the congregations, because I want to know better what's going on and how it's going to happen. Then, I am sure, Mrs Voortman's questions will also be raised, such as: how is it that some municipalities are left over and some of them are failing? I'm not ready to intervene at all, but I'd like to know what's going on.
ParlaMint-NL_2016-11-01-tweedekamer-3.u4	The Secretary of State says we have to look at it with nuances. Those nuances are not in the letter from Minister Plasterk that we received yesterday. It says that municipalities have more than enough. That was about 2015, of course, but in 2016 and 2017 there are even bigger cuts. Should the Secretary of State not take advantage of this moment to say that there is apparently a little money left, but that the municipalities need to get more air, so that those cuts will not become so big in 2016 and 2017 that people really have to miss their concerns? I also have a question about the quality of care. If municipalities are afraid to raise money because they fear that they will not have enough money in the coming years to carry out their task, the quality of care may be at stake, in the sense that people get less good care or no care. How does the Secretary of State see his own role when it comes to the quality of care?
ParlaMint-NL_2016-11-01-tweedekamer-3.u5	Two points. First of all, the question of this year and next year, because there are also targets. It may be that we find that municipalities have money left over. A good reason for this may be that a municipality has to save a bit for later, because more targets are coming and then you don't have to take them all at once. That's fine. If we find that there is money left, this may mean that these problems can be dealt with well. Then you don't suffer as much from the targets that are there in the years to come. I'd like to know how it happened. We must ensure that decentralisation takes place to the full. Above all, there must be discussion in the municipal councils about how the money is spent; are we too economical or are we doing well. That will continue to be the case, but I do think that municipalities have something to explain, because 1.2 billion is a lot of money. There will be a lot to do in the coming years in the areas of WMO and youth care. I do not rule on whether municipalities have enough money, but I have had a lot of conversations with municipalities that felt they had too few. That image is now turned. I believe that we must now move forward fully in order to achieve the quality of care that we all want. If there's any doubt about it in a congregation, I'll talk to that congregation about it. I've already sent that to the Chamber in a few letters. As far as I am concerned, there are three points in response to these signals. First of all, I want to know exactly what's going on. Secondly, we should not talk any more about whether there is a shortage of money, because there may seem to be money left as well. Thirdly, we must move forward fully in order to achieve the quality of care we want.
ParlaMint-NL_2016-11-01-tweedekamer-3.u6	The Secretary of State says it's okay if municipalities raise money for the next few years, but that's not good, because there are now people who are cut off from household care, youth care or other forms of care. That's not good at all. If municipalities do so, the Secretary of State must also look at themselves and ensure that municipalities have sufficient budget, including in 2016 and 2017, so that they do not have to start hoarding already. I don't agree with him on that. As regards the quality of care, the Secretary of State says that we need to discuss with each other how to ensure that it goes up. So what's the Secretary of State gonna do? Talking to each other is so vague. I would like some clarification on this. No matter how you turn it, this Secretary of State is and will remain system responsible for the care.
ParlaMint-NL_2016-11-01-tweedekamer-3.u7	Sure, but I don't have any signals yet about a budget exhaustion in 2016 and 2017. We just don't have one. We are now responding to figures for 2015. You can put all kinds of nuances in there that I put in. I told you, I'm also a nuanced person, but I think it's a lot of money. That is why I want to know more precisely why, also to know what that means for the years after that. The budgets as such are not an argument for providing good care. I would remind you of a number of debates that we have had in the Chamber. The law states what requirements the municipalities must meet. They must provide appropriate facilities. Municipalities can't say they don't have any money anymore, so they don't offer those facilities. They can't say that they have money left and that's why they're gonna do it differently. Let's not make that relationship, because it's for better and for worse. However, I would like to draw up a list of healthcare providers, trade unions and municipalities of what we have to do in the coming period, both in the field of youth and in the area of the WMO. The room is now there to have that discussion. We are no longer discussing whether we may not have enough money. That could turn out again next year and then we'll see again. Let us now make full progress with what we do achieve, namely the renewal of care as we see it.
ParlaMint-NL_2016-11-01-tweedekamer-3.u8	A number of years ago, we were having a lot of discussions here about the idea that municipalities would probably find hopeless because of the large deficits after decentralisation. That discussion may be settled now, but 1.2 billion is a lot of money. That money has gone to the municipalities, because we want the first line to be properly arranged. Close care is very important, so that people do not have to go to a specialist unnecessarily. I'd like to hear from the Secretary of State if he supports this line. Is he also concerned that in other areas, such as the Wlz, there may well be shortages, because municipalities do not yet take full responsibility for properly setting up the first line? If so, is he going to take us there? I welcome the fact that we are discussing it, but I would like to take more measures.
ParlaMint-NL_2016-11-01-tweedekamer-3.u9	I agree with the line. It is not for nothing that we have laid down in the law which provisions should provide municipalities for their residents who should be provided with appropriate facilities. We have made a law for this and made a budget available for it. That's what the municipalities have to do with it, for better and for worse. The question of good cooperation in the first line of action to prevent more expensive care in other areas is quite right. We have made two agreements with the municipalities. For example, we are not going to pay for this from year to year. If there is a deficit or surplus in a year, we are not going to talk about it. We'll follow how it develops. You have seen in my letter following the September circular that we have changed the starting line from this theme. We have seen that more is needed in the Wlz than in the Wmo. So we changed the starting line by transferring all the funds to it, in order to make that starting line clear. From that starting line we will look at how the question develops in the different domains and whether there will eventually be a need to adapt. There's no reason for that right now, but we'll keep an eye on it.
ParlaMint-NL_2016-11-01-tweedekamer-3.u10	I am not so much concerned with the transfer of budget. The core of decentralisation, I believe, was that we would organise care close by. With 1.2 billion left in the first year I do frown my eyebrows and wonder if the municipalities are on the right track. If we are not on the right track, I think we should discuss it again as a Chamber. 'Cause we were gonna keep our finger on the wrist. In my view, 1.2 billion is a very clear signal that it may not be properly regulated yet. If that is the case, I want a commitment from the Secretary of State that we can have a debate on it as soon as possible.
ParlaMint-NL_2016-11-01-tweedekamer-3.u11	That's why I said I'd like to know more about it. Again, there are all kinds of nuances to apply. So we shouldn't overreact, but it's a big amount. So municipalities have some explaining to do. I'm assuming that's what's happening. However, we have often said in debates that we should not look at it year by year, but rather a little in the long term. This decentralisation will have effects over several years. So we should not overreact, but the municipalities have some explaining to do.
