ParlaMint-NL_2016-11-08-tweedekamer-37.u1	Let's move on to the debate. All Members are very welcome to follow the debate.
ParlaMint-NL_2016-11-08-tweedekamer-37.u2	Mr President, what a pleasure to see so many Members present in an ordinary debate, other than the General Reviews! I also see the leader of the PVV group following his spokesman critically. That's good. Mr. Chairman. In all seriousness, we have an important subject at hand, namely: how do we deal with...
ParlaMint-NL_2016-11-08-tweedekamer-37.u3	I must interrupt you for a moment, because it is too noisy in the Chamber and it is almost impossible to follow.
ParlaMint-NL_2016-11-08-tweedekamer-37.u4	We have an important subject at hand: how to deal with the outcome of the consultative referendum. I haven't been asked a lot of questions. The most important thing, in my opinion, is this. Perhaps I can draw on the input of Mr Voordewind of the Christian Union and the input of Mr Verhoeven of D66. Let me just back to the question: what do you have to do to respond on the one hand to the no vote and, on the other hand, to ensure that Europe's unity is not harmed? That is actually the task ahead. That is exactly what the cabinet is trying to do. The letter is about that, too. The Chamber sees how we are going to try to get out of Brussels with the other allies over the next few weeks. There's a reason for that. There is a reason not to say: we leave it at that, no is no and so we will not go on. I would like to explain this, but of course, Mr President, not until after Mr Klein has asked his pressing question.
ParlaMint-NL_2016-11-08-tweedekamer-37.u5	No. I suggest you finish this part. After that, Mr Klein will have the opportunity to interrupt.
ParlaMint-NL_2016-11-08-tweedekamer-37.u6	I would like to comment on the reasons for the cabinet to seek a substantive answer to the no vote while at the same time ensuring that unity in Europe is not broken. It simply has to do with one important fact: at the moment, Russia is a threat to the security order of the whole of Europe. This is directly linked to the fact that, with the annexation of Crimea and Russian interference in eastern Ukraine, the security organisation of the whole of Europe is actually under threat from Russia at the moment, as regards the agreements on respect for each other's sovereignty and territorial integrity. This is a direct existential interest for the Netherlands. Maybe I can say it at home: if one of your neighbors comes in, then of course you can choose to raise your shoulders, but you can't avoid it, because before you know it, it becomes a habit all over the street. The only answer to this Russian attitude is European unity: European cooperation aimed at stability at our borders and at the threatening provocations of the Kremlin. I have to say the following. That Russian foreign policy extends beyond Ukraine itself. At present, we see in all kinds of places that Russia does not shy away from means such as disinformation, playing modern media. That is a deliberate tactic to influence the way things are going in other countries. This has deteriorated further in recent months. This has been further developed by Russia in recent months. Take, for example, the installation of weapons systems in Kaliningrad, between Lithuania and Poland. Look at the large-scale exercises that are again taking place at the borders of our alliance. And look at Russia's damaging influence in Syria: supporting the Assad regime, the aggression there and hundreds of thousands of innocent civilians trapped in Aleppo. If you look at that, you will find that this was already a topic at the referendum. I believe that the coalition has also stressed this in all kinds of debates. I know there is doubt about that, but I could mention the whole list of debates, even though I am not going to do so now, in which we have mentioned this issue. However, I also note that the situation has deteriorated in recent months. You come to a point where you have to ask yourself the following. If you take the association agreement off the table, which is to a large extent intended to contribute to stability at the borders of Europe, and when Russia has fought the coming of that treaty with all its intensity, is Europe not blinking? As far as I am concerned, Europe is blinking in the face of direct confrontation with Russia. That is why I, Bert Koenders and the whole cabinet are motivated to look at it. I think that's possible. The letter describes that route. That's gonna be hard work in the next few weeks. The aim is to reach conclusions at the European Council in mid-December and to quickly share the follow-up actions with the Chamber. In this way, we can preserve European unity. But I also realize that if we succeed, many people who voted no and who said and thought "no is no, point," will not be satisfied. We should not be under any illusions about that. If the result is that we give this no vote a place in substance, in the interests of maintaining unity in Europe, we will not be satisfied with every no voter. That is a fact and we must be very real about it. But that collective leadership must be shared here, because there are major geopolitical interests at stake that directly affect Dutch security. I shall close on this point. There is a lot of criticism of Europe and many things in Europe are not going well. But if you bring Europe all the way back to its essence, that essence is not only a strong internal market, but also security. The fact that a small country like the Netherlands is secure and embedded in a European cooperation and not only in the world is vital for Dutch interests. This also includes ensuring that a country does everything it can to avoid damaging the geopolitical impact that Europe can have, in this case its appearance towards Russia. That path is difficult, because at the same time you are dealing with a referendum that gave rise to a no vote. Mr Buma and others have already referred to this, and I understand that. The cabinet has therefore come to the conclusion that it is precisely in the interest of the Netherlands to address that no vote in substance, I believe that this can be done while at the same time ensuring that we do not harm the European unity, which is so essential for the Netherlands.
ParlaMint-NL_2016-11-08-tweedekamer-37.u7	That answer was a little longer than I thought. Let me get this straight. The Prime Minister kept a good story about the geopolitical situation, but that situation was similar before 6 April. So did the Prime Minister. The arguments he put forward were well weighed and taken into account by the voters in the debate until 6 April. These arguments have also been taken into account when determining their vote on the referendum.
ParlaMint-NL_2016-11-08-tweedekamer-37.u8	What's your question?
ParlaMint-NL_2016-11-08-tweedekamer-37.u9	The arguments put forward by the Prime Minister are excellent, but the question is why the electorate should now be dealt with afterwards, even though they have already heard the arguments put forward by the Prime Minister before 6 April. Why do we have to pee again about the referendum, a referendum that the Prime Minister did not feel at all, to meet the voters? That's not the issue at all.
ParlaMint-NL_2016-11-08-tweedekamer-37.u10	Let me say it very hard: we have a constitutional task here with 150 Members of Parliament and the cabinet. That task is always central to the Dutch interest. It is my conviction, and that of the cabinet, that it serves the Dutch interest if the no vote is dealt with properly. But if you were to translate the 'no' vote into a 'no is no' and not attempt to get a substantive answer to that 'no' vote, while at the same time preserving European unity, it would not be in the interests of our country. That is why the cabinet has come to this conclusion. Let me say this directly to Mr Klein.
ParlaMint-NL_2016-11-08-tweedekamer-37.u11	The essence and the idea of a referendum is that in the discussion prior to the referendum, you will see why you should vote for or against. The arguments put forward by the Prime Minister are excellent arguments for voting in favour, but the electorate has chosen differently. It is logical that this should then be respected and that we should not come up with all sorts of crazy arguments afterwards. You can't say: maybe I'm going to meet it, but maybe I should do some other things in the interests of the Netherlands. That doesn't make any sense, does it? Isn't that contrary to the confidence that voters would like to have in politics?
