ParlaMint-NL_2016-06-14-tweedekamer-24.u1	Six speakers have spoken on the side of the Chamber. First of all, Mr Omtzigt has the floor.
ParlaMint-NL_2016-06-14-tweedekamer-24.u2	Mr. Chairman. The Foreign Account Tax Compliance Act (FATCA) is rightly contested. All banks in the world are forced to collect data for the U.S. tax authorities. Then there is the question of whether, on the basis of reciprocity, America itself will exchange data with other tax administrations. The FATCA legislation is intended to tackle the American black horse. This is a noble goal, but in the Netherlands there is one other problem that has become acute by the FATCA legislation: the problem of residents with American nationality and actually a wider group, namely people with a green card born there, who were unaware of their duty to report in the United States. The CDA asked in the report of the present bill how many people who have a dual nationality or are otherwise affected by this legislation are in Curaçao and what are the differences between the tax laws of Curaçao and the United States. These differences can lead to the payment of double taxation. The answer was shocking: the government doesn't know. There is no knowledge of the US tax system, the Minister for Foreign Affairs wrote. Let us be clear: Curaçao is close to the United States. There are multiple flights a day and people go up and down between Curaçao and the United States, so it's pretty safe to predict that thousands of people will be affected. That's the big problem. What happens if, as a Dutchman, wherever in our Kingdom, you have the American nationality and the FATCA discovers that you should have reported in the US all these years and will have to do so forever? The Dutch government doesn't do anything, doesn't know anything. In fact, a year ago, the government admitted that if the Internal Revenue Service (IRS) of the United States is going to prosecute the Dutch for not reporting, it is obliged to extradite these Dutch, so that they can be imprisoned in the United States. It may well be common knowledge among fiscalists that the United States adheres to the principle of nationality. Among all the other Dutch people, say: our construction workers, nurses, primary school teachers or others are totally unknown that you have to make a tax return in America your whole life because your mother was born in America or because you have lived in America for a few months. Then this is what you're wondering. Why didn't the government or the embassy ever tell me to press charges? Am I now a criminal in the United States? Do I have to pay taxes and then what do I have to pay taxes for? Why does the Dutch government allow me to pay taxes in two countries? Remember: here you pay a lot of income tax. If you sell your own property, you can tap tens of thousands of euros over the winnings in the United States. Why is it so expensive and time-consuming to get rid of American nationality? On all these questions and our sense of powerlessness and injustice, the Secretary of State was able to read in the report I presented to him on 1 June. Did he read this report? Does he understand how big this problem is for about 40,000 people in the Netherlands? What has the Secretary of State done in the past six months to try to resolve or improve the situation? Back to Curaçao. Does the government have the answers now? How many people live in Curaçao affected by this legislation? How many people have a green card or other FATCA-relevant links with the United States? How are and are these residents informed about the consequences of the FATCA legislation? Is there actually a tax treaty between Curaçao and the United States? What income or benefits are not taxed in Curaçao or are they taxed at a low rate, whereas the United States includes that income in the tax? That is the beginning of a possible solution. If the Dutch government knows exactly what benefits, income or capital flows the US is raising, the Netherlands can enter into negotiations to explicitly allocate those flows to the Netherlands in the tax treaty with the US. Finally, therefore, the following question. Is it true that Curaçao does not currently have a tax treaty with the United States? This would be a good reason to enter into negotiations. It may be strange that we are dealing here with the Curaçao Convention. This is institutionally and constitutionally regulated. What we are doing here is trying to prevent a problem for the people of Curaçao that we have discovered in the Netherlands.
ParlaMint-NL_2016-06-14-tweedekamer-24.u3	I fully agree with Mr Omtzigt that the FATCA is dipping a certain group for which this law is not really intended. But there are also a lot of black savers and people who avoid tax; that is what this law is focused on. Also in Curaçao a lot of Americans park their money. It is the right of the US to try to trace these Americans through data exchange between tax administrations. Mr Omtzig does not say anything about that.
ParlaMint-NL_2016-06-14-tweedekamer-24.u4	My speech had one sentence about that. That's right. That is why we support the purpose of the FATCA, which is to ensure that you track down the black money of your own citizens all over the world. That money could also be in Curaçao. We do not want to block that either. However, we do not want the same thing to happen in Curaçao as happened in the Netherlands. I suspect the problem is bigger there, because people live much closer to the US and have much more links with the US. You can fly back and forth in no time. The US is a lot closer than the Netherlands. However, with the group called the PVV spokesperson, I have no pity.
ParlaMint-NL_2016-06-14-tweedekamer-24.u5	It seemed that Mr Omtzigt wanted to throw the whole FATCA into the shredder, but that is not the case. Mr Omtzigt talks about 40,000 people in the Netherlands. However, only a small 200,000 people live in Curaçao, so the problem in absolute terms will not be greater.
ParlaMint-NL_2016-06-14-tweedekamer-24.u6	In absolute terms, the problem will be smaller. In the Netherlands, it accounts for less than 0.5% of the population. However, I would not be surprised if it concerns a few percent of the population in Curaçao. If you can hardly open a bank account and make tax returns in the US, knowing that this is relatively expensive in the Netherlands and that the standard of living in Curaçao is even lower, which can make it even more expensive for people, then I think it is our duty to see if this legislation does not lead to unexecutable problems for people who are absolutely not black-sparing.
ParlaMint-NL_2016-06-14-tweedekamer-24.u7	Mr. Chairman. The good intention of the US towards FATCA is to tackle black-sparing, but a number of things are also going wrong. We've talked about that a lot in the Chamber. I have often asked questions about it and we have also had debates on it. This includes people who are no longer accepted by a bank for their investment account, for example. The Secretary of State said in those debates that the big banks would, but that the small banks still had to follow. Has that happened by now? Do the small banks now accept everyone? It's more business. We got a lot of letters. It's about people getting into trouble with mortgages. It would be about 40,000 people. That's what Mr Omtzigt said. I wonder if the Secretary of State can confirm that number. One problem is also that these people often have to deal with tax advice properly. These people have an American passport because they were born in the United States, but otherwise they are only Dutch. They now have to pay instead of €4002,500 to get rid of their nationality. That's a hell of a lot of money. The question is whether the problems in Curaçao are comparable. In the written reply, the Secretary of State already wrote that he expects the same problems there. It's interesting to know how many people this is about. He writes that there's a proposal in the U.S. Congress. Does that help the trouble or not? At the end of 2014 we discussed the treaty with the Netherlands in the framework of FATCA. In it we discussed the Common Reporting Standard (CRS). The Secretary of State said that 80 countries have joined. That's where the financial centers were. There were only five countries not covered by the category "more or less prosperous." The Secretary of State said that he had never heard of some countries and that, if we heard the names of those countries, we would probably think they were hobby associations. I can't wait to see which category Panama fell under. Was that one of those hobby clubs we'd never heard of before, or did the Secretary of State take it for granted with the countries that signed it? After all, much later, after the release of the Panama Papers, we heard that this country agreed. I want to know what's going on. What about other countries, such as Hong Kong, Singapore and the United Arab Emirates, say the usual suspects? I searched the OECD site and found two lists, which I have here in front of me. The strange thing is that I do see the countries mentioned on the list of 9 May, but not on a later list, dated 3 June. Both really come from the OECD website. That's weird. Furthermore, it is not until September 2018 that many countries will have to exchange information for the first time. Why does it take so long? What about the U.S.? The US did not commit to the Common Reporting Standard and did not sign the Multilateral Competence Authorities Agreement (MCAA) because they have FATCA. The question is, then, what is the situation with regard to reciprocity? We also discussed this in the 2014 debate. Can the U.S. request more from us than we do from the U.S.? That's what the Secretary of State said at the time that this was gonna work out. He said that reciprocity was just going to happen and that he had no doubts about it. There was then a law in the U.S. Congress that still had to be signed. What happened to that? I understand Obama wants to, but the Republican part of Congress doesn't want to, and so does the states. The result is that it is not an equal crossing. What will the Secretary of State do with the other countries that do sign the CRS? In the end, we want a level playing field, providing equal data. This is aimed in particular at those states which want to keep their banking secrets. Can they keep their banking secrets this way? Think of Delaware, for example. The CRS cannot be looked into in the past. If we now request something from countries with the exchange, we cannot ask for data from the past. At least that's how I understood it. Can the Secretary of State confirm or deny that? It is said that you will only look at the data relating to the period after the treaty has been concluded. That would be annoying, wouldn't it? What about FATCA? Here we can look back 12 years. If someone cheated on the tax 13 years ago, the state is in bad luck and luck. That's basically what it's all about. But what about if the other country doesn't have to keep that data for so long? If, for example, other countries do not have to keep this data for more than five years, can we get it from them? We prefer that they exchange that data automatically. After all, you want to be able to look at the past as well. I am referring, of course, to being able to look back ten years. Can we tackle people for tax fraud in the past abroad?
ParlaMint-NL_2016-06-14-tweedekamer-24.u8	Mr. Chairman. We have already heard a number of stories from people affected by the FATCA treaties or even more by American law, which, if you have an American passport, you always have to pay taxes there. There are poignant examples where people are very powerless, for example people who were born in 1967 in America because their father had a job there and went back two years later. These people have nothing to do with America anymore, but they are now concerned with the consequences of this regulation. If they want to get rid of that citizenship, they will have to pay $2,000 and they will also have to make tax returns for six years. In addition, they must hire an advisor who costs €5,000. That's a hell of a lot of money, and it's not for everyone. A lot of people just can't afford that. Those cases also come to our attention. It is also about people who want to sell their homes in the Netherlands and who would normally do so, but who do not want to do so because they happen to be covered by this regulation. They may then be used in America for the profits that may be made on the sale of the house. We have, of course, already discussed this once in a while, in general, about the Tax Administration. We have called for a solution. I do not think there is an easy solution, because of course you are not simply changing American laws and regulations, but we understand that there is now a proposal at the US Congress to solve this problem. It is unclear what this proposal means. The Secretary of State would come back to that, but perhaps he can tell us now when a decision might be taken and whether it is a real solution to the problems of all those people who are now in uncertainty: should they give up their American citizenship, should they still make tax returns and spend a lot of money or will there be a good other solution? The Secretary of State has also indicated that he will seek contact with his colleagues in Europe in order to exert pressure from Europe as well. I look forward to seeing the state of play on that route. We also asked about the banks in that general consultation. There seems to be a lower limit in the regulation of €50,000 that banks are allowed to use. Some banks keep that lower limit. Some banks also pass on information below that limit. How do banks deal with this in the Netherlands? The VVD has in the past tabled a motion on FATCA which was also supported by a number of other parties. That motion also meant that the provision of services should not be compromised by the fact that people who can be affected by this regulation can no longer receive services from Dutch banks. That motion has been passed. We would like to know what the state of play is and how the banks are dealing with this now. We believe that this would be a completely undesirable development. The Secretary of State has indicated in the past that we have tax treaties to prevent double taxation. In this case too, double taxation should be paid in a number of cases. It is still unclear to us why an amendment to the tax treaty could not be a solution. We have already adopted the FATCA regulations for the Netherlands. Now this is ahead of Curaçao and the U.S. In view of our final judgment on this story, I'll ask what goes wrong if we don't approve of it. There is now a treaty here, plus an additional treaty. Why the hell did it take us so long to get this story here and why did we even need an additional treaty? We believe that this is a duplication of effort. Apparently, this was in a drawer somewhere. That does not seem to us to be a good thing in terms of treaties.
ParlaMint-NL_2016-06-14-tweedekamer-24.u9	Of course, the Chamber itself is about what it wants to discuss, but I would like to make it quite clear that this is about a treaty between Curaçao and the United States.
ParlaMint-NL_2016-06-14-tweedekamer-24.u10	Certainly, Mr President, with a very large link to a long-standing problem. It is precisely because these two things are connected that I think many colleagues have called for attention to be paid to them. I can tell you now that that will also apply to me. Mr. Chairman. I would like to raise four points. Of course, it's good that the American government is trying to tackle black savers, but we see that many Dutch who are also in possession of an American nationality sometimes they were almost unaware of that now risk being mangled between two systems. What do I say, "Threaten to be"? They're being mangled. Firstly, my group believes that much more could really have been done to support Dutch citizens who also have an American nationality. Many people were robbed by FATCA and were chased at high cost. Recently we discussed this in general about the Tax Administration. The State Secretary then received the results of a survey carried out by the American Overseas Organization. In that you can see that 95% believe that they could have been better supported by the Dutch and American authorities. None of them had, for example, received information from agencies such as the Dutch or the American consulate. That makes it all an extremely painful and unsatisfactory exercise. In that consultation, I asked the Secretary of State whether it was true that banks still refuse to provide services. The Secretary of State would go after that. Mrs De Vries and others have already asked for this. Has there been contact with the banks again? So, how's it going now? If it isn't settled by now, I hope it isn't, but what if it is when? The next point is that we see that the agreements to prevent double taxation are now being distorted. This was also brought to the attention of the US authorities at the end of last year. Other countries also raise it. The Secretary of State writes that a proposal has now been included in the US government's budget proposal for the fiscal year 2017. That is good, but the Secretary of State said it himself: it is, of course, up to Congress in the United States to decide on this. But did I understand correctly that a year ago we actually had exactly the same stand, but then about the year 2016? Doesn't that show that unfortunately it doesn't succeed in putting this into practice? What scenario does the Secretary of State actually take into account in this respect? And what does all that mean for the doomed? How are we getting along with European partners? Mrs De Vries has already asked for this. Has that been contacted by now? What is the status of the consultation with the United States on the adaptation of the existing tax treaty, to which the Secretary of State referred earlier? That is where this point would be brought to the attention of the House. How's that going? What's the timeline? What about the double taxation for the residents of Curaçao? Mr Omtzig asked for the possibility of a separate tax treaty between Curaçao and the United States. Can the Secretary of State state state if there are any plans for that? How are we going to monitor that we are not going to get another exact repeat of moves, that we see the same thing as what we saw in the Netherlands? In reply to written questions, the Secretary of State says that he is not really able to provide an overview of that double taxation and that he is not very well able to indicate at what points the US tax system differs from Curaçao's tax system. That is a pity, because that is, of course, extremely relevant. Will the Secretary of State be monitoring this in the near future? One example is that benefits in Curaçao are not taxed, but according to American rules, people would suddenly have to pay taxes on them. For example, people would be dumped in the same accident as, for example, Dutch people of American nationality who sell their homes. Finally, I have two points to make. The first concerns reciprocity. The Netherlands has been supplying data from American "final stakeholders" of an entity from the outset. The U.S. doesn't supply them to the Netherlands. The Netherlands would exchange the data on the balance of an account, the value of a capital or annuity insurance, the gross proceeds of sale, the repurchase or redemption of assets, the gross amount paid or credited to financial accounts other than deposit accounts and investment schemes all equally. But does that happen the other way around? We've talked about this before, but is this straightened out? It is extremely harsh that there is not even reciprocity at a point where many people in the Netherlands are currently suffering. How's that going? The second and final point concerns data protection. My group asked about the protection of data exchanged between the Netherlands and the United States, which will soon be exchanged between Curaçao and the US. Then the answer to D66's question is whether it is secure that it is not. It follows: "The reason lies in the fact that the agreement between the competent authorities also includes elements on the method of exchange and possible situations of non-compliance of FIs. Apart from the fact that the competent US authorities are very busy preparing for the FATCA in relation to those countries that have not agreed Model I or Model II IGA, the IRS is still developing these topics. It is my aim to agree on those detailed rules before the effective exchange of data with the United States foreseen in September 2015." In the meantime, we are almost a year further. Is this data exchange now waterproof?
ParlaMint-NL_2016-06-14-tweedekamer-24.u11	Mr. Chairman. I signed up for ten minutes, but when I read the pieces, I thought, "Why isn't this a hammer piece?" My first question to the Secretary of State is: why is this 'dishamed', what was then... Oh, Mr Omtzigt and Mrs De Vries shouting: 'We did that!' I missed that for a while. I'd like to know. We all know that at FATCA things go wrong for a certain duped group in the Netherlands, but we all know that the exchange of data between tax administrations, as regulated in FATCA, is very important to prevent black savings and tax avoidance. From that philosophy, I've looked at it. If things do go wrong for Americans who live in the Netherlands, were born or ever got a green card, then these excesses must be dealt with. Does the Secretary of State see any possibility of amending the treaty in such a way as not to undermine those people? Is it the case, as Mr Omtzigt just said, that if I ever had a green card because I once worked there and I sell my house in the Netherlands, then suddenly I have to pay taxes on the profits of my house in America? Is that right? This is put forward here, but this should be tackled in the Convention on the Prevention of Double Taxation. All Americans, wherever they live in the world, are liable to tax. Which other countries apply this principle? In previous questions from me, the Secretary of State didn't get much further than Eritrea. Is that the only country in the world that applies this principle of nationality? FATCA requires financial institutions worldwide to provide the US tax authorities with information on US citizens' accounts, which is in itself a good thing on the penalty of withholding tax. The introduction of FATCA has therefore led many countries to conclude such an agreement, an IGA. The advantage is that the institutions do not have to make direct agreements with America, but can do so through the tax authorities in their own country. I have a few more questions. Why is this IGA closed at Kingdom level and not separately bilaterally between the four countries within the Kingdom and the US? I understand that the Netherlands has already concluded such an agreement with the US. Will we get an Aruba-IGA and a Saint Martin-IGA, for example? Are we gonna talk about that again here? And then all the excesses around FATCA are resurrected? The IGA at Kingdom level is already closed, we read. Then why should there be a separate agreement between the United States and Curaçao? Does it now apply to the Kingdom or to the individual countries in the Kingdom? At what points does this Curaçao IGA differ from the Dutch IGA? Find the differences or is the copy-paste of the Dutch IGA? What are the risks to the Netherlands if Curaçao does not comply with the agreements made? Is this going to end up on the board of the Netherlands or is this a matter between Curaçao and the US? Why does the Curaçao Agreement require the express approval of these States General? Is there also a need for approval by the States of Curaçao? Finally, I would like to ask the same question as Mr Omtzigt. Is there a tax convention to prevent double taxation between Curaçao and the United States? If that does not exist, Curaçao will of course have a completely different problem, because all American citizens will be hit in Curaçao and they will all pay double taxes. We shouldn't want that, should we?
