ParlaMint-NL_2016-07-07-tweedekamer-58.u1	I welcome the Minister for Housing and National Service. I call Mr Bashir.
ParlaMint-NL_2016-07-07-tweedekamer-58.u2	Mr. Chairman. The Minister had promised a fundamental evaluation of the landlord tax, but it has become an investigation of the Minister. It was done by order of the minister, it was paid by the minister, it was carried out by the minister, it was provided with feedback by the minister, and it was accompanied by the minister. This shows that the Minister congratulates the Minister himself very much. I can do better than that. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that the Minister in the First Chamber had promised that there would be a "fundamental evaluation" to be "extremely thorough and dege";]] [[noting that there is almost nothing but criticism of the evaluation carried out by the Ministry;]] [[points out that the assessment of the landlord levy carried out is not sufficient and does not comply with the commitments made;]] [[calls on the Government to present an independent evaluation of the landlord's tax, which is fundamental, thorough and sound, for the 2017 budget,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bashir. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-250]]
ParlaMint-NL_2016-07-07-tweedekamer-58.u3	Then I'll come to the landlord's tax myself. We have recently seen a note from the PvdA group, which is very much in line with the wishes of the SP Group, namely: cancel the landlord's tax, set up a fund and return rent reductions to the tenants. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the growth in the number of households will require more housing in the coming years;]] [[Whereas the landlord levy is a brake on investment by housing corporations;]] [[Whereas the landlord levy has also led to rent increases;]] [[calls on the Government to abolish the landlord's tax and to make arrangements with housing corporations for investments and rent reductions,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bashir. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-251]]
ParlaMint-NL_2016-07-07-tweedekamer-58.u4	Mr. Chairman. After the general discussion on the landlord's tax, we still have two points that I would like to make through motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Government intends to amend the Decision on rental prices for housing in order to encourage the creation of middle-segment housing in the regions of Amsterdam and Utrecht;]] [[Calls on the Government to limit to 40 m the proposed adaptation of the Housing Rental Rates Decision to housing authorised in 2017, 2018, 2019, 2020 or 2021,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ronnes, Mr Albert de Vries and Mr Schouten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-252]]
ParlaMint-NL_2016-07-07-tweedekamer-58.u5	Then I'll get to the second part. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, in the context of the landlord's levy on the construction of new buildings in sparsely populated areas, the government intends to allow a deduction of €20,000;]] [[calls on the government, in areas where there is evidence of negative effects such as those in designated scarcity areas, to also allow the deduction of €20,000,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Ronnes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-253]]
ParlaMint-NL_2016-07-07-tweedekamer-58.u6	Mr. Chairman. I am tabling a motion on the relationship between corporation tax and landlord tax. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the landlord levy is adjusted in a budget neutral manner, to which the Minister sends a bill to the Chamber after the summer;]] [[whereas some housing corporations will pay less landlord's tax and others will pay more;]] [[Whereas the non-accountable landlord's tax is a deduction in corporation tax (Vpb), which means that the housing corporations that are going to pay less landlord's tax will have to pay more Vpb and vice versa;]] [[noting that this may have a disruptive effect on the intended results of the adjustment of the landlord's tax;]] [[calls on the government, in the next assessment of the landlord levy, to pay particular attention to this aspect so that any disruptive effect can be resolved,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Vliet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-254]]
ParlaMint-NL_2016-07-07-tweedekamer-58.u7	Mr. Chairman. The time is short, so I will be sufficient to read out the next motion on the rejection of property ownership. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas housing corporations should promote the availability of affordable housing;]] [[considers it undesirable that housing corporations own commercial real estate such as shops and offices;]] [[calls on the government to take a more active stance to encourage housing corporations to divest commercial property so that these funds can be used for housing for the social target group,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Houwers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-255]]
ParlaMint-NL_2016-07-07-tweedekamer-58.u8	Mr. Chairman. The Minister has presented good plans that we would like to support with a concrete deadline. That's why I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government is taking various measures to promote the new construction of affordable housing;]] [[Whereas this will increase the number of rentals in the regulated sector;]] [[Furthermore, considering that this will make housing that is no longer necessarily needed in quality for the social rental sector available for the liberalised middle segment;]] [[Invites the Government, before 1 January 2017, in the areas where such extension takes place, to adapt the sales rules so that the consent of municipalities in the sale of already liberalised dwellings lapses, and to examine whether the consent of municipalities may also lapse in the case of housing to be liberalised, if it is possible to ensure that this sale benefits this middle segment, for example by establishing in the sales agreement the rent development for the coming years,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Linde. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-256]]
ParlaMint-NL_2016-07-07-tweedekamer-58.u9	It sounds a little complicated, but it's the words of the minister himself.
ParlaMint-NL_2016-07-07-tweedekamer-58.u10	I have a comment first. I thought there was a VVD doctrine that what was already promised would no longer be recorded in motions. Mr Van der Linde is literally reading out the last lines of the Minister's letter. Since he's filing the motion, I have the following question. Does Mr van der Linde mean that we do not throw away old shoes before we have new ones, so that there will only be freedom of liberalisation in areas where new ones have already been built on a large scale? Does Mr Van der Linde say with his motion that we also apply the regulated part, the housing valuation system, above €711?
ParlaMint-NL_2016-07-07-tweedekamer-58.u11	We note that the measures the government is about to take will increase the number of homes in the regulated sector. Then it makes sense that there is also some sales at the top. So I'm talking about the liberalised segment, over €700. What's the difference with the letter? That's the deadline. We would very much like the Minister to deal with this before 1 January. Furthermore, I do not think there is much misunderstanding about the letter itself and about the wording.
