ParlaMint-NL_2016-03-23-tweedekamer-4.u1	I welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-03-23-tweedekamer-4.u2	Mr. Chairman. During the general consultation we discussed in detail the fact that the government itself is lagging behind in achieving sufficient jobs for the disabled. In order to put a little more pressure on that and stress the urgency, I shall table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the government is lagging behind in creating jobs for people with disabilities;]] [[noting that some parts of the government are doing well and others are not doing well;]] [[Whereas the next intermediate measurement for the job appointment will not be available until July;]] [[calls on the government to urgently encourage the rapid improvement of government components which are now lagging behind in job creation;]] [[calls on the Government to report to the Chamber in mid-May on the current state of play of the government components currently lagging behind,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Schouten, Mr Christmas, Mr Karabulut and Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-4]]
ParlaMint-NL_2016-03-23-tweedekamer-4.u3	I am tabling the next motion because a lot of employers are asking to see what people can and should do in practice, including in determining their wage value. That always sounds a bit technical, but the bottom line is that we also have what people can do in practice. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas determination of the reduced wage value of people with disabilities using validated methods is carried out in practice in the workplace;]] [[Whereas in this way it is possible to establish in practice whether someone falls within the target group of the job agreement;]] [[noting that the social partners in De Werkkamer are discussing the introduction of such a practical route;]] [[calls on the Government to allow a "practical route" for determining reduced wage values, whereby the workplace and municipalities work together, allowing this group to enter the target register for the job appointment,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Schouten and Mr Pieter Heerma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-5]]
ParlaMint-NL_2016-03-23-tweedekamer-4.u4	Mr. Chairman. I'll file the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas certain employers in the public sector are lagging behind in creating additional jobs for people with disabilities;]] [[Whereas the Ministry of the Interior and Kingdom Relations intends to better inform public employers about the progress of the employment agreement within its own sector and will therefore inform public authorities about it during the course of this year;]] [[calls on the Government to send this information directly to the Chamber,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Participation Act for young people up to 27 years of age provides for a four-week legal search period in which municipalities are not allowed to deal with applications;]] [[whereas the Participation Act also now calls on the municipality for many vulnerable young people who had previously arrived in the Wajong;]] [[whereas, on 1 July 2015, the Chamber asked the Government to clarify how municipalities deal with this new target group from the moment they report and whether they have sufficient tools to help these young people and to inform the Chamber about it, but it has not yet done so;]] [[calls on the Government to comply with the Court's request and to inform the Court of Justice of this request by 1 May at the latest,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Voortman and Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-6]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-7]]
ParlaMint-NL_2016-03-23-tweedekamer-4.u5	For the sake of clarity, I do not really want to table that motion. If the Secretary of State ensures that the Chamber gets that information, the motion can be withdrawn as far as I am concerned. I have a third motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas more and more municipalities want to experiment in assistance;]] [[whereas the Participation Act provides scope for this through Article 83 and since last summer the Secretary of State has been in talks with municipalities on the preparation of an AMvB that meets the wishes of municipalities;]] [[Whereas municipalities need timely clarity on how the AMvB is going to look, so that they have sufficient time to prepare the experiments;]] [[calls on the Government to send the draft AMvB to the Chamber by 1 June 2016 so that the Chamber can deal with it before the summer recess,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Voortman and Mr Koşer Kaya. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-8]]
ParlaMint-NL_2016-03-23-tweedekamer-4.u6	Mr. Chairman. As part of the Participation Act, it is often about the implementation of the government's agreement with employers that at least 125,000 jobs will be created in the coming years for people who want to participate, but need some extra help. The figures show that business is moving reasonably well, but the government itself is lagging behind. Of course you can't. If you expect something from someone else, you have to do it yourself: practice what you preach. That is why, in two previous motions, which I would like to recall, I urged the cabinet to step up its efforts and come up with an action plan. That is why Mrs Schouten of the Christian Union has just tabled an additional motion on my behalf. I myself make a motion, also on behalf of Mrs Karabulut, on the 30,000 places on top of the 125,000 for people with an even greater distance from the labour market. I've asked questions about it before. An additional 100 million has been made available, but we are still far behind the targets. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the social agreement has agreed that funds will be made available for 30 000 jobs in structural terms for people who can only work in a sheltered working environment;]] [[noting that the number of sheltered workplaces carried out has so far been far below the targets;]] [[calls on the Government to start immediately preparing the necessary legislation to ensure that, should the current investigation by the SZW into the state of affairs in this regard prove insufficient, municipalities are obliged to create sufficient sheltered workplaces as provided for in the Participation Act, i.e. in return for at least the statutory minimum wage for those concerned, as from 1 January 2017,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kerstens and Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-9]]
ParlaMint-NL_2016-03-23-tweedekamer-4.u7	Mr. Chairman. During the debate last week, much talked about the need to open up the practical route within the Participation Act. For my group, too, this was one of the most important points in general consultation. I have also supported a motion by Mr Schouten. In addition, I am tabling two motions on points for which my group also drew attention last week, but where the Secretary of State did not move or did not move sufficiently in the opinion of my group. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the transferability of the purchasing quota to social enterprises is currently under investigation;]] [[Whereas transferability aimed at social enterprises can make a good contribution to employment for people with a distance from the labour market;]] [[Whereas the Socialer Entrepreneurship Performance ladder (PSO) provides the opportunity to shape this in a practical way;]] [[calls on the Government to ensure that, when drawing up the transferability of the quota, purchasing from companies with the highest step on the PCA becomes transferable,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Pieter Heerma and Mr Schouten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-10]]
ParlaMint-NL_2016-03-23-tweedekamer-4.u8	The second motion relates to the access of companies to the UWV files with people belonging to the target group of the Participation Act. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the outcome of the Participation Act is unsatisfactory;]] [[Whereas employers complain about the inadequate supply of possible suitable candidates from UWV and municipalities;]] [[Whereas unlocking the target group for employers increases employment opportunities for the target group;]] [[calls on the government, in the short term, to allow employers to have direct access to the profiles of people in the target population of the Participation Act, in the UWV files,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Pieter Heerma and Mr Schouten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-11]]
ParlaMint-NL_2016-03-23-tweedekamer-4.u9	Mr. Chairman. I have put forward proposals with a number of colleagues on a number of points to deal with the Participation Act. The results remain behind, and that is dramatic. It is particularly dramatic for the disabled, but also for all jobseekers. There are a number of major problems. First of all, I would like to mention bureaucracy, which we have already warned against when the law is introduced. This has to do with dividing people into boxes. Not everyone gets the support he or she needs. On these points we have made a number of proposals for improvement. The second thing that comes out is the budgets. The Secretary of State has cut nearly 2 billion on people with the lowest incomes and on their jobs. Let us not forget that. Municipalities say: we do our best, but we lack resources. I have not yet received an answer from the Secretary of State, but I would like that. The last and of course most important point is: where are the jobs? I'll ask the Secretary of State through you, Mr. Chairman. There have never been so many people in the welfare system, namely 450,000, some of whom are just having a very difficult time. Where is this Secretary of State's job plan? How is it going to get people to work instead of getting rid of them in some bureaucratic scheme?
ParlaMint-NL_2016-03-23-tweedekamer-4.u10	Mr. Chairman. I would like to thank the members of the Chamber for their contributions. For the sake of clarity, I'm passing the motions. I'll start with the Scouts' motion. in piece No. 4 on the job deal. In this motion, the government is asked to report to the Chamber in mid-May on the current state of affairs with regard to the government components that are now lagging behind. I should now like to say that this motion belongs in fact to Mr Blok and Mr Plasterk and Mrs Schouten to ask for the motion to be tabled in a debate with them. But I knew on the basis of the AO that we had that this motion might be in the pipeline. That is why I have updated the two colleagues on this matter. For the sake of clarity, I can leave the opinion on this motion to the Chamber, because both colleagues intend to report to the Chamber. They're doing their best to do that in mid-May. In any case, we will report in spring before we present the number of jobs for 2015. The motion-Schouten/Pieter Heerma in part No. 5 concerns the so-called practical route. We have discussed in general consultation that The Work Chamber is now also working on experimental gardens to see if the practical route is accessible. I have listened carefully to the members of the Chamber and, of course, I have also noted that the majority of this practical route is 'to be pushed' if I may put it this way. That goes for me, too, but I want The Work Room to do the job that The Work Room is doing on Earth. This motion is actually premature, and that's why I should discourage her. On 30 March, The Work Room will meet. I expect The Work Room to put things back with me after that.
ParlaMint-NL_2016-03-23-tweedekamer-4.u11	I also attach great importance to the fact that this is well discussed in the Chamber. I have also indicated this in general consultation. It's not things that are mutually exclusive. I do not want to see all sorts of procedural matters make it possible for this route to take a long time. I'd like to consider holding this motion, but then I'd like to get a letter from the Secretary of State on the outcome pretty soon after De Werkkamer has announced how he's handling this. Then I'll be able to decide if I'm going to file the motion. Is the Secretary of State prepared to send a letter as soon as De Werkkamer has given a ruling? Then we can decide whether we should put this motion to the vote.
