ParlaMint-NL_2016-07-06-tweedekamer-9.u1	I welcome the Minister of Security and Justice.
ParlaMint-NL_2016-07-06-tweedekamer-9.u2	Mr. Chairman. This morning we had a general discussion in preparation for the Justice Council which will be taking place tomorrow and the day after tomorrow, if I am not mistaken, in Bratislava. One of the issues on the agenda is the establishment of a European Public Prosecutor's Office. We have already made the necessary critical remarks as a Chamber. I did that on behalf of the VVD. Given a number of new aspects that emerged, such as a letter from the rapporteur of the House of Representatives and a document from the Foreign Ministers of Germany and France, I think that the time has come to take a more firm position than perhaps has been the case before. To that end, I shall table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas broad agreement appears to have been reached on the European Public Prosecutor's Office (EOM) at the final stage, as there is only discussion on technical and less controversial issues;]] [[whereas, from the outset, the Dutch Public Prosecutor's Office, and now the Dutch Public Prosecutor's Office, has adopted a critical attitude towards the establishment of an EOM;]] [[noting that, in spite of the above, France and Germany have recently indicated their intention to extend the EPPO in the long term;]] [[noting that what is now before us does not satisfy the wishes of the majority of the House of Representatives;]] [[calls on the Government, through the appropriate European channels, to indicate that the Netherlands will not agree to the establishment of a European Public Prosecutor's Office,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Oosten, Segers, Van Nispen, Van der Staaij, Van Vliet, Thieme and Van Toorenburg.]] [[She's getting No. kst-32317-428]]
ParlaMint-NL_2016-07-06-tweedekamer-9.u3	The VVD actually says that it already wants to take a decision on something that we are not going to take until there is a final proposal. That meeting was made with the Chamber. Mr Van Oosten is doing the same thing as what, for example, the SP is doing at TTIP, which is saying that you are against it when the final result is not yet there. My question is very simple: why does the VVD do that?
ParlaMint-NL_2016-07-06-tweedekamer-9.u4	First of all... I have already indicated in my motion that there are a number of aspects. That is also what I said in my introduction. We have received a letter from our rapporteur from the House of Representatives, in which, as far as I am concerned, there are considerable concerns about the commitment, capacity and quality of the Dutch Public Prosecutor's Office. Second. The document issued by the French and German Foreign Ministers worries me deeply. So now is the time to clarify things.
ParlaMint-NL_2016-07-06-tweedekamer-9.u5	Mr. Chairman. My group has also been critical of the European Public Prosecutor's Office from the outset. Contrary to colleagues from the VVD, my group has always said that the European Public Prosecutor's Office should not be there at all, in whatever form; point. My group has tabled a motion on this subject, which has been passed on seamlessly by colleagues from the VVD and the PvdA and which has only changed the operative part of 'the European Public Prosecutor's Office should not come to '...' in its present form. And here is the problem for which the VVD has placed itself. Because what has the Minister said several times? 'We are not going to take any steps in Europe unless we return to the Chamber with the final result'. The Minister is right to say that it was agreed with the majority of the Chamber that we should participate in the negotiations and assess the final outcome after this is done. Unlike the SP and my group, who have always said that it simply should not be there and therefore we should participate fully in those negotiations, the VVD has provided that space. The motion that has just been tabled is for the stage. If the VVD really does not want the European Public Prosecutor's Office, it will table a motion with the operative part "calls on the government to put an end to the negotiations on the European Public Prosecutor's Office, and will proceed to the order of the day." My group will therefore vote against the motion tabled by my colleague in the VVD with his associates.
ParlaMint-NL_2016-07-06-tweedekamer-9.u6	Wait a minute, Mrs. Helder. I see that Mr Van Oosten has another question for you.
ParlaMint-NL_2016-07-06-tweedekamer-9.u7	Mrs Helder must, on behalf of her group, do what she wants to do with motions tabled. I do have a specific question for her. Is the PVV for or against the establishment of a European Public Prosecutor's Office?
ParlaMint-NL_2016-07-06-tweedekamer-9.u8	Stupid questions aren't many, but this is one of them. My group has said from the outset that the European Public Prosecutor's Office should not be there, not now or never, in any form whatsoever. Mr Van Oosten may now ask whether the PVV believes that the European Public Prosecutor's Office should not be there, but we say that before the elections, that is what we say after the elections, and we will always say that. It should not be because we in the Chamber have nothing to say about it. It costs police capacity and capacity in the Public Prosecutor's Office, which we know is not there, and we cannot call the Minister to account because he will no longer be dealing with those officials at the European Public Prosecutor's Office.
ParlaMint-NL_2016-07-06-tweedekamer-9.u9	Mr. Chairman. We only have a short speaking time, but I think it is very important to say that what we are doing today is special, namely to step on the brakes when it seems that this is not necessary. I believe that I must send a very clear signal that the CDA Group does not agree with the direction it is taking. This is a rolling train and all that happens is that the emergency brake is removed. We don't want that. This is an important signal that the Minister must really take it to heart. We cannot agree to continue in this way with other countries that want to take further steps. It is important, and I would like to give this to the Minister, to ensure that cooperation is improved. It's in there every time. We do not need to repeat it; better cooperation is much more reason.
ParlaMint-NL_2016-07-06-tweedekamer-9.u10	I give the floor to Mr Recourt on behalf of the PvdA Group. Your name has one minute's speaking time. I don't know why. That's kind of short. I'll give you two minutes.
ParlaMint-NL_2016-07-06-tweedekamer-9.u11	Mr. Chairman. Thank you. I'm gonna do my best. First, a brief response to the motion tabled by Mr Van Oosten on behalf of a number of colleagues. It's kind of a crazy motion. On the one hand, it states that the proposal before us is not satisfactory and, on the other hand, it calls on the government not to accept it. Is this a request to negotiate better? That's what's happening now. After all, we will not give a final judgment until the final plan is in place. This seems to me to be the most logical way of working. If I explain the motion in this way, I will still advise my group to vote against it, because it is not so negative. It sounds solid, but it seems like a bit of a lame motion to me. Then my own motion. At present, the United States House of Representatives has a law in which America stands above the rest of the world and the US judges are placed above the judges of the rest of the world. I think this is very undesirable, because it also undermines Dutch sovereignty. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that the US House of Representatives is organising a hearing in the context of the Justice Against Terrorism Act (JASTA);]] [[whereas with JASTA the action of the Dutch government within the Netherlands can lead to liability in the United States and thus to astronomically high damages;]] [[whereas JASTA is a major and undesirable violation of Dutch sovereignty;]] [[Notes that the entry into force of JASTA as it currently stands is undesirable for the Netherlands;]] [[also states that this position is preferably expressed by the Dutch Parliament or, where appropriate, on behalf of the Dutch Government at the hearing held by the House of Representatives on JASTA,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Recourt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32317-429]]
