ParlaMint-NL_2016-04-13-tweedekamer-6.u1	I give the floor to Mr Klaver.
ParlaMint-NL_2016-04-13-tweedekamer-6.u2	Mr. Chairman. After two world wars in the last century with millions of victims, our continent wants to be an example to the world. The promotion of democratic and constitutional values is at the heart of the European Union. The UN Refugee Treaty also has its tragic origins in European history. Refugees in the Second World War faced closed borders. That was never meant to happen again. In the meantime, it is clear that Europe is in danger of falling morally with the Turkey deal. GroenLinks has three major concerns. The first concerns the way to prevent people from getting on boats themselves. The way to prevent this is to ensure safe routes. The Turkey deal would start with that. But out of the 400 refugees a day to show good will, only a handful of people have been brought to Europe. Where's the good will? And even more dangerous routes, such as those via Libya, are used more often. What are we going to do about that? Minister Koenders says he wants to talk to Libya, too. What exactly is the Minister's view of this? Libya is an unstable country with four different governments. In addition, a significant coastal area is owned by IS. Why don't we send refugees back? I come to my second concern. In Greece, thousands of refugees are locked in detention centres. They are there without medical care, with too little food and without asylum procedures. There are too few interpreters, lawyers and judges. Last week, one employee was available at Chios for 833 asylum applications. How are these overstaffed employees going to ensure a careful procedure? Should they send a woman with children back to Turkey when the father is already in Europe? And what about the single minors? The conditions of the 50,000 to 70,000 refugees who were already in Greece before the Turkey deal was concluded, such as Idomeni, are dramatic. What's happening to them? The Chamber has passed a motion on an emergency plan for these people for a reason. I come to my third concern, Turkey. A motion from the previous debate states that no one should be sent back before Turkey materially meets the requirements of the UN Refugee Convention. Does the cabinet agree with me that Turkey must meet the following three requirements? Firstly, the requirement for refugees to be able to apply for status in a careful procedure. Syrians are subject to a temporary protection measure on paper. On paper, therefore, some protection is provided for them. Non-Syrians are not protected as refugees in Turkey. Secondly, the demand that no one be returned to an unsafe country. This is the demand that Amnesty International has put an end to. Does the cabinet rely on Amnesty International's facts or does it rely on Erdogan's words? Thirdly, the demand that refugees should have the right to work, health care and education. Turkey is also failing to meet this demand. Take the right to work. Of the Syrians 0.1% managed to obtain a work permit. Non-Syrians have a 0.0% chance of obtaining a work permit; they are not entitled to it. Does the government recognise that Turkey is far from meeting all these requirements? If it does, the conclusion can be no other than that the deal is suspended. It is only when independent European observers say that Turkey meets the requirements of international law that that suspension can be lifted.
ParlaMint-NL_2016-04-13-tweedekamer-6.u3	Mr. Chairman. Europe has a responsibility to provide security for displaced persons. Europe has always taken that responsibility over the years and must continue to do so. It is precisely in order to fulfil that responsibility that reception must be sustained, and that is where the problem lies with the flow that has started from Syria, Iraq, Afghanistan, Pakistan and North Africa over the last few years. This is not sustainable. We must be aware that we in Europe are only on the verge of a much greater migration of people that can start in the coming decades. Population growth combined with climate change and the rise of radical Islam are a source of lasting chaos at Europe's external borders. In this world of growing unrest, Europe is vulnerable. Turkey lies in the middle of chaos and uncertain Europe. The country is a victim, but also a perpetrator. It has absorbed millions of refugees from Syria in recent years, but on the other hand it bombs the Kurds in its own country and beyond and is at least woeful towards IS. Against Europe, Turkey is particularly good at ripping off its leaders. The way Erdogan pointed the finger at the Netherlands immediately after the attacks in Brussels is only a small example of this. However, Europe must make agreements with Turkey. However, the big question is whether you do this from a position of strength, in which you determine conditions, or from a position of weakness. The deal we are discussing today has come about from a position of weakness. Ankara sets the conditions, Europe delivers. While Turkey is in civil war with the Kurds and human rights are being violated, accession negotiations with Europe are being reopened. While the country still operates half-heartedly vis-à-vis IS and the returners, Turkey is promised visa freedom. In addition, Turkey will receive EUR 6 billion for the reception of refugees. In return, Turkey takes back refugees who have travelled to Greece and promises to stop the crossing. That is necessary in itself, but the agreement to stop those boats was already made with Turkey in November, in exchange for EUR 3 billion. It's Turkey that didn't deliver. Now Turkey delivers, but at a much higher price for Europe. That's very clever negotiation for everything. The decline in the flow of refugees is extremely important. And Europe has a role in this, but Europe is a community of values. Turkey's accession to the EU and visa liberalisation should not be used as a means of exchange. We must also be fair to the four countries in the Western Balkans, in particular to Macedonia and Bulgaria. It was those countries that closed the border with Greece, something Europe could not decide on. When that happened, the playing field changed. The countries have made a controversial choice, but it was necessary. In short, the CDA supports the introduction of measures to control the flow. However, we cannot agree to this deal because the price is too high. In addition, there are questions about implementation. How many refugees to be distributed across Europe are we talking about, I ask the Prime Minister. There are different figures on this. Which countries are not participating in the redistribution? What are the consequences for these countries?
ParlaMint-NL_2016-04-13-tweedekamer-6.u4	I would like to return to the point made by Mr Buma. He said it's CDA for curbing the flow of refugees, but not for this deal.
ParlaMint-NL_2016-04-13-tweedekamer-6.u5	Yes.
ParlaMint-NL_2016-04-13-tweedekamer-6.u6	For the sake of clarity, therefore, the CDA believes that the agreements with Turkey should not be allowed to continue. It would rather have thousands of people each day crossing the border to Europe, with all the problems they have to deal with, than these agreements? I say that Mr Buma himself has already agreed to visa liberalisation. It was set in motion by Minister Leers in 2011. The CDA sketches the picture that we have given away that visa liberalisation, but that picture is incorrect. We've already started that trajectory a long time ago. Turkey still has to meet the same conditions as it did then. Mr Buma is therefore rejecting a deal on the basis of incorrect grounds, which solves a huge problem. Is it not wise to return to earth for a moment, to stop the rhetoric and say: let us be equally real; a good performance has been achieved here.
ParlaMint-NL_2016-04-13-tweedekamer-6.u7	No, that's absolutely not wise. The essence of stopping refugees is in the Balkans. The setting up of the Balkan countries is the game changer that made it roll. What we are giving Turkey is that we are indeed accelerating visa liberalisation. That's the deal. It's on paper. It will take place from the end of June and a proposal will be made in April. That wouldn't have happened without this deal. That is a fact, because visa liberalisation was planned for the longer term, but not for the present.
ParlaMint-NL_2016-04-13-tweedekamer-6.u8	Then I am sure Mr Buma will also know what the deadline was.
ParlaMint-NL_2016-04-13-tweedekamer-6.u9	There was no time limit attached to it. Yes, as of November there was another deadline attached to it. But the trajectory was completely shut down. Europe didn't do anything anymore. And why not? Because Turkey is violating human rights. Because we had a debate here last week because Turkey doesn't even call if a terrorist is put on a plane to the Netherlands. It is not safe enough to introduce visa liberalisation at all now. So Mr Zijlstra may argue that, but I say that it is very foolish to link that to this deal, and Mr Zijlstra knows that.
ParlaMint-NL_2016-04-13-tweedekamer-6.u10	Mr Buma knows he's bullshit. It's really pertinent bullshit. Visa liberalisation started four and a half years ago. 1 October was the date of eligibility if the conditions were met. This has been postponed to 1 July and also applies if the condition is met. Mr Buma, like everyone else in this Chamber, knows that the conditions will not be met on 1 July. This will not be the case on 1 October either. The whole story of Mr Buma, in which he rejects the agreements with Turkey that solve a huge problem, is based on pure air, mere rhetoric. That's totally irresponsible. There are no words for the CDA, which in the past has taken care of that sort of thing itself, now wants the refugees to come, just because the possibility of meeting the conditions has been put forward for three months.
ParlaMint-NL_2016-04-13-tweedekamer-6.u11	What has changed completely because of the deal is that Turkey has got its hands on the button. If we do not deliver quickly enough with visa liberalisation, Turkey will be able to open the button again. That's what's wrong. Why is it not ultimately useful for Turkey to open that button? That is not because of the deal, but because the refugees are not going to cross because the borders are closed. They're staying in Greece. That's the big difference. Mr Zijlstra must agree with me that Europe has done nothing to assist those four countries in the Balkans. I was the first to say that there should be understanding of what Hungary did. Everyone in this country fell over that. In the end, the countries like Bulgaria and Macedonia have done the same and solved the problem for us. We then extradited to Turkey. I would just follow the debate in Germany these days, to see that Erdogan knows very well how to take advantage of this deal. That started and we're all there.
