ParlaMint-NL_2016-06-21-tweedekamer-32.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-06-21-tweedekamer-32.u2	Mr. Chairman. I'd like to file two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the government will present a note for the summer with "building blocks" for a new pension system;]] [[calls on the Government to include in the memorandum the advantages and disadvantages of a national pension scheme as mentioned in the ESC Opinion Future Pension Scheme;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the difference between risk-free interest rates and actual returns on pension capital is increasing;]] [[whereas pension funds are likely to have to be cut in 2017 while pension funds are larger than ever;]] [[calls on the Government, in consultation with DNB, to significantly reduce interest rate sensitivity,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ulenbelt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-330]] [[This motion has been tabled by Mr Ulenbelt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-331]]
ParlaMint-NL_2016-06-21-tweedekamer-32.u3	In view of the absence of Mr Omtzigt, I have today, on behalf of the CDA, provided the input on pensions, Mr President. Mr. Chairman. During the general consultation on pensions, the CDA raised the question of the IORP II Directive, the new Directive on pension funds, which makes it easier for pension assets to leave the Netherlands. This amounts to more than EUR 1,300 billion of pension assets. It is about the pension of all Dutch people. This is twice as much money as we make in the Netherlands each year. It is by far the largest savings bank in the entire European continent. The House of Representatives issued a yellow card against this draft directive. The CDA asked to disagree with that directive. In the end, the House of Representatives made a parliamentary reservation. This was lifted in June 2014 under the agreement that the government would inform the Chamber more frequently each quarter and if necessary, and that the House of Representatives could receive a final text in due time, together with an appreciation of the government before the government agreed to any compromise that would be reached in the trialogue phase. Despite repeated questions from the CDA Group, little has come of the first. There has been only one formal report on IORP in two years. However, six rounds of negotiations appear to have taken place. Can the government explain why it takes agreements with Parliament so little seriously? Now the Chamber has only been informed orally confidentially about the progress. That is rather unsatisfactory, especially since this was an official briefing. We didn't get an insight into a number of cases during that briefing. That is why, first of all, we would like to hear a clear explanation of where we are now at all points in the negotiations. We also ask for the texts that are now before us. Secondly, my group is asking the government to give us an overview of the state of play. Is there an agreement now, or is there no agreement on the final text? Thirdly, the CDA insists on receiving the final texts with an appreciation and having the opportunity to debate them before the government takes a position in Coreper or in the European Council. That is why we would also like to receive an indicative timeline for the discussion, especially if the government is committed to adopting this directive by 30 June, as the Minister for Finance announced on 15 June. Finally, my group asks the government, the CDA's parliamentary questions on this subject, to answer them carefully and before next Thursday at 12 noon.
ParlaMint-NL_2016-06-21-tweedekamer-32.u4	Mr. Chairman. I'm filing two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas on 16 June 2016 the Eurogroup set out general principles for strengthening the sustainability of European pension systems;]] [[calls on the government not to accept any further European involvement in Dutch pensions,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas pension rights on a private basis are regarded as property rights and are "property" within the meaning of Article 1 of the First Protocol to the European Convention on Human Rights (ECHR);]] [[Whereas the right of ownership in the form of Article 1 of the First Protocol is legally binding and requires a proper and adequate justification of those measures which will interfere with them;]] [[calls on the Government to review any pension reductions in accordance with European Treaty law and to inform the Chamber about them by Prinsjesdag at the latest,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-332]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-333]]
ParlaMint-NL_2016-06-21-tweedekamer-32.u5	Mr. Chairman. Pension funds are in extremely bad shape. We have talked about this. We are in the middle of a debate on the future of that system to make it more crisis-proof, to offer more choices and to change all kinds of other things. The Secretary of State has promised that she will also pass on a real crisis scenario of the variant IB of the ESC. In the scenarios we had calculated, the coverage levels already fell to 80%. I look forward to the details in which the really black scenarios that occur, for example, in the current crisis, are calculated. I await that with great interest. The Secretary of State has said that he wants to evaluate the Settlement Pension Rights Act in divorce, which is long ago. However, I shall table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Law on the settlement of pension rights dates back to 1994;]] [[noting that the Pensions Compensation Act was last reviewed nine years ago;]] [[Whereas social developments have not stopped at that time;]] [[calls on the Government to review the Settlement Pension Rights Act in 2016,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Weyenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-334]]
ParlaMint-NL_2016-06-21-tweedekamer-32.u6	We have also talked about the bonuses, for example, an average bonus at APG is twice a modal annual salary at times when pensions are not indexed and sometimes even reduced. The Secretary of State has said that the Minister of the Interior will raise this point in consultation with the ABP. I am very curious whether that has already happened and what the outcome was.
ParlaMint-NL_2016-06-21-tweedekamer-32.u7	Mr. Chairman. Jean-Claude Juncker, the President of the European Commission, from Luxembourg once said: "We decide something. We'll bring that in and wait some time to see what happens. If there is no misfit, no rebellion breaks out of it. Most people don't understand what's definitely going on.Then we go a little further. Step by step until there is no return possible." This is about European directives. That's what's going on with pensions now. Mr Krol has already mentioned this. I have a motion that is a bit in the same spirit, but a bit different. I think they complement each other well. This motion is to prevent technocrats from Brussels or figures from other countries from ever touching our retirement pots. That money belongs to us Dutch. That money's deferred pay. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas pensions in the second pillar are deferred wages of Dutch citizens;]] [[believes that the EU or other countries in the EU should never, ever, have control over our pensions and pension funds;]] [[calls on the government not to implement any EU pension directive, such as IORP,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-335]]
ParlaMint-NL_2016-06-21-tweedekamer-32.u8	Mr. Chairman. I would like to thank the Members for their input and the motions and questions that have been put to them. Mr Ulenbelt asked the government in the motion for a resolution on item No. 330 to include in the note, which we intend to send to the Chamber, the advantages and disadvantages of a national pension scheme. During the general consultation I have already informed Mr Ulenbelt that this variant is not included in the perspective paper. This variant is too far-reaching, as is the variant of purely individual pensions without compulsory retirement. Both variants are not commented on. So I advise against this motion.
ParlaMint-NL_2016-06-21-tweedekamer-32.u9	I expected that, but it is presented to the parties as very useful building blocks for the election programme. If the government is so service-prepared, is it logical to indicate the advantages and disadvantages of all the variants mentioned by the ESC? I don't think that's weird. We want building blocks for our election program.
ParlaMint-NL_2016-06-21-tweedekamer-32.u10	Of course it is good to look at what can count on solid support. For that, it is a good idea to look at what the ESC has made so far and then to graft our findings on it. Mr Ulenbelt's second motion on item No. 331 asks the government to consult with the Netherlands Bank to significantly reduce interest rate sensitivity. Of course, we also discussed this in the debate during the AA. I have promised that we will investigate the interest sensitivity of the system, also on the basis of the situation abroad. This means that I will not enter into any further consultations with the Dutch Bank. I must therefore also advise against this motion. Mr Ronnes, who is new to me and replaces Mr Omtzigt, has asked a number of questions. In fact, once the negotiations on the IORP directive have been concluded, he has asked the government to send the outcome of the negotiations to the Chamber as soon as possible and to inform the Chamber before final decision is taken in the Council. I'd be happy to admit it. That's good use, too. Mr Ronnes also asked me to answer Mr Omtzigt's questions. Oh, yeah, yeah, yeah, yeah, We are also doing so, but I do not think we can achieve this before noon on Thursday. We need a little more time for that. Mr Krol asked the government in the motion for a resolution on item No. 332 in order not to accept any further European involvement in Dutch pensions. I have already promised that as soon as there are results, I will share it with the Chamber. Then, of course, the Chamber has a say in this, but it is going very quickly not to accept any further European interference for a very short period of time. So I'm not suggesting this motion. The motion in part No. 333 calls on the government to review any pension reductions in accordance with European Treaty law and to inform the Chamber on Princess Day about this. I informed the Chamber that with the state of affairs of 31 March, in all caution, there might be discounts at that time for 2017. Further information is therefore not appropriate at the moment. I have to discourage this motion. Then there is the Van Weyenberg motion in part No. 334. It calls on the Government to review the Pension Compensation Act in 2016. I have already promised during the debate that I find it very worthwhile to evaluate this law. I hope to be able to do so in 2016. If that doesn't work, I'll let the Chamber know. I'll leave the verdict on this motion to the Chamber.
ParlaMint-NL_2016-06-21-tweedekamer-32.u11	I would like to adjust the operative part to accommodate what the Secretary of State says. It'll look nice. I think I can do that at the microphone. I would like to make the operative part as follows: "calls on the Government to evaluate the Settlement Act, if possible already in 2016.' Then I do justice to the Secretary of State's commitment. I thank her for that commitment. I heard the secretary of state is just gonna try.
ParlaMint-NL_2016-06-21-tweedekamer-32.u12	I'm gonna take a look at the Secretary of State. I see her nodding and seeing that she agrees with this change.
ParlaMint-NL_2016-06-21-tweedekamer-32.u13	Sure. I'll still leave the judgment to the Chamber.
ParlaMint-NL_2016-06-21-tweedekamer-32.u14	Then the verdict is still up to the Chamber.
ParlaMint-NL_2016-06-21-tweedekamer-32.u15	The Van Weyenberg motion (No ) has been amended to read as follows: It seems to me that their submission is sufficiently supported. She gets no, was no. 334 (). [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Law on the settlement of pension rights dates back to 1994;]] [[noting that the Pensions Compensation Act was last reviewed nine years ago;]] [[Whereas social developments have not stopped at that time;]] [[calls on the Government to evaluate the Settlement Pension Rights Act as early as possible in 2016,]] [[and goes to the order of the day.]]
ParlaMint-NL_2016-06-21-tweedekamer-32.u16	I have another supplementary question. The motion makes it very clear that any pension reductions are involved. I'm not putting the Secretary of State on the line at all. I'll ask you to test them when they get there. I don't think that's too much to ask.
ParlaMint-NL_2016-06-21-tweedekamer-32.u17	A formal review on this point, even in the case of discounts, is, of course, not relevant in this way. I do not expect, as I have informed the Chamber, that there will be additional discounts in the very short term. That's what it's all about. So I'm not gonna let this motion go. Mr Van Weyenberg asked whether I know if my colleague, Minister Plasterk, has already spoken to the ABP. I don't know. I'll see when that's in order. I think it makes sense to ask my colleague to let the Chamber know what the findings are. The last motion is the De Graaf motion in part No. 335. It calls on the government not to implement any EU directive on pensions, such as IORP. The Chamber will understand that I'm disavowing this motion. We are, of course, very busy negotiating in this context. I have already promised that the outcome of the negotiations will reach the Chamber as soon as there is. I have come to the end of the comments of the motions.
ParlaMint-NL_2016-06-21-tweedekamer-32.u18	I am still missing an answer to the question of whether or not there is agreement on the final text.
ParlaMint-NL_2016-06-21-tweedekamer-32.u19	At present there is no formal agreement on the final text.
ParlaMint-NL_2016-06-21-tweedekamer-32.u20	The Secretary of State insists that there is no formal agreement. Is there a political agreement?
ParlaMint-NL_2016-06-21-tweedekamer-32.u21	No. As soon as there's a result, I'll let the Chamber know immediately.
ParlaMint-NL_2016-06-21-tweedekamer-32.u22	Then why does the Secretary of State use the word "formally"?
