ParlaMint-NL_2016-02-18-tweedekamer-13.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-02-18-tweedekamer-13.u2	Mr. Chairman. We've had a general discussion about discharge in health care. Every time you hear the cabinet, in this case by State Secretary Van Rijn, say that the aim of policy is to maintain work with decent working conditions. If that's what you want, you're gonna have to see if it's gonna work out that way in practice. What do you see in practice? Dismissal of care personnel, because the rates paid do not allow sound management. What do you got? Just beautiful words. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the use of this cabinet is "preservation of work with decent working conditions";]] [[Whereas the Code of Responsible Market Behaviour Home Care indicates how to arrive at a cost-covering rate;]] [[considers that it is only after examination that municipalities comply with the obligation set by that Cabinet to contract in accordance with decent conditions of employment laid down by that Chamber;]] [[asks the government to investigate the applicable rates in contracts concluded by municipalities and to inform the House of Representatives before 1 July 2017,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Keijzer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-135]]
ParlaMint-NL_2016-02-18-tweedekamer-13.u3	Let me ask you a quick question about the motion. Is the motion on the Wmo or is it also about the Youth Act?
ParlaMint-NL_2016-02-18-tweedekamer-13.u4	This motion is about the Wmo, because the general consultation was mainly about it. I've already filed motions on other parts of the care. I don't rule out doing that again in the future, but this one is really about the Wmo and especially about home care.
ParlaMint-NL_2016-02-18-tweedekamer-13.u5	Mr. Chairman. We had a debate on the imminent bankruptcy of TSN. There would be no people without care, because there is a duty of care and the continuity of care is in good hands. However, all the clients in Bunschoten today received a letter that it is quite possible that they will be out of care for a few weeks due to the bankruptcy of TSN. I ask for a reply from the Secretary of State, because this morning he said something else to us. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that home care organisation TSN will soon go bankrupt;]] [[noting that home care organisation Neighborhood care offers municipalities to acquire parts of TSN, as a public-law organisation, thereby guaranteeing employees' conditions of employment, maintaining the relationship between clients and employees and assuming a basic rate of €21;]] [[considers that these conditions should apply to all organisations taking over the work of TSN;]] [[calls on the Government to ensure that all care parts of TSN are taken over under the same minimum conditions as Neighborhood care guarantees, even if the care is taken over by healthcare institutions other than Neighborhood care,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-136]]
ParlaMint-NL_2016-02-18-tweedekamer-13.u6	While employees and clients are in great uncertainty, they read that TSN's parent company, the ADG service group, has locked away their risk, so that it lies with the employees in the event of bankruptcy and on the sign of clients. I think this stinks, and the Secretary of State actually thinks so, as he said in reply to Parliamentary questions. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that home care organisation TSN will soon go bankrupt;]] [[points out that it is important to investigate whether TSN acted administratively and legally correctly during the period prior to bankruptcy;]] [[calls on the Government to ensure that investigations are requested from the Entrepreneurship Chamber and, in the final case, to do so itself,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-137]]
ParlaMint-NL_2016-02-18-tweedekamer-13.u7	Mr. Chairman. Mrs Voortman would normally be the first author of this motion, but unfortunately she cannot be present because of private circumstances. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, in consultation with trade unions and the VNG, it has been decided that an AMvB lays down that municipalities purchase WMO care on content and quality;]] [[considers that these principles should also apply to care based on the Youth Act;]] [[calls on the Government to lay down the same principles in an AMvB to the Youth Act,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bergkamp and Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-138]]
ParlaMint-NL_2016-02-18-tweedekamer-13.u8	Mr. Chairman. If it had been up to 50PLUS, it would not have been necessary to talk today about the huge job losses in care and the uncertain situation for employees and clients of TSN. It was not our choice to cut back and shift all these care tasks to the municipalities with a narrow budget, which means that care organisations have to work below cost with all the consequences. Now that we're at it, we need to minimize the damage as much as possible. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas according to the CBS, 45-plussers, in particular women, have often lost their jobs in the care sector;]] [[Whereas the measures announced for this group are not expected to be effective, given the job losses and the experience with the Action Plan 50plus;]] [[Whereas unemployment among 45-plussers, in particular long-term unemployment, is a major social problem which deserves structural attention;]] [[calls on the government to focus on more tailor-made guidance of 45-plus unemployed people in the care sector, allowing guidance to work both inside and outside the sector;]] [[calls on the Government to involve the Ministry of Social Affairs and Employment, if necessary, and to inform the Chamber within two months,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23235-139]]
ParlaMint-NL_2016-02-18-tweedekamer-13.u9	Mr. Chairman. The VVD is confident that both the municipalities, the healthcare providers and this State Secretary are closely monitoring the continuity of care for clients. However, municipal money has to go to care rather than institutions. The municipalities are free to contract Neighborhood care, but also other providers. They should not be forced to pay the collective agreement scale 15 while they need contracts with Schoonhuis on a scale 10. It is crazy that we first decentralise home care and afterwards make additional demands about who is or is not allowed to deliver that care and at what price. Decentralisation makes it possible to take account of local demand and supply. The VVD wonders what the policy freedom of municipalities still consists of if you are going to oblige them in what way and from whom they buy care in their municipality. Of course, everyone has to comply with existing laws and regulations, but the VVD is opposed to more stringent rules for care than for other sectors. It destroys jobs. It can't be that a host parent can be mediated but not an alpha helper. In December, the Secretary of State promised not to waste unnecessary time on good practice in municipalities in the drafting of his regulatory arrangements. We will assess the General Measure of Governance that is still coming to the Chamber on the freedom of policy for municipalities. I tabled a motion on this in December. I shall hold on to that motion until I know how that commitment is implemented.
ParlaMint-NL_2016-02-18-tweedekamer-13.u10	I see the Secretary of State can respond immediately, so he has the floor now.
ParlaMint-NL_2016-02-18-tweedekamer-13.u11	Mr. Chairman. Mrs Leijten asked a question about the municipality of Bunschoten. I will contact the municipality in the context of hearing and hearing again about what Mrs Leijten has said, in order to find out exactly what is going on there. I now come to the motions for resolutions. In the first motion, which in part No. 135, Mrs Keijzer asked the government to investigate the rates in the contracts concluded by the municipalities. We have discussed this in detail in the debate. Actually, I'm a step further than that. Indeed, an investigation is already in place. Last year, the Chamber received Berenschot's research into tariff development. Indeed, that reduction was outlined in it. All this has happened not only last year, but in the last ten years. With this knowledge at home, we have had discussions with, among other things, the unions and the municipalities to see under what conditions there can be good purchasing. So I don't need a new investigation for that, because we made those agreements. I would point out that the Central Planning Bureau and the Social and Cultural Planning Bureau are already investigating the domestic aid market. A qualitative and quantitative study of the effects of tariffs, among other things, is also included. I also indicated in the debate that the rate as such does not, of course, say anything about whether you have decent working conditions. Let me take the example of the €23 Mrs Keijzer mentioned in the debate. That's what the TSN says: I can pay scales 10. And that's what neighborhood care says: I can pay 15 scales of that. The difference has to do with the overhead, the management layers, the absenteeism and everything that goes with it. So I don't need any new research. The AMvB has been set in motion. I'm dissuading the motion. Mrs Leijten says with her motion in part No. 136, in fact, that the proposal from Neighborhood care that is now on the table is so good that it should actually be introduced everywhere. I would like to thank Mrs Leijten for the compliment that we have managed to make a good proposal with all parties. But if municipalities would like something different and would like to talk to other providers, we cannot, of course, arrange here at this table that all these municipalities or all those providers would come up with the same proposal. I trust that the commitment will continue to be focused on continuity of care, that the couples will be maintained as much as possible, that employment will be guaranteed and that working conditions will be safeguarded as much as possible. There is a takeover proposal that municipalities can respond to, but of course they can also negotiate with other providers. We cannot decide that here in The Hague; the municipal councils must do so. They're working on that, too. There are also all kinds of municipalities that are now ticking that out with their suppliers. That's why I'm dissuading the motion.
ParlaMint-NL_2016-02-18-tweedekamer-13.u12	Mrs Leijten has another question about the motion.
ParlaMint-NL_2016-02-18-tweedekamer-13.u13	I would also like to ask a very enlightening question about the interpretation. My colleague Siderius tabled a similar motion with Mr Van Dijk of the Labour Party not so long ago. It said that there should be good working conditions, in accordance with the agreements between the cabinet, the municipalities and the trade unions, and that the relationship should be maintained. Those are all kinds of things that have now been offered by Neighborhood care. That is what the Secretary of State said at the time: that is policy support, that is what I am going to do. Then how can he say: it goes too far for me, I cannot impose it?
ParlaMint-NL_2016-02-18-tweedekamer-13.u14	My bet was, is and will remain the same. In the motion tabled at the time, the government was asked to inform the Chamber of the latest state of affairs, including in the light of the agreements made with the municipalities and the trade unions on how to ensure that working conditions and employment in care remain as intact as possible. Mrs Leijten knows my commitment on that point. It has also led to results. I just thanked her for the compliments. At the same time, we are asking: what about those municipalities that do not want to respond to that offer of Neighborhood care, who may want to make other agreements about it, with other providers? My bet remains the same. It is up to the municipalities to make that happen. We cannot, of course, arrange for a provider to say: oh, I also use that condition. So that will really have to be agreed between municipalities and providers.
ParlaMint-NL_2016-02-18-tweedekamer-13.u15	The Secretary of State has already thanked me twice for something he has not done, but what a provider has done. This is by the way the response to a motion which has been widely adopted here. I note that the Secretary of State does not think that this should apply to other providers and that it is therefore a bit of a show-off with other people's feathers.
