ParlaMint-NL_2016-09-27-eerstekamer-3.u1	I would like to welcome the Minister of Health, Welfare and Sport to the First Chamber.
ParlaMint-NL_2016-09-27-eerstekamer-3.u2	Mr. Chairman. It has been a long time since the preparations for this bill started. At that time it was still responding to an actual development, now we are actually already partly behind the facts. The media reports almost daily on new initiatives, programmes, possibilities and wishes for electronic exchange of medical data. The number of eHealth applications grows every day, as well as the technical possibilities to give patients more direction. With these developments, it is all the more important to ensure legally that the electronic exchange of information, the exchange of information, the protection of privacy and the patient's ability to control it, is also guaranteed. That's what we want to do with this bill. In 2011, the bill, still under the name of epd, was stranded in the Upper House. Among other things, the Chamber considered that privacy was not sufficiently secured and the direction was too central. A number of conditions have been advocated through the Tan motion. This law wants to meet those conditions. The keyword is no longer "file," but "customer rights," the rights of clients. The bill makes a significant adjustment. Our group wholeheartedly supports the line for greater attention to the rights and direction of patients and clients. Greater involvement can greatly improve the quality of care. The exchange of medical data may be of great importance to patients, particularly with regard to medication. This data has been digitally stored for a long time and has also been exchanged. Good conditions are therefore important. The privacy of the patient, the security of communication and the rights of the client should be well protected. For privacy protection, this is actually already well regulated by the WGBO (Law on Medical Treatment Agreement), the Personal Data Protection Act, NEN requirements, NHG directives and also through EGIZ (Electronic Data Exchange in Healthcare), its own Code of Conduct in the sector. That's what the Dutch Data Protection Authority says. The law also makes the safeguards more effective for the electronic exchange of data. That is a good thing. This is different for the security of electronic data exchange and the rights of the client. It is a good thing that this law aims to achieve a substantial improvement on these points. The aim of the law is to lay down the framework for the safe exchange of medical information in such a way that the standards in force can be adapted to new technological security possibilities without the need for new legislation. That's important. ICT developments are moving so fast that it would not be good if every new technological opportunity required ever new legislation. New is that the law significantly strengthens patients' rights. Thus, consent specified by law becomes a requirement. This means that patients are given the opportunity to direct what is in the file and who is allowed to access what data. The law regulates logging and listing. This gives patients the right to digital insight into who has had access to the file. In other words, the law provides that patients can access, manage and give specified consent to third party use online. That is a good thing and fits in perfectly with the policy of putting the patient more at the centre. However, there are still a few practical problems in this respect. First of all, the fact that not all patients can or want to manage their files themselves. Can the Minister promise that self-management of the medical record will become a right and not a duty for patients? A very uncomfortable fact is that the provisions on client rights and the specified consent contained in Article 15 are currently not technically feasible. This is particularly uncomfortable because the law aims to strengthen client rights. The Minister proposes that the provisions concerning logging and listing, patient electronic management and the specified consent should not be introduced for a period of three years and that Article 15b should not be introduced. Our group can agree to the latter. The field has for a long time indicated that there is no clarity as to whether it will be feasible in three years' time. Both the adoption of a law which is technically impossible at the moment and the three years delay of important provisions without an understanding of its feasibility in three years' time makes it a difficult matter for the Court. How can you clearly submit the possible choices to patients; who should do so; who should finance? The term "specified consent" is new. It was unclear for a long time what to mean and whether or not it could be implemented. This led to the demand for the added value of now adopting the law, because important parts of it are unclear or unworkable. This question gave rise to an additional technical briefing and an additional hearing to hear the views of the various parties involved. That was enlightening, even if, or precisely because, not all participants are aligned. In the meantime, a letter from the organisations ActiZ, InEen, KNMG (Royal Netherlands Society for the Promotion of Medicine), KNMP (Royal Netherlands Society for the Promotion of Pharmacy), LHV (National Family Doctors Association), Nictiz, Patient Federation NL and the NVZ (Dutch Association of Hospitals) has come together this summer. They consider the law important to give a clear perspective. They write that there is acceptance and willingness to implement a solution, whereby the patient himself registers and manages his consent. The three-year extension of certain components is considered a condition for the organisation to be able to achieve its technical feasibility. Organisations such as KBO-PCOB, Reumafonds and the Nier Foundation also advocate the legislative proposal. Where there were previously concerns in almost the entire field and a plea for postponement, there is now support for a wide variety of organisations involved.
ParlaMint-NL_2016-09-27-eerstekamer-3.u3	It is true that a number of organisations would like this bill to be adopted. However, there are also organisations, particularly in the area of human rights, which say that the bill should not be adopted. They think data privacy is deteriorating. In addition, we are still faced with the problem that it is still unclear whether the specified consent, which Mrs Martens' party in particular would like to see, is possible at all. Not to mention that access to patient data by the patients themselves is also possible in a safe manner. On the initiative of the ministry of VWS, Privacy Care has conducted an investigation into this possibility. The question was what degree of protection you should have. Privacy Care says that it is far from possible to communicate safely at that level. How does Mrs Martens feel about this?
ParlaMint-NL_2016-09-27-eerstekamer-3.u4	Indeed, we have also received letters from organisations that argue that it should not be allowed to continue. That's what I just told you. Just at the point of Privacy Care I have a question in my contribution, because safe exchange and privacy are of course important.
ParlaMint-NL_2016-09-27-eerstekamer-3.u5	I am glad to hear that, but I suppose it could still be a stumbling block for Mrs Martens.
ParlaMint-NL_2016-09-27-eerstekamer-3.u6	That is what we are going to take into account in our deliberations, as is customary. If you ask questions, you wait for the Minister's answer. On that basis, a judgment is made.
ParlaMint-NL_2016-09-27-eerstekamer-3.u7	I'm still looking for some clarification from the CDA on the specified and generic consent. The generic consent was a no-go. This was already clear in previous debates. The specified consent was a condition. Does the CDA share the estimate that by postponing the specified consent by three years there is de facto generic consent for the first three years?
ParlaMint-NL_2016-09-27-eerstekamer-3.u8	It is now also necessary to give consent and to indicate the data on which basis and why. So that's not generic by definition.
ParlaMint-NL_2016-09-27-eerstekamer-3.u9	Mr Ganzevoort briefly, because we are very tight in time.
ParlaMint-NL_2016-09-27-eerstekamer-3.u10	I understand that, but I think the question of what is generic and what is specified is one of the key points of the debate. Mrs Martens says this is actually specified. That's how she describes it now, even though it's not specified yet, but generic. I believe that we still have the same confusion of speech as we have in recent years. I am very curious to see whether we can clarify this.
ParlaMint-NL_2016-09-27-eerstekamer-3.u11	The situation as it is now is as it is now. What is regulated in this bill is that patients are given the opportunity to give specific consent. That's the new thing. You can't make this law that it's different from what it is now.
