ParlaMint-NL_2016-02-17-tweedekamer-5.u1	I would like to welcome the Prime Minister and the Foreign Minister.
ParlaMint-NL_2016-02-17-tweedekamer-5.u2	Mr. Chairman. "Recommended to lay the foundations for an ever closer union between the peoples of Europe," the preamble of the 1957 Treaty of Rome, which is still in the Treaty of Lisbon, begins. For me, this is a declaration of intent. If speculators and venture capitalists try to break your coin, don't let them drive you apart, but find a solution together. When terrorists sow death and destruction to create fear and division, you don't let them drive you apart, but you will deal with the problem together. If 1 million refugees a year reach the coasts of Europe, it is not every man for himself, but together you come up with a solution. That's not easy, sometimes very difficult, but together we can be very strong. It is ironic that the British have included this symbolic phrase in their demands package. It is precisely in order to avert a threat of Brexit that once again a tour of European cooperation is needed. Of course I want to keep the British in the Union, but I doubt the wisdom of accepting unilateral and sometimes irrational demands. I have some questions about that. I would rather have a European Union without Britain that can work together than an EU that does not like, cannot or does not want to cooperate with Britain. Not long ago, the banking crisis was one of the EU's major problems. The euro area has worked hard on possible solutions. Great Britain often does not participate and prefers less to happen. Little has changed in the City. Bankers still take irresponsible risks, encouraged by exorbitant bonuses. Countries outside the euro area may participate, but should not be given more say in monetary policy than countries within the euro area. Can the Prime Minister promise this? Everyone wants less rule pressure, but there are a lot of rules for a reason. The EU sets standards for the protection of consumers and the environment worldwide. I don't want the knife in there. Does the cabinet see the danger that necessary rules, such as those relating to car emissions, will be delayed or abolished? I now turn to the free movement of workers. One of the freedoms on which the Union can be proud and of which it is becoming stronger is an equal pay for equal work in the same place. Minister Asscher also announced this last week. How does this relate to a proposal for European workers in England to take their tax credits? Is this guarantee mechanism to prevent abuse of social security, the new standard, or is this really the exception? We should also find a solution for the reception of refugees as a closer union. We hear from the Prime Minister contradictory noises about this. The Prime Minister sometimes pretends to have already done it and as if there are really zero refugees coming in soon. How is that possible if Turkey continues to be sucked into the increasingly disastrous war in Syria? The Netherlands and Europe need to find a realistic solution to deal with refugees together, with a redistribution mechanism and with sanctions for non-participants, but the Prime Minister incites the crisis with vagueness and creative accounting. What is the plan B that makes this prime minister float over the market? We asked about that last week, but then we didn't get an answer. Does the Prime Minister agree with me that we should not go to a Europe with closed internal borders? Here too, my group is not seeking division, but rather a closer union between the peoples of Europe.
ParlaMint-NL_2016-02-17-tweedekamer-5.u3	Mr. Chairman. The agenda of the European Summit is dominated by two main issues: the refugee crisis and the British referendum. Last week Prime Minister Rutte spoke warm words to the Turkish Government in this Chamber. Shortly after these words of warmth and warmth, Turkey started bombing Kurds in Syria. That's causing very big new problems. Surely it is too crazy for words to say that the Kurds who are trained in Iraq by NATO-country soldiers Netherlands to fight IS are being bombed out of Syria by NATO-country Turkey? What is the Prime Minister's opinion on these actions by Turkey? This type of unilateral action that hinders the fight against IS must have an impact on the negotiations on Turkey's accession to the European Union. There can be no other way if Europe still has an ounce of self-respect. However, Turkey is playing with Europe and the Prime Minister is getting his hat on by the Turkish Government. The Netherlands needs a prime minister who stands for the Dutch and European values, responsibility, justice and freedom, but not a prime minister who stands for the values of power, pride and honour displayed by the Turkish government. Getting Turkey into the EU is not the way to solving the refugee crisis. The problem is now in Europe itself and we must look first and foremost at Greece. That country crosses deadline after deadline. It doesn't or doesn't assist. It doesn't spend the money it gets, or it doesn't spend it wrong, and after a year and a half we still have to search with a lantern. And what does Europe do? Europe gives the Greeks another three months. But there isn't that time. Control at the border of Greece will have to be restored at least temporarily in these circumstances.
ParlaMint-NL_2016-02-17-tweedekamer-5.u4	Last week we also debated this, including the chairman of the VVD's group, Halbe Zijlstra. He said here loud and clear that Turkey should never become a member of the European Union. We were a little surprised by that, but I would like to mention this because Mr Buma is also talking about Turkey. He has undoubtedly read the European Parliament's critical report. Is the CDA Halbe Zijlstra saying that Turkey should never become a member of the European Union?
ParlaMint-NL_2016-02-17-tweedekamer-5.u5	Yes, and that is not surprising in itself either, because that is already in the CDA's European election programme. It does not so much say "Turkey gone" or "never cooperate with Turkey," but it does offer an alternative to membership. That is what the European People's Party, which the CDA is a member of, says too. That is the step that should be taken now. No one is asking for Turkey to be pushed away altogether, but both the Turks and Europeans are aware that Turkey will eventually not join, but that you must live together as good partners. That has to come from both sides.
ParlaMint-NL_2016-02-17-tweedekamer-5.u6	Does Mr Buma think that we should stop the pre-accession funds for the negotiations with Turkey?
ParlaMint-NL_2016-02-17-tweedekamer-5.u7	If you really link this to the 'pre-accessional fees', a nice bureaucratic European word, then I say: of course not. At the same time, apart from that, it is not at all my main priority to talk about pre-accession funds.................................................................................................................................................................................................................................................. The government has also discussed this in Europe. If we are asking Turkey to receive refugees, what we are doing, then we must also be prepared to contribute to them. 'Pre-accessional fees' is a word that does not please me very much, but Mr Voordewind talks about stopping giving money. I'm afraid that 3 billion will be very much needed. I was talking about the Greek border controls. In January, the Prime Minister himself set a deadline: within six to eight weeks, the flow from Turkey must go to zero. This deadline ends in mid-March. Then the influx into Greece must have been reduced to zero. Last week, during the debate, the Prime Minister had to admit that he proposed the matter, the number of people entering Greece, much more rosy than was justified. Not a few hundred, but several thousand refugees reached the Greek coast a day. Last Friday, the Prime Minister said in the weekly conversation that he never meant to say that the influx should go back to zero. What's the truth? What are we supposed to believe? What should the Netherlands still believe? For this Prime Minister, government is increasingly a permanent election campaign, in which you say A in the Netherlands and then do Brussels or Ankara B. A number of countries realise that this is no longer the case. Hungary, the Czech Republic, Slovakia and Poland are themselves going to take control of border controls with Greece. How does the Prime Minister feel about that? It is absolutely not ideal for individual countries to do such a thing. You can get very angry about it, but you can also ask yourself whether those countries are not doing exactly what Europe leaves behind, namely guarding the border. If the European Union cannot do it, it is not surprising that individual countries sit together to do it. In short, what they are doing is saying more about Europe's impotence than about the unwillingness of these countries. I call on the Prime Minister to work with these countries to see how their initiative can take shape within Europe, rather than stand up to them. In the long term, the Europe of 28 Member States will only survive if it is recognised that more flexible arrangements are needed than there are now. I am thinking, for example, of a leading group of countries that have a common asylum, migration and border policy. That would not be a goodbye to Europe, but rather a step towards the Europe of the coming decades. We need to work together, but with more flexibility than we do now. A rigid union of 28 Member States will not make it. Is the Prime Minister prepared to bring this to the top as well?
ParlaMint-NL_2016-02-17-tweedekamer-5.u8	Could Mr Buma be more specific? He said that the Visegrád countries, in his view, are doing a number of good things in the area of border control and he wants to cooperate with a number of countries on asylum and migration policies. Mr Buma does not think that we should have the ideas of some of those Visegrád countries, namely 'no foreigner in my country', in our common asylum and migration policy?
ParlaMint-NL_2016-02-17-tweedekamer-5.u9	No, but can you then let those countries be part of the same room for free movement? It is very unusual to be able to enter Europe freely and uncontrolled through these countries. A number of countries want to reap the benefits, namely free border control, but also want to ensure that those they do not want go out to other countries. That's very double. You can just foresee that this isn't gonna survive time. You don't have to be a visionary for that. We're not gonna make it. If we want to move towards a Europe that stands, we must recognise that there will be differences. Those countries are simply not going to do it, and that is why we need to get border controls in order ourselves.
ParlaMint-NL_2016-02-17-tweedekamer-5.u10	Let me conclude, then, that we are not going to do what those countries are doing. I do not believe that this is the way we want to deal with our asylum and migration policies.
ParlaMint-NL_2016-02-17-tweedekamer-5.u11	No, that's not my plea either. However, it is not intended that other countries should go to zero, while we may have 90 000 refugees who are threatening to get a little bit into the Netherlands this year and we welcome everyone who comes in here. We simply cannot do that. That's not gonna last this part of the world. We have already told those countries to do it, but they are not. Then the conclusion is that we in Europe seem to be faced with great differences. With those countries that have a similar system of refugee reception, we must do our border controls. That perspective seems much more logical to me. The Europe of different speeds brings me to the next item on the agenda for the summit, the British referendum. In general, historically, the interests of the Netherlands and the wishes of the UK do not differ far. That is also the case now. The Netherlands, too, needs stricter rules on labour migration and does not want a Europe that will go on forever with more rules. As far as the Netherlands is concerned, Europe must focus on its core tasks. In this sense, the Netherlands, and therefore the Prime Minister tomorrow, has an interesting position. He can side with the United Kingdom, because the content of what the UK wants to bring in is generally beneficial for the Netherlands too. In addition, if these requirements remain and Britain remains within the European Union, it will be beneficial for the Netherlands in both cases. Does the Prime Minister support Britain's demands?
