ParlaMint-NL_2016-03-15-eerstekamer-8.u1	I give the floor to Mrs Stienen.
ParlaMint-NL_2016-03-15-eerstekamer-8.u2	Mr. Chairman. As previous speakers have pointed out, today we are talking about one of the largest legislative operations in modern Dutch history, which aims to overhaul environmental law in its entirety. The drafting of this bill has a long history. Even after this treatment, the process has not yet ended. In the coming years, we will have additional and introduction laws coming to us. A considerable number of General Administrative Measures and ministerial arrangements have also to be drawn up. The D66 Group sees that it recognises the urgency of harmonising fragmented legislation. However, this urgency should not lead to the exclusion of the Second and First Chambers in the drafting of the AMvBs, especially now that they are so crucial for the further implementation of the Environment Act. The way in which the Minister and her officials have dealt with communication about this change and bundling to society deserves our compliments, but communication is of course not everything. The end of the journey is far from coming before this legislative operation. As the British say so beautifully: the proof of the pudding is in the eating. And indeed, the practice will learn whether the minister will continue to communicate as openly as there will be criticism and improvement points on the implementation and implementation process of this Environment Act. My group hopes that these implementing rules will not once again create a forest of rules in which only specialist environmental lawyers see the forest through the trees. On that point, we would like to reassure the Minister. "Rules about protecting and exploiting the physical environment" and "simply better": that sounds so simple. Of course it's not. After all, we are a densely populated country with a small area and great ambitions. Citizens, businesses and directors do not always have the same interests. There will always be tension between protecting the environment so that we can enjoy, for example, clean air, clean water and a beautiful landscape on the one hand, and exploiting the same environment for economic growth on the other. We all want to set up the living environment in our country for future generations in such a way that they too can live in a healthy and prosperous country. How do you judge this extensive revision of the law? The D66 Group supports the core idea of the bill to come from "no, unless" to "yes, if." We see that this proposal offers many opportunities: opportunities for citizens to have more influence on their immediate living environment, opportunities for local authorities to direct the design of space, and to protect the health and safety of their inhabitants. It also offers opportunities for sustainable activity for small and medium-sized enterprises, for example, and for large, complex organisations in the port of Rotterdam or the Chemelot site in South Limburg. You understand that I had to mention Rotterdam for a while, of course. My group has also noted that the parliamentary debate on the other side has led to a number of important issues being strengthened and framed. I am thinking of the subject of health, which has been given a more central place in the law. In doing so, it will be possible for local authorities to refuse or modify a permit if there are potentially serious adverse effects on health. That is a good thing. Viability and health are seen by my group as inextricably linked. However, the question remains as to who the burden of proof lies with when there is a potential risk of harmful effects on health in the case of, for example, construction or expansion of companies. With the government, the applicant or the citizen? I'd like a response from the Minister. The D66 Group is satisfied that participation is explicitly included in the evaluation pathways of the Environment Act. My group welcomes the fact that the Minister is going to look at the drafting of the law on legal certainty for citizens and whether the use of flexibility provisions leads to more or less court proceedings. After all, an important question in our written input was where citizens stand in the tension between flexibility and legal certainty. Of course, we still have quite a few questions. This is not surprising in the case of a law which does provide frameworks but requires further clarification in so many areas. The key question is whether this legislative proposal does indeed make it easier and better for the three groups of citizens, businesses and directors when it comes to protecting and exploiting our living environment. An important question in its assessment is whether the assumptions underlying this large-scale system review are always correct. What makes it complicated is that, of course, no one can predict how this framework law will work in practice. In addition, when this proposal comes into force, there will be a major implementation path. This means that a considerable number of substantive standards have not yet been adopted and cannot therefore be assessed. Why did the Minister actually choose to fill in so many standards through lower regulation? My group asked a large number of questions during the written rounds. The Minister has answered a considerable part of the question in detail and clearly, for which I would like to thank him. With a number of questions asked, the answers have not yet been able to fully address all our concerns. In addition, my group from the country receives disturbing reports from municipalities that are not yet ready to work with the law. We read the final evaluation pilots environmental vision, the progress report of the Crisis and Recovery Act, the Council's opinions on the environment and infrastructure and the recent report of the Social and Cultural Planning Bureau on the involvement of citizens in the Environment Act. These reports, together with various discussions with experts, civil society organisations, business and directors, give rise to a number of questions for the Minister we would like to know more about. Furthermore, my group also shares concerns expressed earlier by previous speakers about the role of ICT, the perseverance of different levels of government and the concerns about deadlines related to legal certainty. In this plenary debate, the D66 Group will focus on three themes: participation, sustainability and cross-border impacts. First, I'm going into participation. The Environment Act affects everyone in the Netherlands. Whether it's the neighbor's fence, a highway, an industrial site, megastals or wind farms: every citizen, driver and owner of a company has to deal with the layout of the living environment. That is why my group attaches great importance to the involvement of citizens in the organisation of their physical environment and wide possibilities for participation and participation in the choices surrounding the organisation of their living environment. In my group's view, it is therefore important that local authorities take sufficient time to participate carefully at the beginning of the exploration phase and project decisions. This is crucial for achieving sustainable profit at the back of the process. In addition, this legislative proposal makes the role of citizens even more important. It is good that amendment now lays down the legal framework for an initiator to submit data on participation and consultation with stakeholders when applying for an environmental authorisation, but what does this mean in practice? Then what's being tested? The fact that there's been a partition? Or to what extent has the wishes and objections been met? I'd like to hear how the Minister sees this. Participation is bespoke. The D66 Group fully agrees with the Minister. Moreover, participation should never lead to a reduction in legal certainty or remedies. I assume the Minister sees that as well. However, there is still a concern of my group here. It is, of course, up to the local authorities themselves how they deal with the input of citizens, businesses and civil society organisations in the preparation of environmental visions, programmes and environmental plans. However, there is always a question of how representative the active participants are in the preparation of plans and decisions that can have a profound impact on the living environment. How can the administrative bodies be maximised and assisted, if necessary, in order to organise participation as effectively as possible, including in the area of representativeness? I'd like to hear a response from the Minister. How, for example, does the Minister intend to prevent only a small group of citizens with time, expertise, a network and political will from taking part in decisions on environmental visions and project decisions? The government itself, of course, is also in the process of organising participation in the national environment vision. Does the Minister have any ideas as to how she intends to regulate this participation? Could the Minister perhaps draw on the experience and lessons learned in the meantime from the three major decentralisations in the social domain, because civil participation is also a crucial condition for the success of these decentralisations? Does the Minister see other possibilities to facilitate sharing experience with participation, so that these data and experience can be easily accessed by other public authorities which can serve as examples of successful initiatives? Is the government prepared to provide insight into the best practices in the field of participation at local level on the Lean van de Levenenvironment in the long term? I would like to hear a response from the Minister. A theme that is strongly linked to participation is cultural change. The success of the implementation of the Environment Act will largely depend on cultural change among citizens, businesses and administrators. The pilot evaluation has questioned the ambition to make the necessary cultural change happen within the various levels of government within a few years. It goes without saying that this cultural change does not occur within one year. That would also be an unrealistic expectation. Respondents, however, have questioned the possibility that a cultural change will succeed at all in the pilot evaluation. How does the Minister view these concerns? In the foreword of the final report on the pilot's environmental vision, it is literally stated that anyone who wants to change nothing can still come a long way under the new Environmental Act. Let us be honest, however much my group wants this law to help simplify the administrative landscape, we will continue to deal with administrative complexity at the various levels of government for the time being. What is the Minister's response to this claim? How does she intend to prevent this? I come to the second theme: sustainability. I mentioned earlier as a key question: does this bill indeed make it simpler and better for citizens, businesses and drivers when it comes to protecting and exploiting our living environment? Let us also bear in mind the following question: what is the "environment" of the proposal? Is the Environmental Law also simply better for nature, health and the environment? In the explanatory statement, the Minister writes that it is important for an integrated approach to the physical environment to ensure maximum co-ordination between the Nature Protection Act and the Environment Act, including through the integration of policy and vision formation. This is in turn ensured by the fact that parts of the nature vision that are relevant to the quality and management of the physical environment become part of the vision of the environment. How is this integration of policy and vision building between nature conservation and this Environment Act secured at the municipal level? I would like to hear a response from the Minister. Another question from my group concerns environmental values, or standards that define the desired state or quality of the physical environment as a policy objective. The Empire and the provinces are obliged to set environmental values for a number of subjects. As has been said, my group is in favour of establishing some important values in the law and not in the AMvBs. This obligation does not apply to municipalities. If we do not set minimum environmental values for clean water, clean air and noise reduction, are we not at risk of exceeding these national environmental values by cumulation in certain areas? I would like to hear the Minister's response to this. During the written rounds, the D66 Group also asked the Minister whether this bill contributes to improving environmental quality by also giving business space and incentives for sustainable business. My group is not yet fully reassured by the Minister's answers and would appreciate a more detailed explanation. Does this Environment Act, in the Minister's view, offer sufficient opportunities to promote an attractive environment for sustainable activity and, if so, in what way? The government has previously indicated that it stimulates green growth by, for example, adapting laws and regulations where they hinder green innovations or sustainable action. A recent paper by the Planning Bureau for the Environment on green growth stresses the importance of facilitating innovations by providing experimental space.................................................................................................................................................................................................................. Does the Minister see a steering role for the government here? Does it intend to include measures towards a sustainable society in implementing legislation? Finally, Mr President, we have heard critical noises from the province about empty positions, which give rise to a question to the Minister. A number of provinces state that it is no longer possible for them under the Environmental Law to directly regulate unwanted spatial developments within existing municipal environmental plans. They argue that the project decision, as an alternative to the integration plan, is not sufficient in existing cases of vacancy but only for new projects. However, the problem of emptiness lies precisely in existing cases. My group would appreciate a response from the Minister to the problem outlined. How will municipalities and provinces be able to prevent existing vacancy under the Environmental Act in a joint approach? This brings me to my final issue, namely the cross-border aspects. In the explanatory statement, the Minister writes that the strong economic growth of the last century is not yet under control on all fronts. Let alone, the Minister says, global challenges, such as combating climate change, preserving biodiversity and the dependence on scarce raw materials. In this connection, the Minister notes that the culture of "growth due to exhaustion" has cumulative consequences. Residents in border areas of our neighbouring countries may be affected by measures on this side of the border, as is the reverse. Quality of the environment and protection of nature and health are not always determined by borders, whether they are local, regional or national. The concerns of inhabitants of Zeeland, North Brabant and Limburg about the risks of nuclear power plants on the other side of their border are a good example of this. The D66 Group wholeheartedly supports the need to focus on extra-local aspects between different stakeholders in neighbouring municipalities and provinces within the implementation of the Environment Act. However, my group wonders how the Minister can contribute to the fact that municipalities are not guilty of not-in-my-backyard behaviour, i.e., shifting difficult projects literally to the border of another municipality. In addition, as far as my group is concerned, the attention given to the European and international component should be even more clearly highlighted by the Minister. The Environment Council also noted the lack of a thoughtful view on international aspects of the Environment Act. The Minister's D66 Group would like to hear her views on this. How does the Minister intend to give European and international elements a place in the definition of the national environment vision? Examples include issues such as CO emissions, the cross-border accumulation of air pollution, water pollution and good handling of scarce raw materials. My group is particularly interested in what the Minister thinks about how the Environment Act can contribute to achieving the goals set out in the Paris climate agreement. My group sees a lot of opportunities and opportunities with this law. We have taken a critical look at the elements of the proposal that potentially aim at good things for the living environment, but we are questioning the balance between exploiting and protecting that environment. My group is looking forward to the Minister's answers to our questions, particularly as to whether we can get the full potential out of this system review when it comes to participation, health, the environment and nature at national and international level.
ParlaMint-NL_2016-03-15-eerstekamer-8.u3	Mr. Chairman. The establishment of the Environment Act is one of the largest legislative operations ever in our country. We are only determining the contours today, but a law whose contours are already very diffuse and unclear carries great dangers, partly because of its importance and far-reachingness. Of course, it is to keep well-established laws and rules under review and to see if they might be made easier. The crucial question, however, is whether this law adequately protects the interests of the weakest from the law of the strongest. What protection remains for clean air, a safe and healthy living environment, the greenery in the cities and villages and our natural areas? Those are values that cannot stand up for themselves. How much room remains to adequately defend their interests? A system change such as this should be future-proof, given the crises we are currently facing; the "overshoot" that the Netherlands commits by predatory building on global stocks, our energy and food supply, climate and biodiversity. In order to deal with these crises, rules should be laid down within environmental law. Is this law going to prevent our physical environment from deteriorating further? Does this law help in the transition to a sustainable society? The Minister must remain guilty of the answer, because she comes with just the contours of a law. A missed opportunity is that this system review appears to be completely blank compared to one of the greatest transitions that our time is taking. A law should be complemented by instruments and procedures that allow adaptation to climate change and transition to a sustainable society at the level of law rather than at the level of underlying regulation. The clearer goals are, the more innovative parties become to come up with new solutions. However, the government now chooses to remove all clear targets from the law. If it had been up to the government, it would have put Parliament completely out of play in determining the final rules and protection. Apparently, the government does not appreciate Parliament's involvement, as much as the citizen's participation. What reasons did the government have for not initially including prior or follow-up clauses in these AMvBs? Why does it once again opt for legislation at AMvB, against which so much criticism has already been voiced in this House? Is this the wish of the PvdA and the VVD? I can hardly imagine. Or does the PvdA once again bow to the dictation of the VVD, as was the case with the Nature Protection Act, as is still fresh in our memory? That law gives a carte blanche to hobby hunters, while the PvdA had promised to abolish that yacht. Why rule at AMvB and why without front and afterhang if it had been up to the cabinet? I would like to hear a response from the Minister. The cabinet is putting Parliament out of play to an important extent. The argument put forward by the Minister in previous debates, namely that the Chamber can still decide on everything once the introduction law is in place, is a form of administrative procrasticism that does not fit in with the criticism that has recently been expressed many times in this house about governing at AMvB. It is only when the introduction law is being dealt with that everything can be considered in conjunction and the effects can be assessed. The introduction law, with the changes that will be made later, the AMvBs and the supplemental laws constitute a huge package of new information in which a labyrinth of AMvBs will be technically complex. Changing an AMvB concept, for example, to better protect the environment or public health than is proposed, is expected to require more time than is available in the procedure for dealing with an AMvB. I would like to hear a response from the Minister. How can it say that the involvement of the Chamber is secured, which would be self-evident according to the letter on the reform of the system? The question is, therefore, whether that little bit of certainty, often referred to in earlier discussions as "destabilization," for the protection of the environment would not be a better starting point for this law than a mantra as "sustainable development," on which the cabinet now says it is committed. In a policy cycle in which development is particularly open, economic interests will soon prevail in the balancing of interests of administrative bodies. At a decentralised level, standards can be set, but what if standards are created or certain standards are omitted which are of great importance for clean air and water quality in order to allow more room for activity? What if important values in the field of nature and the environment are not decentralised? Where is the national safety net, I ask the Minister. The national government can transfer the direction of all kinds of protection regimes to the decentralised level, but many measures, such as those concerning guaranteeing water quality, clean air and to some extent climate adaptation, require a central standard in a small country like ours. A good example is that last week it was announced that residents of nuclear power plants will be given iodine pills within a radius of 100 kilometres as a precautionary measure for a possible nuclear disaster. If you draw a circle with a radius of 100 kilometres around all nuclear power stations in the Netherlands and in the Belgian and German border regions, you will see that all of the Netherlands should receive iodine pills. These cross-region interests are characteristic of many things that should be regulated in this Environmental Act, in the areas of climate, biodiversity, dike safety and so on. Where does the Minister's influence lie when these matters are settled at a decentralised level? Earlier decentralisation operations are less rosy than predicted, such as those of home care. What gives the Minister the confidence that this time it will go according to plan? How much security remains for the protection of animals, nature and the environment and for their protection of their interests? The results of the past do not give rise to confidence in the future. As far as we are concerned, a safe and healthy physical environment and good environmental quality must gain more weight in the balance of interests if we are to strengthen the physical environment. Environmental values must be legally secured and require a nationwide safety net, more than just a trust-based relationship. Only then can sustainability be sufficiently secured in the interests of future generations. Even the concept of "physical living environment," which is mostly about, is not defined in the legislative proposal and therefore offers little legal basis. The same applies to the concept of sustainable development, which should continue to provide a good physical environment. It is also unclear how these concepts will be implemented. My group considers this unacceptable in a legislative proposal with such far-reaching consequences. Different principles of environmental law related to sustainability that serve as a starting point for drafting the Environmental Law have been taken directly from European law. The precautionary principle, the principle of preventive action, the source principle, the polluter pays principle and the principle of best available techniques can be considered. One important comment I would like to make here is that the level of protection in the Environment Act does not go beyond what European directives prescribe. This means that stricter application of one or more of the environmental principles mentioned in a European directive cannot, in principle, be required by law. This means that we are moving towards a lower level of protection than we are providing more protection for vulnerable values. I would like to hear a response from the Minister on this point. The review of environmental law is also aimed at strengthening the social involvement of citizens and businesses in the physical environment. However, the legislative proposal does not make it clear to my group what civil society contribution organisations and citizens are expected to make to sustainable development. I would like to hear from the Minister once again clearly what the position of the citizen is in securing the physical environment and how this is enshrined in this law. My group is also concerned about the legal position of citizens. From the answer given by the Minister in the further reply, we point out that citizens will not be able to rely on the protective operation of standards in the environmental plan or regulation, because they would not be interested. After all, the government is interested. Also through the environmental policy of the Programmatic Approach Nitrogen or through structural visions, citizens are apparently unable to call on the courts to protect their environment. What possibilities can an individual citizen have if measurements show that there is an unhealthy or unliving living situation? This situation could arise, for example, if the Programmed Approach Nitrogen proves to have insufficient effect or if insufficient priority is given to enforcement. In the Lower House, the Minister indicated that citizens and organisations could request the maintenance or modification of the programme in respect of programmes and appeal to the judge. Is it really possible for an individual citizen to take action against observed exceedances of standards in his personal living environment, while not being an interested party? I'd like to hear a reaction to this. My group is also deeply concerned about the limitation of the environmental permit, the reduction of the time limit for requesting interim measures of six to two weeks. We agree with Mrs Meijer's request that the deadline be extended to six weeks. An additional point concerns the concerns of the VNG. Following the pre-consultation, it was found that local authorities were still unclear about local standards. Many rules on noise, construction, smell, soil, nature and land or property are lacking. This means that the UNG will only be able to examine this at a later stage. Can the Minister indicate to what extent the AMvB texts are still changing until supplementary laws and decisions are ready? According to the VNG, the identification of the implementation costs is also not possible because of the gaps in the AMvBs. Can it get this clear before the introduction law is dealt with, in order to prevent municipalities from being stuck with a law whose effects they cannot afford? I'd like to hear a reaction to this. My group is also sceptical about the adoption of the Programmatic Approach to Nitrogen. As far as the programmatic approach is regulated by law, it is aimed at re-establishing business as usual, while business as usual has brought a lot of good to most people and unfortunately for animals, nature and the environment a lot only. The starting point seems to be always: there is now room for economic development, measures for the environment and nature will come later. It is to be feared that there will be a delay. The legislative proposal does not appear to include any guarantee that these measures will indeed be taken. Why not? Is the government prepared to ensure that in the law of introduction? Is the Minister prepared to include in that proposal a provision on what happens when the promised measures have not been taken, so that those concerned can enforce regulations in the competent authority? If not, why not? How does it intend to provide legal protection for those involved in the implementation of a programmed approach? I have one final comment to make. The Animal Party basically supports the efforts to simplify legislation, but under the pretext of simplification, the protection of nature and the environment and the quality of the environment must not be stripped. A coalition party that wants fewer rules clearly wants less protection. But a coalition party that claims to stand up for fragile values can never agree to that. This is where the bridge builders Samsom and Rutte have been on the other side for a long time and where they seem to be unable to come out, to annoy the voters of, in particular, the Labour Party. According to my group, this environmental law offers more threats than guarantees for the environment. If the Minister cannot remove our concerns about this and make the importance of the weakest subordinate to the law of the strongest, my group cannot support this law.
ParlaMint-NL_2016-03-15-eerstekamer-8.u4	Mr. Chairman. "He who owns a field must therefore draw the annual fruits, and make sure that he does not let the ground be exhausted by carelessness, but he must work on it, to deliver the descendants to him, as he has received them, or even better cultivated," said the well-known theologian and lawyer Johannes Calvijn. It is an argument for good care for God's creation, for life of what the earth gives us, but also for ensuring and taking responsibility that the next generation can continue with the earth, if possible in an even better condition. Sustainability is not something new, but a beautiful age-old principle that is also called stewardship in Christian tradition. The Chamber will understand that I had the following questions in mind when I went through the many pages of the Environment Act. Does this law contribute to the good use of our country, serves it to blossom and ensures the care for creation so that we end up leaving our country better for the next generation, or for the Children of State, as we see them above? Is it a good tool for the government that can be steward? Is this law the foundation for a future-proof establishment of our country? Nationally, the Delta programme and the energy transition, which also has a spatial impact, will be the major challenges. But also the national green structure and the position of agriculture and infrastructure are on the agenda. For example, they are explicitly mentioned in the manifesto We make the Netherlands, where 2040 was the horizon. Is this law the proper interpretation of spatial stewardship? The answer to that question is not so simple, but let me start with a compliment. The Minister and all those who support her, the authorities involved and many interest groups have done a great deal of work. This leads to a comprehensive legislative proposal that provides more simplicity in what has been contained so far in a dozen laws and more than 100 AMvBs and ministerial regulations. I am impressed by the many work that has been done in a short period of time and is still being opposed to further implementing the law. However, much of what is in this law will only become lively if the introduction law and the four large AMvBs are known. For example, we will know more about the substantive standardisation. I am referring directly to one of the first concerns of the Christian Union. A more detailed version has been chosen by means of AMvBs with a heavy front suspension procedure. It is so heavy that there is almost no difference with the introduction of a law. Almost. That's what I'm underlining. Where some standards are still in the sectoral laws, they will soon return to the AMvB. However, the opinion of the Council of State on these AMvBs is published on the entry into force of the AMvBs themselves. That is a difference from legislation. In this major operation, therefore, the opinion cannot be taken into account in Parliament's deliberations on the establishment of the AMvBs. That can still be understood in the normal difference between law and AMvB. The Minister also gave that reasoning in response to the questions of the Christian Union Group. However, these AMvBs are bulky and, in addition, partly filled with content previously laid down in a law. I therefore ask the Minister to explain clearly what she now thinks of the profits of this heavy AMvB procedure compared to normal legislation. The Christian Union finds the choice too rigid. There are standards that, in the opinion of the Christian Union Group, should be anchored in the law. I think that is an important example of the water safety standard. There is no country in the world that has such a history of life with, but also fighting the water, resulting in such a robust delta. At the same time, the Netherlands has a tough task to protect its citizens and prepare for climate change. To date, water safety standards have always been laid down in the law. This is also the case with the new flood approach and the associated water safety standards in the Delta Programme. The Minister writes in response to questions from my group that it is her intention that these standards should have the force of law by 1 January 2017. They are initially incorporated into the Water Act system by means of a separate legislative proposal. That bill is still in force and I understand that the Minister is, at the moment, mainly referring to the debate that is taking place under that law. At the same time, it underlines my concern in terms of content. Water safety standards will then be classified as environmental values and, according to the structure of this law, they will later be incorporated into an AMvB. With this, the Environment Act says too little about the value of the delta and about fighting our safety against the water. Where in other areas of soil, noise and nature there is even more to be expected from the European directives, which also have their implementation and provide a basic guarantee, this is lacking. Moreover, the renewed water safety approach is exactly an example of what differentiation between law and AMvB should look like. The standards for the primary quays, the dikes, fit perfectly into an AMvB, but the starting point is that the Christian Union is part of the law. In the present case, that means that the basic level of protection set out in the Delta decision on water safety, which every Dutch citizen must be able to rely on, is included in the law, with the addition that the standard can be made slightly more stringent for reasons of group risk, economy or vital or vulnerable functions. Is the Minister prepared to consider this under the introduction law? Then I'll come to the new trial. This law is accompanied by many expectations of improving participation. When making the plans is well thought out by everyone and everything, it must result in a beautiful and well-considered plan. Active citizenship is encouraged. There are also good examples of this, but my group is concerned. They were underlined in the recent essay of the Social and Cultural Planning Bureau. First, the SCP notes that the explanatory memorandum tells a lot about the citizen and his role in the physical environment. There you will also find the strength of the citizen involved. However, it is hard to find throughout the legislative text. How does the Minister view these findings? Then I come to the expectation of the extent to which the citizen is involved in the living environment. Previous speakers have also spoken about it. The public authorities are increasingly appealing to citizens in more and more areas. Think of more work, more worry, combining tasks and now being more involved in the organisation of the living environment. In itself this is not wrong, but is it feasible? Is the desired increase in participation a real expectation? What does the Minister base this expectation on? The proper organisation of participation is a task in itself. There are many situations in which the board has an interest, for example because of the land positions and the choices in the construction plan. At the same time, such governance is required to organise a good round of participation in advance, but who or what guarantees the quality and independence of the information? As a former council member of the beautiful city of Utrecht, I know in which neighborhoods a residents' evening gives a great response and in which neighbourhoods a less large one. In short, citizens' participation can be driven, positive but also negative. How's that gonna be secured? In any case, this requires a lot of officials, representatives of the people and administrators. It calls for new sensitivity, professionalism and communication skills. This cultural change also has to do with education. How does the Minister keep his finger on the wrist? How can she be sure that the change in two years' time will be sufficient? What further agreements does she make with VNG and IPO? In what way is this invested? Does that happen by existing means? Will new resources be made available for this? I'm curious. There was at least the check by the local media earlier. However, in many places it leads to an existence in the margins and threatens to disappear. Does the Minister also have discussions on this aspect, which affects the solid and healthy maintenance of local democracy, with the directors of the media and the Interior? From the point of view of citizens' involvement in the physical environment, my group seems wise to ensure that there are good checks-and-balances, and to see with these colleagues how local and regional media play a good role as a hoax, to protect and promote local democracy and ultimately the living environment, which is what we are all talking about. I'd like to get a reaction to this. More consultation on the front, equal legal protection on the back, so I read somewhere. That is good, but the Christian Union Group still has doubts about this. We note that there are shifts. Where previously could be built immediately after granting a permit, two weeks must now be waited. However, in irreversible cases, such as cutting a tree or an activity on a monument, the standard of two weeks also applies. Moreover, the competent authority has the possibility to postpone the time limit and even to exclude the suspensive effect of an interim provision. This can be done for all activities, including irreversible ones. Anyone who looks at the current Wabo (Law on General Environmental Law) can only see that this means a deterioration in legal protection. I ask the Minister to respond to this statement. Can the Commission also clarify when Article 16.79 (3) is correctly applied? What do the words "urgent circumstances" mean? In the case of the Wabo Article 6.2, for the people who write along, only sparing use may be made of this power. Do the same conditions apply and therefore the same judicial review? I'd like to get a clear statement. Is it not better not to apply this provision in this way to irreversible activities and thus to impose the spirit of the Wabo on the new article in the Environment Act? What was the need to realise the two-week extension? Honestly, I hadn't heard that people were waiting for that. And can there be more customisation in irreversible activities, so that we do not have to replant the forest if it was cut too quickly? As regards the relations between the various authorities, previous speakers have also mentioned what is necessary. I agree with a number of their questions, but I would like to touch briefly on one aspect: the project decision that the province can take. The Christian Union considers it a missed opportunity that this no longer includes the removal of planning capacity. It is fighting against the beers when, on the one hand, there are action plans to counter office emptiness and offices to turn to everything, but, on the other hand, there is no brake on the planning capacity. Admittedly, in the Wro (Spatial Planning Act), that instrument has not been widely used, but that does not say much about the need for the future. Why has not a solution been found that takes account of the principle of subsidiarity and gives greater scope to the wish of provinces to reduce planning capacity, if necessary and only then, by means of the project decision? I started my contribution by asking whether this law contributes to good stewardship by government, companies and citizens. The law is a handsome bundling, which helps to find a way in the full width of environmental law. The law rightly seeks the involvement of all in the organisation of our living environment, but there is much work to be done. Moreover, it is impossible to draw conclusions about the implementation of this important law. It's a window law. This principle sometimes goes too far, for example when it comes to water safety standards and the choice of AMvBs. At the same time, a framework law with so much legislation on its way also gives the hope that the final result will give a nice view through the window. I hope, therefore, that with this new environmental law, many will be enthusiastically committed to achieving good spatial planning and good living conditions, not only for now but also for future generations. I started out with a famous reformer who was nuclearly expressing what good care for the earth means. The earth is our common home, in which we all have the responsibility to take care of creation. This law will have to contribute to that good care. This is precisely why the Christian Union has questions about the content of the law (water safety, good participation, equal legal protection). I look forward to the answer.
ParlaMint-NL_2016-03-15-eerstekamer-8.u5	Mr. Chairman. Today we have a law to deal with, in fact, a major review of environmental law and one of the biggest legislative operations of the last few decades. The cabinet believes that this is necessary because the current legislation is too fragmented about dozens of laws, no longer fits in with today's social developments and is not sufficiently focused on sustainable development, the need for early involvement of stakeholders and on the importance of integrated policies. The government also says that the balance sheet is too secure and not enough for growth aimed at sustainable development. It therefore relies on a paradigm change from "no, unless" to "yes, if." So four concrete improvements have to be achieved with this Environment Act. This involves increasing transparency, predictability and ease of use, a coherent approach, increasing administrative discretion and speeding up and improving decision-making. We agree with the cabinet that more comprehensive policies and more coherence in laws, rules and procedures around the living environment are needed, with more attention being paid to sustainable development and more involvement and participation of society. We can also support more customisation and flexibility, but they must be well secured. Good guarantees for the quality of the living environment, the environment, nature, health, legal protection and participation are crucial for us. We are very concerned about this, because is the balance between administrative space and the scope for development and flexibility, on the one hand, and the protection of health, the environment and nature, on the other, sufficiently regulated by this law? Are these guarantees of legal protection and citizens' participation in order? We have great doubts about this. We also have fundamental reservations about the nature of this law. It is a framework law, which lays down too much content and too many crucial procedures in underlying legislation, in such a way that it is in fact impossible to assess whether this law will meet the objectives. I will go into more detail about our main objections, first and foremost about the framework law. The Council of State also stated in its opinion that essential standards and a careful limitation of the regulatory power delegated to the Board should be laid down in the law in a formal sense. The Council of State also notes that the objective of providing an equivalent level of legal protection to the current legal system is not being achieved everywhere. The Council also states, although modified by amendment, that EU principles and review frameworks on the basis of which further substantive standards are drawn up or licence applications are reviewed should be included in the legislative proposal. The Group of the Greens/European Free Alliance agrees with the Council of State. In this way, it is not possible for Parliament to assess whether this law achieves the goals. With the Council of State, we believe that this law does not adequately reflect the co-legislative role of parliament. Important rules and basic material choices belong in the law, so that Parliament can have a full input as co-legislator. This cannot be done by General Administrative Measures, even when there is a veil. Amendment is not possible, and it is also limited in terms of time and method of treatment. The inclusion in the law provides more certainty and clarity in legal procedures, especially when there is conflicting AMvBs or a conflict between the law and the AMvB. The law always prevails and thus provides more legal certainty and clarity. Groningen legal scholars argued that the incorporation of principles, procedures and review frameworks into the law has an orderly and harmonizing effect and contributes to the predictability of public action. This also increases awareness for citizens and other stakeholders. We believe that the environmental values now regulated by law should also be regulated in the Environment Act, even though there is now more regulation in the area of veils. The Minister argues that the introduction law can still regulate certain issues at law level, but it would be strange if we would have to repair all kinds of far-reaching omissions at the introduction law. I would like to make a few comments on environmental values. In addition to the fact that we would like them to be regulated at law level, we have to note that the arrangements in the two AMvBs are also inadequate, because they are not regulated for all important aspects. Although for air, water, external safety and primary quays, but not for noise, smell and CO. Noise standards are regulated by law and that is a good thing, because noise is incredibly important for people's health. Standards for odour and odour nuisance are currently regulated by law, but are left entirely to the local authorities. There should be at least a basic quality, a basic standard, for example in the areas with intensive livestock farming in Brabant. There is a great problem there and we see that local authorities often opt for business expansion because of economic interests. The House of Representatives instructed the Cabinet, by motion of colleague Van Tongeren, to establish an environmental value for CO, a national ceiling. However, the cabinet will pass this on. Frankly, this surprises us very much. However, in view of the climate agreement and the ruling of the judge, it would be very important to have a clear standard for CO that boosts sustainable development and innovation. Why isn't the Cabinet picking up this glove? We also lack an environmental value for landscape. It could be established at provincial level, but the law should provide for an obligation to do so. Is the Minister prepared to consider whether some of these environmental values should or could not be laid down in the law?
