ParlaMint-NL_2016-06-22-tweedekamer-5.u1	I would like to welcome the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2016-06-22-tweedekamer-5.u2	Mr. Chairman. Those living in the Netherlands do not have to register for elections. This is all a bit more difficult for Dutch people abroad. Every election, they have to register. In itself, it knows its logic. We need to be sure that only voters vote and that the vote comes from the person to whom the ballot was sent. For this purpose, the Dutch government needs an address for sending, with a signature for subsequent verification. Every time that's called in, it's called in. Next thing you know, it's gonna be easier and that registration's gonna be permanent. However, there is still a difference: register yourself to be able to vote or participate automatically. There are countries where this is not necessary: Spaniards living abroad are listed in a permanent register from which the right to vote automatically follows. Norwegians and Sweden moving abroad are automatically registered in a register of voters. What's the difference? What can they do what the Netherlands can't do? Why do we ask for an additional measure for the exercise of the right to vote and, where practical reasons are involved, such as the reliability of address files, in which the difference lies between our country and those other countries? How permanent is permanent electoral registration? A lot of people move multiple times. The farewell of the Netherlands is not always definitive. Think of diplomats or employees of multinationals: one year they work here, the other year there, they live abroad for years and then again in the Netherlands and then go abroad again. Do they have to register as voters every time? Or does the registration relive in the register as soon as the BRP and the non-residents register show that someone has their address abroad again? Anyone wishing to vote from abroad must be present in good time. Registration as a voter, updating address information, objecting, it often has to be all far before the campaign really bursts. What is the government going to do to provide adequate information in good time? Because reaching Dutch abroad doesn't always work well for the government. This was the last time in the Ombudsman's report on the loss of Dutch citizenship. My group is still receiving messages from voters who are getting their voting pass too late or whose filled-in ballots are being lost in international postal services. The e-mailing of the votes already helps. But it could be better. For example, in the opinion accompanying this proposal, the Election Council expects that ballots at large embassies and consulates can increase the turnout. Why doesn't the government want to start? Surely the coalition agreement states that it must be made easier for voters from abroad?
ParlaMint-NL_2016-06-22-tweedekamer-5.u3	Mr. Chairman. Seven hundred thousand to one million. That is the number of Dutch voters who are estimated to be staying abroad. That is a group that can vote in national elections in the Netherlands, but hardly does. The last Lower House elections resulted in 35,898 votes. That is, of course, incredibly little for a group that is often very involved with the Netherlands and with the politics in the Netherlands, but which, to a large extent due to an extremely impractical process with many administrative obstacles, is not entitled to vote. The fact that they can vote is, moreover, thanks to my predecessors Weisglas and Wiebenga, who made it possible, by way of an initiative proposal, to vote in a letter from the foreign country in 1991. That became law in 1993. The VVD Group is therefore in a tradition of modernising the voting process and the electoral process. The Minister and I met a few weeks ago in my proposal to enable electronic devices in the voting process in the Netherlands. I was then able to observe that the Chamber did not sufficiently support our ambition in this respect. But it is good news that the cabinet is now making a proposal for this group at least to simplify it by allowing permanent registration of non-residents. That should make it easier to get your voice down and to register once that you leave abroad, so that you avoid at least one problem, namely late registration for elections, which is still very common. It's an improvement, but in the end it's not the improvement we're waiting for for this group. As long as we take as a starting point that the voting process in the Netherlands should also be followed by the Dutch electorate abroad, namely the paper process, you will, even if you make it easier to register and even if you can be sent voting modestly by e-mail, keep the problem that you still have to send the paper documents from abroad to the Netherlands. In the end, only a limited number of weeks are available. We are now used to the fact that the mail is no longer delivered every day and that not all mail always arrives, let alone if you have to send your ballot from Timbuktu or Verweggistan. Anyone who has ever sent a postcard from an exotic place to the Netherlands will have noticed that it often arrives around Christmas. This is not so important in the case of a holiday greeting, but in the case of a ballot which must have reached the Netherlands before the count in the Netherlands, it is. That is why the VVD Group believes that Internet votes for this particular group abroad will offer real solace. I have made a proposal for this before, but I delayed the steps a little, because the cabinet indicated that it was not ready to take this step. I am very pleased that the cabinet has indicated that it will take a test in the course of this year with internet votes for Dutch voters abroad. I would like to hear from the Minister what the latest state of affairs is. As has been said, the present proposal is an improvement. Any improvement that makes it easier for Dutch people abroad to cast their votes, which makes their voices count and that can help to increase the shameful number of 35.898 validly cast voices of that crunch of one million people, the VVD Group welcomes. I have three more questions on the proposal before us. What changes in data does a voter have to pass on abroad and not to the city of The Hague? What data does the BRP provide to the municipality of The Hague without the voter having to do anything? In other words, how many possibilities for confusion and misunderstandings remain in the proposed system? Finally, will it succeed in getting the permanent register operational for the upcoming Dutch Parliamentary elections in 2017? I think a lot of people are looking forward to that and looking forward to the Minister's answers.
ParlaMint-NL_2016-06-22-tweedekamer-5.u4	Mr. Chairman. It is, of course, shocking that the VVD Group finds it acceptable that postcards sent around the summer only arrive around Christmas, but we will discuss this in another debate. I do not think that this debate will go down in history as one of the major parliamentary debates. An e-mail went around to "appreciate it" to a hammer piece, but apparently everyone has come anyway and we have "effe" in the mood. The proposal seems to me to be excellent. Some practical questions have been asked, and I would like to add my heartfelt support. I have been living abroad for a few years and have tried to vote there. I couldn't. You'll have to call consulates and they'll tell you to call the embassy. My voice wasn't counted at the time. Permanent registration certainly makes sense to me. I have the idea that this is just an impression that people who live abroad often move. So there is a lot of movement. It seems to me that this entails a great deal of red tape. The question is indeed whether this is ready in 2017, so that people in the interiors of Africa called Charles van 't Reve this in his columns for the World Broadcasting Agency. I have tabled an amendment to deal with the experimental law on the ballot. That's moving to this bill. The Election Council took a short look at that and made a few notes. Recapitulating: it was my amendment that allowed all parties to submit an electoral list with 80 names and that therefore not only parties that had more than 15 seats in the parliamentary elections could do so. I have slightly modified that amendment. I have specified it, which means that I have indicated that it is only about the elections of the House of Representatives. That was one of the criticisms of the Election Council. And I have stated in the operative part that it is not the duty of parties to list 80 people. That was also one of the things the Election Council wrote. Furthermore, the Election Board states that it is unclear whether there is a need for such an increase in the electoral list. So if there's a party with mine that needs this, there's that need. It is also written that it is perhaps better to do so in the context of abolishing the electoral circle. Yeah, that's a bit wider, that's another discussion that's completely outside today's debate. I understand that Mr Klein is going to gladden us with an initiative proposal which does. Then we'll see. This was the explanation of my amendment.
ParlaMint-NL_2016-06-22-tweedekamer-5.u5	What isn't can still come. It can always be a splashing debate, Mr Bosma. Perhaps Mr Klein can take care of that. I'd be happy to give him the floor.
ParlaMint-NL_2016-06-22-tweedekamer-5.u6	Mr. Chairman. The proposal to establish permanent registration of non-residents before the elections is an improvement for all Dutch people abroad who wish to participate in the elections. In doing so, the extension of the right to vote for Dutch citizens abroad will actually get a little more content instead of becoming a shambles. We are happy to agree with that. The bill has been amended with the Bosma amendment. It is a good amendment in itself. The Election Council rightly points out in its opinion that this may also be related to the initiative legislative proposal I tabled on the amendment of the Election Act on the abolition of electoral circles. That lies ahead and I hope that this can be discussed before the recess. The point is that it is very wise to give all parties the opportunity to list 80 candidates in the Lower House elections. I established a relationship with abolishing the constituencies, but we'll talk about that later. Today I am asking the Minister what this amendment solves, or that it addresses a non-existent problem. In its opinion on this amendment, the Election Council stated that in the current electoral system with 20 electoral circles, the parties could present to their electorate a large number of candidates using different lists for all these electoral circles. A party with up to 14 seats can place about 1,000 candidates: 50 candidates times 20 electoral circles. Under the current legislation, therefore, there is no list exhaustion at all, because 1,000 candidates per party seems to me sufficient, even for the PVV. There are only 150 seats to be divided. I'd like to get a response from the Minister.
ParlaMint-NL_2016-06-22-tweedekamer-5.u7	Mr. Chairman. This draft law simplifies the registration of Dutch voters abroad. Simplicity also makes it easier for citizens to remain involved in politics and thus also in elections. The CDA Group welcomes this simplification. The voting process must also be optimally accessible to Dutch people abroad. For the Dutch Parliament elections in 2012, more than 35,000 Dutch people were registered as voters abroad. At the last elections to the European Parliament, there were no more than 23 000; that is about 5%. Even among those who have registered, the turnout is below 75%. Mr Taverne has just mentioned something else, but assuming that there are some 500,000 voters living abroad, there is still a world to be won. In the European elections, the exchange of information between Member States is important to prevent voters from voting twice. I ask the Minister what was done during the Dutch Presidency to improve this exchange of information. The CDA Group thanks the Minister for the change in the letter of amendment on 18-year-olds. Even voters who become 18 years old on the day of the vote, that's always a good time to think back. This will allow them to register and vote in good time. I'm going into the performance now. The City of The Hague would like to see more letter voting offices set up in EU countries. This spreads the workload of the letter polling offices and relieves the city of The Hague. The CDA Group would like to know from the Minister whether he is responding to that wish. The reply in the note to the report does not make that quite clear to us.
ParlaMint-NL_2016-06-22-tweedekamer-5.u8	The Minister has something to say. That's okay!
ParlaMint-NL_2016-06-22-tweedekamer-5.u9	Would Mr Amhaouch repeat the last question?
ParlaMint-NL_2016-06-22-tweedekamer-5.u10	Okay. Mr Amhaouch, would you like to repeat the last question?
ParlaMint-NL_2016-06-22-tweedekamer-5.u11	The note on the report does not make it quite clear whether there will be more letter polls in the EU rather than just in The Hague. With regard to the time limit, the cabinet strives to have the permanent registration for voters abroad in the Dutch Parliamentary elections in 2017, i.e. in the upcoming elections. That seems difficult to us. The minister writes that this can be done and that the municipality of The Hague is preparing this. What is the state of play now? Does only the city of The Hague still have work to do? Is the registration of non-residents in order? In what elections can Dutch citizens abroad reap the benefits of this bill?
