ParlaMint-NL_2016-07-05-tweedekamer-3.u1	I would like to welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-07-05-tweedekamer-3.u2	Mr. Chairman. This part of Question Time is not about salafism; it is about Islam. The vanguards of Islam aim to Islamicize the Netherlands and the rest of the free West. Whether these vanguards are called salafists or wahabites, whether it's the Muslim Brotherhood or Fethullah Gülen or Erdogan himself doesn't matter very much; it's the vanguards who decide for their effect what their future looks like and therefore try to determine our future through the problem we're facing now. A school building has been purchased for 1.7 million, with funding from a country that is a member of the Organisation of Islamic Cooperation (OIC). So an OIC country, an Islamic country. This is done through Germany, through a foundation associated with Al-Waqf and Al-Fourqaan in Eindhoven. The Al-Fourqaan has already caused enough problems in the Netherlands with hate and violence preachers. The Minister says: I can't really do anything about it and we're all going to make sure that the building doesn't become a salafist school. We'll just have to see that, because what does this minister do? He does not fight Islam, but cooperates with Islamic foundations and Islamic vanguards. He's talking to them in the Knight's Room. That is exactly the opposite of what the minister of the week said by teletext. We at the PVV think it is a dangerous development that a school building is being purchased in Rotterdam by the vanguards of Islam, in order to achieve their goal, namely the establishment of the sharia as Dutch legislation. That is why I have a number of questions. Does the Minister agree with me, also because of the explanation I give, that we not only have a problem with so-called Salafists, but with all the vanguards of Islam and thus with all Islam? Because under Islam there is no salafism. The Sharia is the target and the jihad is the way. This too is part of the jihad. Is the Minister prepared to go through the jihadists' bill once, whether they act violently or through education in this way? Is he willing to undo this purchase? Why can Islam still get more and more grounded in the Netherlands? Why is funding from OIC countries still possible? Why is it not forbidden, as the Minister himself would like? I have two more questions, and I'll keep it a little shorter later. Is the Minister prepared to send a list to the Chamber with all the institutions in the Netherlands financed by OIC money or by countries affiliated to the OIC? Is the Minister prepared to stop Islamization for once? If not, why does the Minister then facilitate an ideology and a culture that seeks the submission of the Netherlands to Sharia?
ParlaMint-NL_2016-07-05-tweedekamer-3.u3	Mr. Chairman. The cabinet is concerned about individuals and organisations who, from certain salafistic doctrines, incite intolerance and isolation. I wrote a letter to the Chamber earlier this year. We want to do three things about this: to ensure that people who break the law are dealt with by law enforcement; to ensure that organisations that do not violate the law but do have unwanted behaviour are confronted with it, especially from the local government, and to ensure that we make the rest of the Islamic community resilient to unwanted influences through dialogue. In the case of Rotterdam, a property has been purchased, in a non-transparent way, by a foundation that we are concerned about because of inviting hate preachers to Eindhoven. In itself, buying such a property is legal. The more important it is to see what's going to happen to that property. Firstly, it should be noted that an ordinary school cannot be established in it. That's what strict rules apply. Secondly, it is important to know what one intends to do with the property. I talked to Mayor Aboutaleb about this this morning. He goes to the table with the buyers and asks for clarification, precisely because of the commotion. He will also make it clear that neither the municipality of Rotterdam nor the Rijk will accept it if activities are carried out that are at odds with the Dutch core values. But then the answer to question one. The cabinet does distinguish between what people believe and what people do and therefore does not go along with the PVV reasoning that counts every Muslim and everyone who adheres to that belief in the same direction. We will have to distinguish between what people do, what people say and what people believe. What people believe is about themselves. This applies to Mr De Graaf and to everyone else in this Chamber, but we can address them on what people do. We are neutral with regard to faith, but we are not neutral with regard to the Dutch core values. We consider it important to actively defend them within the limits of the rule of law. The answer to Mr De Graaf's second question is that this means that there really must be a thick line through the account of jihadists when there is reason to assume that people intend to use such a building for jihadist or extremist activities. Then we can and will intervene. As far as funding is concerned, I refer to the letter from Minister Koenders which he sent out earlier today. In this we respond to some of the motions adopted by the Chamber, but for another part we refer to a further letter about this after the summer. Among other things, we are going to look at the analogy of Bibob legislation as a way of defending the rule of law if you have doubts about the origin of resources and the intentions of the buyers. I think that's important.
ParlaMint-NL_2016-07-05-tweedekamer-3.u4	Dialogue does not exist within Islam. Islam is a one-way street. The purchase of this property is a victory over a part of the West, because there is territory and a property purchased and that is not for a table tennis association. That is of course to spread Islam further in the Netherlands. I didn't say to throw all the Muslims together. I've appointed it on the basis of all the vanguards out there. I've named all the currents. They all have the same goal. Yes, it is. That's the sharia settlement in the Netherlands. The minister is not understood by the people. I read the comments on the Internet this week. The people say: Minister, why have you forsaken us, why do you not protect us from the advancing Islam in the Netherlands? We all know what kind of bullshit comes of it at the end. We saw it in Dhaka, we saw it in Orlando, we saw it in Istanbul, we see it everywhere. That's why I have a few more questions. Why does this minister stay away from his people and not protect her from the advancing Islam? Why does he still allow ownership, funded from Islamic countries, in particular from Saudi Arabia, Qatar and that region? Why is that still happening? Why does this minister remain in conversation with Islamic vanguards? Surely it is now clear, after the past few years, that the Minister is on the wrong path with this? You don't engage in dialogue with Islam, because Islam is one-way street. Can the Minister once again make it clear to the public that he is protecting her?
ParlaMint-NL_2016-07-05-tweedekamer-3.u5	When you're a hammer, you see nails everywhere. Mr De Graaf sees jihadists everywhere. I think it is crucial, precisely to protect the Netherlands and the rule of law, to distinguish between what people believe, between the many thousands of Muslims in the Netherlands who contribute every day and those who, inspired by Salafist doctrines, advocate intolerance or, worse, incite terror and violence. That distinction is crucial because the rule of law allows us to tackle that second group. We are. The convictions and the criminal investigations can be seen. This is precisely the first group to be protected from the extremism that is at stake here. That is a crucial distinction, and that is the only way we can really win it. I'm getting to point two. What's going on in Rotterdam? Yeah, I have those concerns too, and we shouldn't be naive about that either. It is not good to buy such a property under false pretenses in a shady way. However, it is not prohibited either. We can ban it if a law has been broken. The most important thing we can do right now is keep an eye on what they want to use that property for. That is also what Mr De Graaf and all of us are about. We must make it clear at the front that we will not allow it to be used for activities that are opposed to the Netherlands, society or the rule of law. That is exactly what I talked to Mr Aboutaleb about this morning. That's exactly what we'll ask them. Then we will protect the rule of law by all means of the same rule of law. That's more than Mr. De Graaf just suggested. The same rule of law protects Mr De Graaf and all the other well-intentioned and innocent citizens in the Netherlands. That's the security we have to offer each other.
ParlaMint-NL_2016-07-05-tweedekamer-3.u6	Mr De Graaf, one sentence, because you have eight seconds left.
ParlaMint-NL_2016-07-05-tweedekamer-3.u7	Yeah, but of course I can just ask my follow-up question. As PVV, we are also entitled to two follow-up questions. So I can make use of that right immediately. The Minister's speech has been permeated with awareness...
ParlaMint-NL_2016-07-05-tweedekamer-3.u8	Mr De Graaf, the follow-up question would be put from the group. You may ask a question.
ParlaMint-NL_2016-07-05-tweedekamer-3.u9	I've seen it happen here before. Sure, I saw that last week or two weeks ago.
ParlaMint-NL_2016-07-05-tweedekamer-3.u10	I think that's new, but I'd like you to finish your sentence.
ParlaMint-NL_2016-07-05-tweedekamer-3.u11	The Minister's argument is based on the realization that Islam is a problem. If you radicalize in that, then it comes to violence. Then you just let a property be purchased and then you check for problematic behavior. That's putting the horse behind the cart. You have to de-islamize the Netherlands and not help with further Islamicism, because then you put your own population at risk and you will participate in the eventual introduction of Sharia in the Netherlands. I would like to hear a response from the Minister.
ParlaMint-NL_2016-07-05-tweedekamer-3.u12	I really disagree with Mr De Graaf on this. Like those radical preachers, he has the view that there is only one true Islam and that it always leads to violence, Sharia, etc. The reality of a lot of Dutch people shows something else. These people also want to be free from extremism and violence. They are not waiting for that development. That's why it's crucial to judge people by their behavior, by what they do, by what they say instead of what they think and what they believe.
ParlaMint-NL_2016-07-05-tweedekamer-3.u13	Mr Sjoerdsma has the floor.
ParlaMint-NL_2016-07-05-tweedekamer-3.u14	I think Mrs. Karabulut was earlier.
ParlaMint-NL_2016-07-05-tweedekamer-3.u15	I don't think so.
ParlaMint-NL_2016-07-05-tweedekamer-3.u16	D66 is very concerned about foreign funding flows, especially when they lead to intolerance and hate-sowing. In this Chamber we have often talked about the transparency of funding flows. The cabinet has always said that we share these concerns. But what does a broadcast of Nieuwsuur reveal? The cabinet already knows how Saudi Arabia spends the money here and is even being consulted. Can Minister Asscher clarify how the government is involved by countries like Saudi Arabia in spending every euro on behalf of religious institutions in the Netherlands?
ParlaMint-NL_2016-07-05-tweedekamer-3.u17	I really have to refer to Minister Koenders' letter on this subject.
ParlaMint-NL_2016-07-05-tweedekamer-3.u18	I'd like an answer.
ParlaMint-NL_2016-07-05-tweedekamer-3.u19	I must refer to Mr Koenders' letter. That letter just came out.
ParlaMint-NL_2016-07-05-tweedekamer-3.u20	That letter doesn't contain the answer to my question. The letter was co-signed by Minister Asscher. I would like an answer to this question.
ParlaMint-NL_2016-07-05-tweedekamer-3.u21	If you would like further information on its content, the letter refers to the appropriate channels and that is not this channel.
ParlaMint-NL_2016-07-05-tweedekamer-3.u22	Mr Sjoerdsma, you also referred this question to the Minister for Foreign Affairs as an oral question. I understand there's a letter. On the basis of this letter, you can request a debate or hold a general discussion.
ParlaMint-NL_2016-07-05-tweedekamer-3.u23	I am asking a question here in Oral Question Time. Of course I can ask for a letter, of course I can ask for written questions, of course I can request a debate, but I have read the letter and on the basis of that letter and on the basis of the Nieuwsuur broadcast I would like a reply from Minister Asscher on this point.
ParlaMint-NL_2016-07-05-tweedekamer-3.u24	I've already given my answer twice.
ParlaMint-NL_2016-07-05-tweedekamer-3.u25	Then I can only observe that the cabinet refuses to clarify the way in which the cabinet is consulted by countries like Saudi Arabia when it comes to financial support in the Netherlands.
ParlaMint-NL_2016-07-05-tweedekamer-3.u26	Once again, I have referred to the appropriate channels and that is not this place and this moment.
ParlaMint-NL_2016-07-05-tweedekamer-3.u27	This is the world upside down. This really hits everything. This subject has everything to do with the funding from Saudi Arabia of this possible institute. The NRC article states that Al-Waqf, the foundation through which this property was purchased, is closely linked to the establishment of Saudi Arabia. Could this blurryness have anything to do with the fact that the government is also closely linked to the establishment of Saudi Arabia? I remind the Minister that it decapitates apostates, stones gays and places women as inferior beings. That is why the Court has been asking for transparency of funding for years. There is a list, but the Minister and the Cabinet refuse to share it, possibly at the expense of the future of our children who will soon be taught by wahabism.
ParlaMint-NL_2016-07-05-tweedekamer-3.u28	This is oral Question Time, which raises short questions.
ParlaMint-NL_2016-07-05-tweedekamer-3.u29	It tends somewhat to the absurdity that is now being claimed that the cabinet is connected to that regime. That's bullshit, of course. I have been accused a lot lately, but I find this a very special accusation. Mr Sjoerdsma asked how it works, what foundations it concerns, what the situation is. I referred to a letter from Mr Koenders on this subject, which states that he is receiving certain information through diplomatic channels and that he does not feel free to disclose it, but wants to share it with the Chamber through appropriate channels. No, there is no connection between the government and the regime of Saudi Arabia. No, I also do not think it would be desirable for this type of foundation to purchase this type of building with funding from the Gulf States. The purchase in Rotterdam, about which the question is asked, is in itself legal, even though it is not a good thing that it has been done intransparently. This contributes to the great commotion that has arisen. All the more important is that the buyers give text and explanation to the municipality, to Mayor Aboutaleb of Rotterdam about what they want to do. They will be told that they will have to abide by the Dutch rule of law with everything that goes with it.
ParlaMint-NL_2016-07-05-tweedekamer-3.u30	Mrs Karabulut, your last question.
ParlaMint-NL_2016-07-05-tweedekamer-3.u31	Now it becomes interesting, because now the question arises as to why there has not been a preliminary examination. What does the cabinet do with these kinds of purchases at all? It says in the letter that the Cabinet does have knowledge of institutions and/or mosques financed from Saudi Arabia, but it apparently refuses to share that information with the Chamber and therefore with municipalities from diplomatic and/or commercial interests.
