ParlaMint-NL_2016-03-22-tweedekamer-32.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2016-03-22-tweedekamer-32.u2	Mr. Chairman. Your home is the most important place on earth, the place where you wake up in the morning, where you eat with your family at night, where you can watch a game of clover jacket or TV on Saturday. That place must be safe and enjoyable and in a safe environment. You should be able to go home by bike or tram at night, noise pollution should be an exception and crime should be minimal. With these eyes, the VVD looks at living, and also at this amendment of the Rotterdam Act, or better: the Special Measures Act metropolitan problem. We have a few dozen neighbourhoods in the Netherlands where the climate is downright bad. It's not about the one neighbor who gets drunk or puts his music too loud. In an average residential area there is sufficient resilience to accommodate and correct that. No, I'm talking about neighborhoods where for 50 years nuisance has been stacked and where small and large crime is the order of the day, places that work like a magnet on vandals. In those neighborhoods, willing, hard-working people suffer from the nuisance of some troublemakers. For a long time we have referred to these neighbourhoods as "focused neighbourhoods," "Vogelaarwijken," "beautiful neighbourhoods" and "power neighbourhoods." Every year almost €400 per inhabitant was extra spent on all beautiful ideas. You can find all kinds of things about it.The VVD might do that too.But the good news is that through the reviews of the policy in 2009, 2011 and 2013 we know quite exactly what works and what doesn't work. Most social investments in sports fields and community centers and benefits in education do not have a positive impact on the quality of life. New construction, sale of social housing and renovation have a positive effect, as well as maintenance and maintenance. Clean, whole and safe: a clean environment, well maintained houses and safe neighborhoods. In this context, in recent years, we have adopted a series of laws that allow the municipal administration to keep their neighbourhoods clean, whole and safe, such as the Bibob Act, the Opium Act, the Rotterdam Act, adaptations of the Housing Act and the Housing Act. These laws are mainly aimed at the few neighbourhoods in the Netherlands in which it is not yet done. The municipality can now tackle cottage milkers, appeal to troublemakers, fight foul play and prevent migrant workers without perspective. A logical power is still lacking, namely to stop real troublemakers and criminals in advance. We're not talking about people with a bunny on their résumé, we're talking about real asos with a criminal record that in no way contribute to the environment in which they live. We are discussing the proposal for that power today. I am quite right to say that we will support this proposal. We do not want the problem areas to continue to be ruined. The Netherlands doesn't have ghettos like other countries do. We have to keep doing our best to do that.
ParlaMint-NL_2016-03-22-tweedekamer-32.u3	The spokesperson of the VVD Group rightly points out that people who cause problems must be addressed. However, with this bill, these people are spread across the country. These people and their problems are not addressed, they are spread out. Why doesn't the VVD choose to tackle the problems?
ParlaMint-NL_2016-03-22-tweedekamer-32.u4	For everyone in the Netherlands we can find a place, but it's about pulling the sting out of problem areas. When you put these people together, they strengthen each other's behavior.
ParlaMint-NL_2016-03-22-tweedekamer-32.u5	Then you don't strengthen that behavior, but you do spread the problems across the country. Now there are a few neighborhoods where there are problems and many people suffer from them, but the whole of the Netherlands will suffer from these problems. Why doesn't the cabinet have a neighbourhood policy? Only 0.2% of the previous cabinet's budget is spent on neighbourhood policy. Why doesn't the cabinet do anything about the problems themselves? Why doesn't the Cabinet investigate what's wrong with these people, what problems they have and how we can deal with them instead of spreading the problems across the country?
ParlaMint-NL_2016-03-22-tweedekamer-32.u6	I say the following about the spread of problems. Ordinary residential areas are strong and resilient enough to keep these kinds of people clean. That's not where the problem is. If I may pour it into Easter trees: one aso is not an aso, two aso's is a problem, three aso's is a problem. So I do prefer that they be spread out. All this does not mean that the VVD, as a liberal party, feels lightly about the fundamental rights at stake here. We must realise that this bill infringes privacy. It is also a serious violation of the freedom of establishment. These are core values for which the VVD stands, but my group does not have to think for long when it has to consider a viable neighbourhood, in which people can develop and be happy, and on the other hand the right of freedom of establishment for people with a criminal past. This bill respects all principles. The current string policy, whereby eighteen municipalities carry out a screening at their own discretion and without a legal basis, is banned. As a result, privacy is more or less managed. Moreover, the legal possibilities of objection and appeal are neatly regulated. There is also the point of proportionality, or in plain Dutch: do we shoot a mosquito here with a cannon? Proportionality is monitored by the fact that a municipality can only screen with the Minister's permission. The municipality is then obliged to make a careful assessment. Not every crime in every neighborhood leads to rejection. Is the VVD completely satisfied? We still have a few questions. The first question concerns the designation of Rotterdamwetgebied. That's a lengthy procedure. I understand that this must be done carefully, but can this be done more quickly, especially if municipalities have a problem? Can we do it in two weeks, for example? Question two is about the flow rate of the screening. We've set it to eight weeks now. I understand that from the procedure of asking for an explanation of the behaviour, a vog, but from the landlord's perspective that means two months of vacancy. Especially in a problem area you can't get out of your way with that. How does the Minister see this? Can we bring that back to a month or a week? Who would have to pay for the damage if it took longer? Thirdly, how do we screen people coming from outside the Netherlands? These people are not registered, while in the Netherlands we have examples of people who have committed serious crimes in their country of origin. My fourth question concerns the two routes from which the municipality can choose: a police screening and the request for an explanation of behaviour. But why don't we just combine that? How do we deal with AIVD information, which may or may not be known to the mayor? If we're gonna dive in, why are we only looking back four years? I understand that for minor offences, but don't we miss the really serious crime? This bill isn't going to get us there yet. My colleague, Ockje Tellegen, has tabled an initiative proposal on housing nuisance, better known as the "aso-law" with which we can give concrete instructions on behaviour. If we've also dealt with that bill, we've filled the mayor and alderman's toolbox well. In the end, they're the ones who have to take care of it for us. We wish them much strength and success.
ParlaMint-NL_2016-03-22-tweedekamer-32.u7	Mr Van der Linde asks a number of good, critical questions. For me, those would be a good reason to look at this bill again. However, what the Minister is doing now is extending the former Rotterdam Act. This law has been recently reviewed. I've got that evaluation right here. What is the conclusion of the investigation? The conclusion of the UvA researchers is that the viability and safety in these neighbourhoods have not been demonstrably improved since the introduction of the Rotterdam Act. Why would it work now? What's the difference now? What does the minister do other than what he's done so far?
ParlaMint-NL_2016-03-22-tweedekamer-32.u8	You have the UvA investigation there. We also got the investigation into the police screening. This shows that 15 municipalities later turned out to be 18, in my opinion, all of them doing so in their own way. That can be improved, and we are going to take care of it now.
ParlaMint-NL_2016-03-22-tweedekamer-32.u9	Eighteen municipalities do it now with screening, but many more municipalities can tackle the problems without police screening. Now the screening of these eighteen municipalities is being legalized, but this was not an answer to my question. The Rotterdam Act has been adopted and has been in force for ten years, but researchers conclude that the Rotterdam Act does not work. Instead of trying something else, we're gonna do the same thing again. What are we doing different than before and why would it work now?
ParlaMint-NL_2016-03-22-tweedekamer-32.u10	I have based myself on two analyses by the Social and Cultural Planning Bureau and the 2009 study by the Minister of Economic Affairs on social investment, the softer components of such a neighbourhood approach. We're sure they don't work. The same studies also show that "clean, whole and safe" contributes to the development of these neighbourhoods. That road has been taken and we would like to continue along that road. Of course we don't have all the components of the Rotterdam Act complete yet. So let's do it quickly. I would very much like to take up the challenge with you. As far as I'm concerned, we're going to re-evaluate this in a few years. Let me give you a note that will produce good results.
ParlaMint-NL_2016-03-22-tweedekamer-32.u11	Mr. Chairman. In your house, you want to feel safe and be able to unwind. That pleasure of living needs to be protected. Trouble and criminal activity can be terribly disruptive and disruptive. Therefore, municipalities and housing corporations should have opportunities to tackle nuisances. The cabinet therefore wants to amend the Rotterdam Act to prevent nuisances from the neighbourhoods. That's a simple, easy solution. For example, troublemakers are spread throughout the city and across the Netherlands. Of course, you could do it differently. Of course, you can tackle problems instead of spreading them. That's what neighborhood policy is for. The Netherlands and in particular certain neighbourhoods need a structural and sustainable neighbourhood policy. So this should not be about plans for four years, but about a long-term vision involving residents. That is not what the cabinet chooses for, because the cabinet wants to give municipalities more tasks with less money. I am referring specifically to four points. First of all, I am referring to sufficient resources for adequate community support and for sufficient ears and eyes in the neighbourhood, for example by district agents and community masters. [[Sentence could not be parsed: De twee kabinetten-Rutte hebben elk wijkenbeleid opzijgezet, op Rotterdam-Zuid na.]] It's issued 500 times less by this cabinet. So that's 0.2%. Everywhere the plug has been pulled, while there is a need for coherence. If there's any trouble in the neighborhood, the neighborhood manager's gonna have to go down there. Problems need to be discussed and addressed. The cause must be removed. When will this cabinet again opt for prevention instead of repression? In collaboration with local residents, professionals and municipalities, much is possible. There are many examples of this in the country. For example, give residents local rights. By that I mean: more control over one's own environment. Let residents participate and think along in the neighbourhood, for example when developing a playground or programming a community center. With neighbourhood rights, more district agents and housekeepers, the quality of life and safety are really improved. What does the Minister think about this?
