ParlaMint-NL_2016-03-01-tweedekamer-2.u1	I would like to welcome the Prime Minister. I call Mr Sjoerdsma.
ParlaMint-NL_2016-03-01-tweedekamer-2.u2	Mr. Chairman. I'm a little despondent here today. Yesterday there were four items in the journal about refugees. The Dutch feel attacked and fear that the cabinet has no control over the matter. I would have liked to ask the Prime Minister today about refugees in Macedonia, who are breaking through a fence in despair. Today I would have liked to ask the Prime Minister a question about the enormous influx of Greek islands over the last two months. I would have liked to ask about care and integration in the Netherlands. However, it is again about figures with a prime minister who magics figures and maintains in the Chamber that the cabinet counts with 58.000 asylum seekers in 2016, while 600 metres away the highest asylum officer states and municipalities says that the cabinet counts with 93.000 asylum seekers. The Netherlands faces a huge challenge: arranging decent care, fast work and fast language learning for many thousands of people. You must at least be honest about the facts and the challenge that awaits us. Over and over again that does not seem to happen, and the Prime Minister is magical with figures and definitions. Since last Princess Day, the opposition has been asking for clarity about asylum projections and about what awaits the Netherlands. We have received clarity, not from the cabinet, but from Nieuwsuur, NRC and Reporter Radio, from journalists who did share the right asylum forecasts with the Chamber. I have only one simple question to the Prime Minister: how does the Prime Minister feel that his magic contributes to the support of Dutch people for the reception and integration of refugees into our society?
ParlaMint-NL_2016-03-01-tweedekamer-2.u3	Mr. Chairman. This year's cabinet assumes an inflow rate of 58,000. That is also the figure in the budget. It is true that we discussed this with the Chamber a few weeks ago on the basis of unchanged policies, this figure will be considerably higher. We are taking a great deal of action at the moment. This week we are going to come to the preparations for the European Council to discuss what we are doing in cooperation with Turkey, what is happening with the NATO mission in the Aegean Sea and what is happening in Greece at the moment. As President of the European Union, the Netherlands is trying to bring what is happening in the Balkans back into a European framework. These are all important things that are needed to contain the flow of asylum seekers from Turkey to Europe. If you do not do so and do not take any measures, then you should indeed consider a much higher influx. Those are the facts. The cabinet budgeted because of all these measures on an inflow of 58.000 p.m. this is similar to that in 2015 because, on the basis of all these measures, we are working hard to limit the inflow. We still think that 58 000 is too high.
ParlaMint-NL_2016-03-01-tweedekamer-2.u4	The Prime Minister doesn't go into the heart of the matter. The heart of the matter is this one. The cabinet discusses with the parliament and with the Dutch people scenario A: 58.000 asylum seekers will come. Internally, in relation to the implementation organisations, the COA and the IND, it is about scenario B and the number 93.000 is on paper. What is the leading number for the COA, the IND and for all provinces and municipalities, to whom the cabinet has asked to help with reception and integration? Is that $58,000 or $93,000? This last number is the number that has now come up thanks to the NRC and Reporter Radio. Does the Prime Minister recognise that there has been unrest and confusion among government organisations, precisely because of these magic tricks? Does the Prime Minister recognise that some of these organisations say that they are unable to prepare properly? Does the Prime Minister recognize that mayors say that this is how they find it difficult to gain support within the municipality? We must avoid a repetition of 2015, a repetition of the drag with refugees, of diseases such as currants that suddenly appear and of tensions that flare up locally. In 2015, the cabinet was surprised. I would find it very serious if the cabinet were to be surprised again in 2016, but this time by itself. I also ask the Prime Minister why the COA budget has not been adapted to the internal figures, to the 93 000. In this way, I can only conclude that the Dutch have the right to know exactly what the cabinet expects in terms of asylum influx and that the Dutch can trust that the cabinet will do everything in its power to manage it, but that the Prime Minister of all this seems to do nothing at all.
ParlaMint-NL_2016-03-01-tweedekamer-2.u5	I will do it in a slightly different way, but I will come back to the previous answer. If you didn't do anything, you'd be estimated to be over 93,000. That is not acceptable to the cabinet. It would be a disruption of the entire execution. In our opinion, it would not be possible to do so both socially and politically. That is why we are taking a whole series of measures to reduce influx. This now coincides with our European Presidency. I have just mentioned all the means to limit the inflow; I have referred to them as "filters." We're working very hard on that. We are assuming an influx that is about the same as last year, which we consider too high. The realisation of the sites also appears not to be on schedule for the inflow of 58.000. There will still be a terrible amount of work to be done to accommodate such an influx. Of course, you always do that as wise drivers... you ask the implementing organisations to take into account worst case scenarios. Suppose it doesn't work, suppose the influx is higher, how do you avoid dragging people and all kinds of complicated administrative problems that also have humanitarian effects? That's why you always consider scenarios that don't work out. That's wise policy. As far as the cabinet is concerned, all measures are aimed at limiting the influx. I repeat, those figures need to be lowered. Last year's 58 000 was too high and will have to go further down. We will have to succeed in tackling the smugglers of human beings and making agreements with Turkey. I understand that countries are taking all kinds of measures, but we will have to understand what is happening in the Western Balkans in a European framework next Monday and at the summit of 18 and 19 March, midway through this month. The cabinet therefore assumes an influx of up to 58.000.
ParlaMint-NL_2016-03-01-tweedekamer-2.u6	The Prime Minister has not answered any of my questions: not how he reflects on his own role in terms of support, not how he looks at the mayor's unrest and not how he looks at the confusion that exists in implementing organisations. I ask the Prime Minister again how he reflects on his own role.
ParlaMint-NL_2016-03-01-tweedekamer-2.u7	It is my job to ensure that, when forecasts are made for an influx of which I and my cabinet colleagues estimate that it is socially and politically unacceptable, measures are taken to control that influx. We are taking these measures at the moment. At the same time, you always have to ensure that if measures do not have sufficient effect, implementation is ready and takes other numbers into account. Perhaps I can quote from the report of the meeting of 11 February of the National Regietable Increased Asielin Stream, which was referred to yesterday in NRC. The foreign chain has made a forecast of 93.000; this is the multiannual production forecast. The cabinet considers this influx undesirable due to the heavy burden on society and therefore takes measures to limit the influx to a level similar to 2015. So this is where the government's budget is based. For the sake of security, however, the alien chain will always have the opportunity to prepare itself if it is unexpectedly necessary for other numbers. So there's no confusion. It is quite clear what is going on here.
ParlaMint-NL_2016-03-01-tweedekamer-2.u8	This Prime Minister is not getting anything out of solving the asylum crisis. To cover up that failure, he's always magical with numbers. That's what he's doing now. The PVV asks him to stop doing this and to finally do what is necessary: close the Dutch borders and don't allow any more asylum seekers. Then the asylum influx is zero point zero and then you don't have to magicalize numbers anymore.
ParlaMint-NL_2016-03-01-tweedekamer-2.u9	A civilized country like the Netherlands will always be willing to offer people fleeing from life-threatening situations a safe escape. We owe that to our stand. A civilised country such as the Netherlands, which is a member of the European Union, will always try to take these measures within a European framework as much as possible. It's not like you're a society that can handle anything. Last year's numbers were simply too high. A further increase is not acceptable. That is why the cabinet is taking many measures to reduce the influx. That is why a lot of conversations are taking place at the moment. That is why it is also important that what is now happening in the Western Balkans, cutting the influx from Turkey via Greece to Western Europe, is applied humanitarianly and that the European framework is properly framed. We're working very hard on that right now. I spoke to my German colleague and the President of the European Council on this matter in detail yesterday. I will have many international talks tomorrow and Thursday in the run-up to the European Council next Monday.
ParlaMint-NL_2016-03-01-tweedekamer-2.u10	So I don't believe that the cabinet is working hard on that. Nothing at all, because we have just come back from a working visit to Greece and Macedonia. We have seen with our own eyes how terribly dramatic the humanitarian situation there is for people. I want to know from the Prime Minister whether it is true that he has not only misinformed the Chamber about the prognosis for the Netherlands, but that he has also been doing a story here during the debate about, among other things, the relocation of refugees from Greece, where he said: we want to take over people from Greece as the Netherlands, but they are not ready. Is it true that that is also a falsehood? We ourselves have seen that these people are ready to be taken over by the Netherlands, to come to the Netherlands now from Greece, which is flooded with refugees, but that the Dutch Government does not want it.
ParlaMint-NL_2016-03-01-tweedekamer-2.u11	As the Netherlands, we are at the forefront of the European relocation programme. We're on top of the list. This also fits with a country like the Netherlands and that fits with our views on decent care for people on the run. At the moment we are talking to Greece again to take over another group of people. That's going to be difficult. The latest state of affairs is that we have received 28 files from the Greeks. We've asked for more. By the way, the Greeks are working very hard to better register people through their systems. The Netherlands contributes to this. I thought Mrs. Gesthuizen went to Chios, too. Then maybe she could see for herself. She may have spoken to the Dutch there. We are working terribly hard to strengthen that registration capacity, but the fact is that it is currently difficult for the Greeks to shape that relocation program. They have a lot on their plate. I don't blame them for that. We'll help them.
ParlaMint-NL_2016-03-01-tweedekamer-2.u12	This refugee crisis does not require management but leadership. I am really worried that the Prime Minister is reasoning down the number of refugees coming to the Netherlands. I blame him for that, too. Why am I worried about that? Because you are now giving people in the Netherlands the impression that we are going to keep it to about 58,000 refugees, while the chances are very low that we will actually get to that number. You're organizing your own defeat with this. You'll be showing the Dutch people again: it's uncontrollable what happens to the refugees here, we don't have it under political control. While we only have one job, and that's to make sure we organize it properly. That's why I only have one question for the Prime Minister. Can the Prime Minister justify, per measure of the Cabinet, why he is convinced that we are going to reduce the number to 58,000 refugees a year?
ParlaMint-NL_2016-03-01-tweedekamer-2.u13	The 58.000 refugees are too high. I believe that the number of refugees coming to the Netherlands this year should be further reduced. That's what the Cabinet thinks. All measures are aimed at this. I know that Mr Klaver is a member of a party that believes in drawing tables where you can say exactly that there are so many people in each measure. That is not possible for me as a liberal. The compilation of all measures must ensure that the influx from Turkey to Europe is reduced. Then it's mostly about killing the business model of those boat smugglers. They still kill people, for example in the Aegean Sea. I also thought that the parliamentary delegation saw how that works, what happens when those boats arrive, what numbers that goes with and what totally unclear situation that creates. Luckily, they didn't see people die. Leadership, I say to Mr Klaver now that he is using that word, is not to resign to the facts, but to look at the facts and then take measures to ensure that you achieve goals that you want to achieve as a political one.
ParlaMint-NL_2016-03-01-tweedekamer-2.u14	The facts are that we are dealing with a terrible situation in Syria and that more and more refugees are coming in. So what we have to do is prepare for the worst case scenario. If, in fact, there are about 100,000 people coming to the Netherlands, we must do everything we can and now also free up the means to provide shelter in the Netherlands to prepare for the integration of these people. By saying that only 58,000 will come, we will be following the facts again. I ask the Prime Minister if he can indicate by measure how much the number of refugees is going down, precisely because the cabinet is working on drawing tables. It really believes that policies can help to reduce the number of refugees coming to the Netherlands. I dispute that. That's why you have to assume those 100,000 refugees. That is why I ask the Prime Minister: please release sufficient funds in the budget as soon as possible to take account of and be prepared for the arrival of 100,000 refugees. Is the Prime Minister prepared to do so?
