ParlaMint-NL_2016-03-22-tweedekamer-7.u1	Before we vote, I give the floor to Mr Omtzigt.
ParlaMint-NL_2016-03-22-tweedekamer-7.u2	Mr. Chairman. I would like my motion on item No. 12 on the citizens' initiative on our money when we vote. 15 hold on.
ParlaMint-NL_2016-03-22-tweedekamer-7.u3	This motion will be held.
ParlaMint-NL_2016-03-22-tweedekamer-7.u4	Mr. Chairman. I would like to continue my motion on WRR investigation on the same subject.
ParlaMint-NL_2016-03-22-tweedekamer-7.u5	The motion will be held.
ParlaMint-NL_2016-03-22-tweedekamer-7.u6	The original motion was under item No. 5.
ParlaMint-NL_2016-03-22-tweedekamer-7.u7	Yeah, it's gonna change and be stopped. Okay. I see two Members standing at the interrupting microphone, but first give the floor to Mr Klein, who has made a proper application.
ParlaMint-NL_2016-03-22-tweedekamer-7.u8	Mr. Chairman. Under paragraph 9, the votes on motions tabled by Mr van der Staaij's proposal to amend the Rules of Procedure, I would like to make my two motions on documents. Five and six.
ParlaMint-NL_2016-03-22-tweedekamer-7.u9	At the request of Mr Klein, I propose his motions (33959, Nos. 5 and 6. That is what is decided.
ParlaMint-NL_2016-03-22-tweedekamer-7.u10	Mr. Chairman. I have heard Mr Omtzigt's comments and Mr Merkies's remarks. Keep 11 under point 12.
ParlaMint-NL_2016-03-22-tweedekamer-7.u11	At the request of Mr Grashoff, I propose his motion (34346, No. 11), as last amended by Regulation (EC) No 40/94 of the European Parliament and of the Council on the common organisation of the market in fruit and vegetables. That is what is decided.
ParlaMint-NL_2016-03-22-tweedekamer-7.u12	Mr. Chairman. When we vote on paragraph 12, we want our motion on item No. Ten, hold on.
ParlaMint-NL_2016-03-22-tweedekamer-7.u13	At the request of Mr Öztürk, I propose his motion (34346, No. 10), as last amended by Regulation (EC) No. That is what is decided.
ParlaMint-NL_2016-03-22-tweedekamer-7.u14	And in the vote under item 17, votes on motions submitted to the VAO Integration subjects, we would like to ask for a roll-call vote on our motion on item No. 126 on facilitating municipalities in the security of mosques.
ParlaMint-NL_2016-03-22-tweedekamer-7.u15	We shall now proceed to item 17 on the motion for a resolution. 126 roll-call votes.
ParlaMint-NL_2016-03-22-tweedekamer-7.u16	Mr. Chairman. It would be wise if I had my motion in part no. 3 also retain.
ParlaMint-NL_2016-03-22-tweedekamer-7.u17	On what agenda item?
ParlaMint-NL_2016-03-22-tweedekamer-7.u18	On agenda item 12, about the motions submitted to the citizens' initiative Our Money.
ParlaMint-NL_2016-03-22-tweedekamer-7.u19	At the request of Mr Wassenberg, I propose his motion (34346, No. 3) to be retained. That is what is decided.
ParlaMint-NL_2016-03-22-tweedekamer-7.u20	Mr. Chairman. In voting under 12, I tabled a motion together with Mr Öztürk on item No. 7. We want to try to make one motion, and that is why I want to make my motion on part No. Seven, please hold.
ParlaMint-NL_2016-03-22-tweedekamer-7.u21	I look at Mr Öztürk to see if he agrees. That's the case.
