ParlaMint-NL_2016-02-18-tweedekamer-22.u1	I would like to welcome the Minister of Finance. I call Mrs Van Tongeren.
ParlaMint-NL_2016-02-18-tweedekamer-22.u2	Mr. Chairman. I'll file the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the compulsory division of DELTA has created financial challenges around the Borssele nuclear power plant;]] [[Whereas the Vos/Van Tongeren motion adopted calls on the Government to find a solution to the Borssele nuclear power station;]] [[calls on the Government to develop several scenarios for the nationalisation of Borssele, including full closure, compliance with all current safety requirements and in any case the construction of sufficient funds for final disposal,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that at present several State participations have a basis in fossil energy;]] [[whereas we have state participations to serve a public purpose;]] [[Whereas government policy is to achieve an economy based more and more on clean energy;]] [[calls on the Government to develop a long-term strategy for state participations focusing on the public interest of a sustainable economy and to report annually on this, for example in the State Participations Annual Report,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas URENCO is a 100% State participation;]] [[Whereas financial speculation in radioactive substances may lead to increased transport of radioactive substances;]] [[whereas this speculation is certainly not in the public interest;]] [[Whereas any nuclear transport poses an additional risk and is contrary to various conventions limiting transport to the strictly necessary;]] [[calls on the Government to ensure that state participation does not participate in or facilitate speculation with radioactive substances;]] [[also calls on the Government not to cooperate in the granting of transport permits that support speculation and to inform the Court of Justice thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28165-234]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28165-235]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28165-236]]
ParlaMint-NL_2016-02-18-tweedekamer-22.u3	Mr. Chairman. Following our suggestion during the AO State participations to acquire a majority stake in URENCO, the CDA will submit a motion to identify the possibilities for this. This is in line with the 2013 Van Hijum motion and the 2014 Omtzigt motion. Especially now that the government no longer intends to sell shares in URENCO, the CDA wants to reconsider the scope of the old motions. Hence the next motion, which is supported by the member Merkies of the SP. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Government no longer intends to sell shares of URENCO;]] [[Whereas the purchase of shares in URENCO can be economically profitable;]] [[Whereas, moreover, a majority shareholding to safeguard public interests could be an alternative to a particular share of rights and powers;]] [[calls on the Government to identify the pros and cons and the possibilities of acquiring a State interest of 51% in URENCO and to inform the Court of Justice in advance of the bill announced by the Minister on the safeguarding of public interests in URENCO,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Ronnes and Mr Merkies. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28165-237]]
ParlaMint-NL_2016-02-18-tweedekamer-22.u4	Mr. Chairman. The Van Tongeren motion in part No. 234 deals with the future of the Borssele nuclear power station. My understanding of the situation is that a motion has already been adopted in the Chamber which is currently being worked out by the Ministry of EZ, with the involvement of the Ministry of I and M. It concerns Jan Vos' motion calling on the government to examine whether the nuclear power station can be nationalized. It is only a question of whether that is a sensible step, but we do not have to think of it tonight. The Departments of Commerce are working on that. As always in the case of State participation, the first question is whether the public interest in question can simply be secured by law and regulation. That question will be answered by the specialist departments. This motion will then be dealt with, so I do not see the added value of this motion at the moment. I'd like to dissuade them.
ParlaMint-NL_2016-02-18-tweedekamer-22.u5	A brief question about the motion.
ParlaMint-NL_2016-02-18-tweedekamer-22.u6	There are at least five relevant adopted motions around the Borssele nuclear power plant. I will not tire the Minister of this, but this is a further clarification of what the GroenLinks Group would like to see mapped out. The Vos motion only asks for nationalisation, this motion asks to give us insight into the different options. We all know that these calculations and proposals are currently circulating in different ministries. The Chamber would like to have some more information on that.
ParlaMint-NL_2016-02-18-tweedekamer-22.u7	I'll give it to you. I can see by the way that it is a Vos/Van Tongeren motion, it is a bit of a faux pass not to mention Mrs Van Tongeren. In his response, the cabinet will address the position and future of that nuclear power plant. That motion is in fact already there and I do not think it has any added value to submit even more refined motions, while the previous one has not even been answered by the cabinet.
ParlaMint-NL_2016-02-18-tweedekamer-22.u8	We can differ on that. If we wait until it is finished and only then come up with 'yes, but you did not include the closure', the Minister replied that it should have been reported when it was worked out. There is a motion-Vos, there is a motion-Vos/Van Tongeren and there is also a motion-Van Gent on this subject. They all state in general that a state interest must be secured and that nationalisation must be looked at. My question again is: is it really not possible to pass this on to the professional departments, if necessary? Otherwise, this will have to be answered in response to written questions.
ParlaMint-NL_2016-02-18-tweedekamer-22.u9	I'm sticking to my judgment. There seem to be three motions on this subject and I think it would be wise to answer them first. The motion in part No. 235, calls on the government to develop a long-term strategy for state participation, mainly on sustainable economy and fossil energy. State participations should be transparent about their corporate social responsibility policies, specifically in the area of sustainability. I have promised Mrs Van Tongeren in the AA to explicitly address the issue of sustainability in the strategy discussions we regularly have with state participations. They appoint and deal with it in their annual report, and I think it belongs there. On the total of the annual reports, we publish the annual report on state participation and then report to what extent and how well they score on sustainability. That's what we're doing. I do not intend to develop a single strategy for this. They are very different companies, so I do not think that makes any sense. Companies must do so themselves and must discuss it with the shareholder, the State, and account for it in their annual report. For that reason, I cannot support this motion.
ParlaMint-NL_2016-02-18-tweedekamer-22.u10	A quick question.
ParlaMint-NL_2016-02-18-tweedekamer-22.u11	I know this minister as a very clever minister. I am not asking whether the office policy of a state participation is sustainable. I ask whether the State should not reflect on the overall package of state participations that we have, because that should serve the general interest, where the Empire wants to move towards a sustainable economy. Shouldn't you get rid of some of the state's holdings, or maybe you should rebuild them? It is about the overarching sustainability strategy and not about whether the internal management of a state participation is sufficiently green and whether they are using electric cars.
