ParlaMint-NL_2016-12-21-tweedekamer-7.u1	I would like to welcome the Minister for Security and Justice.
ParlaMint-NL_2016-12-21-tweedekamer-7.u2	Mr. Chairman. Thank you for the flexibility that allows this VAO to be kept quickly. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the police plan to close the Deventer police station's cell complex as of 1 March 2017;]] [[noting that this closure results from a shortage of arresters and not from plans supported by the Chamber such as the housing plan;]] [[Whereas thousands of travel movements with arrests to Apeldoorn are charged with the operational police strength in Deventer;]] [[calls on the Government to instruct the Corps to refrain from closing the Deventer police station's cell complex and to put the support service in order and in order,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Toorenburg and Kooiman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29628-683]]
ParlaMint-NL_2016-12-21-tweedekamer-7.u3	My second motion concerns a major inconvenience that we felt in the AO in connection with violence against the police. We can see that there is a huge difference between the two to three-year sentence in the case of abuse and the one that is ultimately imposed, especially if you bear in mind that we really want a much higher sentence in the case of violence against government servants. We are going to try to tighten it up, which is why we are now concentrating on the police, and that is what the next motion for a resolution is for. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that incidents show a major discrepancy between the maximum penalty to be imposed and the penalty imposed in the event of violence against police officers;]] [[Whereas the Court has declared itself in favour of a significant increase in the penalty rate if violence is committed against police officers;]] [[Calls on the Government to inform the Chamber of the penalties advanced and imposed against perpetrators of violence against police officers in 2015 and 2016,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Toorenburg and Mr Tellegen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29628-684]]
ParlaMint-NL_2016-12-21-tweedekamer-7.u4	With this we hope to get a little out of the loop with the Minister that we should not send too much on incidents. For example, a video has now been released on the internet in which out of the blue two policemen are smashed in the face. If the penalty is then that someone should actually sit for 18 days, then we don't understand it anymore. We can't explain that. So we would like to get a picture of this along this road.
ParlaMint-NL_2016-12-21-tweedekamer-7.u5	I have mentioned it many times and twice yesterday very clearly, but Mrs Van Toorenburg keeps the boat off every time. If you do not want to respond to incidents, but you do want the punishments for violence against aid workers to go up, then you just have to take advantage of the opportunities you have as a representative of the people and then you create a law that sets a lower limit that you think is reasonable. It is then applied by the court in cases where a person has been convicted in accordance with the rules for his or her conduct. Could Mrs Van Toorenburg say a few words on this point and indicate whether she is in favour of or against the minimum penalty?
ParlaMint-NL_2016-12-21-tweedekamer-7.u6	I've said that a hundred times. We are against the minimum penalties when they are imposed in the event of an incident, just like that, where there is no recurrence of the most serious offences. We have already discussed this at length, even in coalition negotiations. I've lived and worked in England, and I know how that goes there. If we do not have peace with that minimum punishment, then the crime will simply not be declared proven. I just want to know what the difference is between what we think of each other and what is imposed. I know the place of the PVV and I know this party wants minimum punishment for everything. That's okay, but I just want to have some insight into how there's a discrepancy here.
ParlaMint-NL_2016-12-21-tweedekamer-7.u7	Mrs. Helder, very briefly. I have heard this discussion before.
ParlaMint-NL_2016-12-21-tweedekamer-7.u8	I'll be brief, Mr. Chairman, but I'm being provoked here. This isn't true. I'm telling you for the hundred thousandth time that I'm talking about serious violence and sexual crimes. Well, the facts, please.
ParlaMint-NL_2016-12-21-tweedekamer-7.u9	The nasty thing is that what happened in this case by the D.A. isn't even seen as a serious violent offense. So that's why we're saying we need to get a picture of what's going on.
ParlaMint-NL_2016-12-21-tweedekamer-7.u10	Thank you. I note that Mrs Kooiman does not want to speak, so I think the Minister can reply immediately.
ParlaMint-NL_2016-12-21-tweedekamer-7.u11	Mr. Chairman. We have had a good debate on the progress of the national police. Mrs Van Toorenburg has tabled two motions. In the first motion by Mr Van Toorenburg and Mr Kooiman to item No. 683 (29628) calls on the government to instruct the corps leadership not to close the Deventer police station's cell complex and to put the support service in order and in order. I said yesterday in general consultation that there is contact on this issue and that there is ongoing consultation between the regional police, the police chief and the mayors concerned. Since that conversation is going on right now, I don't think it's right to give this gremium instructions on how to implement the cooperation between the police chief and his mayor. For that reason, I must advise against this motion. In the second motion, which is in part No. 684, the government is invited to inform the Chamber of the penalties advanced and imposed against perpetrators of violence against police officers in 2015 and 2016. I think I promised yesterday that I would. I promised I'd ask the D.A. about that. I do not, with all due respect, see any grounds for any motion on this matter. After all, what is the value of a commitment when the Chamber asks the Minister for something and the Minister then thinks it is a good idea and says that he thinks the Chamber should have that information? So I'll give the Chamber that information. If I remember correctly, I promised this for the spring of next year. This motion therefore seems superfluous to me. Nevertheless, I shall leave the verdict on this motion to the Chamber.
ParlaMint-NL_2016-12-21-tweedekamer-7.u12	We tabled that first motion for a resolution for a reason. Today we received another message from the Eastern Netherlands unit. It indicated that there should actually be closure, because there are not enough arresters. When the police themselves bring this kind of message, is it not so strange that the Chamber says that it does not want such a thing, and that it does want the Minister to act now and not to wait and see?
