ParlaMint-NL_2016-03-31-tweedekamer-11.u1	I would like to welcome the Secretary of Defense.
ParlaMint-NL_2016-03-31-tweedekamer-11.u2	Mr. Chairman. I've prepared two motions. The first concerns the sounding board group on which we have just received a letter. The second concerns the possible purchase of new submarines. The letter about the sounding board does not reassure me. I had hoped for a critical group. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Minister is setting up a sounding board with external experts to advise on the future of submarines;]] [[considers that a sounding board group makes little sense if there are no critics involved;]] [[calls on the Government to submit the composition of the sounding board group to the Chamber for its agreement,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the Minister is fully engaged in the process of replacing the submarines, but that the final decision will therefore be taken only after the elections in 2018,]] [[believes that facts should be avoided and that there should be no turning back;]] [[calls on the Government to suspend the process of replacing submarines until after the elections,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34225-4]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34225-5]]
ParlaMint-NL_2016-03-31-tweedekamer-11.u3	Mr. Chairman. The current Walrus class submarines can hardly be used after 2025; they are then ripe for demolition and scrap heap. Developing and building new submarines takes ten years and therefore the VVD wants a vigorous political process and a decisive decision-making process. That's why the VVD is in a hurry. The Netherlands needs submarines, because it pays its prosperity as a luxury welfare state with trade all over the world. Our trade routes have been running over the world seas for centuries and to this day. These trade routes must be protected. The international legal order at sea must be maintained. That's what you do with Navy ships, with armed naval ships, ships that can be long from home if it's supposed to be. The Netherlands has been doing this for over 500 years and it is doing it well. The Netherlands receives international recognition for this. It is sometimes necessary to maintain the international legal order by means of armed means. The world is a notoriously unsafe place. The wars in the Balkans, the piracy off the coasts of Africa, the annexation of Crimea, the bringing down of MH17 and the rise of ISIS show that expeditionary action in the highest spectrum of violence is of great importance. Submarines are indispensable as eyes and ears of the underwater fleet, indispensable for our intelligence work and indispensable as a means of pressure if international diplomacy needs a push. I have only one question for the Minister: when can the Chamber expect the A letter?
ParlaMint-NL_2016-03-31-tweedekamer-11.u4	Mr. Chairman. I have two brief motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government does not intend to formally decide on the replacement of submarines until 2018;]] [[Whereas the continuity of submarine capacity should be ensured and speeded up the decision-making process;]] [[calls on the government to take a decision on this matter,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that 23 of the current 28 naval vessels are in the long term in need of replacement and that the Defence budget is totally inadequate;]] [[whereas the last Navy study dates back to 2005 and since then the international security situation has deteriorated dramatically;]] [[believes that the impact of the Navy should be significantly strengthened;]] [[calls on the government to send an integral long-term vision of the Royal Navy to the Chamber,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bontes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34225-6]] [[This motion has been proposed by Mr Bontes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34225-7]]
ParlaMint-NL_2016-03-31-tweedekamer-11.u5	Mr. Chairman. As a result of the general consultation, it is quite clear, as far as D66 is concerned, that it is important to act carefully when it comes to deciding on submarines. I therefore found the article by Mr Dick Zandee of Clingendael last week very striking in terms of the degree of haste to take this decision as a Chamber. Evident is that the VVD is in a hurry. For D66 it is extremely important that we do it carefully, in the sense that once you make a decision there is no more fuss about it, also in order to avoid the loss of support for Defence and for the purchase of equipment. As far as we're concerned, care is paramount. Take your time, and then there comes a time when we can all make our decisions. In addition, with regard to the sounding board group, I have two more motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is common practice in other countries for an independent, external party to take part in a large purchase of equipment from the Defence Department in order to analyse that purchase, estimate the risks and any cost overruns;]] [[noting that in the Netherlands such a role for an independent, external party is not the standard for a large purchase of defence equipment;]] [[calls on the Government to evaluate the appointment of the sounding board group in the replacement of submarines;]] [[invites the Government to examine, on the basis of this evaluation, whether DMP projects with a value of more than EUR 100 million or more by default could involve an advisory body for an independent risk analysis and cost estimation of that DMP project, following the model of the Cost Assessment and Program Evaluation (Cape) in the United States,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Belhaj and Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34225-8]]
ParlaMint-NL_2016-03-31-tweedekamer-11.u6	My second motion could perhaps be cancelled with a commitment. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a sounding board group has been appointed for the replacement of submarines to assess the substance of the replacement needs;]] [[calls on the Government to share the opinion of the sounding board group in its entirety with the Chamber,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Belhaj. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34225-9]]
ParlaMint-NL_2016-03-31-tweedekamer-11.u7	Mr. Chairman. The vision of the Submarine Service was necessary and we are therefore very pleased that it has now come. That is a good thing. In terms of content, we can also broadly support the vision. We share the Minister's view that the usefulness and need for replacement, regardless of all the details, has been demonstrated. The question is therefore why the Minister still insists on setting up a sounding board group at once, with which she deviates from her own process. The A letter was already delayed and is now delayed for the second time. The reason for this is not clear to me. Does this have to do with a lack of political support provided by the Minister? What exactly is the reason not just to meet the needs of the Defense Department that is normally set up and just to continue? It seems that the main problem of this minister is not so much the replacement project but the problem of the budget. If that is the case, I would like to hear it in the Minister's reply.
ParlaMint-NL_2016-03-31-tweedekamer-11.u8	The last two motions are now being copied, but I see the Minister can answer right away.
ParlaMint-NL_2016-03-31-tweedekamer-11.u9	Mr. Chairman. I'd like to look forward to the last two motions. We talked about this extensively last week during an AO. Most of the arguments were also exchanged at that time. Mr Vuijk asks when the Chamber can expect the A letter. Last week I made that clear: at the end of April or a little later, depending on when the sounding board group has delivered the opinion to me. That is what I am saying to Mr Knops. I also emphasised it last week. We're just heading for April, according to the agreement. But I believe that the sounding board group, which advises me, has time to do so carefully. I shall begin with the last motion, in which I am asked to share fully with the Chamber the substantive justification and the opinion of the sounding board group. That is in line with what I have said in my letter that the Chamber has just reached. It says I will present the report directly to the Chamber. I would like to say to Mrs Belhaj that this motion is entirely in line with what I have promised and is therefore somewhat superfluous. In any case, there are two souls, one thought when it comes to offering that report to the Chamber in its entirety.
ParlaMint-NL_2016-03-31-tweedekamer-11.u10	Then I'm going to try to ask if this motion has been taken over. Can I make that out of this?
ParlaMint-NL_2016-03-31-tweedekamer-11.u11	Well, it seems to me that she could be withdrawn.
