ParlaMint-NL_2016-04-05-eerstekamer-4.u1	I would like to welcome the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2016-04-05-eerstekamer-4.u2	Mr. Chairman. This bill introduces into the criminal proceedings the legal possibility of an unlimited right to speak for victims of serious crimes and their survivors. This makes it possible for them to speak at the hearing about the possible evidence, the offence, the defendant's fault and the punishment. The proposal is therefore part of the development that has been taking place in recent years in order to pay more attention to victims of crime. My group can be brief about this bill. It has our full support. However, I do not want to dwell on this statement of adhesion and on a single point. The first is that in practice there appears to be a need for the extension of the right to speak, as proposed in this legislative proposal. In many cases, the court already gives a more extensive opportunity to speak in practice. The legislative proposal provides a legal basis for this and therefore provides a national uniform basis. My group believes that this is desirable. The second point is that, at the stage of the written procedure, possible hooks and eyes of the introduction of an extensive right of speech have been discussed. The position of victims and relatives, who also speak about the facts themselves and then can be questioned as witnesses, has been discussed. The idea would then be that in the latter case they could undergo an undesirable re-experience of the event. There has also been a possible disappointment that victims and relatives may experience when they express themselves on the level of punishment and the allocation of punishment is lower. My group sees these tension areas, but believes that they can be there without this legislative proposal. During the course of the treatment, it was expressly confirmed that victims and survivors wishing to exercise the right to speak would be thoroughly prepared for this. The third point concerns the question of the penalty itself. The original bill contained a formal advisory right of victims and relatives as to the degree of punishment. The introduction of this would have meant a break in the system of criminal proceedings. De facto, a tripartite system would be created, in which not only OM and suspect, but also victim or next of kin would really be party. My group would have had serious reservations about such an amendment, but that is not the issue here. My group has confidence in the professionalism of the criminal court in order to properly appreciate the contribution of the victim or the next of kin to the measure of punishment. My group also considers that this proposal guarantees the balanced criminal procedure of those involved in criminal proceedings. Understandably, during the discussion of this proposal, attention was paid to the extension of the right to speak. However, there is another element in the legislative proposal, namely the extension of the Compensation Fund for Violent Crimes, which makes it possible for survivors of victims of serious traffic offences to be granted compensation. My group appreciates that, too. With interest, my group will be following the plenary debate on this proposal today, but I can therefore already give its support to the proposal.
ParlaMint-NL_2016-04-05-eerstekamer-4.u3	Madam President. In each legislative proposal we have to ask ourselves two important questions: is there a problem and, if so, is the legislative proposal a solution? We must also ask these questions about this proposal. Serious crimes often cause victims, people who suffer from mental, physical or material damage. It is a fact of experience that each victim tries to process it in his own way, either alone or with help, in silence, or by speaking out, more specifically: by giving his opinion at the hearing. This group is now faced with restrictions. Some of them have trouble with that. They use the heavy word "censorship." They are recognised by a number of court presidents, who give them an unlimited right to speak. This is contrary to the law, but also significant at the same time. Apparently, there is a problem: we are failing these victims. This bill offers a solution. It removes the existing restriction. My group is in favour of this. One court offers more speaking space to victims than the other. This randomness disappears. Sometimes a court president thinks he should take the floor from a victim. This leads to painful situations in the courtroom. Hopefully that won't happen again. More attention will be paid to victims who need it. The victim can be fully informed in advance. Then he speaks as he likes and because he wants to. Of course, that always happens within the order of the hearing. He can bring up what he wants, but he doesn't have to. He may also waive his right to speak. This does justice to the position in which the victim, often against his will, has ended up. In addition, there is another equally positive aspect. That's information to the court and the state's attorney's office. A comprehensive victim's statement can give more insight into the seriousness of the fact and the circumstances in which it was committed. Of course, objections have also been raised to an unlimited right to speak. The first objection is that there is no problem and therefore no need for a solution, because there are alternatives. The second objection is that the victim may have to be heard as a witness. He'll relive the trauma. The third objection is that a ruling on the level of punishment may lead to disappointment on the part of the victim when the sentence imposed is lower. The fourth objection is that there may be increasing confrontation and brutality in criminal proceedings. The fifth objection is that an eloquent victim could influence the sentence. The sixth objection is that a victim's statement about the degree of punishment does not serve the purposes of the criminal trial. The seventh objection is that the criminal trial may take longer. My group understands these objections, but does not give decisive weight to them. I'd like to explain. The first objection is that the problem has not been demonstrated in figures. Indeed, there are few exact figures available. Not all victims have been surveyed. There are victims who are satisfied, but there may be at least so many victims who are dissatisfied. It is precisely for them that this bill meets. Of course, the victim can tell his story in all kinds of places, but these are not alternatives, as his wish is to speak at the place where the crime is tried, in front of the judge and perhaps the suspect. The second objection concerns the questioning of the victim. When the victim talks about the facts, he may be questioned as a witness, at the risk of re-experience of the crime. However, most of the time he has declared himself to be a witness before. In doing so, there was the same risk of an unwanted re-experience. So the question is why we should protect him now when we didn't do it at an earlier stage. My group believes that the choice between talking or not about the facts is up to the victim himself. He can be well prepared by the District Attorney and Victim Help Netherlands. It can contribute to the truth finding. If necessary, the judge may refer the case back to the Judge Commissioner. The third objection concerns the penalty. When the victim talks about the measure of punishment, this could lead to disappointment. That disappointment then lies in the difference between the victim's view of the degree of punishment and the sentence imposed, but not in the statement of his opinion at the hearing. He has his opinion anyway, regardless of the right to speak or not limited. Information in advance and the justification in the judgment afterwards can limit disappointment, but we cannot spare the victim the disappointment, not even by keeping him silent. There is no formal obligation to state reasons as a result of the victim's statement, but a substantive obligation to respond is considered, both for the prosecutor and for the judge. My group does not see this as a disadvantage, but rather as an opportunity to explain and understand the claim and the verdict. The fourth objection, that of more confrontation and brutality in the process, is real. The extension of the right to speak is not a start, but a follow-up step. Even now, the victim is involved in the criminal proceedings without leading to unacceptable confrontations, such as the declaration, the testimony, a letter to the court, mediation or the handling of a civil claim in the criminal proceedings. The VVD Group insists that it is the criminal law's core business to maintain order during the hearing. That task is very much entrusted to him. The fifth objection is that there is a chance that the victim's statement will affect the judge. However, the criminal court has proven that he can channel emotions. The trial has all kinds of emotions, not only of suspects, witnesses, press and gallery, but also of the victim. The criminal court should manage that at the hearing. He usually succeeds in this. There is no reason to believe that the extension of the right to speak would be the drop in the legal bucket. The judge must also be fully informed. He must assess not only the legal criminality of the offence and of the suspect, but also the seriousness of the fact and the circumstances in which it was committed. This includes, in my view, the extensive explanation given by the victim.
ParlaMint-NL_2016-04-05-eerstekamer-4.u4	The last part of your speech was about the consequences that the right to speak might have on the court. You said that there is no reason to believe that the judge could not cope with the task of channeling potentially increasing emotions resulting from the extension of the right to speak. However, are we sure enough that the judge will be able to handle that task? You say that there is no reason to believe that this would not be the case, but we cannot rule out this risk. How does your group view this?
ParlaMint-NL_2016-04-05-eerstekamer-4.u5	In fact, you are perfectly in line with the point where I had now arrived. I have one final paragraph on this objection. When I read it, I hope you look at me as satisfied as you do now. It reads as follows: Admittedly, that's really what it says. It's still human work, so influence is possible. And the outcome is uncertain. But there's certainty about that again. The court is multiple, we're talking about heavier crimes here with in-depth consultation in the council chamber. There is appeal and there are landmarks, disrespectfully sometimes called tariffs.
ParlaMint-NL_2016-04-05-eerstekamer-4.u6	I agree with that, but we were talking about the hearing, the exercise of the right to speak and how the judge should deal with possible rising emotions. It does not seem likely to Mr Schouwenaar that the judge will not be able to handle this task, but my question was whether there is sufficient certainty that the judge will not be unnecessarily under pressure under those circumstances which we do not yet know from the past.
ParlaMint-NL_2016-04-05-eerstekamer-4.u7	The first certainty, although it is all relative certainty, is that a number of court chairs are already offering room for manoeuvre. I am not aware of excesses or incidents that have led to wrong results. It is well known that there are often emotions of witnesses and suspects, often also of the gallery. If we counted it, I think that's where most emotions come from. Even now, there is a occurrence of the victim, but it is a limited action. I believe that the proceedings so far in the courtroom, starting from 2007, from the Dittrich Act, justify the confidence that this emotion that comes with it will not lead to an excess that the judge cannot handle. In this respect, I have great confidence in the Presidents of the multiple chambers in particular. Those are also experienced judges who have been chopping with this axe for a while. The sixth objection concerns the objection that talking about the measure of punishment would not serve the purposes of the criminal proceedings. My group does not share that objection. A statement on the level of punishment provides insight into the circumstances of the crime and the position of the victim. This invites, but does not require, an additional statement of reasons for the judgment. This can help restore the shocked legal order and increase confidence in the correct functioning of criminal law. The seventh and final objection is that the criminal trial will take longer. That's real. But if we think that the trial is going to take too long, then we need to look at all the parts and not just the victim's right to speak. Because each component can contribute to time savings. There is another reason why my group does not agree with the argument of length of time. If the trial is indeed going to take longer and we want to limit the right to speak in order to save time, we will actually say to the victim: "Sacrifice, we have the best interests with you. But we do not have time for you." My group cannot accept that. Finally, and perhaps aboundingly, I would like to say that the VVD thinks this is a good bill. We do not agree with some of the objections. Other objections do indeed involve a risk, but not such a risk that we would reject the proposal. That is why it is good that an evaluation is to be carried out in five years' time. A number of effective criminal justice officers have already shown that they can work well with the unlimited right to speak. We are confident that their precise fellow criminal courts will soon follow suit.
ParlaMint-NL_2016-04-05-eerstekamer-4.u8	Mr. Chairman. In the current criminal procedure, victims and survivors at the hearing may formally only discuss the consequences of a crime committed. They must not comment on the facts of the crime, the means of proof or the measure of punishment they wish to impose. It is now proposed to remove these still existing limits to the existing right to speak for victims in criminal proceedings. My group has long considered the question of exactly what is the need for the proposed enlargement. After all, the victim's right to speak in the Code of Criminal Procedure in 2005 has recently been extended by law of 12 July 2012 with an extension of the circle of spokespersons. In this legislative process, the proposal to remove the remaining limits of the right to speak has not been taken into account. An evaluation carried out in 2010 showed that victims and relatives are positive about the limited right of speech that we now know and about the level of punishment used. There is also sufficient confidence in the judicial process. Shortly thereafter, the plan underlying this proposal was incorporated into the coalition agreement. In order to properly assess the legislative proposal, it is important to have a clear understanding of the exact extent to which the current situation is problematic. The Government considers that the desire of victims to speak freely at the public hearing on the offence at issue is real and serious. My group, on its own, has no need to do anything about it in advance. However, we believe that careful consideration should be given to whether victims are really helped by this and to what extent effects can occur which are contrary to the principles and systems of our criminal proceedings. In this context, my group can support some of the objectives which are generally linked to the function of the right to speak, such as the provision of information to the courts, the recognition of the victim's position, the possible contribution to the processing of events and the reduction of the risk of secondary victimisation. In this perspective, our question in the written preparation for a response to a publication of the Leiden criminologist Art in Policy and Society of last year. This shows that only a small minority of the victims of a crime are emotionally disturbed for a long time and that there is no empirical evidence of the therapeutic effect of participation in a criminal trial by victims. Partly for this reason, it would not be unwise to make a step in the right direction in launching and implementing further plans to promote the participation of victims in criminal proceedings. In the reply, the Minister tried to make it clear that there is no hard evidence to support the claim that the proposed full right to speak would contribute to a reduction of possible post-traumatic stress complaints from victims. In other words, it is not a problem for the Minister that one or more objectives of the full right of speech may not be achieved. My group considers that to be a rather thin argument. This would mean that, in the eyes of the cabinet, there is only one serious objective behind this proposal: victims who need to use the right to speak must be able to make unlimited use of it. I would like to ask the Minister once again to address this point, in particular the need for a balanced place of the right to speak in criminal proceedings. More specifically, my group has wondered why the government wants to honour the in itself unintelligible desire of victims to speak in the exercise of the right to speak, in particular, about the element of retaliation, apparently without much self-confidence. In order to be able to speak about the penalty, a particular objective of the right of speech, namely the right to directly address the accused, seems to be of particular importance. In practice, however, the judge is already very flexible when victims express themselves in the exercise of their right to speak about the degree of punishment. It is therefore not sufficiently clear to my group until now what an urgent bottleneck in the existing regime is being removed with this section. For this reason, we have called for attention to be paid to the consideration of this particular interest in relation to other relevant and guaranteed interests in criminal proceedings. It seems to my group that the possibility of saying something about the penalty now to be linked to the right to speak can be above average problematic for the defence and for the courts. It is not obvious to assume that victims will be inclined to consider objectively the interests and other relevant facts and circumstances in relation to the suspect in their personal judgement on the extent of the penalty. Does the Minister share this observation, so I like to ask him. We then suspect that, in practice, it will not be easy for victims and survivors in all cases to give their own understandable emotions due to traumatic experiences a good place in a statement to be made. The reassuring signals that I received from the organisations of victims and relatives involved do not simply take away the feeling within my group in advance. In his column in the NRC of 27 March, Folkert Jensma mentioned the experience of criminal lawmakers that more and more emotional and even physical incidents occur when a verdict is made. A possible cause of the decreasing control of emotions in the courtroom is precisely the rising expectation of punishment. In public opinion, the Public Prosecutor's Office is expected to make itself clearer in the role of representative of the affected individual. But what prosecutors communicate as an appropriate requirement in the victim's conversation is apparently not experienced in the context of collective interests such as the rule of law, justice and prevention. There is little to be gained from this by an attorney who may have been taken by the victim. A lower sentence imposed by the judge is therefore not rarely regarded as disrespectful or even an insult. My group fears that the government is too light on what this proposal will ask of judges. There is already quite a lot of pressure on the production process in the legal system, as we call it today. My group is concerned about whether a little extra money can be enough for a few courses. If we take this change, which introduces a new dimension into our criminal proceedings, seriously we, as legislators, must also take the effects on the quality of justice seriously. And that requires a serious extra effort from the government towards the judiciary in terms of money, time and training. Is the Minister aware of this and, if so, how does he take it with him in the Spring Paper, which we have discussed before in this House? I would like to ask the Minister to respond to the concern within my group that the safeguards in our criminal justice system may be inadequate if, on personal grounds, heavy use is made of an disproportionate penalty. The Government does not seem to fear any deterioration of due process, nor does it seem to see any risk of bias towards the defendant as a result of the emotional pressure that may appear from a victim's statement. However, it seems to me that it is extremely important to ensure that, for the sake of the proper functioning of the innocence penalty, the personal experiences of victims are not affected. The question is whether the prescribed victim interview is sufficiently preventive in advance. I would like to ask the Minister if the victim's interview contributes sufficiently to a realistic awareness of the final responsibility of the judge. The Minister, too, does not rule out the possibility that the extended right of speech will affect the final imposition of penalties. What guarantees does the existing standard of instruction for judges not provide at the hearing an opinion on the guilt or innocence of a suspect? And what can ultimately be the consequences for the legitimacy of the independent judge if the media is fed on the possible perception that judges do not care about victims? I like to hear it. The proposed extension of the right to speak, including the penalty, is the main objection to this proposal for my group. My group is well aware that the law, and certainly criminal law, is not infallible. However, the balance of facts and circumstances and the interpretation of the law is a special and responsible task, which has not been assigned to an independent judge for nothing under our rule of law. D66 was once the initiator of the introduction of the right to speak and so far my group has always supported the extension of victim rights. Until recently, there has been a significant imbalance in the system. But this legislative proposal raises the question of the extent to which an inverse imbalance arises if we strengthen criminal law as a means of retaliation and reform with emotions and experiences as an important guiding principle. With great interest, I await the Minister's response.
ParlaMint-NL_2016-04-05-eerstekamer-4.u9	Mr. Chairman. This legislative proposal provides for the extension of the right to speak of victims and their families by abolishing the existing restriction that victims should be allowed to express themselves exclusively about the consequences of the offence on them. The legislative proposal also provides for an extension of the Compensation Fund Violent Crimes for survivors of serious traffic offences and for survivors of victims of the Communal Crime Death by Guilty. The granting of such a benefit is not yet possible because the compensation fund may only pay out for deliberately committed crimes. The PvdA Group welcomes the proposed extension of the compensation fund and has no comments or questions on that part of the proposal. This means that I will focus on the proposed extension of the rights of victims and survivors. In the current Article 51e of the Code of Criminal Procedure, the right to speak of victims and survivors is limited to the consequences of the offence on them. Victims and survivors, for example, should not talk about the penalty they want, nor about the way in which the preliminary investigation was conducted and the evidence collected. The purpose of this legislative proposal is to remove these obstacles in the right to speak. The proposed Article 51e provides that the victim or next of kin may make a statement at the hearing. The current limitation of the right to speak to the consequences of the offence on them will be deleted from the proposal. In existing practice, judges do not usually intervene if the victim or the next of kin does not take account of the degree of punishment or the conduct of the crime. However, a minority of judges insist on strictly maintaining the limitation of the right to speak to the consequences of the offence in the case of victim or next of kin. The aim of the proposed legislative proposal is to eliminate this inequality and to give all the victims and survivors of the offences referred to in Article 51e the same broad right to speak. This extension of the right to speak meets a need, according to the 2010 review of the existing limited right to speak. Some of the victims felt hindered; their satisfaction would have been higher if they could have expressed themselves about, for example, the punishment. Some victims have therefore even waived the right to speak in advance. Victim support The Netherlands also recently informed this Chamber that if one wants to take a victim seriously, it is not appropriate to impose prior restrictions on what he may talk about. The advantage of the legislative proposal is therefore that the victim is taken seriously and that the victim is no longer in uncertainty or that the judge will allow him to speak freely in court. However, the PvdA Group also recognises the possible shadowy side of the proposed unimpeded right to speak...
ParlaMint-NL_2016-04-05-eerstekamer-4.u10	Mrs Beuving points out that it is applied differently in practice. The advantage of the bill would be that it is clear in advance that it is unlimited for everyone. Wouldn't it be possible to drive the other way around? The current right to speak is limited. Suppose people are better informed about this in advance. Suppose judges are clearly informed that it is a limited right to speak and why that is the case. If you explain that correctly to the people, isn't that just as good a solution?
ParlaMint-NL_2016-04-05-eerstekamer-4.u11	The current law is so structured that it is a limited right to speak. I'm sure the judges all know about that. However, a large part of the judges choose not to intervene if the victim goes beyond the limits of the right to speak. I don't think it's just that judges don't intervene at the time. Maybe he doesn't do that because it's a big deal for the victim who tells us what happened and what the consequences of the crime have been for him. The judge's gonna go a little further than the law allows, because it's a lot to tell. I'll fill it out, too. It seems to me, however, that it is quite something to take away the victim or to say that he is not allowed to say anything about certain matters. Whatever I noticed is this. I think it was addressed in the 2010 evaluation that I just mentioned. There are victims who say in advance that they do not even want to speak if they are not allowed to speak on certain matters. However, there are also victims who would like to speak. The researchers of the evaluation say that it is striking that people often cross borders, while one thinks that one stays within the borders. So it happens unnoticed. It seems that telling about the consequences of the crime is more important than realizing what is happening. I can very well imagine that judges might still find it the hardest job to guard that border and stop the victim.
