Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-02-09-tweedekamer-3	ParlaMint-NL_2016-02-09-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	MP	notMinister	-	-	-	-	JeroenvanWijngaarden	van Wijngaarden, Jeroen	M	1978	
ParlaMint-NL-en_2016-02-09-tweedekamer-3	ParlaMint-NL_2016-02-09-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-02-09-tweedekamer-3	ParlaMint-NL_2016-02-09-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	MP	notMinister	-	-	-	-	JeroenvanWijngaarden	van Wijngaarden, Jeroen	M	1978	
ParlaMint-NL-en_2016-02-09-tweedekamer-3	ParlaMint-NL_2016-02-09-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-02-09-tweedekamer-3	ParlaMint-NL_2016-02-09-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	MP	notMinister	-	-	-	-	JeroenvanWijngaarden	van Wijngaarden, Jeroen	M	1978	
ParlaMint-NL-en_2016-02-09-tweedekamer-3	ParlaMint-NL_2016-02-09-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2016-02-09-tweedekamer-3	ParlaMint-NL_2016-02-09-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-02-09-tweedekamer-3	ParlaMint-NL_2016-02-09-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2016-02-09-tweedekamer-3	ParlaMint-NL_2016-02-09-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-02-09-tweedekamer-3	ParlaMint-NL_2016-02-09-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2016-02-09-tweedekamer-3	ParlaMint-NL_2016-02-09-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 52, Session 3 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
