ParlaMint-NL_2016-05-31-tweedekamer-27.u1	I would like to welcome the Minister.
ParlaMint-NL_2016-05-31-tweedekamer-27.u2	Mr. Chairman. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas doubts have arisen as to whether the Netherlands has been sufficiently prepared for a nuclear disaster and concerns should be addressed as soon as possible;]] [[calls on the Government, the Research Council for Security (OVV) to formally request that an investigation be considered as to whether the Netherlands is sufficiently prepared for a nuclear disaster and to involve the Health Council in that investigation,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-69]]
ParlaMint-NL_2016-05-31-tweedekamer-27.u3	I know the Minister was talking to the Security Research Council, but I think it is important that we send the political signal that the Chamber would like this. In the end, it is up to the OVV itself to consider whether it wants to do so. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is of great importance that residents of Dutch municipalities located near nuclear power stations abroad be provided with reliable information in the event of an incident or closure of a nuclear power station;]] [[Whereas the security region already has a role to play in disaster and crisis management in the event of serious (nuclear) accidents;]] [[calls on the Government to strengthen the role of the security region in the independent information provision of an incident or shutdown of a nearby nuclear power plant and, if necessary, to cooperate with the Nuclear Safety and Radiation Protection Authority (ANVS),]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-70]]
ParlaMint-NL_2016-05-31-tweedekamer-27.u4	Then my final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Minister for Economic Affairs and recently the Minister for Infrastructure and the Environment have informally agreed on joint inspections and information on nuclear power plants with their Belgian colleagues;]] [[Whereas the Belgian High Health Council calls for European coordination with regard to nuclear power plants;]] [[Whereas structural agreements with neighbouring countries on nuclear installations contribute to the confidence of residents and governments;]] [[calls on the Government to engage in discussions with Belgium, Germany, Luxembourg, France and the United Kingdom and to establish harmonised, structural agreements on licensing, incident information and involvement in inspections following unforeseen decommissioning of nuclear installations,]] [[and goes to the order of the day.]] [[This motion was proposed by members Van Veldhoven and Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-71]]
ParlaMint-NL_2016-05-31-tweedekamer-27.u5	Mr. Chairman. I have indeed supported the motion that has just been tabled. It is quite in line with what we discussed during last week's AA. We just want to formalize what we intend to do, including our inhabitants in the border regions. The CDA therefore wants the Netherlands to be more involved in the decision-making of the Belgian nuclear power plants in the border region with the Netherlands. If anything goes wrong with those power stations, the consequences for our Dutch inhabitants can also be great. That is why the CDA wants the Minister to make further arrangements with the Belgians. This concerns not only the involvement of the surrounding Dutch municipalities, but also the involvement of the provinces, the monitoring of the safety of nuclear power stations and the decision-making on permits and information to the population. The Netherlands simply needs to be involved in this. The Minister has done all he can to achieve joint inspections, information and the involvement of the environment in decision-making, but we believe that these agreements can be strengthened by structural and written recording. More formal procedures give more certainty to our residents and our directors. This applies not only to relations with Belgium, but also to those with all our neighbours. Hence the motion that has just been tabled on behalf of D66.
ParlaMint-NL_2016-05-31-tweedekamer-27.u6	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Government has decided to take the safety measures within a radius of 100 kilometres around nuclear power stations and to harmonise them with Germany and Belgium;]] [[calls on the Government to examine how participation in nuclear safety can be developed for residents within that 100 km radius, and to inform the Court of Justice thereof,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas nuclear energy has a special position within the EU by the Euratom Treaty in relation to other types of energy in the fields of financing, insurance and research;]] [[calls on the Government, in Europe, to define ways of reducing the special position of nuclear energy and creating a level playing field for all energy sources and to inform the Court thereof,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Borssele nuclear power plant may pose a financial risk to Dutch authorities;]] [[noting that nuclear energy does not count in determining the share of renewable energy generated;]] [[Calls on the Government, with the relevant companies and local authorities, to draw up a plan for phasing out Borssele nuclear power plant, taking into account the legal and financial aspects and the security of supply of energy, and to inform the Court in 2016,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Government has decided to harmonise safety measures within a 100 km radius around nuclear power plants with Germany and Belgium;]] [[Whereas the territory of the Netherlands is located in the 100 km zone of several foreign nuclear power plants;]] [[Calls on the Government to identify the current status of all relevant domestic and foreign security and evacuation plans;]] [[calls on the Government to indicate when all plans will be fully ready,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-72]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-73]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-74]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-75]]
ParlaMint-NL_2016-05-31-tweedekamer-27.u7	Mr. Chairman. The Chamber has rightly discussed the issue of nuclear safety in detail. The VVD has emphasised the importance of clear responsibilities, clear communication and maximum security. The responsibilities may be clear for drivers, but the concerns of people in the border area have not diminished. People are wondering how safe it is. Are they at risk of nuclear disaster, especially as it concerns older plants? I read in the documents that power stations are safe, but I think very few in border regions feel that way. With communication, it's a suit from the same sheet. The minister says it's already improved, but what do people notice? That concerns me, because the uncertainty is great among residents of Brabant, Zeeland and Limburg. It is up to the government, I think, to remove that uncertainty as much as possible and to show that we are doing everything we can to ensure safety. For example, people in part of the country get a note about iodine pills, but not on the other side of the country. Then how do they know what they're up to? A note like that, of course, raises questions. Is it so bad that it's really necessary? People read almost daily what's in the newspaper about every incident in a Belgian nuclear power plant, but they don't know what it means to them. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas people in Zeeland, North Brabant and Limburg are concerned about the danger of nuclear material at nuclear power plants and the consequences if it goes wrong;]] [[calls on the Government to improve communication on nuclear safety so that residents of the border provinces know what they are up to in a timely and better manner, and to submit a plan of action to the Chamber for this purpose,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Remco Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-76]]
ParlaMint-NL_2016-05-31-tweedekamer-27.u8	Mr. Chairman. It was a good debate last week, as with this Minister. I have one motion, which I know she won't embrace very enthusiastically, but you never know. We've had the discussion about how to look at these Belgian power stations. The point was whether the Netherlands should agree with the attitude of Germany and Luxembourg towards Belgium. The Minister was not in favour of that. But yes, I think and hear some colleagues here also say that people particularly in the South of the Netherlands are worried. We did not entirely get out of the substantive discussion about the definition of "risk," also due to the lack of time limits. However, the danger has really increased because Belgium appears to have a safety problem and people who might want to hurt you hope and you don't know who might have nuclear power plants on their minds. The vulnerability has also been increased by the fact that they are old power stations and therefore regularly turn them down. Hence my motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the situation of Belgian nuclear power plants is a major concern for the inhabitants of Zeeland, North Brabant and Limburg in particular;]] [[calls on the Government to join Germany and Luxembourg in the request to Belgium to shut down the nuclear power plants at Doel and Tihange and then to offer Belgium to assist in the conversion to alternative power supply,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-77]]
ParlaMint-NL_2016-05-31-tweedekamer-27.u9	Because my mom's going to be 94 tomorrow, the minister might think: well, we're gonna do that motion. Who knows!
ParlaMint-NL_2016-05-31-tweedekamer-27.u10	I'm sure the Minister will be very fond of your mother. We are going to listen to Mrs Dik-Faber of the Christian Union. In addition to Mrs Dik-Faber, Mrs Fokke has also been added to the list of speakers, so after this we also get the Labour Party. Mrs. Dik-Faber, go ahead.
ParlaMint-NL_2016-05-31-tweedekamer-27.u11	Mr. Chairman. Thank you. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas radioactive waste in the dunes at Petten should be transferred to the COVRA as soon as possible;]] [[Whereas the Kingdom has granted a loan of EUR 82 million for the integrated operation including the disposal of historical waste;]] [[noting that several reports question the feasibility of 2022;]] [[calls on the Government to take measures to transfer the historical waste to COVRA as soon as possible, and certainly not after 2022,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to ensure that nuclear installations are monitored by radiation controllers, who can act completely independently of their regular operations and are not on the payroll,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas annual reports of NRG show that no scientific research has been carried out for 20 years, whereas this is the pillar of the new Pallas reactor;]] [[Whereas medical isotopes are produced in cyclotrons, including Alkmaar and university medical centres;]] [[calls on the government to stop the preparations for Pallas,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-78]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-79]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32645-80]]
