Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SharonGesthuizen	Gesthuizen, Sharon	F	1976	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SharonGesthuizen	Gesthuizen, Sharon	F	1976	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u12	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u13	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u14	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u15	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u16	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u17	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u18	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-09-28-tweedekamer-7	ParlaMint-NL_2016-09-28-tweedekamer-7.u19	Report of the meeting of the Dutch Lower House, Meeting 5, Session 7 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 5	Sitting 2016-09-28	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
