Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FredTeeven	Teeven, Fred	M	1958	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FredTeeven	Teeven, Fred	M	1958	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FredTeeven	Teeven, Fred	M	1958	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FredTeeven	Teeven, Fred	M	1958	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FredTeeven	Teeven, Fred	M	1958	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u12	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u13	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u14	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u15	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u16	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u17	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u18	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2016-03-08-tweedekamer-2	ParlaMint-NL_2016-03-08-tweedekamer-2.u19	Report of the meeting of the Dutch Lower House, Meeting 61, Session 2 (2016-03-08)	2016-03-08	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 61	Sitting 2016-03-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
