ParlaMint-NL_2016-01-20-tweedekamer-6.u1	I would like to welcome the Minister for Security and Justice. I call Mr Omtzigt.
ParlaMint-NL_2016-01-20-tweedekamer-6.u2	Mr. Chairman. Article 68 of our Constitution reads as follows: "The Ministers and the Secretary of State shall give the Chambers, either orally or in writing, each individually and in a unified meeting, the information requested by one or more members, the provision of which shall not be contrary to the interests of the State." The Minister for Security and Justice should put this article above his bed. For the third time in a short time, he is standing here because he seems to be better at searching for information and not finding it, than correctly communicating it in matters to the Chamber. On 22 and 23 April, the Minister was very firm in his assessment of Professor Maat. He undertook to do research in the Chamber after saying that Professor Maat had been relieved of his duties. The results of that study were available in June. The research almost exonerated Professor Maat. What happened after that is easier to explain if you assume that everything was done to keep the report a secret. 'Cause pay attention. The Minister writes on 15 June that the investigation has been completed, but he does not answer the outstanding parliamentary questions. He doesn't say there were ten presentations, not just one. He does not say that the SD card containing the photos has been made available to the members of the research team for educational purposes. After the first round of parliamentary questions, in August, the Minister reports that he relies solely on the Chief Constable's letter, and does not say that Professor Maat should not see the investigation into himself. After the second round of parliamentary questions, the Chamber receives the list of presentations, but the Minister refuses to send the report on the police's investigation to the Chamber. The Chamber will receive a copy of the WOB a little later. I've got the transcript here and I'm showing it to the members now. When you browse through it, you see more blackened text than text that is not blacked out. It's called "informing the Chamber." I asked if extra ink cartridges were ordered by the Ministry. I'm still looking forward to the answer. Everything's blacked out. This goes on for a fact-finding. The Minister is going to have a secret conversation with Professor Maat. We have just received the release memo. The objective was to take the cold out of the sky and to ensure that MPs and the press stop talking about it. Furthermore, there was no need to apologize. Although the Minister has been informed three times that Members of Parliament think that there is a light between what is in the black text and what has happened, the Minister does not ask for the underlying piece all this time. After the third set of parliamentary questions, the Chamber will be given the document confidentially on 2 December. Professor Maat transferred it after he finally got access for the second time. The first time Mr Maat was given access, the first pieces that were exculpatory for him were kept away from his file. This is evident from the answers to Parliamentary questions from an hour ago. Why did that happen? So that even happened after he had access six months later. Six months has gone by. Six months Mr Maat has been refused access to the House of Representatives. That raises a lot of questions. Why did the Minister apologize last week? I thought he'd seen the information in October or December. What did he do when he read the story in December and sent it to the Chamber? Why didn't he do anything on December 2nd? Professor Maat had access to an incomplete file. Why wasn't he told? How come the exculpatory pieces were not available for Maat and he got less than an hour to see his file of more than a thousand pages? There appear to be three versions of the letter from Chief Constable Bouman to Director General Schoof on the results of the investigation. The first one's friendly. Professor Maat is not convicted at all and the relationship is not terminated. But after sending back and forth two times the letter between the police and the department, a very harsh conclusion has been added. All three versions have been sent to Shoof. Should the chief of police submit his letters to the government? And why were these changes proposed by the Ministry? Why does the Minister keep secretly informing the Chamber, even now? The fact story with incriminating phrases like "there has been no understanding of information" should simply have been made public. Why weren't the additional facts and the other documents public? What's in there? Why wasn't the minister informed in all this time that there was light? Why was the Minister not informed, despite four sets of parliamentary questions and despite the fact that it was his own actions, about a police investigation into his actions? Why didn't he look? Why wasn't he ever informed about the police investigation? Or did this happen secretly, but he just didn't want to know? Is the government prepared to have an external and independent investigation into the application of Article 68 of the Constitution in the short term? What matters should be public now? How do we handle WOB requests? This is specifically about this, but also about European agreements, receipts from criminals and facts-relazen. Now through the WOB we often get tons of internal e-mails, a bit too much, but the reports and the facts are kept secret. That has to be the other way around. Finally, what has the Minister learned? Does he understand his role as the Minister of Justice, who watches over the rule of law, about the importance of individual citizens not being victims of arbitrariness, but instead of having decent trials and a proper course of justice? First an investigation, then the conclusions; hear and hear again. Or is the Minister preparing his next apology?
ParlaMint-NL_2016-01-20-tweedekamer-6.u3	We are talking here about the study of the lecture given by Professor Maat last April. I believe that we are also talking about the impact of this reading on the victims' families. What effects could such a lecture have had on next of kin, especially at a time when everyone was still craving information on what might have happened to the victims? What is Mr Omtzig's opinion on this?
ParlaMint-NL_2016-01-20-tweedekamer-6.u4	This was a private lecture. Unlike Minister Timmermans' public appearance for millions of television viewers, this was a private lecture at a university. I agree with the conclusion that there should be a discussion within the LFTO on which lectures should be given when. That is a conclusion that is drawn by the police and I fully endorse it. It will show that people will be more reluctant to give these kinds of lectures. If that conclusion had been followed and the reading had not been made public, we would not have had a debate in this Chamber.
ParlaMint-NL_2016-01-20-tweedekamer-6.u5	Can I interpret this answer in such a way that Mr Omtzigt can understand well the emotions that are evoked when the world, in particular the next of kin, is confronted with the fact that images have been shown in a reading? That could cause pain.
ParlaMint-NL_2016-01-20-tweedekamer-6.u6	My comments were not about the next of kin, with whom I very much sympathize. My comments were about hasty conclusions by many in the public debate, including the minister and then spokesmen of PvdA and VVD. They had already convicted Professor Maat before access to the facts existed. That is why we are having a debate here.
ParlaMint-NL_2016-01-20-tweedekamer-6.u7	Mr. Chairman. There we are again. Not to talk about the safety of the Netherlands or the rule of law, but about the way in which the minister wrongly openly damaged a professor and the fact that the minister did not correct this mistake but continued on the wrong road and gave the Chamber careless information. Why didn't this minister share the exculpatory conclusions with the Chamber much earlier, by himself? The Minister has waited far too long to apologize to Professor Maat and to inform the Chamber correctly. You don't deal with a professor like that, you don't deal with a single citizen like that, and you don't deal with the House of Representatives like that. It is mainly thanks to Mr Maat himself, my colleagues Omtzigt and Sjoerdsma and some journalists that we know exactly what is going on, and not thanks to the Minister. Against the minister, who tried to paint the truth with a thick felt marker, was the professor, who wrote the truth with a pencil. It's an embarrassing display. Open errors must be openly corrected, not confidentially and not with lacquered passages. On 22 April, the Minister called Mr Maat's actions "inappropriate" and "unsavory" without knowing exactly what happened. On 15 June the Minister informed the Chamber about Mr Maat's actions. He doesn't do that on the basis of the police investigation, but on the basis of a letter from the chief of police and then suddenly the terms "not discreet" and "not careful" appear. Those words are actually at odds with the police investigation. It states that the main cause is in the system and not in the person of Professor Maat. So the question arises as to how exactly the Chief Constable's letter came about. Is it true that the Minister was in close consultation with the police summit to get harsh accusations to Maat in the letter? Are we dealing with a minister who writes a letter from the police to himself? There are talks with Professor Maat and there are parliamentary questions from colleagues, but there are still no bells ringing at the minister's office. Does he even want to know what's going on, or does he hope it blows over? On 12 October, the Chamber will be referred to the report. My colleague Omtzigt just showed me that. 90% of them are blackened. Has the Minister seen these wobbled pieces himself? And more importantly, who decided at exactly what time and on what grounds to paint these passages in black? Has there been any discussion about that? Can the Minister provide access to that? It is not until 2 December that the Minister officially knows what the report says. Isn't that richly late? But even if that is the case, the Minister knows on 2 December that a professor was unjustly dragged through the mud. And what happens? Nothing. Why not? Why didn't the minister fix his mistakes immediately? What would have happened if Mr Maat had not taken six hours to write everything with pencil and prove it wrong of the Minister? It seems that we owe it mainly to Mr Maat's perseverance that the House of Representatives was finally properly informed. There have been many times when the Minister should have and could have taken his responsibility. Not cleaning up his own street should be his first priority, but making and implementing good policies and treating people respectfully. We need to be able to rely on the accuracy and completeness of the information we receive. A well-functioning rule of law needs a minister who always wants to have the truth on the table, even if that truth is uncomfortable to him. Justice must be at the forefront and not the image of the minister. The truth is not an option, but the starting point for a minister who serves the rule of law. What is the Minister going to do to restore confidence?
ParlaMint-NL_2016-01-20-tweedekamer-6.u8	Mr. Chairman. Apologies. For the umpteenth time, I apologize. This minister apologized to Professor Maat, whose reputation was almost crushed. He also apologized to the Chamber, which asked for information, but received black-painted documents. The integrity of a renowned pathologist, who has identified many MH17 victims, has been damaged. The lecture with photos was judged too quickly. Apologies are in order, but not just for unfair qualifications. Facts that Professor Maat exonerated seem to have been deliberately ignored. It was only after the facts became public that the Minister apologized, but only for his first statements and not for the dismissal and reputational damage. That only happened because Professor Maat himself managed to reveal the facts. It only happened because Professor Maat wrote everything over with a pencil for six hours. Without Professor Maat's monks' work, the Minister's apology would never have been made. That is a painful observation. We asked the Minister when he knew the facts. His answer was: "From 2 December, the file can be counted among my knowledge." Let that sentence go through your head for a while. "From 2 December, the file can be counted among my knowledge." The Minister did not know what the facts were until 2 December, but that did not prevent him from taking action against Professor Maat. However, the Minister knew that there were different views within the police organisation about the performance of Professor Maat and the termination of the cooperation. The minister knew this, but he hasn't done anything with it all this time. Four times the Chamber asked the Minister for the facts. Three times the Minister was informed that members of parliament suspected that the investigation of the facts was inconsistent with his conclusions. The media tried it through WOB requests. Still the minister didn't want to know the seam of the stocking, as if he didn't want to know the facts. I ask the Minister how he reflects on his own actions. I'm asking because there's been a story of the general commanders all along. They note that the main cause is the operation of the police. The charging of Professor Maat alone goes too far. Measures are needed at system level, not at individual level. The Minister must reconsider the measures against Maat. That also raises questions about the letter from Chief Constable Bouman, because that letter had three versions. The first version actually did not contain any conclusions and had no consequences for Professor Maat. The latest version is hard, both in the opinion of Professor Maat and in the conclusion: the cooperation is terminated. These three letters were agreed with the Minister's Ministry. Why is that? Why was that last version suddenly hard? In reply to the one-after-last set of parliamentary questions, the Minister pointed out that his ministry only asked two clarifying questions. I would like to read out such a clarifying question. "The observations in the letter are not reflected in the follow-up concerning Professor Maat. But then what's the follow-up? For example: do not use his services, contract terminated." Is that clarifying or is that perhaps a little steering? Now that the monkey is out of the bag, the Minister says that in October, he should have asked for the unpainted documents, assessed them independently and sent them to the Chamber in confidence. He added immediately that the judgment of the general commanders had made no difference. The Minister therefore still considers that Professor Maat has not acted discreetly and not carefully. I'd like to get a reaction to that. The Minister has an active duty to inform the Chamber on the basis of Article 68 of the Constitution, as Mr Omtzigt pointed out. That is not an opportunity transparency if it is to be delivered to this minister. It's his ministerial responsibility. MPs don't have to be part-time detectives to find out the truth. It is up to the Minister to put that truth on the table. Doesn't the Minister think he should have sent the documents to the Chamber in public? What interest of the State is served by this confidentiality? A yellow card, a motion of censure and now the case of Professor Maat; I await the answer by this minister with more than average interest.
ParlaMint-NL_2016-01-20-tweedekamer-6.u9	Mr. Chairman. Today, no doubt, family members and friends of victims of the MH17 disaster will also be watching this debate. I wonder who they feel most offended by in the aftermath of the disaster. We will hear the Minister about this later, but I would like to put the debate back in the context that it was about. The subject has brought heartbreaking sorrow to almost all Dutch and also heartwarming compassion. Many of my colleagues and also members of the cabinet have been present at the return of the remnants of the victims. That was a very worthy process and it was appreciated by many people that we could do so in the Netherlands. Then it turns into something I can only call 'an ugly debate'. We must have that debate as a House of Representatives, but this is the third time that this Minister has made mistakes. We talk too often in this Chamber about this minister's mistakes. A few months ago, we all said to each other: never more such debates as the debates on the Tevendeal and also on Volkert van der G. So now there is another debate and then there is another debate on this subject. In all honesty: when I saw the news item, I was also sitting upright on the couch. I thought, "How is it possible that such a professor would give lectures about an identification process in public and show photos in addition?" Now, however, we know from the police report that Professor Maat was doing the right thing. It seems, above all, that the Minister first called very loudly and did not investigate this until a long time later and took note of the investigations that were there. He sniffed at Professor Maat with the words "extremely inappropriate and distasteful." And mate had to leave right away. The image is that Minister Van der Steur deliberately eliminated all the facts that did not fit in with his first, too hasty judgment. My colleagues also asked: had we ever known this if Professor Maat hadn't taken the time to write all this down? Would it have ever come up? I would like an answer from the Minister. I assume the Minister also read the story following the faction research Professor Maat before informing the Chamber on 15 June 2015 that Maat "does not exercise the discretion and care that can be expected of a scientist who advises LTFO on this matter." That statement, as we know by now, is absolutely not in line with the police report. It states: "The measures taken in response to the RTL4 publication have taken place without a proper understanding of the facts." Maat has not deviated from a clear standard or agreement, for there were no such agreements. It is not possible to separate the entire operation of the police at that point in time. In the police report, the police department is advised to make it clear in the communication that it was not only Professor Maat who was responsible for what happened during the lecture. After all, there were no rules. On 9 June 2015, Chief Constable Bouman sent a draft letter to the department. There was no evil word in it about mate. Bouman gets the letter back and then writes a new version and then another one. It's incriminating for Maat. How'd that go? Did the Minister have a personal hand in this? Did Bouman know the police report was on the contrary? What has changed in successive concepts? Next, how does the Minister judge his own role? Should he have informed the Chamber sooner and more honestly? If so, at what times? Why have exculpatory facts been wiped out? Does the Minister still have a clear view of Article 68 of the Constitution? Can he explain that again? Was the Minister ever planning to confess his prematureness in this process? If so, when? We appreciate that the Minister finally apologized to Maat, but what were they offered for? Was that for his harsh words towards Mate? Was that for painting away what was uncomfortable? Was that before the discussion of the draft letters, in which the facts were violated? Was that for his lack of effort to get the facts straight? What kind of things did the Minister say "sorry" for? Is he also willing to apologize to the Chamber for having to inform the Chamber differently and earlier? So, again, these are major problems for this minister. It's the third time. Only after a lot of pressure and many questions follows a "sorry." Much more often, in this file, officials, the police and the Public Prosecutor are blamed. As I said before, it seems a bit like the Minister is calculating. If this is not the case, I would like to hear an explanation of how this could have happened. Depending on what someone else knows, a little bit is admitted. The other one knows a little more, and then they admit a little more. When does the Minister learn that there is a pattern here and that this is bad for the reputation of the Justice Department, for that large unified ministry, that it is bad for the supervisory function of the Chamber and that it is bad for the functioning of himself? It would be useful for this minister if he were to count to ten next time our mothers taught us all that after that, we would then get the relevant facts together and then inform the Chamber, something I attach great importance to. If the minister had done that, he wouldn't have flown off the bend so quickly in the media either. So first, fully inform the Chamber and then media appearances. It would be a nice thing for us if the Minister could give it to the Chamber. After all, no one is waiting for a minister of black markers and premature conclusions.
ParlaMint-NL_2016-01-20-tweedekamer-6.u10	Mr. Chairman. When RTL reported on Professor Maat's lecture for Limburg students in April 2015, the indignation was great. The Netherlands was impressed by the respectful manner in which victims of the airplane disaster were treated, who doesn't remember that long mourning procession on empty highways, but now it seemed that respect and restraint left. Even now, I still believe that a lecture for health science students and any other interested student showing pictures of the remains of victims of the MH17 is undesirable. This is particularly true if, as in one case, there is a number that can be traced back to a well-known individual and a participant in the investigation talks about possible causes of the disaster, well before the investigation is completed. Knowledge must be shared, but the way it is done must be better thought out. What also needs to be done is that this matter is properly sorted out, especially when it comes to the role of an individual, in this case Professor Maat. That didn't happen. When he was just Minister, the Minister reacted directly and firmly to an undesirable situation. However, a minister is expected to remain silent in the choir of indignation until it is determined exactly what is going on. Then it had become clear that Professor Maat was only a limited debt to that. The internal memo of the police is therefore quite right to say: "Entameer always conducts a fact-finding investigation in similar situations with hearing and hearing before declaring measures." The Minister has fortunately and rightly apologized to Professor Maat for this, after he had previously reversed measures against Maat. It is a good thing that he did, it is a pity that this happened so late, only after pressure from Professor Maat himself and the House of Representatives. Then I'll go into the information to the Chamber. The fact that this discussion is again so soon after the debate on the report of the Oosting Committee is painful. It shows that the Ministry is not yet in order. On this point, too, the Minister has rightly put on the rug. He gave the Chamber the police's WOB file in October 2015 without looking at it himself. In doing so, he has ignored the fact that the disclosure of information to the Court in all openness can only be made on the basis of State interest; the WOB has wider grounds for refusal. So the Minister should have taken a test of his own. He would have seen that the coating of 80, 85 and sometimes, I read, even 90% of the text was absolutely unnecessary, even if you take the view that official opinions are of state interest. After all, the starting point must be that only the minimum is secret. By not reading the police report himself, he only relied on the translation of this report, made by the police chief and the police chief of the National Unit in two letters. It is precisely in those letters that the conclusion regarding Professor Maat was not taken up. The Minister states that the decisions were made by the Chief Constable, not himself. I have a few more questions about that. 1. In a passage that has been covered in the police's WOB file, it says: by order of the minister, the cooperation has ended. What's the deal with that? After all, the Minister states elsewhere that it was on the charge of the Chief Constable. 2. When exactly did this minister read the basic report, the investigatory report, himself? Was that December 2nd of last year or earlier? 3. Has there been any influence from the Ministry on the Chief of Staff's conclusion that deviated from the investigation report? In the opinion of my group, it is clear that things in the Ministry are not yet in order. At least in October of last year, the Ministry still did not work on the basis of "open unless." The Minister is responsible for this. He has expressed his ambition on this point on several occasions, but he must now actually resolve it. How's he gonna do that? Furthermore, I also see this incident in the light of a too large ministry of V&J. "The span of control": there has been discussion, chairman, about whether you should use words like this in the Chamber. Let me put it this way: the size of the ministry, of what you are all responsible for, is too large.
ParlaMint-NL_2016-01-20-tweedekamer-6.u11	I would like to put an enlightening question to Mr Recourt. He speaks explicitly about the functioning of the Ministry and of officials, but his questions are actually about what the Minister should have done. I do not want to talk about guilt, but why does Mr Recourt at least place some of the burden of proof in the Ministry at the moment? It has become clear from previous cases that there are some things that are not right there, but why does Mr Recourt choose to look so explicitly at the Ministry in this case?
