ParlaMint-NL_2016-09-29-tweedekamer-10.u1	I would like to welcome the Secretary of State for Finance. Speaking time is four minutes.
ParlaMint-NL_2016-09-29-tweedekamer-10.u2	Mr. Chairman. Pre-security. That was the purpose of the Law on Deregulation Assessment of Employment Relationship (DBA). After a short six months, the conclusion is that this goal has not been achieved. After treatment in the Lower House it soon appeared that the execution by the Tax Administration would also cause beneficialzzp'ers problems. So don't do this now, was the message in the Senate of D66, GroenLinks, the Christian Union and the Party for Animals. Why don't you solve these problems first? But the Secretary of State chose not to turn halfway, but to go completely astray. And now many independent entrepreneurs and their clients are sitting with the baked pears. Only one in five model agreements is approved. Another 2,000 matches await a test. Some 50,000zzp'ers seem to lose their assignments according to initial studies. And what does the Secretary of State do? There'll be a hotline in three weeks. No fines will be imposed until 1 May 2017. But what good is that certainty if you lose assignments at all? What good is that security if you don't get an order at all because clients are afraid of high post-tax rates? Clients have become really shy. I therefore ask the Secretary of State, first of all, to remove the risk of post-taxation for entrepreneurs who are of good will today, just as much as he does not want to impose fines on those who are of good will. Because not only the clients are shy, so is the Tax Administration. For example, the Tax Administration only approves agreements in which an authority relationship is completely excluded. That test is now stricter than what is in the law, as much case law now shows. Why is that? That's where it goes wrong. Now that the Tax Administration is so reluctant to provide security, that brings extra uncertainty. For example, the PostNL parcel delivery companies may have an approved model agreement, while software developers, interim managers, camera people, teachers, journalists and people in orchestras lose or threaten to lose assignments. This tension between labour law and the tax administration should have been resolved before the DBA Act entered into force. Now good-willed entrepreneurs are the victims. That is why I still have a number of questions. I ask the Secretary of State not to have the Tax Administration reviewed more strictly than in the law. I also ask him to decide, by January at the latest, whether he wants to continue with this law. Because 1 May, as the coalition proposes, is of course far too late. That is above all a kind of transparent trick to lift this issue over the elections. But what does the entrepreneur have to do about it, who now loses his orders? The final report of the Boot Committee will also be published in January. Then the 'chaos' must be resolved, to repeat Mr Zijlstra's words. But now the decision of the Boot Committee states that it can also produce interim reports. I would therefore be grateful if we could get such a mid-term report before 1 November. Is the Secretary of State prepared to take care of that? Can we also discuss the model agreements which have been repealed and rejected? Is that what you're looking at? I would also ask the cabinet to implement the Hamer motion adopted unanimously as a matter of urgency. That motion calls for equal working conditions for payroll workers. That motion was adopted by 150 votes in this Chamber. Because payrollers are now the real winners of the DBA Act. But that motion doesn't carry out the cabinet. Will we still have proposals in this area before the end of the year? I also want not only to look at the specific employment relationship, but also at entrepreneurship. Entrepreneurship really needs to be taken into consideration. Is the Secretary of State prepared to change the law? For example, if azzp'er runs a decent turnover, has multiple clients and is clearly a contractor, it must be made clear to his client that he will never suffer that this can be seen later as an employment relationship. That's what the client needs to know. The point is that the client is going to give orders to the self-employed again. I propose today to make the law work better, to change the law and to decide much sooner whether or not the law should be removed. If the Secretary of State draws that conclusion today, we can agree with that.
ParlaMint-NL_2016-09-29-tweedekamer-10.u3	Mr Van Weyenberg has a lot of questions and criticisms, but he also wants the law to be adapted and to work better. Why didn't he make these proposals when this bill was on the table? At that time he was one of the main supporters of this bill, of this law, which has now entered into force. Where was Mr Van Weyenberg when this bill was discussed?
ParlaMint-NL_2016-09-29-tweedekamer-10.u4	That is a point that Mr Bashir is right to make. We were in favour, because that model agreement had ensured that nurses who provided 24-hour care, palliative care, could work again. We found that an interesting thought. Since the adoption of the law, we have lost confidence very quickly, because we were told that the implementation was very strict. You can see that now. The Secretary of State promised at the time that anyone could file his agreement. But now he says this would be a little too much fun. So we have lost confidence and finally tried to stop this law in the Senate. I was very sorry that the SP was suddenly in favour of this law. Anyway, we also look atzzp'ers differently. So Mr Bashir is absolutely right, but we are a controller. If, in practice, the law does not work, the Chamber must act on it and ensure that principals again give orders and self-employed persons can resume their activities. The purpose of today's debate should, in my view, be that Mr Bashir's concern, my concern, the concern of almost the entire opposition, and hopefully also of the coalition, will simply lead to a return to mandates.
ParlaMint-NL_2016-09-29-tweedekamer-10.u5	This law does nothing about false self-employment. In fact, the realzzp'ers are screwed and the bogus self-employed can, once they have signed such a model contract, just pretend everything is okay and continue with what they were doing. I'm not in the First Chamber. I voted against it in the Lower House. If Mr Van Weyenberg had also prevented this law from being passed, it would not have entered the Upper House at all. Then we could have stopped the law and done something about false self-employment. That is the problem, not the fact that the realzzp'ers are trying to earn their living.
ParlaMint-NL_2016-09-29-tweedekamer-10.u6	That wasn't a question.
ParlaMint-NL_2016-09-29-tweedekamer-10.u7	I fully agree with the analysis that for bogus self-employed people I am thinking of PostNL now continues to be cheerful, while the real self-employed seem to be the victim. We can have you-baked here, but we finally voted against the Senate. The SP made another assessment there. Let us now try to find a solution together for all those real entrepreneurs who are now losing their livelihood.
ParlaMint-NL_2016-09-29-tweedekamer-10.u8	I am pleased to read in the D66 election programme that D66 also wants a more level playing field between employees and the self-employed, and to avoid the race to the bottom. I also know what D66's arguments have been for voting in favour in the House of Representatives: combating bogus self-employment and reducing the administrative burden on the real self-employed. I have just heard a number of proposals from Mr Van Weyenberg on how we can improve the implementation of this law, but I do not quite understand what is in the D66 election programme. It talks about a simple successor to the VAR. D66 wants to introduce as soon as possible a strongly simplified declaration allowing self-employed persons to confirm their status, a self-employed person's declaration. Can Mr Van Weyenberg explain what he means by that?
ParlaMint-NL_2016-09-29-tweedekamer-10.u9	The PvdA wanted to improve the playing field by introducing azzp fine. D66 was against it. When the cabinet made that proposal, we were lucky enough to prevent it. In our programme we say: do not tax the self-employed more heavily, but also make work more rewarding for employees. I hope we can find each other at that point. What we want is for entrepreneurship to play a much more decisive role. In one of the motions I will table in the second term, the government is asked to amend the law in such a way that people who are clearly entrepreneurs can continue to do their job. 'Cause look what happens now. You're a musician, you play in an orchestra and you teach. No, this secretary of state says you listen to the conductor. That's authority, so it's not a model agreement. You're a theatre maker or an actor and you're listening to the director? Oh, authority! You're not an entrepreneur. You're a journalist? Yes, Max van Weezel must do with the Eye on Tomorrow indeed in the evening between eleven and twelve. Oh, authority! But at PostNL? You can't write an invoice there. That's where you're told what the van must look like. That's where you're told which clothes to wear. That's where you're told which route to drive. But according to this law, with an approved model agreement, it is apparently the self-employed who want the cabinet.
ParlaMint-NL_2016-09-29-tweedekamer-10.u10	I believe that the examples just mentioned by Mr Van Weyenberg are precisely the ones that are being fought with the Tax Administration. This law should clarify this. Two more things in advance. Azzp fine? It was about the entrepreneurial facilities and cuts. The employee discount proposed by D66 was an article from Mr Groot and myself a year ago. I'm still not clear what D66 wants in her election program. A self-employed declaration. Does this mean that everyone who becomes an entrepreneur must, as in the past, submit proof of entrepreneurship or a small-scale diploma? Looks that way. Isn't that much more bureaucracy than what we're aiming for with the DBA?
ParlaMint-NL_2016-09-29-tweedekamer-10.u11	That was a lot of questions. Let me answer them all. If the Labour Party and D66 agree to make it financially more attractive for employees, that is fantastic. I hope you'll waive thezzp fine from your previous program, but...
