ParlaMint-NL_2016-07-07-tweedekamer-2.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2016-07-07-tweedekamer-2.u2	Mr. Chairman. We've had an AO on the renovation of the Binnenhof. It showed that there are still many uncertainties. There is no programme of demands yet, there is still consultation with local residents and entrepreneurs around the Square. We have asked for a variant with partial opening of the Binnenhof, so a phased renovation of the Binnenhof. That's why I have the next long motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that, in the preferred version of the cabinet, the Binnenhof as a whole must be closed for five and a half years;]] [[noting that this will have a major impact on the public, local residents and entrepreneurs around the Binnenhof, and that no consultation has yet taken place between the National Real Estate Company and those involved;]] [[noting that no definitive programme of demands has yet been drawn up in consultation with the residents of the Binnenhof;]] [[noting that the Hague City Council indicated by means of a motion that a variant of phased renovation with partial opening of the Binnenhof would be preferable to the variant of five and a half years of complete closure (preferred variant);]] [[Whereas there is still a great deal of uncertainty about the total cost of conversion and the additional costs of a phased conversion compared to the preferred variant are not conclusively substantiated;]] [[Whereas, in addition to benefits for the public, local residents and entrepreneurs around the Binnenhof, a phased renovation may involve significantly less risks of delay and cost overrun than the preferred variant;]] [[invites the government to develop the variant with the phased conversion (variant 2) in the further development until consultation with the residents and the municipalities shows what the final viable variant will be,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Koolmees, Mr Bishop, Mr Van Raak and Mr Schouten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34293-23]]
ParlaMint-NL_2016-07-07-tweedekamer-2.u3	Mr. Chairman. 50PLUS opts for the cheapest and fastest solution and supports the Minister. But we do have one additional wish: whoever grows his house often has a one-off and comparatively very advantageous opportunity to do it really well. That is in our case the thorough handling of the Hotel, in this house better known as the sick-building disease. Questioning the city of The Hague shows that this will not come up against any objections. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the renovation of the Binnenhof is an excellent opportunity to opt for new construction rather than renovation of the part of the Lower House designated by Hotel;]] [[Whereas new construction, also according to the validation of Twynstra Gudde, offers the possibility to resolve users' complaints more efficiently and effectively against a limited additional investment and at least longer construction time;]] [[calls on the Government to enter into talks with the City of The Hague on the authorisation of a possible new building while maintaining the Jugendstil façade;]] [[calls on the Government to include new building of the building part of Hotel as an option in the building plans and to develop the potential opportunities and risks therein,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Krol, Mr Fokke and Mr De Caluwe. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34293-24]]
ParlaMint-NL_2016-07-07-tweedekamer-2.u4	Demolition and new construction do indeed seem very logical for that part. But if you do new construction, you could also do much higher than you do now. When I look at the press tower and beyond, I see that there are already many tall buildings. With a high building you can think of relocation or a very different temporary phasing. Could that option be taken up as far as you are concerned?
ParlaMint-NL_2016-07-07-tweedekamer-2.u5	I hope that the Minister will study all possibilities in full. We've been there with a number of experts and they've looked into it. The courtyard does not need to have the current dimensions, but could be a bit narrower. The intermediates could indeed be a complete floor higher, without making the whole building higher. You can even place an extra part, so you suddenly get a lot more space. It could even preserve the Jugendstil elements. However, I think it is up to the Minister to examine what is reasonable. In any case, I would like to take a thorough look at this building, which has few residents who are happy with it.
ParlaMint-NL_2016-07-07-tweedekamer-2.u6	Mr. Chairman. The CDA wants to draw attention to project management, both in terms of time and risks as well as money, this project has everything to do with making a nice overrun. The CDA absolutely wants to prevent that. The renovation will have to be completed within budget and within time. Although there is a post unexpected of 20% and the BIM method is being worked on, we are not yet satisfied. We have considered making the proposal to give the renovation the status of a major project, but it does not really meet the criteria laid down by the Court. However, we would like to propose an à la large project approach. We are thinking of an approach whereby the committee for Housing and Rijksdienst is informed on project management aspects, results, organisation, planning, information and costs on a quarterly basis. In a letter, will the Minister make a proposal to the Chamber, indicating how he intends to control the project, what role the Chamber has in it, what information the Chamber will receive and how we will ensure that this project is completed within the criteria?
ParlaMint-NL_2016-07-07-tweedekamer-2.u7	Mr. Chairman. I get to kick off this marathon day on behalf of the PVV. I would like to say right away that it is very strange that we have gathered here tonight until deep into the night, so that people could not even follow that, while this building is completely empty tomorrow and everyone, including the staff, is at home from this ridiculously long working day. I think we should think about what we are doing here. If you demolished the Hotel, there would suddenly be a huge opportunity, namely to place a lot of square meters of office building there. And that in a prime location: next to the Lower House in the center of The Hague. That possibility has not been investigated. Mr Krol's motion calls for an investigation. I just asked him about the possibility of building a higher building here, with many more square meters. That can be very profitable. I'm sure there are some market players interested in that, especially if the Chamber wants to rent that building. My group considers the costs of renovation estimated for the entire renovation to be really absurdly high, almost half a billion. We find that really unacceptable. We believe that the possibility should be explored for a market participant to set up an office building there, which we can then rent. Mr Krol's motion could also bear that in mind. That is why I am considering supporting it with a positive opinion to my group. I have a motion of my own that is very similar. I doubt I should submit it, but I will, because I can always withdraw it if the minister agrees to take it with me. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the demolition of the Hotel building has been investigated, but not the option of setting high-rise buildings there;]] [[Whereas high-rise buildings may create new opportunities for temporary housing of the House of Representatives;]] [[calls on the government to investigate demolition and high-rise construction of the Hotel,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Madlener. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34293-25]]
ParlaMint-NL_2016-07-07-tweedekamer-2.u8	Finally, I would like to say that the façade, a municipal monument, is not sacred as far as we are concerned. The plans don't always have to be preserved, if that's too expensive.
ParlaMint-NL_2016-07-07-tweedekamer-2.u9	Mr. Chairman. This is the conclusion of a series of debates we have had on the renovation of our own home. It is time we took a final decision on this. I am therefore very surprised at the motion tabled by D66. We've been getting maps full of information from the minister. Detailed planning, advisory reports and financial information were sent to the Chamber and, the day before yesterday, at the request of, among others, D66, something was even sent to the Chamber. That's really incredible information, as far as you can give it four years before the start of the renovation. I really wonder what else D66 needs before it can finally come to a decision. The VVD has clearly declared itself in favour of variant 3, a short renovation of five and a half years, and there was also a majority in favour of this during the last debate. I would, however, like to table a motion to move the location for the celebration of Prince's Day during the renovation, so that the party is preserved, but the construction is not delayed by it. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Binnenhof has been completely closed for five and a half years due to a large-scale renovation;]] [[Whereas, during the renovation, only the celebration of Prince's Day is still planned at the Binnenhof;]] [[Whereas a number of weeks have been provided each year for clearing the courtyard for the celebration of Prince's Day in the Knight's Room;]] [[Whereas any delay in construction work should be avoided as far as possible;]] [[Whereas, furthermore, the Binnenhof will only be partially freed, so that the royal couple will arrive in an empty Binnenhof without any public and the festive nature of the arrival will disappear as a whole;]] [[calls on the government not to disturb the renovation of the Binnenhof by accommodating Princess Day on a little festive Binnenhof;]] [[Invites the Government to forward this decision to the President of the United Assembly of the States General, so that it can establish an alternative location for the celebration of Prince's Day during the renovation,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr De Caluwé, Mr Fokke, Mr Krol and Mr Van Raak. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34293-26]]
ParlaMint-NL_2016-07-07-tweedekamer-2.u10	I hear what Mrs De Caluwe says, but at the same time I note in the surrounding area that there is still a great deal of uncertainty as to what exactly needs to be done. I also note that a majority of the city council of The Hague has adopted a motion which goes against the preferred version of the cabinet. I have read all the reports and you can conclude that there is still a lot of uncertainty about the costs. I wonder if Mrs De Caluwe read those reports. I have argued extensively that there are also very big risks when you close the Binnenhof for five and a half years, such as the risk of delay. Mr Ronnes' motion is also about that. I therefore find it a little cheap when Mrs De Caluwe says that there are a lot of reports and then wonders when D66 will finally make a decision. I have laid down a variant, so that, in addition to the preferred version of the cabinet, we can also take the variant that entrepreneurs, the public and politics in The Hague are asking for. Then I'm pushed aside by the VVD a little carelessly. That's not careful, is it, Mrs. De Caluwe?
ParlaMint-NL_2016-07-07-tweedekamer-2.u11	The variant presented here costs 50 million extra. So that variant is already calculated in detail. I see a lot of projects going by in this house. Of many ongoing projects, funding is not as neatly expressed and as detailed as here and on this basis, this type of advisory report has not been published either. These projects are still wondering how much it is going to cost, even though they are already running. The renovation takes place in four years and yet so much has already been calculated and recorded. And yes, there are uncertainties, but it would be weird if there weren't four years in advance. We have also spoken to a number of local residents, but that group is very diverse. They have been spoken to, but they are sending out different signals and they do not agree with everything. This also applies to the city council. But last year the board indicated that they were in favour of the short variant. The city council is now putting forward a motion, while we have already made a decision during the previous AO. By the way, that motion was not supported by the VVD.
