Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-06-07-eerstekamer-8	ParlaMint-NL_2016-06-07-eerstekamer-8.u1	Report of the meeting of the Dutch Upper House, Meeting 33, Session 8 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	RoelKuiper	Kuiper, Roel	M	1962	
ParlaMint-NL-en_2016-06-07-eerstekamer-8	ParlaMint-NL_2016-06-07-eerstekamer-8.u2	Report of the meeting of the Dutch Upper House, Meeting 33, Session 8 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 33	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-06-07-eerstekamer-8	ParlaMint-NL_2016-06-07-eerstekamer-8.u3	Report of the meeting of the Dutch Upper House, Meeting 33, Session 8 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FrankvanKappen	van Kappen, Frank	M	1941	
ParlaMint-NL-en_2016-06-07-eerstekamer-8	ParlaMint-NL_2016-06-07-eerstekamer-8.u4	Report of the meeting of the Dutch Upper House, Meeting 33, Session 8 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 33	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-06-07-eerstekamer-8	ParlaMint-NL_2016-06-07-eerstekamer-8.u5	Report of the meeting of the Dutch Upper House, Meeting 33, Session 8 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	FritsLintmeijer	Lintmeijer, Frits	M	1957	
ParlaMint-NL-en_2016-06-07-eerstekamer-8	ParlaMint-NL_2016-06-07-eerstekamer-8.u6	Report of the meeting of the Dutch Upper House, Meeting 33, Session 8 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2016-06-07-eerstekamer-8	ParlaMint-NL_2016-06-07-eerstekamer-8.u7	Report of the meeting of the Dutch Upper House, Meeting 33, Session 8 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarleenBarth	Barth, Marleen	F	1964	
ParlaMint-NL-en_2016-06-07-eerstekamer-8	ParlaMint-NL_2016-06-07-eerstekamer-8.u8	Report of the meeting of the Dutch Upper House, Meeting 33, Session 8 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 33	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-06-07-eerstekamer-8	ParlaMint-NL_2016-06-07-eerstekamer-8.u9	Report of the meeting of the Dutch Upper House, Meeting 33, Session 8 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	BastiaanvanApeldoorn	van Apeldoorn, Bastiaan	M	1970	
ParlaMint-NL-en_2016-06-07-eerstekamer-8	ParlaMint-NL_2016-06-07-eerstekamer-8.u10	Report of the meeting of the Dutch Upper House, Meeting 33, Session 8 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 33	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	HermanSchaper	Schaper, Herman	M	1949	
ParlaMint-NL-en_2016-06-07-eerstekamer-8	ParlaMint-NL_2016-06-07-eerstekamer-8.u11	Report of the meeting of the Dutch Upper House, Meeting 33, Session 8 (2016-06-07)	2016-06-07	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 33	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
