ParlaMint-NL_2016-01-19-tweedekamer-25.u1	I welcome the Minister and I am the first to give the floor to Mr Hoogland.
ParlaMint-NL_2016-01-19-tweedekamer-25.u2	Mr. Chairman. I shall confine myself to reading out two motions. The first one is about tunnel dosing. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is uncertainty as to the effects of tunnel dosing on traffic flow;]] [[considers that tunnel dosing should not lead to additional travel time and traffic jams;]] [[Calls on the Government to examine further the impact of tunnel dosing on road safety and traffic flow within a six-month period and, during the investigation, to consider the further introduction of the tunnel dosing instrument;]] [[calls on the Government to inform the Court of Justice of the results of the investigation so that it can be involved in a further introduction and review of the application of the instrument in the three existing tunnels,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Hoogland and Mr Visser. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-485]]
ParlaMint-NL_2016-01-19-tweedekamer-25.u3	And then I have another motion on how to deal with staged scooters. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a large proportion of the riding (snor) scooters in the Netherlands can drive faster than permitted by law;]] [[Whereas members of the BOVAG trade association also facilitate these illegal practices;]] [[Considering that the BOVAG is a public partner in road traffic and road safety;]] [[Calls on the Government to encourage the BOVAG to pursue stronger policies towards its members on this issue, if the outcome remains to suspend consultations with this interbranch organisation by 1 September 2016, and to inform the Court of Justice of this before the budget debate I and M 2017,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Hoogland. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-486]]
ParlaMint-NL_2016-01-19-tweedekamer-25.u4	I spoke to BOVAG recently. He says we just need to keep it. I believe it's legal to drive 20 or 25 km/h. That's very soft for most scooters. It is very difficult to prevent them from being tougher by technical measures. That's why it's better just to be enforced by police officers or enforcers. In Amsterdam, only two officials appear to be involved in this. Would it not be better for Mr Hoogland to ensure that the government itself will carry out its own task and maintain it better?
ParlaMint-NL_2016-01-19-tweedekamer-25.u5	That is, in itself, a justified point by Mr Madlener. I think it would be good if the Minister also responded to his recommendation to maintain more. I can only agree with that. The motion deals with only one of the instruments, namely appealing to the interbranch organisation to its responsibility to ensure that these practices do not take place among its members in any event. After all, she claims to represent anyone who sells moustaches or scooters.
ParlaMint-NL_2016-01-19-tweedekamer-25.u6	Mr Madlener, one short sentence.
ParlaMint-NL_2016-01-19-tweedekamer-25.u7	Mr Hoogland should therefore not address BOVAG. First let him start with the mayor of Amsterdam, for example. He's got a problem with the nuisance, but he's not gonna do anything about it. He's leaving it completely behind.
ParlaMint-NL_2016-01-19-tweedekamer-25.u8	I think both are useful.
ParlaMint-NL_2016-01-19-tweedekamer-25.u9	Speaking of mustache scooters, I come to the motion for a resolution from the Highlands. We have discussed this motion in detail in the AO. We said there that we should also talk to the stakeholders, such as BOVAG and RAI, because that is what the Hoogland motion says. At that time, the Minister indicated that this had been the case. Questioning shows, however, that they are not involved, BOVAG is not involved, RAI is not involved, and others are not involved. That's what they're saying. Does Mr Hoogland think that his own motion on the whiskers that the parties should be involved is well implemented now that it appears that they are not involved?
ParlaMint-NL_2016-01-19-tweedekamer-25.u10	Yes, I do. If there is an industry that I cannot imagine has any difficulty in gaining access to politics, then it is the automotive and scooter industry. BOVAG and RAI are known to have excellent entrances. They have also approached us all with their views. We therefore have no concern about the access of industry associations to politics.
ParlaMint-NL_2016-01-19-tweedekamer-25.u11	I have a brief addition. Okay, the access to politics is there, but getting access to a Labour Underground Party in Amsterdam with Mr Hoogland, as in this case, is something else. That is a completely different situation. They are neither involved nor involved in the execution of the motion. Do I understand why Mr Hoogland is saying that he is satisfied with the implementation of the motion when they are not involved?
ParlaMint-NL_2016-01-19-tweedekamer-25.u12	Mr Van Helvert's qualifications are so far from reality that I find it difficult to answer his question seriously. The task of the motion was to enable the moustache scooter to be moved in consultation with various associations, and that has also been done.
ParlaMint-NL_2016-01-19-tweedekamer-25.u13	Mr. Chairman. To my dismay I have read that the VVD believes that the peak lanes should be transformed into ordinary lanes. This is what we have been advocating for years. Unfortunately, the VVD has completely wiped out the infrastructure pot with the cuts, but I read now that the VVD wants to come back on this and transform the traffic lanes. I am pleased about that. I have therefore decided to retable my old motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas traffic jams are increasing rapidly again;]] [[Whereas full lanes are safer than peak lanes and better for flow;]] [[calls on the Government to re-establish peak lanes as a full lane and to upgrade as many existing peak lanes as possible to full lanes,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Madlener. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-487]]
ParlaMint-NL_2016-01-19-tweedekamer-25.u14	Mr. Chairman. Mr Ulenbelt replaced me in the general discussion, because I was at the climate summit. That's how it goes. So I have no motion either, just a comment. Mrs Visser will table a motion co-signed by the SP. This one's about Riding School Chooser. My colleague, Mr Bashir, has already tabled a motion on this matter. We find it rather strange that the government is subsidising a driving school comparison site for a lot of money, while there are also market players who can do this very well. In general consultation there has been a good debate on the moustache scooters. The SP does not want to lie down before the municipality of Amsterdam's wish to tackle the moustache nuisance and perhaps move the moustache scooters to the lane. However, we only want this when it can be done safely. The SP is not yet convinced that this can be done safely on all roads where other traffic runs much faster. We would like to hear from the Minister in which scenarios this is possible. For example, you can also turn the moustache scooters into moped scooters. Then you hit two birds with one stone. I assume that this has been discussed in the AO for a long time, so I am not going to repeat it. That also makes a stupid impression, because I did not speak there myself. I'd like to leave it at that.
ParlaMint-NL_2016-01-19-tweedekamer-25.u15	Mr. Chairman. First of all, I am tabling a motion to respond to the SP's question. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Minister intends to amend the Regulation on traffic rules and roadsigns in order to allow road managers to move the whiskers to the lane with a helmet duty;]] [[noting that at the time the moped was moved to the lane only after extensive research;]] [[Whereas the impact of such a change on the road safety of the mustache cyclist is unclear;]] [[calls on the Minister to carry out an investigation into the road safety risks for moustache cyclists on the track with a maximum speed of 50 km/h;]] [[further requests the Government not to anticipate the proposed amendment to the RVV until after the results of the investigation have been discussed with the Chamber,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that research carried out by the Netherlands Institute for Physical Safety showed that 60% of all drivers of priority vehicles, such as ambulances, reported having had an accident or near-accident;]] [[noting that drivers of priority vehicles indicate that in Germany drivers know better what to do with approaching priority vehicles;]] [[noting that the content of theoretical lessons in the Netherlands is based on the Traffic Rules and Roadsigns Regulation;]] [[calls on the Government to examine how to promote the clear diversion of motorists to passing priority vehicles, e.g. by adapting Article 50 of the Regulation on traffic rules and roadsigns,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Helvert. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-488]] [[This motion has been proposed by Members Van Helvert and Bruins Slot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-489]]
ParlaMint-NL_2016-01-19-tweedekamer-25.u16	Then I have a comment about the N59. Earlier we talked to the Minister about safety on this road. This road runs between Goeree-Overflakkee and Schouwen-Duiveland. The N59 between Den Bommel and Hellegatsplein is known as a busy and dangerous two-lane road, where accidents often occur. The Minister announced in May that measures are being taken to improve safety at the N59 at Den Bommel. However, these measures will not be completed until 2020. Last December, just before New Year's Eve, there was another fatal accident. That hit residents spicy. The faults on the Botlek Bridge also mean that trucks with dangerous substances have to drive through the N57 and the N59. The CDA would like to see the deadlock broken. Does the Minister intend to sit down with all the parties to ensure speedy and decisive road safety?
ParlaMint-NL_2016-01-19-tweedekamer-25.u17	I see that Mr Madlener has a question. You may, but please keep it short.
ParlaMint-NL_2016-01-19-tweedekamer-25.u18	The N57 is indeed an important road in that area. Does Mr Van Helvert also think that the number of lanes in the N57 should be doubled for safety, for example?
ParlaMint-NL_2016-01-19-tweedekamer-25.u19	That's pretty quick. Perhaps it is the solution, but my question to the Minister is first whether she can sit down with parties to see how we can deal with it in the N57 and N59. If it shows that this is one of the solutions, we can certainly talk about it. However, that is not yet known. That's why we're first asking the Minister to investigate.
