Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2016-10-25-tweedekamer-5	ParlaMint-NL_2016-10-25-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2016-10-25)	2016-10-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2016-10-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
