ParlaMint-NL_2016-09-08-tweedekamer-7.u1	I would once again like to welcome the Minister for Health, Welfare and Sport.
ParlaMint-NL_2016-09-08-tweedekamer-7.u2	Mr. Chairman. Today we are talking about an amendment to the Health Organisation Act and some other laws in order to improve supervision, detection, compliance and enforcement. For this purpose, health insurers should be able to look even more closely into the data that the doctor or treatment provider keeps about his patient. This bill is not only unnecessary, because there are good ways to detect false declarations and fraud, but is mainly disproportionate because it offers medical professional secrecy. I will explain today that the SP believes that breaking medical professional secrecy is too important an instrument. We believe that this does not make detection more effective, harms the possibility of criminalising care fraud and also unnecessarily harms privacy. That's very serious. We have major debates on care fraud. The extent of this has become clear. EUR 485 million has been declared wrong; this amount has been recovered by health insurers. Of these, 11.1 million were frauds. It has to be said that this fraud was often committed by carers, but is that a reason for sacrificing medical professional secrecy? First of all, I will deal with a matter of principle: who should be investigating? We opt for the government, for compliance, investigation and monitoring agencies, such as the FIOD, the NZa, the Social Affairs and Employment Inspectorate, and you name it. They may act under administrative and criminal law. We believe that this is a very important basis. That is why you should not place the detection in the hands of a commercial party, which can only operate in the case of care fraud in civil law. If a health insurance company detects fraud, it will, of course, suspend payment, but has it already been prosecuted? No, if the health care provider wants to do that himself, he'll have to file a civil suit and have to take possession of evidence. But can a health care provider do that? No, because he's not a tracking or compliance agency. Let's do it in such a way that you always know that it can be arrested under administrative or criminal law, regardless of how you feel about the principled position of commercial companies versus the government in search. In reply to questions, the Minister indicated that she felt it was part of the current private system that health insurers did so themselves. She thinks that's the most logical thing, because health insurance companies would be closest to the fire. Yes, health insurers have the task of identifying, but the real approach and access to medical records should be reserved for authorities, as far as we are concerned, bodies with a public service mission.
ParlaMint-NL_2016-09-08-tweedekamer-7.u3	I hear Mrs Leijten say that a health insurance provider should not detect fraud. Does Mrs Leijten say that a health insurance company simply has to pay all claims blindly and not check whether the claims are lawful?
ParlaMint-NL_2016-09-08-tweedekamer-7.u4	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, They also have a very important position to be able to indicate that something is going wrong. However, with regard to investigative powers, it is very difficult for health insurers to obtain evidence in such a way that it actually leads to a conviction in civil proceedings. This is still separate from the point that I have just made that there should be no civil procedure in the case of fraud. I will propose this later; I have suggested this before. As far as I am concerned, an insurer who believes that a health care provider is very expensive should always make the highest claims and any patient who gives or gives treatment should therefore be given serious suspicions of fraud. I am talking about the FIOD, the Public Prosecutor's Office, the Social Affairs and Employment Inspectorate, and you name it. Together they go there. The investigating authorities will then be able to confiscate the evidence and prosecute immediately. Then we hit two birds with one stone. If you leave it in civil law, it becomes very difficult to prove it, because, for example, a health insurance provider is not allowed to confiscate material from a healthcare provider.
ParlaMint-NL_2016-09-08-tweedekamer-7.u5	Mrs. Leijten is moving very fast, with seven-mile boots. It is, of course, a question of a health insurance company having to check declarations. You will only get into the process Mrs Leijten is talking about when a health insurance company comes to the conclusion that incorrect or incorrect declarations have been made. Does Mrs Leijten agree with me that the core task of a health insurance company is to check declarations?
ParlaMint-NL_2016-09-08-tweedekamer-7.u6	Yeah, but I didn't deny that, did I? All I'm saying is that at the moment you take the step that this bill is taking, where a health insurance company has to check in detail at person and patient level whether there is fraud, I'm going to argue in a moment that I don't think it's necessary to do this with personal data. Look, yeah, but you're gonna have to get the conviction out of there. So you have to look, signal and report it to the authorities, and then they have to take over. In my view, this is also the most effective way of achieving Mrs Klever's and her party's desire to bring those who commit care fraud to justice. If you leave all this to the health insurance company, what this law does, and also create additional opportunities to look into patient data, according to the Minister's reasoning that it is really only the private party's job, I think we can very difficult even get health fraud tried. That cannot be the intention of this bill. I think we're closer than it looks, but let me just get on with my argument.
ParlaMint-NL_2016-09-08-tweedekamer-7.u7	Finally, Mrs Klever.
ParlaMint-NL_2016-09-08-tweedekamer-7.u8	The SP and the PVV both want care fraud to be detected, but I think we do differ on a point of view. The PVV believes that the health insurance company should do everything in its power to check claims and to detect fraud. A whole protocol has been drawn up for this, with a whole step-by-step plan, and only at the end of that roadmap can the health insurer, under certain conditions, look into a file, for example to see whether the declared care has actually been delivered. This seems to me to be a core task of the health insurance company: to see if it has actually been delivered for what it is paying for. I don't understand why the SP doesn't think that's the job of the health insurance company.
ParlaMint-NL_2016-09-08-tweedekamer-7.u9	Medical confidentiality is one of the key values of our healthcare system. That's especially there for the patient, because you run a risk if your medical records are known to insurers who can use them for up to days. I do not like to sacrifice that on the basis of the fact that there are many other possibilities. I'll explain all of them, too. I do not understand why the PVV, which is always so critical of what health insurance companies do, is now fine that they can see in detail what is going on with Mrs Klever himself medically. That is a very big problem. That's a very big risk. And it's totally unnecessary.
ParlaMint-NL_2016-09-08-tweedekamer-7.u10	Please continue.
ParlaMint-NL_2016-09-08-tweedekamer-7.u11	Previously, I proposed that the health insurers who have a serious suspicion of fraud should be supported by investigating bodies. With the D.A., the FIOD, the NZa and the Inspection SZW, they can raid together on suspicion of fraud. Evidence can then be seized, which the health insurance company cannot now do. Why haven't I gotten a response to that route? If we go along that route, we do not need to break medical confidentiality. Before I go into that interest, I would also ask the Minister to show that access to personal data, thus linking medical data to a person, helps to detect fraud and false declarations. Is it really necessary to see that the patient's name is Mrs. Schippers or Mrs. Leijten? Is that necessary? I don't think that's necessary. You can see if a healthcare professional works without the necessary references. It is a signal when dbcs are opened that do not match, or always in the highest price range. These are all signs that a health insurance company can do something, but to determine whether there is actually fraud, it is irrelevant which patient is involved. It is irrelevant whether that is Mrs Schippers or Mrs Leijten. The point is that the necessary basis on which that treatment takes place is not there. Is it therefore necessary to check whether a declaration is incorrect or fraudulent in any way to have the personal data present? If that is not the case, you could make a proposal whereby it is anonymized. This would take a big sting out of the bill. The abolition of medical professional secrecy is unnecessary and unwise. Medical professional secrecy is the basis for the patient's confidence in his or her treatment. The patient must be able to trust, and continue to trust, that data is in safe hands, even if the treatment provider is pressured by a health insurance provider to share data. Medical confidentiality is there to protect the patient. It is a violation of his privacy when looking into that data. It can lead to major problems in the lives of patients or former patients. What does the government think it does with someone's job opportunities if it's known he's been treated for an addiction, for example? Not only possible employers will find this information interesting; also the insurers themselves. To give them the possibility of access to the medical data of insured persons for inspection purposes is to bind the cat to the bacon. It is well known that insurers commit people who have had cancer differently to supplementary insurance than people who have not had cancer. We know that health insurance companies do risk selection. The Minister himself recognizes that. It would be downright naive to think that they would not do so.
