ParlaMint-NL_2016-04-28-tweedekamer-8.u1	I give the floor to the first speaker, Mr Jasper van Dijk.
ParlaMint-NL_2016-04-28-tweedekamer-8.u2	Mr. Chairman. This is the follow-up to Tuesday's general discussion on TTIP and CETA. I have the following question to the Government: can it indicate which parts of the CETA Convention are "EU only" and which are mixed? What about investment protection, also known as ICS? Is that a European matter or a mixed matter? I'd like to hear a response. I'll file the next three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that acceptance is of great importance in the introduction of major trade agreements such as TTIP and CETA;]] [[Whereas "temporary entry into force' means that parts of the CETA Convention are binding for up to three years on the Netherlands and the other Member States, for example in the case of investment arbitrage, even if national parliaments ultimately decide not to ratify;]] [[calls on the Government, in the Council, to take a stand against the provisional entry into force of parts of CETA as long as national parliaments have not expressed their views on it,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the principle of mutual recognition in the TTIP and CETA trade agreements may lead to the admission of products to the European market that do not meet European standards;]] [[Notes that TTIP and CETA should not result in products that do not comply with European standards being authorised in the EU,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that investment protection through ICS and ISDS leads to legal inequality, as it gives companies the opportunity to sue States through a separate legal process;]] [[calls on the Government to recommend in the Council that investment protection (ICS/ISDS) be deleted from TTIP,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Jasper van Dijk, Mr Thieme, Mr Bruins and Mr Grashoff. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-02-1608]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-02-1609]] [[This motion was tabled by Mr Jasper van Dijk, Mr Thieme and Mr Grashoff. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-02-1610]]
ParlaMint-NL_2016-04-28-tweedekamer-8.u3	Mr. Chairman. I'll file the next four motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the EU-Canada CETA Convention is unclear as to which elements will enter into force provisionally, even if Member States have not yet signed and ratified;]] [[Calls on the Government to clarify in advance, in the case of mixed conventions, which articles are "EU only' and may enter into force provisionally without the consent of national parliaments;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the latest impact assessment of the EU-Canada Convention CETA dates back to 2009 and that the latest amendments to the Convention have not been taken into account;]] [[whereas it is therefore unclear what the impact of CETA on growth, jobs, people and the environment will be;]] [[calls on the Government to urge the European Commission not to take decisions on CETA without an up-to-date analysis of its impact on the economy and sustainability,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a level playing field in global steel trade is necessary;]] [[noting that the United States is imposing anti-dumping measures more quickly than Europe;]] [[calls on the Government to carry out a legal quickscan on the possibilities not to apply the "lesser duty rule" in special circumstances and to inform the House of Representatives before the end of the Dutch Presidency,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that the Social Economic Council (SER) had reached a unanimous opinion on seven principles for TTIP;]] [[Calls on the Government to review both CETA and TTIP against the seven principles of the ESC;]] [[calls on the Government to present the seven principles as a broadly supported Dutch position to the Foreign Affairs Council on Trade (RBZ) and to inform the Chamber of the results,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Bruins, Mr Dijkgraaf, Mr Jasper van Dijk, Mr Grashoff and Mr Agnes Mulder.]] [[She's getting No. kst-21502-02-1611]] [[This motion was proposed by Mr Bruins, Mr Dijkgraaf, Mr Jasper van Dijk, Mr Grashoff and Mr Agnes Mulder.]] [[She's getting No. kst-21502-02-1612]] [[This motion has been tabled by Mr Bruins and Mr Bitches. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21502-02-1613]] [[This motion was tabled by Mr Bruins, Mr Dijkgraaf and Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-02-1614]]
ParlaMint-NL_2016-04-28-tweedekamer-8.u4	Mr. Chairman. I've got three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that there is an opinion request to the European Court of Justice on the EU's competences in relation to the EU-S Singapore Free Trade Agreement, and the Commission states that this opinion is to be taken into account in the assessment of European competences in future free trade treaties, including the EU-Canada CETA and the EU-US TTIP;]] [[noting that the distribution of competences between the EU and the Member States is currently not sufficiently clear to assess a proposal on provisional application;]] [[calls on the Government to make a parliamentary reservation if the European Commission makes a proposal for the provisional application of CETA, and to submit that proposal to the Court before taking a position on it,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that agreements on sustainable development and the environment in existing European trade agreements add little to existing agreements and are not enforceable;]] [[Whereas there are serious concerns about the future impact of TTIP and CETA on sustainable development and the environment;]] [[calls on the Government to promote, at European level, an effective enforcement mechanism for agreements on sustainable development and the environment in TTIP, involving civil society organisations and stakeholders,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that Chapter 8 of the final CETA text enables foreign investors to challenge EU laws and decisions for investment tribunals;]] [[Considering that several legal studies indicate that these tribunals may be able to examine EU law, thereby challenging the uniform interpretation and autonomy of the European legal order;]] [[Calls on the Government to seek advice from the European Court of Justice on the compatibility of the Investment Court System in Chapter 8 of CETA with the EU Treaties,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Grashoff and Mr Jan Vos. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-02-1615]] [[This motion was tabled by Mr Grashoff. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-02-1616]] [[This motion was tabled by Mr Grashoff. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-02-1617]]
ParlaMint-NL_2016-04-28-tweedekamer-8.u5	Madam President. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government, those parts of the agricultural sector which now or in the future have a higher level of environmental and animal welfare requirements compared to Canada and which cannot recover the related costs in a common market, to keep out of CETA,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government, those parts of the agricultural sector which now or in the future have a higher level of environmental and animal welfare requirements compared to the US and which cannot recover the related costs in a common market, to keep out of TTIP]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Dijkgraaf, Mr Thieme, Mr Bruins, Mr Jasper van Dijk and Mr Agnes Mulder.]] [[She's getting No. kst-11501-02-1618]] [[This motion was proposed by Mr Dijkgraaf, Mr Thieme, Mr Bruins, Mr Jasper van Dijk and Mr Agnes Mulder.]] [[She's getting No. kst-11501-02-1619]]
ParlaMint-NL_2016-04-28-tweedekamer-8.u6	Mr. Chairman. I shall first table two motions and then ask a few more questions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the EU is currently negotiating a trade agreement with the US;]] [[noting that there is concern in society about the impact of TTIP on EU standards and standards;]] [[calls on the Government to monitor an agreement guaranteeing EU standards and standards and ensuring a level playing field between US and EU markets;]] [[calls on the Government to ensure that TTIP does not reduce EU standards and standards, in particular in the areas of food, animal welfare, the environment, health and health, safety and consumer protection, and, where possible, to advocate the inclusion of these sectors as sensitive sectors,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Netherlands and the other 27 Member States subscribe to the European Convention on Human Rights and Fundamental Freedoms (ECHR);]] [[calls on the Government to carry out a test to determine whether the proposed provisions in TTIP and CETA, in particular those on arbitration, are in conformity with the ECHR,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Agnes Mulder and Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-02-1620]] [[This motion was tabled by Mr Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-02-1621]]
ParlaMint-NL_2016-04-28-tweedekamer-8.u7	Last Tuesday we received a manifesto from a broad delegation from the agricultural sector and related sectors. We very much welcome Minister Ploumen's commitment to engage with the proposers of the manifesto and to talk to them about solutions for their specific concerns. We want fair competition, so that our farms will continue to have a future. They're already having a hard time. We also welcome the Minister's commitment to give an appreciation of the Economic and Social Committee report, which comes up with the whole TTIP Treaty. It seems very important to us that we have that. I would also like to hear how Merkel and Obama's statements have an impact on the TTIP process, because the European Commission also has its own process idea about the whole TTIP process. Perhaps the Minister could comment on that as well.
ParlaMint-NL_2016-04-28-tweedekamer-8.u8	Mr. Chairman. The VVD Group will not table any motions. We shall support Mr Bruins' motion, which we have co-signed. All the other motions that have been tabled so far, the VVD considers, let me put it a little unparliamentaryly, boiler music for the troops. The negotiations are still going on. It is therefore not a matter of saying so at the moment. You can give your mind to the government, but the government can't do much with it yet. I do have a question for the government. How does the Minister assess the pace of negotiations? I am referring in particular to the conclusion of the negotiations. The thirteenth round of negotiations has begun. Does the Minister think that we can conclude the negotiations on TTIP before the US election campaign begins?
ParlaMint-NL_2016-04-28-tweedekamer-8.u9	Mr Dijkgraaf, I give you the floor, but I would warn you not to repeat the debate here.
ParlaMint-NL_2016-04-28-tweedekamer-8.u10	I have a very factual question. I've tabled a motion on CETA. The negotiations are over. So Mr Teeven cannot use his reasoning for that motion.
ParlaMint-NL_2016-04-28-tweedekamer-8.u11	I am not used to the fact that the SGP is running ahead of the troops. The law on approval of this Convention remains to be submitted. The negotiations have been concluded, but we do not yet know exactly how the Dutch Government is dealing with them. So we will not support the motion by the SGP Group to our grave regret this time. The VVD is not so used to the SGP, but in this case it really runs for the troops.
