Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-06-14-eerstekamer-6	ParlaMint-NL_2016-06-14-eerstekamer-6.u1	Report of the meeting of the Dutch Upper House, Meeting 34, Session 6 (2016-06-14)	2016-06-14	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 34	Sitting 2016-06-14	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-06-14-eerstekamer-6	ParlaMint-NL_2016-06-14-eerstekamer-6.u2	Report of the meeting of the Dutch Upper House, Meeting 34, Session 6 (2016-06-14)	2016-06-14	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 34	Sitting 2016-06-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-06-14-eerstekamer-6	ParlaMint-NL_2016-06-14-eerstekamer-6.u3	Report of the meeting of the Dutch Upper House, Meeting 34, Session 6 (2016-06-14)	2016-06-14	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 34	Sitting 2016-06-14	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-06-14-eerstekamer-6	ParlaMint-NL_2016-06-14-eerstekamer-6.u4	Report of the meeting of the Dutch Upper House, Meeting 34, Session 6 (2016-06-14)	2016-06-14	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 34	Sitting 2016-06-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-06-14-eerstekamer-6	ParlaMint-NL_2016-06-14-eerstekamer-6.u5	Report of the meeting of the Dutch Upper House, Meeting 34, Session 6 (2016-06-14)	2016-06-14	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 34	Sitting 2016-06-14	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-06-14-eerstekamer-6	ParlaMint-NL_2016-06-14-eerstekamer-6.u6	Report of the meeting of the Dutch Upper House, Meeting 34, Session 6 (2016-06-14)	2016-06-14	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 34	Sitting 2016-06-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2016-06-14-eerstekamer-6	ParlaMint-NL_2016-06-14-eerstekamer-6.u7	Report of the meeting of the Dutch Upper House, Meeting 34, Session 6 (2016-06-14)	2016-06-14	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 34	Sitting 2016-06-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-06-14-eerstekamer-6	ParlaMint-NL_2016-06-14-eerstekamer-6.u8	Report of the meeting of the Dutch Upper House, Meeting 34, Session 6 (2016-06-14)	2016-06-14	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 34	Sitting 2016-06-14	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-06-14-eerstekamer-6	ParlaMint-NL_2016-06-14-eerstekamer-6.u9	Report of the meeting of the Dutch Upper House, Meeting 34, Session 6 (2016-06-14)	2016-06-14	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 34	Sitting 2016-06-14	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReneDercksen	Dercksen, Rene	M	1962	
ParlaMint-NL-en_2016-06-14-eerstekamer-6	ParlaMint-NL_2016-06-14-eerstekamer-6.u10	Report of the meeting of the Dutch Upper House, Meeting 34, Session 6 (2016-06-14)	2016-06-14	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 34	Sitting 2016-06-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-06-14-eerstekamer-6	ParlaMint-NL_2016-06-14-eerstekamer-6.u11	Report of the meeting of the Dutch Upper House, Meeting 34, Session 6 (2016-06-14)	2016-06-14	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 34	Sitting 2016-06-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
