ParlaMint-NL_2016-07-07-tweedekamer-52.u1	I call Mrs Siderius.
ParlaMint-NL_2016-07-07-tweedekamer-52.u2	Mr. Chairman. I'm gonna start filing the motions right away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that specific target groups of minors entitled to education reside wholly or partially within a care establishment, but are excluded from education because the financing of the combination of care and education is not or is very poorly regulated;]] [[noting that a treatment pathway with a combination of care and education for many pupils is the way back to (regular) education;]] [[Calls on the Government to develop scenarios for funding above-regional facilities that offer both care and education, and to inform the Court of Justice of this before 1 March 2017,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that only 58 out of 152 partnerships are governed by perseverance, with the result that children do not receive adequate education or even (long) periods at home and do not receive education;]] [[calls on the Government, before 1 November 2016, to organise and inform the Court of Justice by 1 November 2016 at the latest,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is desirable to provide care pupils with an appropriate place of education in mainstream education, but this is not feasible for all care pupils;]] [[noting that the continued existence of special education schools as a result of so-called appropriate education is under pressure and that fewer and fewer pupils are eligible for special education;]] [[calls on the Government to lay down the right to special education by law,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-211]] [[This motion has been proposed by Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-212]] [[This motion has been proposed by Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-213]]
ParlaMint-NL_2016-07-07-tweedekamer-52.u3	Mr. Chairman. I'm filing two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the objective of appropriate education is to provide all children with an appropriate place of education;]] [[Considering that, one and a half years after the introduction of appropriate education, there are still thousands of children who are unwelcomely at home because there is no appropriate place to teach;]] [[Whereas a Home Seasonal Pact has recently been concluded, which includes follow-up arrangements, but does not include objectives or actions to reduce the number of home-seaters;]] [[calls on the Government to take immediate action to drastically reduce the number of Home Speaker, set checkable targets for this purpose and inform the Chamber of Princess' Day about the checkable targets for December 2016,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Meenen, Rog and Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-214]]
ParlaMint-NL_2016-07-07-tweedekamer-52.u4	Let's make that a reality. The second motion is actually a motion from Mrs Siderius, but she had no time, so now it is a motion from Mr Van Meenen/Siderius. This reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the House of Representatives wants legal provision to be made for multi-year cluster 3 students to be entitled to a Wajong benefit;]] [[calls on the Government not to initiate an investigation but to make provision whereby adult pupils registered in a cluster 3 educational institution can claim a Wajong benefit and to implement the motion already adopted in full,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Meenen and Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-215]]
ParlaMint-NL_2016-07-07-tweedekamer-52.u5	Mr. Chairman. I printed my motion double-sided. That's good for the environment, but I'm gonna add it for copying. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas appropriate education in practice entails considerable administrative burdens for schools and parents, while one of the objectives is to reduce bureaucracy;]] [[Whereas a certain degree of uniformity can prevent duplication of work or a different course of action in each region and school;]] [[calls on the Government to engage in discussions with the PO Council and the associations and to ask them to develop a format allowing for some standardisation of part of the Development Perspective, in such a way that it can also be a uniform declaration of admission and apply for a multiannual period to children whose situation does not change,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that education at a location other than school can provide a temporary solution for pupils who are currently not in education and are at home or at risk of coming home;]] [[noting that parents, school, partnership and inspection together do want to provide an appropriate solution for these children, but sometimes the legal framework or fear sometimes prevents them;]] [[calls on the Government, parents, schools, partnerships and inspection to clarify that:]] [[pupils receiving (partly) tailor-made work at a location other than the school are also eligible for school or cooperative funding if judged sufficiently by the educational inspection;]] [[bespoke work under the responsibility of the school is not an omission within the meaning of the decision;]] [[bespoke work involving non-full-time "school attendance" (educational programme) is possible with an exemption from Article 11 (g) Law on compulsory education;]] [[calls on the Government to monitor the implementation of tailor-made work in the education plan of schools or the support plan of the partnerships,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Ypma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-217]] [[This motion has been proposed by the Member Ypma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-216]]
ParlaMint-NL_2016-07-07-tweedekamer-52.u6	Mr. Chairman. I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas school boards have a duty of care with regard to pupils registered with them and education should be directed towards a continuous development process;]] [[noting that several thousand children are still at home or receiving appropriate education from private institutions without public funding;]] [[Considering that school boards are often reluctant to offer tailor-made solutions to pupils where part of the education is provided at a location other than the school which is funded by the State, whereas such cooperation could promote the efficient use of available resources;]] [[calls on the Government to promote the cooperation of school boards and partnerships for children's learning rights with external (private) education and care providers, including students receiving customised work at a location other than the school where they are enrolled,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Rog and Mr Ypma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-218]]
ParlaMint-NL_2016-07-07-tweedekamer-52.u7	I note that Mr Bishop is refusing to make a contribution. I shall suspend the sitting in order to bring order to the chaos of the motions tabled.
ParlaMint-NL_2016-07-07-tweedekamer-52.u8	Mr. Chairman. The judgment on the Siderius motion in part No. 211 I can leave to the Chamber. The motion-Siderius in part No. 212, I advise. In my view, the timetable outlined here is not feasible. In any case, it is not enforceable on such short notice. I see the urgency. I have already indicated in the debate that everyone who has signed the Home Seasonal Pact is obliged to make sure that this happens during the coming school year. However, this is not realistic. The motion-Siderius in part No. 213 is unnecessary.
ParlaMint-NL_2016-07-07-tweedekamer-52.u9	What, if any, would be a realistic deadline according to the Secretary of State?
ParlaMint-NL_2016-07-07-tweedekamer-52.u10	I have already said in the debate that I think this should be settled at the beginning of not the next school year, but the following year. If that is not the case, we must look at other measures. We can always follow a legal path, but for now we have made a very clear agreement with the VNG, with all the educational frameworks, with everyone involved, that this must be done in any form. No one size fits all, but it has to be done. I therefore believe that we should give the parties time to achieve this during the coming school year. In her motion in part No. 213 asks Mrs Siderius for a right to special education. I think that is an unnecessary motion. There is a duty of care for schools. Students for whom special education is most appropriate can be placed in special education. This motion adds nothing to that.
ParlaMint-NL_2016-07-07-tweedekamer-52.u11	So?
