ParlaMint-NL_2016-10-04-tweedekamer-24.u1	I would like to welcome the Minister of the Interior.
ParlaMint-NL_2016-10-04-tweedekamer-24.u2	Mr. Chairman. I can repeat the whole debate, but the bottomline is that it was mainly about open standards and open source. I have prepared a fine motion on this and I am going to read it to you right away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Open Government Action Plan 2016-2017 focuses on actively making public sector information available and encouraging open attitude and behaviour among public authorities;]] [[Whereas the use of open standards is essential in actively making information available to citizens, while ensuring greater freedom of choice in ICT suppliers, promoting legal certainty, reducing administrative burdens and enabling efficient and in-chain work as a single government;]] [[Whereas open source software provides more competition in the software market, allowing the government to define better conditions and prices for software;]] [[noting that open standards and open source software are not yet used everywhere in government and local authorities, and that this is partly due to a lack of knowledge and expertise in the procurement of software;]] [[calls on the Government to require the use of open standards by law;]] [[calls on the Government to make available all knowledge of open source software available to the public through a knowledge centre,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Oosenbrug. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32802-31]]
ParlaMint-NL_2016-10-04-tweedekamer-24.u3	I share Mrs Oosenbrug's wish that the government should use open standards as much as possible, but I hear her in the motion naming that we should force that by law. Then my question is: doesn't that go a little far? Couldn't it just be wiser not to? Don't we use this medicine to ride the horse behind the cart?
ParlaMint-NL_2016-10-04-tweedekamer-24.u4	No. As far as I am concerned, open standards are never negotiable. Open standards are something other than open source software. Open standards mean that all software must always be able to talk to each other. I think we've already agreed a few times that we're actually going to use open standards, including in this Chamber. But when I request a document on the site of the House of Representatives, I notice time and time again that document is in a Microsoft format and not in an open standard like pdf.
ParlaMint-NL_2016-10-04-tweedekamer-24.u5	Finally.
ParlaMint-NL_2016-10-04-tweedekamer-24.u6	Maybe it's good to study the motion just as well. I hear Mrs Oosenbrug use the terms 'open source' and 'open standards' in her motion. That makes a lot of difference for what we then impose by law.
ParlaMint-NL_2016-10-04-tweedekamer-24.u7	No. The obligation in my motion concerns open standards. Indeed, in the first part it says: let us impose the open standards by law. In the second part I ask the Minister: make sure that there is a knowledge and expertise centre for open source software. There is an enormous amount of confusion about open source. I can see it here in the Chamber again. There really is a difference between open source, open data and open standards. These are all different subjects, but they always come back to the subject of open government.
ParlaMint-NL_2016-10-04-tweedekamer-24.u8	Mr. Chairman. I have one motion, which basically puts the customer at the centre of the user. The contents of the motion are as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government catches dozens of employees each year requesting particularly sensitive personal data from databases without proper justification and that this data is sometimes even provided to third parties;]] [[Considering that there are insufficient opportunities for citizens to exercise effective supervision and to call attention to this issue;]] [[calls on the Government to ensure that any person concerned or herself is able to understand the data from government databases when, by whom and, if necessary, with what motivation have been requested, and how, in the event of suspected abuse, it is possible to contact them,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Koşer Kaya. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32802-32]]
ParlaMint-NL_2016-10-04-tweedekamer-24.u9	Is this the motion that calls for what we have talked about in almost every general discussion, namely making sure that MijnGovernment.nl is available to everyone, and that you can see what dates are being viewed by who?
ParlaMint-NL_2016-10-04-tweedekamer-24.u10	This applies both for this and wider, because we want to ensure that in the future the customer himself is a key holder and sees exactly what happens to his data. This also keeps us in control of security and cannot simply take advantage of private data.
ParlaMint-NL_2016-10-04-tweedekamer-24.u11	Thank you. The last motion has yet to be distributed, but it is coming. The Minister has the floor.
